CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 139, 'shrink': 1420, 'normalize': False, 'alpha_weight': 1.6, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.041840±0.0008, PRECISION: 0.005476±0.0001, PRECISION_RECALL_MIN_DEN: 0.054756±0.0012, RECALL: 0.054756±0.0012, MAP: 0.031245±0.0006, MRR: 0.031245±0.0006, NDCG: 0.036839±0.0007, F1: 0.009956±0.0002, HIT_RATE: 0.054756±0.0012, ARHR: 0.031245±0.0006, RMSE: 0.933146±0.0023, NOVELTY: 0.007816±0.0000, AVERAGE_POPULARITY: 0.042377±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998949±0.0000, DIVERSITY_HERFINDAHL: 0.999889±0.0000, COVERAGE_ITEM: 0.870971±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.566456±0.0010, SHANNON_ENTROPY: 13.511754±0.0029, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 5, 'shrink': 1907, 'normalize': True, 'alpha_weight': 0.46, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.052985±0.0010, PRECISION: 0.006932±0.0002, PRECISION_RECALL_MIN_DEN: 0.069325±0.0018, RECALL: 0.069325±0.0018, MAP: 0.038888±0.0011, MRR: 0.038888±0.0011, NDCG: 0.046150±0.0012, F1: 0.012604±0.0003, HIT_RATE: 0.069325±0.0018, ARHR: 0.038888±0.0011, RMSE: 0.998647±0.0000, NOVELTY: 0.006114±0.0000, AVERAGE_POPULARITY: 0.154724±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.987546±0.0001, DIVERSITY_HERFINDAHL: 0.998749±0.0000, COVERAGE_ITEM: 0.688089±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.263286±0.0005, SHANNON_ENTROPY: 11.658154±0.0042, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 179, 'shrink': 1848, 'normalize': False, 'alpha_weight': 0.56, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.039872±0.0010, PRECISION: 0.005398±0.0001, PRECISION_RECALL_MIN_DEN: 0.053981±0.0008, RECALL: 0.053981±0.0008, MAP: 0.028324±0.0009, MRR: 0.028324±0.0009, NDCG: 0.034421±0.0009, F1: 0.009815±0.0001, HIT_RATE: 0.053981±0.0008, ARHR: 0.028324±0.0009, RMSE: 0.987366±0.0001, NOVELTY: 0.005461±0.0000, AVERAGE_POPULARITY: 0.030520±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998705±0.0000, DIVERSITY_HERFINDAHL: 0.999865±0.0000, COVERAGE_ITEM: 0.920811±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.502705±0.0011, SHANNON_ENTROPY: 13.423344±0.0029, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 123, 'shrink': 173, 'normalize': True, 'alpha_weight': 0.06, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.018165±0.0005, PRECISION: 0.002561±0.0001, PRECISION_RECALL_MIN_DEN: 0.025607±0.0005, RECALL: 0.025607±0.0005, MAP: 0.012516±0.0004, MRR: 0.012516±0.0004, NDCG: 0.015614±0.0004, F1: 0.004656±0.0001, HIT_RATE: 0.025607±0.0005, ARHR: 0.012516±0.0004, RMSE: 0.998565±0.0026, NOVELTY: 0.005857±0.0000, AVERAGE_POPULARITY: 0.018137±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.999009±0.0000, DIVERSITY_HERFINDAHL: 0.999895±0.0000, COVERAGE_ITEM: 0.931246±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.559811±0.0011, SHANNON_ENTROPY: 13.601189±0.0028, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 110, 'shrink': 1559, 'normalize': False, 'alpha_weight': 1.44, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.059832±0.0010, PRECISION: 0.008167±0.0001, PRECISION_RECALL_MIN_DEN: 0.081672±0.0010, RECALL: 0.081672±0.0010, MAP: 0.044018±0.0010, MRR: 0.044018±0.0010, NDCG: 0.052905±0.0009, F1: 0.014849±0.0002, HIT_RATE: 0.081672±0.0010, ARHR: 0.044018±0.0010, RMSE: 0.974257±0.0002, NOVELTY: 0.005512±0.0000, AVERAGE_POPULARITY: 0.549441±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.907698±0.0005, DIVERSITY_HERFINDAHL: 0.990765±0.0001, COVERAGE_ITEM: 0.418005±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107899±0.0006, SHANNON_ENTROPY: 8.700286±0.0081, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 113, 'shrink': 641, 'normalize': False, 'alpha_weight': 1.04, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.063808±0.0010, PRECISION: 0.008760±0.0001, PRECISION_RECALL_MIN_DEN: 0.087595±0.0014, RECALL: 0.087595±0.0014, MAP: 0.046844±0.0009, MRR: 0.046844±0.0009, NDCG: 0.056454±0.0009, F1: 0.015926±0.0003, HIT_RATE: 0.087595±0.0014, ARHR: 0.046844±0.0009, RMSE: 1.429202±0.0120, NOVELTY: 0.005502±0.0000, AVERAGE_POPULARITY: 0.542786±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.914697±0.0002, DIVERSITY_HERFINDAHL: 0.991464±0.0000, COVERAGE_ITEM: 0.461974±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103791±0.0005, SHANNON_ENTROPY: 8.772684±0.0115, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 179, 'shrink': 1578, 'normalize': True, 'alpha_weight': 1.08, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.074586±0.0007, PRECISION: 0.010038±0.0001, PRECISION_RECALL_MIN_DEN: 0.100376±0.0010, RECALL: 0.100376±0.0010, MAP: 0.054564±0.0006, MRR: 0.054564±0.0006, NDCG: 0.065416±0.0006, F1: 0.018250±0.0002, HIT_RATE: 0.100376±0.0010, ARHR: 0.054564±0.0006, RMSE: 0.984821±0.0001, NOVELTY: 0.006183±0.0000, AVERAGE_POPULARITY: 0.344228±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.973162±0.0002, DIVERSITY_HERFINDAHL: 0.997311±0.0000, COVERAGE_ITEM: 0.787802±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231207±0.0003, SHANNON_ENTROPY: 10.999610±0.0055, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 156, 'shrink': 736, 'normalize': False, 'alpha_weight': 0.08, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056534±0.0009, PRECISION: 0.007787±0.0001, PRECISION_RECALL_MIN_DEN: 0.077868±0.0013, RECALL: 0.077868±0.0013, MAP: 0.040474±0.0007, MRR: 0.040474±0.0007, NDCG: 0.049321±0.0008, F1: 0.014158±0.0002, HIT_RATE: 0.077868±0.0013, ARHR: 0.040474±0.0007, RMSE: 1.258399±0.0063, NOVELTY: 0.005763±0.0000, AVERAGE_POPULARITY: 0.259294±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.985881±0.0001, DIVERSITY_HERFINDAHL: 0.998582±0.0000, COVERAGE_ITEM: 0.799946±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.260795±0.0009, SHANNON_ENTROPY: 11.633461±0.0069, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 139, 'shrink': 1560, 'normalize': True, 'alpha_weight': 1.42, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.079436±0.0009, PRECISION: 0.010752±0.0001, PRECISION_RECALL_MIN_DEN: 0.107518±0.0013, RECALL: 0.107518±0.0013, MAP: 0.057496±0.0006, MRR: 0.057496±0.0006, NDCG: 0.069355±0.0008, F1: 0.019549±0.0002, HIT_RATE: 0.107518±0.0013, ARHR: 0.057496±0.0006, RMSE: 0.874788±0.0037, NOVELTY: 0.006135±0.0000, AVERAGE_POPULARITY: 0.322250±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.981235±0.0001, DIVERSITY_HERFINDAHL: 0.998118±0.0000, COVERAGE_ITEM: 0.630884±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.181864±0.0011, SHANNON_ENTROPY: 10.763043±0.0080, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 164, 'shrink': 712, 'normalize': True, 'alpha_weight': 1.46, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.078661±0.0009, PRECISION: 0.010575±0.0001, PRECISION_RECALL_MIN_DEN: 0.105752±0.0009, RECALL: 0.105752±0.0009, MAP: 0.057229±0.0009, MRR: 0.057229±0.0009, NDCG: 0.068742±0.0008, F1: 0.019228±0.0002, HIT_RATE: 0.105752±0.0009, ARHR: 0.057229±0.0009, RMSE: 0.889544±0.0044, NOVELTY: 0.006409±0.0000, AVERAGE_POPULARITY: 0.288417±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.984085±0.0001, DIVERSITY_HERFINDAHL: 0.998403±0.0000, COVERAGE_ITEM: 0.799557±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.237535±0.0008, SHANNON_ENTROPY: 11.327258±0.0078, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 151, 'shrink': 947, 'normalize': True, 'alpha_weight': 0.42, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.068812±0.0009, PRECISION: 0.009206±0.0001, PRECISION_RECALL_MIN_DEN: 0.092061±0.0012, RECALL: 0.092061±0.0012, MAP: 0.050554±0.0009, MRR: 0.050554±0.0009, NDCG: 0.060400±0.0009, F1: 0.016738±0.0002, HIT_RATE: 0.092061±0.0012, ARHR: 0.050554±0.0009, RMSE: 0.888816±0.0037, NOVELTY: 0.005346±0.0000, AVERAGE_POPULARITY: 0.194505±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.991633±0.0000, DIVERSITY_HERFINDAHL: 0.999158±0.0000, COVERAGE_ITEM: 0.864158±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.334674±0.0010, SHANNON_ENTROPY: 12.269171±0.0045, 
