CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 139, 'shrink': 1420, 'normalize': False, 'alpha_weight': 1.6, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.077502±0.0009, PRECISION: 0.010417±0.0001, PRECISION_RECALL_MIN_DEN: 0.104169±0.0012, RECALL: 0.104169±0.0012, MAP: 0.056934±0.0007, MRR: 0.056934±0.0007, NDCG: 0.068125±0.0008, F1: 0.018940±0.0002, HIT_RATE: 0.104169±0.0012, ARHR: 0.056934±0.0007, RMSE: 0.988816±0.0001, NOVELTY: 0.006322±0.0000, AVERAGE_POPULARITY: 0.313820±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.980587±0.0001, DIVERSITY_HERFINDAHL: 0.998053±0.0000, COVERAGE_ITEM: 0.721698±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232472±0.0003, SHANNON_ENTROPY: 11.140338±0.0040, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 69, 'shrink': 41, 'normalize': False, 'alpha_weight': 0.54, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.076278±0.0010, PRECISION: 0.010218±0.0001, PRECISION_RECALL_MIN_DEN: 0.102176±0.0012, RECALL: 0.102176±0.0012, MAP: 0.055614±0.0010, MRR: 0.055614±0.0010, NDCG: 0.066668±0.0010, F1: 0.018577±0.0002, HIT_RATE: 0.102176±0.0012, ARHR: 0.055614±0.0010, RMSE: 0.976435±0.0002, NOVELTY: 0.006356±0.0000, AVERAGE_POPULARITY: 0.279338±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.985994±0.0001, DIVERSITY_HERFINDAHL: 0.998594±0.0000, COVERAGE_ITEM: 0.739108±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231576±0.0003, SHANNON_ENTROPY: 11.321999±0.0038, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 98, 'shrink': 373, 'normalize': False, 'alpha_weight': 1.84, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.071658±0.0008, PRECISION: 0.009703±0.0001, PRECISION_RECALL_MIN_DEN: 0.097027±0.0006, RECALL: 0.097027±0.0006, MAP: 0.052417±0.0009, MRR: 0.052417±0.0009, NDCG: 0.062979±0.0009, F1: 0.017641±0.0001, HIT_RATE: 0.097027±0.0006, ARHR: 0.052417±0.0009, RMSE: 0.898588±0.0008, NOVELTY: 0.005751±0.0000, AVERAGE_POPULARITY: 0.420515±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.964501±0.0002, DIVERSITY_HERFINDAHL: 0.996445±0.0000, COVERAGE_ITEM: 0.476410±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125944±0.0004, SHANNON_ENTROPY: 9.728771±0.0060, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 8, 'shrink': 1730, 'normalize': False, 'alpha_weight': 1.22, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.068364±0.0014, PRECISION: 0.009199±0.0001, PRECISION_RECALL_MIN_DEN: 0.091992±0.0013, RECALL: 0.091992±0.0013, MAP: 0.049909±0.0013, MRR: 0.049909±0.0013, NDCG: 0.059881±0.0013, F1: 0.016726±0.0002, HIT_RATE: 0.091992±0.0013, ARHR: 0.049909±0.0013, RMSE: 0.996093±0.0000, NOVELTY: 0.006060±0.0000, AVERAGE_POPULARITY: 0.323147±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.980001±0.0001, DIVERSITY_HERFINDAHL: 0.997995±0.0000, COVERAGE_ITEM: 0.518086±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.162085±0.0006, SHANNON_ENTROPY: 10.435692±0.0056, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 8, 'shrink': 1015, 'normalize': True, 'alpha_weight': 1.64, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.078435±0.0007, PRECISION: 0.010197±0.0001, PRECISION_RECALL_MIN_DEN: 0.101971±0.0011, RECALL: 0.101971±0.0011, MAP: 0.057761±0.0006, MRR: 0.057761±0.0006, NDCG: 0.068313±0.0006, F1: 0.018540±0.0002, HIT_RATE: 0.101971±0.0011, ARHR: 0.057761±0.0006, RMSE: 0.992070±0.0001, NOVELTY: 0.006861±0.0000, AVERAGE_POPULARITY: 0.157810±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.993767±0.0001, DIVERSITY_HERFINDAHL: 0.999371±0.0000, COVERAGE_ITEM: 0.782406±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.331425±0.0008, SHANNON_ENTROPY: 12.264956±0.0045, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 156, 'shrink': 1452, 'normalize': True, 'alpha_weight': 0.2, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.065239±0.0012, PRECISION: 0.008891±0.0001, PRECISION_RECALL_MIN_DEN: 0.088905±0.0013, RECALL: 0.088905±0.0013, MAP: 0.047961±0.0011, MRR: 0.047961±0.0011, NDCG: 0.057631±0.0010, F1: 0.016165±0.0002, HIT_RATE: 0.088905±0.0013, ARHR: 0.047961±0.0011, RMSE: 0.990682±0.0001, NOVELTY: 0.005537±0.0000, AVERAGE_POPULARITY: 0.524049±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.927082±0.0004, DIVERSITY_HERFINDAHL: 0.992703±0.0000, COVERAGE_ITEM: 0.455972±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102279±0.0006, SHANNON_ENTROPY: 8.867709±0.0099, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 65, 'shrink': 1289, 'normalize': False, 'alpha_weight': 0.54, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.079305±0.0009, PRECISION: 0.010555±0.0001, PRECISION_RECALL_MIN_DEN: 0.105547±0.0009, RECALL: 0.105547±0.0009, MAP: 0.058219±0.0008, MRR: 0.058219±0.0008, NDCG: 0.069460±0.0008, F1: 0.019190±0.0002, HIT_RATE: 0.105547±0.0009, ARHR: 0.058219±0.0008, RMSE: 0.990196±0.0001, NOVELTY: 0.006554±0.0000, AVERAGE_POPULARITY: 0.247292±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.989007±0.0000, DIVERSITY_HERFINDAHL: 0.998895±0.0000, COVERAGE_ITEM: 0.753414±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.271714±0.0005, SHANNON_ENTROPY: 11.704260±0.0020, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 179, 'shrink': 1578, 'normalize': True, 'alpha_weight': 1.08, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.076394±0.0008, PRECISION: 0.010269±0.0001, PRECISION_RECALL_MIN_DEN: 0.102688±0.0009, RECALL: 0.102688±0.0009, MAP: 0.055943±0.0006, MRR: 0.055943±0.0006, NDCG: 0.067022±0.0006, F1: 0.018671±0.0002, HIT_RATE: 0.102688±0.0009, ARHR: 0.055943±0.0006, RMSE: 0.988883±0.0001, NOVELTY: 0.006214±0.0000, AVERAGE_POPULARITY: 0.346440±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.974854±0.0001, DIVERSITY_HERFINDAHL: 0.997480±0.0000, COVERAGE_ITEM: 0.704266±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.214483±0.0007, SHANNON_ENTROPY: 10.843363±0.0063, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 7, 'shrink': 1563, 'normalize': True, 'alpha_weight': 1.0, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.068727±0.0014, PRECISION: 0.009240±0.0001, PRECISION_RECALL_MIN_DEN: 0.092402±0.0013, RECALL: 0.092402±0.0013, MAP: 0.050179±0.0012, MRR: 0.050179±0.0012, NDCG: 0.060186±0.0013, F1: 0.016800±0.0002, HIT_RATE: 0.092402±0.0013, ARHR: 0.050179±0.0012, RMSE: 0.995923±0.0000, NOVELTY: 0.006088±0.0000, AVERAGE_POPULARITY: 0.315309±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.980380±0.0002, DIVERSITY_HERFINDAHL: 0.998032±0.0000, COVERAGE_ITEM: 0.510830±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.162979±0.0006, SHANNON_ENTROPY: 10.448607±0.0064, 
CrossSearchBayesianSkopt: New best config found. Config 9: {'topK': 12, 'shrink': 1435, 'normalize': False, 'alpha_weight': 1.56, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.079343±0.0011, PRECISION: 0.010327±0.0001, PRECISION_RECALL_MIN_DEN: 0.103269±0.0012, RECALL: 0.103269±0.0012, MAP: 0.058449±0.0008, MRR: 0.058449±0.0008, NDCG: 0.069144±0.0008, F1: 0.018776±0.0002, HIT_RATE: 0.103269±0.0012, ARHR: 0.058449±0.0008, RMSE: 0.993535±0.0001, NOVELTY: 0.006800±0.0000, AVERAGE_POPULARITY: 0.176247±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.993741±0.0000, DIVERSITY_HERFINDAHL: 0.999368±0.0000, COVERAGE_ITEM: 0.781271±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.321790±0.0009, SHANNON_ENTROPY: 12.195264±0.0048, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 135, 'shrink': 696, 'normalize': False, 'alpha_weight': 1.64, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.076525±0.0009, PRECISION: 0.010218±0.0001, PRECISION_RECALL_MIN_DEN: 0.102176±0.0008, RECALL: 0.102176±0.0008, MAP: 0.056392±0.0008, MRR: 0.056392±0.0008, NDCG: 0.067252±0.0008, F1: 0.018577±0.0001, HIT_RATE: 0.102176±0.0008, ARHR: 0.056392±0.0008, RMSE: 0.981799±0.0001, NOVELTY: 0.006576±0.0000, AVERAGE_POPULARITY: 0.247638±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.989072±0.0001, DIVERSITY_HERFINDAHL: 0.998902±0.0000, COVERAGE_ITEM: 0.755177±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.279910±0.0007, SHANNON_ENTROPY: 11.739710±0.0044, 
