SearchBayesianSkopt: New best config found. Config 0: {'topK': 436, 'shrink': 149, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1042555, PRECISION: 0.0164391, PRECISION_RECALL_MIN_DEN: 0.0547971, RECALL: 0.0547971, MAP: 0.0277962, MRR: 0.0760213, NDCG: 0.0467209, F1: 0.0252910, HIT_RATE: 0.1643912, ARHR: 0.0796344, RMSE: 0.9230162, NOVELTY: 0.0049700, AVERAGE_POPULARITY: 0.2821256, DIVERSITY_MEAN_INTER_LIST: 0.9758424, DIVERSITY_HERFINDAHL: 0.9975782, COVERAGE_ITEM: 0.8461206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2934234, SHANNON_ENTROPY: 11.5181899, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 266, 'shrink': 740, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0829025, PRECISION: 0.0130908, PRECISION_RECALL_MIN_DEN: 0.0436358, RECALL: 0.0436358, MAP: 0.0216182, MRR: 0.0595548, NDCG: 0.0367437, F1: 0.0201396, HIT_RATE: 0.1309075, ARHR: 0.0621504, RMSE: 0.9776209, NOVELTY: 0.0053304, AVERAGE_POPULARITY: 0.0745261, DIVERSITY_MEAN_INTER_LIST: 0.9978003, DIVERSITY_HERFINDAHL: 0.9997739, COVERAGE_ITEM: 0.9374426, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4736539, SHANNON_ENTROPY: 13.2429831, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 463, 'shrink': 833, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0913607, PRECISION: 0.0148885, PRECISION_RECALL_MIN_DEN: 0.0496283, RECALL: 0.0496283, MAP: 0.0237817, MRR: 0.0661481, NDCG: 0.0410089, F1: 0.0229054, HIT_RATE: 0.1488849, ARHR: 0.0686965, RMSE: 1.4755187, NOVELTY: 0.0051682, AVERAGE_POPULARITY: 0.7038258, DIVERSITY_MEAN_INTER_LIST: 0.7735935, DIVERSITY_HERFINDAHL: 0.9773546, COVERAGE_ITEM: 0.2617464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0556833, SHANNON_ENTROPY: 6.8481138, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 109, 'shrink': 846, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0957457, PRECISION: 0.0154136, PRECISION_RECALL_MIN_DEN: 0.0513787, RECALL: 0.0513787, MAP: 0.0249354, MRR: 0.0689255, NDCG: 0.0427433, F1: 0.0237132, HIT_RATE: 0.1541360, ARHR: 0.0718015, RMSE: 0.9786402, NOVELTY: 0.0053876, AVERAGE_POPULARITY: 0.5993633, DIVERSITY_MEAN_INTER_LIST: 0.8727224, DIVERSITY_HERFINDAHL: 0.9872668, COVERAGE_ITEM: 0.3912409, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0876432, SHANNON_ENTROPY: 8.0848586, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 666, 'shrink': 735, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0836713, PRECISION: 0.0137024, PRECISION_RECALL_MIN_DEN: 0.0456745, RECALL: 0.0456745, MAP: 0.0216402, MRR: 0.0605643, NDCG: 0.0375403, F1: 0.0210805, HIT_RATE: 0.1370235, ARHR: 0.0627002, RMSE: 0.9612887, NOVELTY: 0.0051613, AVERAGE_POPULARITY: 0.7238997, DIVERSITY_MEAN_INTER_LIST: 0.7227531, DIVERSITY_HERFINDAHL: 0.9722708, COVERAGE_ITEM: 0.3138145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0540842, SHANNON_ENTROPY: 6.5547820, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 810, 'shrink': 1496, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1158240, PRECISION: 0.0185890, PRECISION_RECALL_MIN_DEN: 0.0619633, RECALL: 0.0619633, MAP: 0.0308246, MRR: 0.0842733, NDCG: 0.0521747, F1: 0.0285984, HIT_RATE: 0.1858899, ARHR: 0.0882963, RMSE: 0.9065321, NOVELTY: 0.0055576, AVERAGE_POPULARITY: 0.5010245, DIVERSITY_MEAN_INTER_LIST: 0.9248467, DIVERSITY_HERFINDAHL: 0.9924790, COVERAGE_ITEM: 0.4985672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1139277, SHANNON_ENTROPY: 9.0511701, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 9, 'shrink': 10, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1064481, PRECISION: 0.0166677, PRECISION_RECALL_MIN_DEN: 0.0555590, RECALL: 0.0555590, MAP: 0.0279404, MRR: 0.0766255, NDCG: 0.0471829, F1: 0.0256426, HIT_RATE: 0.1666770, ARHR: 0.0801717, RMSE: 37.6686930, NOVELTY: 0.0057870, AVERAGE_POPULARITY: 0.3980731, DIVERSITY_MEAN_INTER_LIST: 0.9684114, DIVERSITY_HERFINDAHL: 0.9968352, COVERAGE_ITEM: 0.5390105, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1435873, SHANNON_ENTROPY: 9.9879608, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 994, 'shrink': 1458, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1151496, PRECISION: 0.0184284, PRECISION_RECALL_MIN_DEN: 0.0614279, RECALL: 0.0614279, MAP: 0.0306275, MRR: 0.0836102, NDCG: 0.0517816, F1: 0.0283513, HIT_RATE: 0.1842837, ARHR: 0.0876710, RMSE: 0.9008219, NOVELTY: 0.0055370, AVERAGE_POPULARITY: 0.5109235, DIVERSITY_MEAN_INTER_LIST: 0.9180247, DIVERSITY_HERFINDAHL: 0.9917968, COVERAGE_ITEM: 0.4984590, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1118931, SHANNON_ENTROPY: 8.9579592, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1148000, PRECISION: 0.0184407, PRECISION_RECALL_MIN_DEN: 0.0614691, RECALL: 0.0614691, MAP: 0.0305553, MRR: 0.0833496, NDCG: 0.0517053, F1: 0.0283703, HIT_RATE: 0.1844072, ARHR: 0.0874324, RMSE: 0.9010740, NOVELTY: 0.0055318, AVERAGE_POPULARITY: 0.5136956, DIVERSITY_MEAN_INTER_LIST: 0.9168548, DIVERSITY_HERFINDAHL: 0.9916798, COVERAGE_ITEM: 0.4915383, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1106552, SHANNON_ENTROPY: 8.9261967, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 17, 'shrink': 1485, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1050773, PRECISION: 0.0166553, PRECISION_RECALL_MIN_DEN: 0.0555178, RECALL: 0.0555178, MAP: 0.0277062, MRR: 0.0758606, NDCG: 0.0468868, F1: 0.0256236, HIT_RATE: 0.1665534, ARHR: 0.0794372, RMSE: 0.9622614, NOVELTY: 0.0056919, AVERAGE_POPULARITY: 0.4418492, DIVERSITY_MEAN_INTER_LIST: 0.9575604, DIVERSITY_HERFINDAHL: 0.9957501, COVERAGE_ITEM: 0.5176534, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1306558, SHANNON_ENTROPY: 9.6417100, 
