SearchBayesianSkopt: New best config found. Config 0: {'topK': 456, 'shrink': 341, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8378174742592495, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0230187, PRECISION: 0.0038179, PRECISION_RECALL_MIN_DEN: 0.0127263, RECALL: 0.0127263, MAP: 0.0054988, MRR: 0.0158813, NDCG: 0.0099880, F1: 0.0058737, HIT_RATE: 0.0381788, ARHR: 0.0161845, RMSE: 0.7771796, NOVELTY: 0.0070437, AVERAGE_POPULARITY: 0.0465650, DIVERSITY_MEAN_INTER_LIST: 0.9914813, DIVERSITY_HERFINDAHL: 0.9991420, COVERAGE_ITEM: 0.7050014, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2439155, SHANNON_ENTROPY: 11.6790097, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 595, 'shrink': 610, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5261223435236994, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0923385, PRECISION: 0.0148761, PRECISION_RECALL_MIN_DEN: 0.0495871, RECALL: 0.0495871, MAP: 0.0242669, MRR: 0.0673182, NDCG: 0.0414880, F1: 0.0228864, HIT_RATE: 0.1487614, ARHR: 0.0700053, RMSE: 0.9669742, NOVELTY: 0.0052233, AVERAGE_POPULARITY: 0.6747598, DIVERSITY_MEAN_INTER_LIST: 0.7982487, DIVERSITY_HERFINDAHL: 0.9798199, COVERAGE_ITEM: 0.3474453, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0626120, SHANNON_ENTROPY: 7.1345866, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 327, 'shrink': 528, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5876635192569215, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0382222, PRECISION: 0.0059245, PRECISION_RECALL_MIN_DEN: 0.0197484, RECALL: 0.0197484, MAP: 0.0094827, MRR: 0.0271157, NDCG: 0.0164894, F1: 0.0091146, HIT_RATE: 0.0592451, ARHR: 0.0277738, RMSE: 0.8135238, NOVELTY: 0.0069785, AVERAGE_POPULARITY: 0.0561946, DIVERSITY_MEAN_INTER_LIST: 0.9922978, DIVERSITY_HERFINDAHL: 0.9992237, COVERAGE_ITEM: 0.7093268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2497212, SHANNON_ENTROPY: 11.7613223, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 555, 'shrink': 913, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2543079595491369, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0767407, PRECISION: 0.0117996, PRECISION_RECALL_MIN_DEN: 0.0393320, RECALL: 0.0393320, MAP: 0.0196099, MRR: 0.0547073, NDCG: 0.0333954, F1: 0.0181532, HIT_RATE: 0.1179959, ARHR: 0.0567255, RMSE: 0.8493220, NOVELTY: 0.0067688, AVERAGE_POPULARITY: 0.0923202, DIVERSITY_MEAN_INTER_LIST: 0.9919920, DIVERSITY_HERFINDAHL: 0.9991931, COVERAGE_ITEM: 0.6882401, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2361567, SHANNON_ENTROPY: 11.6413675, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 203, 'shrink': 577, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.41359082019714044, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0997836, PRECISION: 0.0159820, PRECISION_RECALL_MIN_DEN: 0.0532732, RECALL: 0.0532732, MAP: 0.0263602, MRR: 0.0726870, NDCG: 0.0448057, F1: 0.0245876, HIT_RATE: 0.1598196, ARHR: 0.0758166, RMSE: 0.9743198, NOVELTY: 0.0053344, AVERAGE_POPULARITY: 0.6077061, DIVERSITY_MEAN_INTER_LIST: 0.8720683, DIVERSITY_HERFINDAHL: 0.9872014, COVERAGE_ITEM: 0.3875101, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0788008, SHANNON_ENTROPY: 7.9305043, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 826, 'shrink': 68, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.44763744981713105, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0854405, PRECISION: 0.0135603, PRECISION_RECALL_MIN_DEN: 0.0452009, RECALL: 0.0452009, MAP: 0.0222846, MRR: 0.0612047, NDCG: 0.0379178, F1: 0.0208619, HIT_RATE: 0.1356026, ARHR: 0.0639756, RMSE: 0.9131105, NOVELTY: 0.0044129, AVERAGE_POPULARITY: 0.1759304, DIVERSITY_MEAN_INTER_LIST: 0.9897611, DIVERSITY_HERFINDAHL: 0.9989700, COVERAGE_ITEM: 0.8509327, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3608849, SHANNON_ENTROPY: 12.3508736, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 297, 'shrink': 1244, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.217952027989906, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0896990, PRECISION: 0.0136591, PRECISION_RECALL_MIN_DEN: 0.0455304, RECALL: 0.0455304, MAP: 0.0231409, MRR: 0.0640648, NDCG: 0.0390544, F1: 0.0210140, HIT_RATE: 0.1365911, ARHR: 0.0666828, RMSE: 0.8797571, NOVELTY: 0.0066249, AVERAGE_POPULARITY: 0.1189498, DIVERSITY_MEAN_INTER_LIST: 0.9915396, DIVERSITY_HERFINDAHL: 0.9991478, COVERAGE_ITEM: 0.6556367, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2230773, SHANNON_ENTROPY: 11.4954945, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 145, 'shrink': 148, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0493853371945339, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0216519, PRECISION: 0.0036696, PRECISION_RECALL_MIN_DEN: 0.0122320, RECALL: 0.0122320, MAP: 0.0050188, MRR: 0.0143450, NDCG: 0.0092948, F1: 0.0056456, HIT_RATE: 0.0366961, ARHR: 0.0147007, RMSE: 0.8717878, NOVELTY: 0.0049708, AVERAGE_POPULARITY: 0.0134862, DIVERSITY_MEAN_INTER_LIST: 0.9966210, DIVERSITY_HERFINDAHL: 0.9996559, COVERAGE_ITEM: 0.7410652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3589660, SHANNON_ENTROPY: 12.5478688, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 532, 'shrink': 831, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7150281946081137, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0830211, PRECISION: 0.0130166, PRECISION_RECALL_MIN_DEN: 0.0433887, RECALL: 0.0433887, MAP: 0.0214519, MRR: 0.0591673, NDCG: 0.0365177, F1: 0.0200256, HIT_RATE: 0.1301662, ARHR: 0.0617146, RMSE: 0.9717842, NOVELTY: 0.0051890, AVERAGE_POPULARITY: 0.0870062, DIVERSITY_MEAN_INTER_LIST: 0.9973687, DIVERSITY_HERFINDAHL: 0.9997307, COVERAGE_ITEM: 0.9324682, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4561465, SHANNON_ENTROPY: 13.1523583, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 530, 'shrink': 1458, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.421395316816486, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0978019, PRECISION: 0.0154383, PRECISION_RECALL_MIN_DEN: 0.0514610, RECALL: 0.0514610, MAP: 0.0258326, MRR: 0.0715972, NDCG: 0.0437450, F1: 0.0237513, HIT_RATE: 0.1543831, ARHR: 0.0745045, RMSE: 0.9828049, NOVELTY: 0.0053071, AVERAGE_POPULARITY: 0.6239258, DIVERSITY_MEAN_INTER_LIST: 0.8457962, DIVERSITY_HERFINDAHL: 0.9845744, COVERAGE_ITEM: 0.3835091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0733851, SHANNON_ENTROPY: 7.6577877, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 788, 'shrink': 978, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.588120211188877, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0591770, PRECISION: 0.0091617, PRECISION_RECALL_MIN_DEN: 0.0305389, RECALL: 0.0305389, MAP: 0.0148944, MRR: 0.0421374, NDCG: 0.0256707, F1: 0.0140949, HIT_RATE: 0.0916167, ARHR: 0.0433905, RMSE: 0.8274510, NOVELTY: 0.0067594, AVERAGE_POPULARITY: 0.0876863, DIVERSITY_MEAN_INTER_LIST: 0.9892371, DIVERSITY_HERFINDAHL: 0.9989176, COVERAGE_ITEM: 0.6374696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2070860, SHANNON_ENTROPY: 11.2770415, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 582, 'shrink': 989, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8786079510372211, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0940983, PRECISION: 0.0150368, PRECISION_RECALL_MIN_DEN: 0.0501225, RECALL: 0.0501225, MAP: 0.0246263, MRR: 0.0682724, NDCG: 0.0420447, F1: 0.0231335, HIT_RATE: 0.1503676, ARHR: 0.0710277, RMSE: 0.9770856, NOVELTY: 0.0052416, AVERAGE_POPULARITY: 0.6616057, DIVERSITY_MEAN_INTER_LIST: 0.8126883, DIVERSITY_HERFINDAHL: 0.9812638, COVERAGE_ITEM: 0.3514463, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0646278, SHANNON_ENTROPY: 7.2650592, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 500, 'shrink': 456, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6625150025925384, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1063103, PRECISION: 0.0165380, PRECISION_RECALL_MIN_DEN: 0.0551265, RECALL: 0.0551265, MAP: 0.0278921, MRR: 0.0764636, NDCG: 0.0469860, F1: 0.0254430, HIT_RATE: 0.1653796, ARHR: 0.0800020, RMSE: 0.9575520, NOVELTY: 0.0056725, AVERAGE_POPULARITY: 0.4122773, DIVERSITY_MEAN_INTER_LIST: 0.9528052, DIVERSITY_HERFINDAHL: 0.9952746, COVERAGE_ITEM: 0.4394701, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1076859, SHANNON_ENTROPY: 9.2502760, 
SearchBayesianSkopt: New best config found. Config 13: {'topK': 492, 'shrink': 131, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5478934565759238, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1054428, PRECISION: 0.0169642, PRECISION_RECALL_MIN_DEN: 0.0565474, RECALL: 0.0565474, MAP: 0.0282346, MRR: 0.0775594, NDCG: 0.0477559, F1: 0.0260988, HIT_RATE: 0.1696423, ARHR: 0.0810523, RMSE: 0.9265753, NOVELTY: 0.0054429, AVERAGE_POPULARITY: 0.5594051, DIVERSITY_MEAN_INTER_LIST: 0.8975410, DIVERSITY_HERFINDAHL: 0.9897486, COVERAGE_ITEM: 0.4299000, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0908456, SHANNON_ENTROPY: 8.3731333, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 922, 'shrink': 882, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3214703044850445, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0911517, PRECISION: 0.0145796, PRECISION_RECALL_MIN_DEN: 0.0485987, RECALL: 0.0485987, MAP: 0.0237363, MRR: 0.0654591, NDCG: 0.0405713, F1: 0.0224302, HIT_RATE: 0.1457960, ARHR: 0.0682747, RMSE: 0.9635640, NOVELTY: 0.0059069, AVERAGE_POPULARITY: 0.1001387, DIVERSITY_MEAN_INTER_LIST: 0.9969982, DIVERSITY_HERFINDAHL: 0.9996937, COVERAGE_ITEM: 0.9555556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4544625, SHANNON_ENTROPY: 13.1113878, 
SearchBayesianSkopt: New best config found. Config 15: {'topK': 66, 'shrink': 252, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.212650072098358, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1102959, PRECISION: 0.0174523, PRECISION_RECALL_MIN_DEN: 0.0581743, RECALL: 0.0581743, MAP: 0.0288606, MRR: 0.0788879, NDCG: 0.0489421, F1: 0.0268497, HIT_RATE: 0.1745228, ARHR: 0.0826501, RMSE: 0.9653183, NOVELTY: 0.0058293, AVERAGE_POPULARITY: 0.3466196, DIVERSITY_MEAN_INTER_LIST: 0.9754643, DIVERSITY_HERFINDAHL: 0.9975404, COVERAGE_ITEM: 0.5068938, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1363149, SHANNON_ENTROPY: 10.0705609, 
