SearchBayesianSkopt: New best config found. Config 0: {'topK': 456, 'shrink': 341, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1050791, PRECISION: 0.0167109, PRECISION_RECALL_MIN_DEN: 0.0557031, RECALL: 0.0557031, MAP: 0.0280687, MRR: 0.0771541, NDCG: 0.0473359, F1: 0.0257091, HIT_RATE: 0.1671094, ARHR: 0.0805976, RMSE: 0.9680757, NOVELTY: 0.0054229, AVERAGE_POPULARITY: 0.5678440, DIVERSITY_MEAN_INTER_LIST: 0.8915366, DIVERSITY_HERFINDAHL: 0.9891482, COVERAGE_ITEM: 0.4156258, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0880510, SHANNON_ENTROPY: 8.2711740, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 919, 'shrink': 1329, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0917521, PRECISION: 0.0146414, PRECISION_RECALL_MIN_DEN: 0.0488046, RECALL: 0.0488046, MAP: 0.0238996, MRR: 0.0664199, NDCG: 0.0408899, F1: 0.0225252, HIT_RATE: 0.1464138, ARHR: 0.0690205, RMSE: 0.9833259, NOVELTY: 0.0051968, AVERAGE_POPULARITY: 0.6907252, DIVERSITY_MEAN_INTER_LIST: 0.7703042, DIVERSITY_HERFINDAHL: 0.9770257, COVERAGE_ITEM: 0.3321979, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0586426, SHANNON_ENTROPY: 6.9193319, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 99, 'shrink': 1133, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1040147, PRECISION: 0.0166183, PRECISION_RECALL_MIN_DEN: 0.0553942, RECALL: 0.0553942, MAP: 0.0273340, MRR: 0.0753323, NDCG: 0.0465183, F1: 0.0255666, HIT_RATE: 0.1661827, ARHR: 0.0786013, RMSE: 0.9897727, NOVELTY: 0.0054647, AVERAGE_POPULARITY: 0.5383113, DIVERSITY_MEAN_INTER_LIST: 0.9185971, DIVERSITY_HERFINDAHL: 0.9918540, COVERAGE_ITEM: 0.4144904, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0947280, SHANNON_ENTROPY: 8.6298014, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 327, 'shrink': 528, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1036749, PRECISION: 0.0165009, PRECISION_RECALL_MIN_DEN: 0.0550030, RECALL: 0.0550030, MAP: 0.0274085, MRR: 0.0754994, NDCG: 0.0464632, F1: 0.0253860, HIT_RATE: 0.1650090, ARHR: 0.0787972, RMSE: 0.9763197, NOVELTY: 0.0053851, AVERAGE_POPULARITY: 0.5825327, DIVERSITY_MEAN_INTER_LIST: 0.8859788, DIVERSITY_HERFINDAHL: 0.9885924, COVERAGE_ITEM: 0.3967559, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0830781, SHANNON_ENTROPY: 8.1347125, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 795, 'shrink': 1386, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0920109, PRECISION: 0.0145858, PRECISION_RECALL_MIN_DEN: 0.0486193, RECALL: 0.0486193, MAP: 0.0239538, MRR: 0.0666093, NDCG: 0.0408999, F1: 0.0224397, HIT_RATE: 0.1458578, ARHR: 0.0691930, RMSE: 0.9841813, NOVELTY: 0.0052055, AVERAGE_POPULARITY: 0.6861163, DIVERSITY_MEAN_INTER_LIST: 0.7778340, DIVERSITY_HERFINDAHL: 0.9777786, COVERAGE_ITEM: 0.3369559, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0599964, SHANNON_ENTROPY: 6.9823498, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 306, 'shrink': 1159, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0985354, PRECISION: 0.0155495, PRECISION_RECALL_MIN_DEN: 0.0518317, RECALL: 0.0518317, MAP: 0.0258639, MRR: 0.0716606, NDCG: 0.0438971, F1: 0.0239223, HIT_RATE: 0.1554952, ARHR: 0.0745699, RMSE: 0.9854795, NOVELTY: 0.0053089, AVERAGE_POPULARITY: 0.6242576, DIVERSITY_MEAN_INTER_LIST: 0.8539822, DIVERSITY_HERFINDAHL: 0.9853929, COVERAGE_ITEM: 0.3758854, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0745288, SHANNON_ENTROPY: 7.7247544, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 203, 'shrink': 577, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1058152, PRECISION: 0.0167295, PRECISION_RECALL_MIN_DEN: 0.0557649, RECALL: 0.0557649, MAP: 0.0280868, MRR: 0.0773276, NDCG: 0.0474178, F1: 0.0257377, HIT_RATE: 0.1672947, ARHR: 0.0807191, RMSE: 0.9805973, NOVELTY: 0.0054269, AVERAGE_POPULARITY: 0.5567852, DIVERSITY_MEAN_INTER_LIST: 0.9060807, DIVERSITY_HERFINDAHL: 0.9906025, COVERAGE_ITEM: 0.4012976, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0885557, SHANNON_ENTROPY: 8.4084965, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 211, 'shrink': 109, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1157610, PRECISION: 0.0183357, PRECISION_RECALL_MIN_DEN: 0.0611190, RECALL: 0.0611190, MAP: 0.0311303, MRR: 0.0849776, NDCG: 0.0522068, F1: 0.0282088, HIT_RATE: 0.1833570, ARHR: 0.0891015, RMSE: 0.9664614, NOVELTY: 0.0057131, AVERAGE_POPULARITY: 0.4361443, DIVERSITY_MEAN_INTER_LIST: 0.9532371, DIVERSITY_HERFINDAHL: 0.9953178, COVERAGE_ITEM: 0.5588537, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1327678, SHANNON_ENTROPY: 9.6430053, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 159, 'shrink': 755, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1041859, PRECISION: 0.0164947, PRECISION_RECALL_MIN_DEN: 0.0549824, RECALL: 0.0549824, MAP: 0.0276003, MRR: 0.0758820, NDCG: 0.0466337, F1: 0.0253765, HIT_RATE: 0.1649472, ARHR: 0.0792714, RMSE: 0.9845286, NOVELTY: 0.0054275, AVERAGE_POPULARITY: 0.5559957, DIVERSITY_MEAN_INTER_LIST: 0.9080086, DIVERSITY_HERFINDAHL: 0.9907953, COVERAGE_ITEM: 0.4020546, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0892259, SHANNON_ENTROPY: 8.4322628, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 297, 'shrink': 1244, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0982720, PRECISION: 0.0155310, PRECISION_RECALL_MIN_DEN: 0.0517699, RECALL: 0.0517699, MAP: 0.0257461, MRR: 0.0713261, NDCG: 0.0437535, F1: 0.0238938, HIT_RATE: 0.1553098, ARHR: 0.0742260, RMSE: 0.9862867, NOVELTY: 0.0053066, AVERAGE_POPULARITY: 0.6251212, DIVERSITY_MEAN_INTER_LIST: 0.8533992, DIVERSITY_HERFINDAHL: 0.9853347, COVERAGE_ITEM: 0.3756150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0745323, SHANNON_ENTROPY: 7.7177271, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 611, 'shrink': 1117, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0937535, PRECISION: 0.0149626, PRECISION_RECALL_MIN_DEN: 0.0498754, RECALL: 0.0498754, MAP: 0.0246494, MRR: 0.0683400, NDCG: 0.0419834, F1: 0.0230194, HIT_RATE: 0.1496262, ARHR: 0.0710918, RMSE: 0.9823981, NOVELTY: 0.0052439, AVERAGE_POPULARITY: 0.6632982, DIVERSITY_MEAN_INTER_LIST: 0.8097418, DIVERSITY_HERFINDAHL: 0.9809692, COVERAGE_ITEM: 0.3558800, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0649126, SHANNON_ENTROPY: 7.2574599, 
