SearchBayesianSkopt: New best config found. Config 0: {'topK': 456, 'shrink': 341, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8378174742592495, 'tversky_beta': 1.7724907790754714} - results: ROC_AUC: 0.1124949, PRECISION: 0.0176747, PRECISION_RECALL_MIN_DEN: 0.0589156, RECALL: 0.0589156, MAP: 0.0300524, MRR: 0.0822246, NDCG: 0.0504162, F1: 0.0271918, HIT_RATE: 0.1767468, ARHR: 0.0861129, RMSE: 0.9769639, NOVELTY: 0.0055459, AVERAGE_POPULARITY: 0.5127159, DIVERSITY_MEAN_INTER_LIST: 0.9194462, DIVERSITY_HERFINDAHL: 0.9919389, COVERAGE_ITEM: 0.4686131, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1048495, SHANNON_ENTROPY: 8.8210191, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 595, 'shrink': 610, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5261223435236994, 'tversky_beta': 0.07421370412179919} - results: ROC_AUC: 0.0935235, PRECISION: 0.0149873, PRECISION_RECALL_MIN_DEN: 0.0499578, RECALL: 0.0499578, MAP: 0.0245096, MRR: 0.0679342, NDCG: 0.0418623, F1: 0.0230574, HIT_RATE: 0.1498734, ARHR: 0.0706839, RMSE: 0.9637715, NOVELTY: 0.0052441, AVERAGE_POPULARITY: 0.6605783, DIVERSITY_MEAN_INTER_LIST: 0.8135149, DIVERSITY_HERFINDAHL: 0.9813465, COVERAGE_ITEM: 0.3539335, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0648526, SHANNON_ENTROPY: 7.2759062, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 327, 'shrink': 528, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5876635192569215, 'tversky_beta': 1.8480207785916125} - results: ROC_AUC: 0.1079031, PRECISION: 0.0172422, PRECISION_RECALL_MIN_DEN: 0.0574741, RECALL: 0.0574741, MAP: 0.0288640, MRR: 0.0790493, NDCG: 0.0487020, F1: 0.0265265, HIT_RATE: 0.1724223, ARHR: 0.0827458, RMSE: 0.9818448, NOVELTY: 0.0054550, AVERAGE_POPULARITY: 0.5500449, DIVERSITY_MEAN_INTER_LIST: 0.9044443, DIVERSITY_HERFINDAHL: 0.9904388, COVERAGE_ITEM: 0.4206002, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0922384, SHANNON_ENTROPY: 8.4619908, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 555, 'shrink': 913, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2543079595491369, 'tversky_beta': 1.7903599219213342} - results: ROC_AUC: 0.0988739, PRECISION: 0.0157966, PRECISION_RECALL_MIN_DEN: 0.0526554, RECALL: 0.0526554, MAP: 0.0261251, MRR: 0.0722161, NDCG: 0.0443899, F1: 0.0243025, HIT_RATE: 0.1579663, ARHR: 0.0752419, RMSE: 0.9828437, NOVELTY: 0.0052925, AVERAGE_POPULARITY: 0.6369156, DIVERSITY_MEAN_INTER_LIST: 0.8368020, DIVERSITY_HERFINDAHL: 0.9836750, COVERAGE_ITEM: 0.3722628, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0710882, SHANNON_ENTROPY: 7.5522409, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 203, 'shrink': 577, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.41359082019714044, 'tversky_beta': 0.14548171800070023} - results: ROC_AUC: 0.0994524, PRECISION: 0.0158090, PRECISION_RECALL_MIN_DEN: 0.0526966, RECALL: 0.0526966, MAP: 0.0261566, MRR: 0.0722652, NDCG: 0.0444449, F1: 0.0243215, HIT_RATE: 0.1580898, ARHR: 0.0753028, RMSE: 0.9707828, NOVELTY: 0.0053415, AVERAGE_POPULARITY: 0.6027447, DIVERSITY_MEAN_INTER_LIST: 0.8734185, DIVERSITY_HERFINDAHL: 0.9873365, COVERAGE_ITEM: 0.3899432, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0800049, SHANNON_ENTROPY: 7.9716412, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 826, 'shrink': 68, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.44763744981713105, 'tversky_beta': 1.0516899386235392} - results: ROC_AUC: 0.1062511, PRECISION: 0.0168221, PRECISION_RECALL_MIN_DEN: 0.0560738, RECALL: 0.0560738, MAP: 0.0282424, MRR: 0.0776333, NDCG: 0.0476547, F1: 0.0258802, HIT_RATE: 0.1682214, ARHR: 0.0811042, RMSE: 0.9325051, NOVELTY: 0.0054969, AVERAGE_POPULARITY: 0.5625832, DIVERSITY_MEAN_INTER_LIST: 0.8807361, DIVERSITY_HERFINDAHL: 0.9880682, COVERAGE_ITEM: 0.5333333, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1052949, SHANNON_ENTROPY: 8.4448303, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 297, 'shrink': 1244, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.217952027989906, 'tversky_beta': 1.4888824577404556} - results: ROC_AUC: 0.1000954, PRECISION: 0.0157843, PRECISION_RECALL_MIN_DEN: 0.0526142, RECALL: 0.0526142, MAP: 0.0263469, MRR: 0.0729064, NDCG: 0.0446435, F1: 0.0242835, HIT_RATE: 0.1578427, ARHR: 0.0759171, RMSE: 0.9873742, NOVELTY: 0.0053224, AVERAGE_POPULARITY: 0.6166013, DIVERSITY_MEAN_INTER_LIST: 0.8606473, DIVERSITY_HERFINDAHL: 0.9860594, COVERAGE_ITEM: 0.3784266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0760655, SHANNON_ENTROPY: 7.8029914, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 145, 'shrink': 148, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0493853371945339, 'tversky_beta': 1.4065200730734932} - results: ROC_AUC: 0.1166888, PRECISION: 0.0184222, PRECISION_RECALL_MIN_DEN: 0.0614073, RECALL: 0.0614073, MAP: 0.0312420, MRR: 0.0855604, NDCG: 0.0524651, F1: 0.0283418, HIT_RATE: 0.1842219, ARHR: 0.0895617, RMSE: 0.9764372, NOVELTY: 0.0056911, AVERAGE_POPULARITY: 0.4450440, DIVERSITY_MEAN_INTER_LIST: 0.9527680, DIVERSITY_HERFINDAHL: 0.9952709, COVERAGE_ITEM: 0.5389565, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1273321, SHANNON_ENTROPY: 9.5582357, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 532, 'shrink': 831, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7150281946081137, 'tversky_beta': 1.2243025484825405} - results: ROC_AUC: 0.0951848, PRECISION: 0.0152715, PRECISION_RECALL_MIN_DEN: 0.0509050, RECALL: 0.0509050, MAP: 0.0251558, MRR: 0.0698016, NDCG: 0.0428392, F1: 0.0234946, HIT_RATE: 0.1527151, ARHR: 0.0725824, RMSE: 0.9788717, NOVELTY: 0.0052525, AVERAGE_POPULARITY: 0.6592239, DIVERSITY_MEAN_INTER_LIST: 0.8152114, DIVERSITY_HERFINDAHL: 0.9815161, COVERAGE_ITEM: 0.3602595, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0664500, SHANNON_ENTROPY: 7.3192808, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 530, 'shrink': 1458, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.421395316816486, 'tversky_beta': 0.568288041320678} - results: ROC_AUC: 0.0957384, PRECISION: 0.0152715, PRECISION_RECALL_MIN_DEN: 0.0509050, RECALL: 0.0509050, MAP: 0.0252838, MRR: 0.0699624, NDCG: 0.0429555, F1: 0.0234946, HIT_RATE: 0.1527151, ARHR: 0.0728548, RMSE: 0.9856136, NOVELTY: 0.0052646, AVERAGE_POPULARITY: 0.6493371, DIVERSITY_MEAN_INTER_LIST: 0.8254159, DIVERSITY_HERFINDAHL: 0.9825365, COVERAGE_ITEM: 0.3597188, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0674888, SHANNON_ENTROPY: 7.4077031, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 788, 'shrink': 978, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.588120211188877, 'tversky_beta': 1.9228687712322408} - results: ROC_AUC: 0.0983503, PRECISION: 0.0157163, PRECISION_RECALL_MIN_DEN: 0.0523877, RECALL: 0.0523877, MAP: 0.0259318, MRR: 0.0717267, NDCG: 0.0441112, F1: 0.0241789, HIT_RATE: 0.1571632, ARHR: 0.0747098, RMSE: 0.9832182, NOVELTY: 0.0052845, AVERAGE_POPULARITY: 0.6427209, DIVERSITY_MEAN_INTER_LIST: 0.8247309, DIVERSITY_HERFINDAHL: 0.9824680, COVERAGE_ITEM: 0.3708570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0697624, SHANNON_ENTROPY: 7.4662695, 
