SearchBayesianSkopt: New best config found. Config 0: {'topK': 147, 'shrink': 290, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8726812031091364, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1095841, PRECISION: 0.0173843, PRECISION_RECALL_MIN_DEN: 0.0579477, RECALL: 0.0579477, MAP: 0.0289440, MRR: 0.0795703, NDCG: 0.0490002, F1: 0.0267451, HIT_RATE: 0.1738432, ARHR: 0.0831182, RMSE: 0.9622719, NOVELTY: 0.0055772, AVERAGE_POPULARITY: 0.4720734, DIVERSITY_MEAN_INTER_LIST: 0.9454864, DIVERSITY_HERFINDAHL: 0.9945428, COVERAGE_ITEM: 0.4240606, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1056284, SHANNON_ENTROPY: 9.1215374, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 130, 'shrink': 971, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0101815620575725, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0543245, PRECISION: 0.0085130, PRECISION_RECALL_MIN_DEN: 0.0283767, RECALL: 0.0283767, MAP: 0.0140227, MRR: 0.0390232, NDCG: 0.0239250, F1: 0.0130969, HIT_RATE: 0.0851300, ARHR: 0.0405155, RMSE: 0.9436094, NOVELTY: 0.0047995, AVERAGE_POPULARITY: 0.0349430, DIVERSITY_MEAN_INTER_LIST: 0.9987357, DIVERSITY_HERFINDAHL: 0.9998674, COVERAGE_ITEM: 0.9179238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5115315, SHANNON_ENTROPY: 13.4418252, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 593, 'shrink': 106, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8951134251467157, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1161081, PRECISION: 0.0183048, PRECISION_RECALL_MIN_DEN: 0.0610160, RECALL: 0.0610160, MAP: 0.0307917, MRR: 0.0839121, NDCG: 0.0518201, F1: 0.0281613, HIT_RATE: 0.1830481, ARHR: 0.0880612, RMSE: 0.8085785, NOVELTY: 0.0059191, AVERAGE_POPULARITY: 0.3560323, DIVERSITY_MEAN_INTER_LIST: 0.9690651, DIVERSITY_HERFINDAHL: 0.9969005, COVERAGE_ITEM: 0.6060016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1510293, SHANNON_ENTROPY: 10.1658305, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 713, 'shrink': 696, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9677574915344376, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0940581, PRECISION: 0.0145858, PRECISION_RECALL_MIN_DEN: 0.0486193, RECALL: 0.0486193, MAP: 0.0246268, MRR: 0.0679009, NDCG: 0.0415352, F1: 0.0224397, HIT_RATE: 0.1458578, ARHR: 0.0708243, RMSE: 0.6465161, NOVELTY: 0.0066261, AVERAGE_POPULARITY: 0.0926157, DIVERSITY_MEAN_INTER_LIST: 0.9952849, DIVERSITY_HERFINDAHL: 0.9995223, COVERAGE_ITEM: 0.8638010, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3236797, SHANNON_ENTROPY: 12.4448038, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 462, 'shrink': 860, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.078586640380262, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0920326, PRECISION: 0.0141533, PRECISION_RECALL_MIN_DEN: 0.0471778, RECALL: 0.0471778, MAP: 0.0236417, MRR: 0.0656074, NDCG: 0.0401327, F1: 0.0217744, HIT_RATE: 0.1415333, ARHR: 0.0682069, RMSE: 0.7885496, NOVELTY: 0.0067260, AVERAGE_POPULARITY: 0.0911908, DIVERSITY_MEAN_INTER_LIST: 0.9946859, DIVERSITY_HERFINDAHL: 0.9994624, COVERAGE_ITEM: 0.8234658, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2942680, SHANNON_ENTROPY: 12.2389098, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 542, 'shrink': 702, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4070233431531824, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1083761, PRECISION: 0.0170693, PRECISION_RECALL_MIN_DEN: 0.0568975, RECALL: 0.0568975, MAP: 0.0290168, MRR: 0.0796606, NDCG: 0.0487106, F1: 0.0262604, HIT_RATE: 0.1706925, ARHR: 0.0832855, RMSE: 0.8957693, NOVELTY: 0.0055062, AVERAGE_POPULARITY: 0.5225682, DIVERSITY_MEAN_INTER_LIST: 0.9145629, DIVERSITY_HERFINDAHL: 0.9914506, COVERAGE_ITEM: 0.4568262, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0951305, SHANNON_ENTROPY: 8.6039656, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 931, 'shrink': 964, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9597526801065566, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0543590, PRECISION: 0.0084450, PRECISION_RECALL_MIN_DEN: 0.0281502, RECALL: 0.0281502, MAP: 0.0136228, MRR: 0.0385299, NDCG: 0.0235516, F1: 0.0129924, HIT_RATE: 0.0844505, ARHR: 0.0396862, RMSE: 0.7171362, NOVELTY: 0.0067495, AVERAGE_POPULARITY: 0.0846819, DIVERSITY_MEAN_INTER_LIST: 0.9887483, DIVERSITY_HERFINDAHL: 0.9988687, COVERAGE_ITEM: 0.6689376, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2042070, SHANNON_ENTROPY: 11.2721529, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 244, 'shrink': 979, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5904102975521028, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0659972, PRECISION: 0.0100451, PRECISION_RECALL_MIN_DEN: 0.0334837, RECALL: 0.0334837, MAP: 0.0164558, MRR: 0.0461000, NDCG: 0.0282347, F1: 0.0154540, HIT_RATE: 0.1004510, ARHR: 0.0477081, RMSE: 0.6895481, NOVELTY: 0.0067927, AVERAGE_POPULARITY: 0.0810703, DIVERSITY_MEAN_INTER_LIST: 0.9924411, DIVERSITY_HERFINDAHL: 0.9992380, COVERAGE_ITEM: 0.7365775, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2411362, SHANNON_ENTROPY: 11.7486805, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 887, 'shrink': 1329, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8797329411080939, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0633715, PRECISION: 0.0099710, PRECISION_RECALL_MIN_DEN: 0.0332365, RECALL: 0.0332365, MAP: 0.0161183, MRR: 0.0449586, NDCG: 0.0277335, F1: 0.0153399, HIT_RATE: 0.0997096, ARHR: 0.0466245, RMSE: 0.8931844, NOVELTY: 0.0053881, AVERAGE_POPULARITY: 0.0489905, DIVERSITY_MEAN_INTER_LIST: 0.9986662, DIVERSITY_HERFINDAHL: 0.9998605, COVERAGE_ITEM: 0.9577724, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5334259, SHANNON_ENTROPY: 13.5206016, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 417, 'shrink': 555, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4972357397590562, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0620399, PRECISION: 0.0098659, PRECISION_RECALL_MIN_DEN: 0.0328865, RECALL: 0.0328865, MAP: 0.0160411, MRR: 0.0444347, NDCG: 0.0274684, F1: 0.0151784, HIT_RATE: 0.0986594, ARHR: 0.0462351, RMSE: 0.8732777, NOVELTY: 0.0050448, AVERAGE_POPULARITY: 0.0475796, DIVERSITY_MEAN_INTER_LIST: 0.9986235, DIVERSITY_HERFINDAHL: 0.9998562, COVERAGE_ITEM: 0.9454447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5208041, SHANNON_ENTROPY: 13.4751794, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 450, 'shrink': 1442, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3964015490984506, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0916996, PRECISION: 0.0149564, PRECISION_RECALL_MIN_DEN: 0.0498548, RECALL: 0.0498548, MAP: 0.0239979, MRR: 0.0666640, NDCG: 0.0412876, F1: 0.0230099, HIT_RATE: 0.1495645, ARHR: 0.0692762, RMSE: 0.9344539, NOVELTY: 0.0052399, AVERAGE_POPULARITY: 0.6729450, DIVERSITY_MEAN_INTER_LIST: 0.7998890, DIVERSITY_HERFINDAHL: 0.9799840, COVERAGE_ITEM: 0.3756150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0666807, SHANNON_ENTROPY: 7.2075582, 
