SearchBayesianSkopt: New best config found. Config 0: {'topK': 147, 'shrink': 290, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0844398, PRECISION: 0.0130290, PRECISION_RECALL_MIN_DEN: 0.0434299, RECALL: 0.0434299, MAP: 0.0214279, MRR: 0.0595139, NDCG: 0.0366054, F1: 0.0200446, HIT_RATE: 0.1302897, ARHR: 0.0618397, RMSE: 0.9366149, NOVELTY: 0.0062414, AVERAGE_POPULARITY: 0.0568048, DIVERSITY_MEAN_INTER_LIST: 0.9982732, DIVERSITY_HERFINDAHL: 0.9998212, COVERAGE_ITEM: 0.9540957, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4945186, SHANNON_ENTROPY: 13.3630622, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 155, 'shrink': 189, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0572012, PRECISION: 0.0091308, PRECISION_RECALL_MIN_DEN: 0.0304359, RECALL: 0.0304359, MAP: 0.0146681, MRR: 0.0406734, NDCG: 0.0252399, F1: 0.0140474, HIT_RATE: 0.0913078, ARHR: 0.0422963, RMSE: 0.9167815, NOVELTY: 0.0044242, AVERAGE_POPULARITY: 0.0487995, DIVERSITY_MEAN_INTER_LIST: 0.9984688, DIVERSITY_HERFINDAHL: 0.9998407, COVERAGE_ITEM: 0.9088402, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4778421, SHANNON_ENTROPY: 13.3173537, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 401, 'shrink': 573, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1173566, PRECISION: 0.0185581, PRECISION_RECALL_MIN_DEN: 0.0618603, RECALL: 0.0618603, MAP: 0.0311024, MRR: 0.0850025, NDCG: 0.0524534, F1: 0.0285509, HIT_RATE: 0.1855810, ARHR: 0.0890794, RMSE: 0.8021863, NOVELTY: 0.0058382, AVERAGE_POPULARITY: 0.2996112, DIVERSITY_MEAN_INTER_LIST: 0.9775708, DIVERSITY_HERFINDAHL: 0.9977510, COVERAGE_ITEM: 0.8859692, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2756120, SHANNON_ENTROPY: 11.4313635, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 450, 'shrink': 39, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0677614, PRECISION: 0.0104343, PRECISION_RECALL_MIN_DEN: 0.0347810, RECALL: 0.0347810, MAP: 0.0173614, MRR: 0.0484923, NDCG: 0.0295576, F1: 0.0160528, HIT_RATE: 0.1043430, ARHR: 0.0502494, RMSE: 6.8093547, NOVELTY: 0.0063764, AVERAGE_POPULARITY: 0.0406281, DIVERSITY_MEAN_INTER_LIST: 0.9988187, DIVERSITY_HERFINDAHL: 0.9998757, COVERAGE_ITEM: 0.9713977, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5594187, SHANNON_ENTROPY: 13.6058993, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 927, 'shrink': 726, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0695018, PRECISION: 0.0107803, PRECISION_RECALL_MIN_DEN: 0.0359342, RECALL: 0.0359342, MAP: 0.0178038, MRR: 0.0496914, NDCG: 0.0303853, F1: 0.0165850, HIT_RATE: 0.1078026, ARHR: 0.0515112, RMSE: 0.7989152, NOVELTY: 0.0064776, AVERAGE_POPULARITY: 0.0446068, DIVERSITY_MEAN_INTER_LIST: 0.9987086, DIVERSITY_HERFINDAHL: 0.9998647, COVERAGE_ITEM: 0.9713436, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5404558, SHANNON_ENTROPY: 13.5489657, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 331, 'shrink': 931, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0954261, PRECISION: 0.0156731, PRECISION_RECALL_MIN_DEN: 0.0522436, RECALL: 0.0522436, MAP: 0.0250086, MRR: 0.0691163, NDCG: 0.0430570, F1: 0.0241124, HIT_RATE: 0.1567307, ARHR: 0.0720182, RMSE: 3.8882129, NOVELTY: 0.0052276, AVERAGE_POPULARITY: 0.6725832, DIVERSITY_MEAN_INTER_LIST: 0.8132604, DIVERSITY_HERFINDAHL: 0.9813210, COVERAGE_ITEM: 0.2963504, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0639115, SHANNON_ENTROPY: 7.2355869, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 471, 'shrink': 1013, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0880555, PRECISION: 0.0144499, PRECISION_RECALL_MIN_DEN: 0.0481662, RECALL: 0.0481662, MAP: 0.0229030, MRR: 0.0637410, NDCG: 0.0396075, F1: 0.0222306, HIT_RATE: 0.1444987, ARHR: 0.0661767, RMSE: 0.9124642, NOVELTY: 0.0052213, AVERAGE_POPULARITY: 0.6950232, DIVERSITY_MEAN_INTER_LIST: 0.7684544, DIVERSITY_HERFINDAHL: 0.9768407, COVERAGE_ITEM: 0.3575561, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0627262, SHANNON_ENTROPY: 6.9474465, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 931, 'shrink': 964, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1179128, PRECISION: 0.0188361, PRECISION_RECALL_MIN_DEN: 0.0627870, RECALL: 0.0627870, MAP: 0.0312707, MRR: 0.0853497, NDCG: 0.0528956, F1: 0.0289786, HIT_RATE: 0.1883610, ARHR: 0.0895032, RMSE: 0.8217431, NOVELTY: 0.0057526, AVERAGE_POPULARITY: 0.4175709, DIVERSITY_MEAN_INTER_LIST: 0.9500368, DIVERSITY_HERFINDAHL: 0.9949978, COVERAGE_ITEM: 0.7362530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1726411, SHANNON_ENTROPY: 10.1156761, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 352, 'shrink': 361, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1037263, PRECISION: 0.0165812, PRECISION_RECALL_MIN_DEN: 0.0552707, RECALL: 0.0552707, MAP: 0.0272578, MRR: 0.0752321, NDCG: 0.0464144, F1: 0.0255095, HIT_RATE: 0.1658121, ARHR: 0.0784419, RMSE: 0.8644095, NOVELTY: 0.0053746, AVERAGE_POPULARITY: 0.5972368, DIVERSITY_MEAN_INTER_LIST: 0.8763923, DIVERSITY_HERFINDAHL: 0.9876338, COVERAGE_ITEM: 0.4226007, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0827530, SHANNON_ENTROPY: 8.0357769, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 832, 'shrink': 905, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0901228, PRECISION: 0.0146661, PRECISION_RECALL_MIN_DEN: 0.0488870, RECALL: 0.0488870, MAP: 0.0235858, MRR: 0.0658361, NDCG: 0.0406018, F1: 0.0225632, HIT_RATE: 0.1466609, ARHR: 0.0682577, RMSE: 4.7126800, NOVELTY: 0.0051256, AVERAGE_POPULARITY: 0.7271332, DIVERSITY_MEAN_INTER_LIST: 0.7409128, DIVERSITY_HERFINDAHL: 0.9740867, COVERAGE_ITEM: 0.2310895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0487855, SHANNON_ENTROPY: 6.5418706, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 443, 'shrink': 704, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0855910, PRECISION: 0.0134923, PRECISION_RECALL_MIN_DEN: 0.0449744, RECALL: 0.0449744, MAP: 0.0222797, MRR: 0.0612655, NDCG: 0.0378593, F1: 0.0207574, HIT_RATE: 0.1349231, ARHR: 0.0639958, RMSE: 0.9712326, NOVELTY: 0.0053453, AVERAGE_POPULARITY: 0.0892815, DIVERSITY_MEAN_INTER_LIST: 0.9973333, DIVERSITY_HERFINDAHL: 0.9997272, COVERAGE_ITEM: 0.9390105, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4612450, SHANNON_ENTROPY: 13.1604785, 
