SearchBayesianSkopt: New best config found. Config 0: {'topK': 147, 'shrink': 290, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1112818, PRECISION: 0.0178353, PRECISION_RECALL_MIN_DEN: 0.0594510, RECALL: 0.0594510, MAP: 0.0297173, MRR: 0.0814076, NDCG: 0.0502297, F1: 0.0274389, HIT_RATE: 0.1783530, ARHR: 0.0851996, RMSE: 0.9763307, NOVELTY: 0.0055681, AVERAGE_POPULARITY: 0.4883646, DIVERSITY_MEAN_INTER_LIST: 0.9395560, DIVERSITY_HERFINDAHL: 0.9939498, COVERAGE_ITEM: 0.4409300, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1055899, SHANNON_ENTROPY: 9.0555681, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 439, 'shrink': 96, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1150963, PRECISION: 0.0180206, PRECISION_RECALL_MIN_DEN: 0.0600688, RECALL: 0.0600688, MAP: 0.0308415, MRR: 0.0841468, NDCG: 0.0515760, F1: 0.0277241, HIT_RATE: 0.1802063, ARHR: 0.0882492, RMSE: 0.9536151, NOVELTY: 0.0057019, AVERAGE_POPULARITY: 0.4560398, DIVERSITY_MEAN_INTER_LIST: 0.9407249, DIVERSITY_HERFINDAHL: 0.9940667, COVERAGE_ITEM: 0.5740470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1321131, SHANNON_ENTROPY: 9.4533711, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 649, 'shrink': 492, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1011340, PRECISION: 0.0160314, PRECISION_RECALL_MIN_DEN: 0.0534379, RECALL: 0.0534379, MAP: 0.0267542, MRR: 0.0738717, NDCG: 0.0452978, F1: 0.0246637, HIT_RATE: 0.1603138, ARHR: 0.0770035, RMSE: 0.9701592, NOVELTY: 0.0053331, AVERAGE_POPULARITY: 0.6152536, DIVERSITY_MEAN_INTER_LIST: 0.8532048, DIVERSITY_HERFINDAHL: 0.9853152, COVERAGE_ITEM: 0.3875642, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0760028, SHANNON_ENTROPY: 7.7682527, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 401, 'shrink': 573, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1020817, PRECISION: 0.0162723, PRECISION_RECALL_MIN_DEN: 0.0542411, RECALL: 0.0542411, MAP: 0.0270408, MRR: 0.0744763, NDCG: 0.0458163, F1: 0.0250343, HIT_RATE: 0.1627232, ARHR: 0.0777309, RMSE: 0.9755122, NOVELTY: 0.0053556, AVERAGE_POPULARITY: 0.5997508, DIVERSITY_MEAN_INTER_LIST: 0.8713848, DIVERSITY_HERFINDAHL: 0.9871331, COVERAGE_ITEM: 0.3879427, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0790866, SHANNON_ENTROPY: 7.9478165, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 771, 'shrink': 838, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0954432, PRECISION: 0.0151727, PRECISION_RECALL_MIN_DEN: 0.0505756, RECALL: 0.0505756, MAP: 0.0252086, MRR: 0.0697146, NDCG: 0.0427756, F1: 0.0233426, HIT_RATE: 0.1517267, ARHR: 0.0726301, RMSE: 0.9774654, NOVELTY: 0.0052512, AVERAGE_POPULARITY: 0.6596793, DIVERSITY_MEAN_INTER_LIST: 0.8087869, DIVERSITY_HERFINDAHL: 0.9808737, COVERAGE_ITEM: 0.3549067, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0654989, SHANNON_ENTROPY: 7.2781968, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 732, 'shrink': 1067, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0938045, PRECISION: 0.0148823, PRECISION_RECALL_MIN_DEN: 0.0496077, RECALL: 0.0496077, MAP: 0.0244997, MRR: 0.0679302, NDCG: 0.0417629, F1: 0.0228959, HIT_RATE: 0.1488231, ARHR: 0.0706719, RMSE: 0.9809976, NOVELTY: 0.0052322, AVERAGE_POPULARITY: 0.6701442, DIVERSITY_MEAN_INTER_LIST: 0.7983682, DIVERSITY_HERFINDAHL: 0.9798319, COVERAGE_ITEM: 0.3465802, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0632054, SHANNON_ENTROPY: 7.1635384, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 927, 'shrink': 726, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0964471, PRECISION: 0.0153704, PRECISION_RECALL_MIN_DEN: 0.0512345, RECALL: 0.0512345, MAP: 0.0254827, MRR: 0.0705883, NDCG: 0.0432869, F1: 0.0236467, HIT_RATE: 0.1537036, ARHR: 0.0734743, RMSE: 0.9746140, NOVELTY: 0.0052520, AVERAGE_POPULARITY: 0.6594210, DIVERSITY_MEAN_INTER_LIST: 0.8061667, DIVERSITY_HERFINDAHL: 0.9806117, COVERAGE_ITEM: 0.3559340, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0654281, SHANNON_ENTROPY: 7.2699002, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 462, 'shrink': 860, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0977534, PRECISION: 0.0156236, PRECISION_RECALL_MIN_DEN: 0.0520788, RECALL: 0.0520788, MAP: 0.0258239, MRR: 0.0713809, NDCG: 0.0438859, F1: 0.0240364, HIT_RATE: 0.1562365, ARHR: 0.0743726, RMSE: 0.9800339, NOVELTY: 0.0052944, AVERAGE_POPULARITY: 0.6340228, DIVERSITY_MEAN_INTER_LIST: 0.8410273, DIVERSITY_HERFINDAHL: 0.9840975, COVERAGE_ITEM: 0.3701541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0714814, SHANNON_ENTROPY: 7.5855692, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 542, 'shrink': 1298, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0943020, PRECISION: 0.0150120, PRECISION_RECALL_MIN_DEN: 0.0500402, RECALL: 0.0500402, MAP: 0.0247992, MRR: 0.0687322, NDCG: 0.0421924, F1: 0.0230955, HIT_RATE: 0.1501205, ARHR: 0.0715149, RMSE: 0.9844050, NOVELTY: 0.0052427, AVERAGE_POPULARITY: 0.6638240, DIVERSITY_MEAN_INTER_LIST: 0.8096460, DIVERSITY_HERFINDAHL: 0.9809596, COVERAGE_ITEM: 0.3544742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0651763, SHANNON_ENTROPY: 7.2590812, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 471, 'shrink': 1013, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0965256, PRECISION: 0.0153951, PRECISION_RECALL_MIN_DEN: 0.0513169, RECALL: 0.0513169, MAP: 0.0254075, MRR: 0.0703430, NDCG: 0.0432268, F1: 0.0236847, HIT_RATE: 0.1539507, ARHR: 0.0732332, RMSE: 0.9819980, NOVELTY: 0.0052767, AVERAGE_POPULARITY: 0.6439335, DIVERSITY_MEAN_INTER_LIST: 0.8314619, DIVERSITY_HERFINDAHL: 0.9831411, COVERAGE_ITEM: 0.3663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0692774, SHANNON_ENTROPY: 7.4802650, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 205, 'shrink': 792, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1042010, PRECISION: 0.0164824, PRECISION_RECALL_MIN_DEN: 0.0549412, RECALL: 0.0549412, MAP: 0.0276539, MRR: 0.0762074, NDCG: 0.0467032, F1: 0.0253575, HIT_RATE: 0.1648236, ARHR: 0.0795111, RMSE: 0.9833569, NOVELTY: 0.0053903, AVERAGE_POPULARITY: 0.5765640, DIVERSITY_MEAN_INTER_LIST: 0.8932791, DIVERSITY_HERFINDAHL: 0.9893224, COVERAGE_ITEM: 0.3946472, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0844856, SHANNON_ENTROPY: 8.2202944, 
