SearchBayesianSkopt: New best config found. Config 0: {'topK': 12, 'shrink': 1331, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4753285323857609, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0734838, PRECISION: 0.0099602, PRECISION_RECALL_MIN_DEN: 0.0332005, RECALL: 0.0332005, MAP: 0.0176274, MRR: 0.0528821, NDCG: 0.0300239, F1: 0.0153233, HIT_RATE: 0.0996016, ARHR: 0.0528821, RMSE: 0.9846135, NOVELTY: 0.0065149, AVERAGE_POPULARITY: 0.0611862, DIVERSITY_MEAN_INTER_LIST: 0.9920924, DIVERSITY_HERFINDAHL: 0.9988140, COVERAGE_ITEM: 0.0873209, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6949711, SHANNON_ENTROPY: 10.2886856, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 230, 'shrink': 6, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8682778086388399, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0013280, PRECISION: 0.0003984, PRECISION_RECALL_MIN_DEN: 0.0013280, RECALL: 0.0013280, MAP: 0.0001897, MRR: 0.0005692, NDCG: 0.0006232, F1: 0.0006129, HIT_RATE: 0.0039841, ARHR: 0.0005692, RMSE: 1.1804672, NOVELTY: 0.0017736, AVERAGE_POPULARITY: 0.0544749, DIVERSITY_MEAN_INTER_LIST: 0.9930741, DIVERSITY_HERFINDAHL: 0.9989118, COVERAGE_ITEM: 0.0849419, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7004172, SHANNON_ENTROPY: 10.3077094, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 667, 'shrink': 1416, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5255645436330436, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0393980, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0061305, MRR: 0.0183915, NDCG: 0.0140877, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0183915, RMSE: 0.9056863, NOVELTY: 0.0049924, AVERAGE_POPULARITY: 0.7521216, DIVERSITY_MEAN_INTER_LIST: 0.5999235, DIVERSITY_HERFINDAHL: 0.9597533, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3174540, SHANNON_ENTROPY: 5.1111127, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 976, 'shrink': 363, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5970697466194338, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0265604, PRECISION: 0.0047809, PRECISION_RECALL_MIN_DEN: 0.0159363, RECALL: 0.0159363, MAP: 0.0046201, MRR: 0.0138604, NDCG: 0.0101965, F1: 0.0073552, HIT_RATE: 0.0478088, ARHR: 0.0138604, RMSE: 0.7505323, NOVELTY: 0.0049527, AVERAGE_POPULARITY: 0.7850826, DIVERSITY_MEAN_INTER_LIST: 0.5324335, DIVERSITY_HERFINDAHL: 0.9530312, COVERAGE_ITEM: 0.0035145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3302306, SHANNON_ENTROPY: 4.7997428, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 899, 'shrink': 1173, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6680818934787678, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0447100, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0097125, MRR: 0.0291374, NDCG: 0.0179193, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0291374, RMSE: 4.3989511, NOVELTY: 0.0065801, AVERAGE_POPULARITY: 0.1024806, DIVERSITY_MEAN_INTER_LIST: 0.9037259, DIVERSITY_HERFINDAHL: 0.9900125, COVERAGE_ITEM: 0.0263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3536822, SHANNON_ENTROPY: 7.6441180, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 861, 'shrink': 1287, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7074933524589484, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0389553, PRECISION: 0.0075697, PRECISION_RECALL_MIN_DEN: 0.0252324, RECALL: 0.0252324, MAP: 0.0064293, MRR: 0.0192879, NDCG: 0.0151843, F1: 0.0116457, HIT_RATE: 0.0756972, ARHR: 0.0192879, RMSE: 0.8991463, NOVELTY: 0.0050208, AVERAGE_POPULARITY: 0.7272978, DIVERSITY_MEAN_INTER_LIST: 0.6383841, DIVERSITY_HERFINDAHL: 0.9635841, COVERAGE_ITEM: 0.0046499, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3372441, SHANNON_ENTROPY: 5.2550840, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 601, 'shrink': 1055, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.811047665895571, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0185923, PRECISION: 0.0031873, PRECISION_RECALL_MIN_DEN: 0.0106242, RECALL: 0.0106242, MAP: 0.0037016, MRR: 0.0111048, NDCG: 0.0074701, F1: 0.0049035, HIT_RATE: 0.0318725, ARHR: 0.0111048, RMSE: 0.5467664, NOVELTY: 0.0045213, AVERAGE_POPULARITY: 0.0779100, DIVERSITY_MEAN_INTER_LIST: 0.9943968, DIVERSITY_HERFINDAHL: 0.9990435, COVERAGE_ITEM: 0.0958097, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7466104, SHANNON_ENTROPY: 10.5126785, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 396, 'shrink': 90, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.23970329894931292, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0234617, PRECISION: 0.0055777, PRECISION_RECALL_MIN_DEN: 0.0185923, RECALL: 0.0185923, MAP: 0.0034471, MRR: 0.0103412, NDCG: 0.0096993, F1: 0.0085811, HIT_RATE: 0.0557769, ARHR: 0.0103412, RMSE: 0.9793368, NOVELTY: 0.0057216, AVERAGE_POPULARITY: 0.2204573, DIVERSITY_MEAN_INTER_LIST: 0.9704223, DIVERSITY_HERFINDAHL: 0.9966556, COVERAGE_ITEM: 0.0854285, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6525992, SHANNON_ENTROPY: 9.8437958, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 700, 'shrink': 399, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7642032269800711, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0323152, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0048873, MRR: 0.0146620, NDCG: 0.0118182, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0146620, RMSE: 0.7988736, NOVELTY: 0.0049750, AVERAGE_POPULARITY: 0.7669880, DIVERSITY_MEAN_INTER_LIST: 0.5713243, DIVERSITY_HERFINDAHL: 0.9569048, COVERAGE_ITEM: 0.0042714, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3090239, SHANNON_ENTROPY: 4.9914367, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 899, 'shrink': 235, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8452136404265869, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0004427, PRECISION: 0.0003984, PRECISION_RECALL_MIN_DEN: 0.0013280, RECALL: 0.0013280, MAP: 0.0001476, MRR: 0.0004427, NDCG: 0.0005628, F1: 0.0006129, HIT_RATE: 0.0039841, ARHR: 0.0004427, RMSE: 1.5612536, NOVELTY: 0.0021408, AVERAGE_POPULARITY: 0.1311738, DIVERSITY_MEAN_INTER_LIST: 0.9814470, DIVERSITY_HERFINDAHL: 0.9977537, COVERAGE_ITEM: 0.0720195, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6133659, SHANNON_ENTROPY: 9.8014669, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 12, 'shrink': 680, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8349035979285175, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0376273, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0074733, MRR: 0.0224198, NDCG: 0.0154252, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0224198, RMSE: 1.0336234, NOVELTY: 0.0066837, AVERAGE_POPULARITY: 0.0954458, DIVERSITY_MEAN_INTER_LIST: 0.9678821, DIVERSITY_HERFINDAHL: 0.9964026, COVERAGE_ITEM: 0.0522844, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5052575, SHANNON_ENTROPY: 9.1174828, 
