SearchBayesianSkopt: New best config found. Config 0: {'topK': 984, 'shrink': 10, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0234617, PRECISION: 0.0043825, PRECISION_RECALL_MIN_DEN: 0.0146082, RECALL: 0.0146082, MAP: 0.0043082, MRR: 0.0129245, NDCG: 0.0094059, F1: 0.0067423, HIT_RATE: 0.0438247, ARHR: 0.0129245, RMSE: 2879.8547335, NOVELTY: 0.0049188, AVERAGE_POPULARITY: 0.8153774, DIVERSITY_MEAN_INTER_LIST: 0.4550056, DIVERSITY_HERFINDAHL: 0.9453193, COVERAGE_ITEM: 0.0023790, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3946879, SHANNON_ENTROPY: 4.4470816, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 63, 'shrink': 460, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0509075, PRECISION: 0.0087649, PRECISION_RECALL_MIN_DEN: 0.0292165, RECALL: 0.0292165, MAP: 0.0084999, MRR: 0.0254996, NDCG: 0.0187980, F1: 0.0134845, HIT_RATE: 0.0876494, ARHR: 0.0254996, RMSE: 4.8345107, NOVELTY: 0.0050539, AVERAGE_POPULARITY: 0.7108743, DIVERSITY_MEAN_INTER_LIST: 0.7562837, DIVERSITY_HERFINDAHL: 0.9753271, COVERAGE_ITEM: 0.0087591, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2896390, SHANNON_ENTROPY: 5.9302489, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 837, 'shrink': 1356, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0252324, PRECISION: 0.0051793, PRECISION_RECALL_MIN_DEN: 0.0172643, RECALL: 0.0172643, MAP: 0.0046101, MRR: 0.0138304, NDCG: 0.0105575, F1: 0.0079681, HIT_RATE: 0.0517928, ARHR: 0.0138304, RMSE: 0.7640374, NOVELTY: 0.0049230, AVERAGE_POPULARITY: 0.8111686, DIVERSITY_MEAN_INTER_LIST: 0.4514263, DIVERSITY_HERFINDAHL: 0.9449628, COVERAGE_ITEM: 0.0024872, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3774688, SHANNON_ENTROPY: 4.4489137, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 211, 'shrink': 210, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385126, PRECISION: 0.0079681, PRECISION_RECALL_MIN_DEN: 0.0265604, RECALL: 0.0265604, MAP: 0.0067613, MRR: 0.0202839, NDCG: 0.0158984, F1: 0.0122587, HIT_RATE: 0.0796813, ARHR: 0.0202839, RMSE: 0.7552185, NOVELTY: 0.0050358, AVERAGE_POPULARITY: 0.3915539, DIVERSITY_MEAN_INTER_LIST: 0.9239394, DIVERSITY_HERFINDAHL: 0.9920258, COVERAGE_ITEM: 0.0533117, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4411170, SHANNON_ENTROPY: 8.5339366, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 193, 'shrink': 1123, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0597610, PRECISION: 0.0123506, PRECISION_RECALL_MIN_DEN: 0.0411687, RECALL: 0.0411687, MAP: 0.0109082, MRR: 0.0327247, NDCG: 0.0250904, F1: 0.0190009, HIT_RATE: 0.1235060, ARHR: 0.0327247, RMSE: 0.7403460, NOVELTY: 0.0053653, AVERAGE_POPULARITY: 0.5592499, DIVERSITY_MEAN_INTER_LIST: 0.8744446, DIVERSITY_HERFINDAHL: 0.9870961, COVERAGE_ITEM: 0.0222222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3118922, SHANNON_ENTROPY: 7.2209968, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 501, 'shrink': 1161, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0274458, PRECISION: 0.0055777, PRECISION_RECALL_MIN_DEN: 0.0185923, RECALL: 0.0185923, MAP: 0.0051993, MRR: 0.0155979, NDCG: 0.0116344, F1: 0.0085811, HIT_RATE: 0.0557769, ARHR: 0.0155979, RMSE: 0.8955906, NOVELTY: 0.0049281, AVERAGE_POPULARITY: 0.8069804, DIVERSITY_MEAN_INTER_LIST: 0.4724303, DIVERSITY_HERFINDAHL: 0.9470548, COVERAGE_ITEM: 0.0025953, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3775592, SHANNON_ENTROPY: 4.5259131, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 186, 'shrink': 1439, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0376273, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0064182, MRR: 0.0192547, NDCG: 0.0143268, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0192547, RMSE: 0.9464355, NOVELTY: 0.0049709, AVERAGE_POPULARITY: 0.7714341, DIVERSITY_MEAN_INTER_LIST: 0.6092526, DIVERSITY_HERFINDAHL: 0.9606825, COVERAGE_ITEM: 0.0049743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2875637, SHANNON_ENTROPY: 5.1132739, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 265, 'shrink': 469, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0314298, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0057063, MRR: 0.0171188, NDCG: 0.0126543, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0171188, RMSE: 42.0061109, NOVELTY: 0.0049456, AVERAGE_POPULARITY: 0.7925529, DIVERSITY_MEAN_INTER_LIST: 0.5624956, DIVERSITY_HERFINDAHL: 0.9560255, COVERAGE_ITEM: 0.0042174, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2925614, SHANNON_ENTROPY: 4.8788509, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 151, 'shrink': 871, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0464807, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0113103, MRR: 0.0339309, NDCG: 0.0188239, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0339309, RMSE: 0.8751400, NOVELTY: 0.0064765, AVERAGE_POPULARITY: 0.0329981, DIVERSITY_MEAN_INTER_LIST: 0.9970327, DIVERSITY_HERFINDAHL: 0.9993060, COVERAGE_ITEM: 0.1049473, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.8040202, SHANNON_ENTROPY: 10.7526011, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 426, 'shrink': 1345, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0292165, PRECISION: 0.0055777, PRECISION_RECALL_MIN_DEN: 0.0185923, RECALL: 0.0185923, MAP: 0.0053948, MRR: 0.0161845, NDCG: 0.0118826, F1: 0.0085811, HIT_RATE: 0.0557769, ARHR: 0.0161845, RMSE: 0.9072024, NOVELTY: 0.0049335, AVERAGE_POPULARITY: 0.8020557, DIVERSITY_MEAN_INTER_LIST: 0.5033562, DIVERSITY_HERFINDAHL: 0.9501351, COVERAGE_ITEM: 0.0028656, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3654714, SHANNON_ENTROPY: 4.6357140, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 535, 'shrink': 555, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0252324, PRECISION: 0.0051793, PRECISION_RECALL_MIN_DEN: 0.0172643, RECALL: 0.0172643, MAP: 0.0045848, MRR: 0.0137545, NDCG: 0.0105415, F1: 0.0079681, HIT_RATE: 0.0517928, ARHR: 0.0137545, RMSE: 0.8341927, NOVELTY: 0.0049523, AVERAGE_POPULARITY: 0.7857038, DIVERSITY_MEAN_INTER_LIST: 0.5528988, DIVERSITY_HERFINDAHL: 0.9550696, COVERAGE_ITEM: 0.0039470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3091849, SHANNON_ENTROPY: 4.8764140, 
