SearchBayesianSkopt: New best config found. Config 0: {'topK': 916, 'shrink': 1029, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0274458, PRECISION: 0.0055777, PRECISION_RECALL_MIN_DEN: 0.0185923, RECALL: 0.0185923, MAP: 0.0048984, MRR: 0.0146952, NDCG: 0.0113029, F1: 0.0085811, HIT_RATE: 0.0557769, ARHR: 0.0146952, RMSE: 0.9060076, NOVELTY: 0.0049445, AVERAGE_POPULARITY: 0.7922592, DIVERSITY_MEAN_INTER_LIST: 0.5027793, DIVERSITY_HERFINDAHL: 0.9500776, COVERAGE_ITEM: 0.0031360, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3430346, SHANNON_ENTROPY: 4.6819374, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 324, 'shrink': 348, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0438247, PRECISION: 0.0075697, PRECISION_RECALL_MIN_DEN: 0.0252324, RECALL: 0.0252324, MAP: 0.0076688, MRR: 0.0230064, NDCG: 0.0165852, F1: 0.0116457, HIT_RATE: 0.0756972, ARHR: 0.0230064, RMSE: 0.8735484, NOVELTY: 0.0050264, AVERAGE_POPULARITY: 0.7273674, DIVERSITY_MEAN_INTER_LIST: 0.6873084, DIVERSITY_HERFINDAHL: 0.9684570, COVERAGE_ITEM: 0.0067586, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2860115, SHANNON_ENTROPY: 5.5451341, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 839, 'shrink': 1151, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0283311, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0051846, MRR: 0.0155537, NDCG: 0.0120311, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0155537, RMSE: 0.9143666, NOVELTY: 0.0049452, AVERAGE_POPULARITY: 0.7917064, DIVERSITY_MEAN_INTER_LIST: 0.5060016, DIVERSITY_HERFINDAHL: 0.9503986, COVERAGE_ITEM: 0.0030819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3514219, SHANNON_ENTROPY: 4.6922829, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 117, 'shrink': 1464, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0416113, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0082021, MRR: 0.0246063, NDCG: 0.0163071, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0246063, RMSE: 0.9621235, NOVELTY: 0.0050199, AVERAGE_POPULARITY: 0.7327436, DIVERSITY_MEAN_INTER_LIST: 0.7092717, DIVERSITY_HERFINDAHL: 0.9706446, COVERAGE_ITEM: 0.0071371, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2842704, SHANNON_ENTROPY: 5.6212729, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 918, 'shrink': 836, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0287738, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0051092, MRR: 0.0153276, NDCG: 0.0119512, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0153276, RMSE: 0.8922663, NOVELTY: 0.0049496, AVERAGE_POPULARITY: 0.7877396, DIVERSITY_MEAN_INTER_LIST: 0.5149227, DIVERSITY_HERFINDAHL: 0.9512871, COVERAGE_ITEM: 0.0031901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3485525, SHANNON_ENTROPY: 4.7341962, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 564, 'shrink': 1215, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0309872, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0056657, MRR: 0.0169971, NDCG: 0.0126005, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0169971, RMSE: 0.9248379, NOVELTY: 0.0049509, AVERAGE_POPULARITY: 0.7867359, DIVERSITY_MEAN_INTER_LIST: 0.5323219, DIVERSITY_HERFINDAHL: 0.9530201, COVERAGE_ITEM: 0.0032982, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3500964, SHANNON_ENTROPY: 4.7940973, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 180, 'shrink': 672, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0513502, PRECISION: 0.0075697, PRECISION_RECALL_MIN_DEN: 0.0252324, RECALL: 0.0252324, MAP: 0.0084155, MRR: 0.0252466, NDCG: 0.0175505, F1: 0.0116457, HIT_RATE: 0.0756972, ARHR: 0.0252466, RMSE: 0.9263584, NOVELTY: 0.0050231, AVERAGE_POPULARITY: 0.7307370, DIVERSITY_MEAN_INTER_LIST: 0.7000414, DIVERSITY_HERFINDAHL: 0.9697252, COVERAGE_ITEM: 0.0073533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2754413, SHANNON_ENTROPY: 5.6085598, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 20, 'shrink': 980, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0606463, PRECISION: 0.0091633, PRECISION_RECALL_MIN_DEN: 0.0305445, RECALL: 0.0305445, MAP: 0.0103860, MRR: 0.0311579, NDCG: 0.0214030, F1: 0.0140975, HIT_RATE: 0.0916335, ARHR: 0.0311579, RMSE: 0.9811454, NOVELTY: 0.0052519, AVERAGE_POPULARITY: 0.5781201, DIVERSITY_MEAN_INTER_LIST: 0.8912000, DIVERSITY_HERFINDAHL: 0.9887649, COVERAGE_ITEM: 0.0151392, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3543605, SHANNON_ENTROPY: 7.0300991, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 917, 'shrink': 912, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0283311, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0050776, MRR: 0.0152327, NDCG: 0.0119084, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0152327, RMSE: 0.8981427, NOVELTY: 0.0049476, AVERAGE_POPULARITY: 0.7895115, DIVERSITY_MEAN_INTER_LIST: 0.5106486, DIVERSITY_HERFINDAHL: 0.9508614, COVERAGE_ITEM: 0.0031901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3444090, SHANNON_ENTROPY: 4.7163266, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 615, 'shrink': 907, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0296591, PRECISION: 0.0059761, PRECISION_RECALL_MIN_DEN: 0.0199203, RECALL: 0.0199203, MAP: 0.0053542, MRR: 0.0160627, NDCG: 0.0122403, F1: 0.0091940, HIT_RATE: 0.0597610, ARHR: 0.0160627, RMSE: 0.9064134, NOVELTY: 0.0049540, AVERAGE_POPULARITY: 0.7842215, DIVERSITY_MEAN_INTER_LIST: 0.5421737, DIVERSITY_HERFINDAHL: 0.9540014, COVERAGE_ITEM: 0.0036226, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3283103, SHANNON_ENTROPY: 4.8388880, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 311, 'shrink': 988, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0398406, PRECISION: 0.0075697, PRECISION_RECALL_MIN_DEN: 0.0252324, RECALL: 0.0252324, MAP: 0.0079233, MRR: 0.0237700, NDCG: 0.0167496, F1: 0.0116457, HIT_RATE: 0.0756972, ARHR: 0.0237700, RMSE: 0.9274651, NOVELTY: 0.0049762, AVERAGE_POPULARITY: 0.7661335, DIVERSITY_MEAN_INTER_LIST: 0.6096733, DIVERSITY_HERFINDAHL: 0.9607244, COVERAGE_ITEM: 0.0045418, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3167753, SHANNON_ENTROPY: 5.1244126, 
