SearchBayesianSkopt: New best config found. Config 0: {'topK': 295, 'shrink': 1005, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6345770998124147, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0171848, PRECISION: 0.0028405, PRECISION_RECALL_MIN_DEN: 0.0094684, RECALL: 0.0094684, MAP: 0.0038849, MRR: 0.0115539, NDCG: 0.0072682, F1: 0.0043700, HIT_RATE: 0.0284053, ARHR: 0.0116042, RMSE: 0.8745202, NOVELTY: 0.0045080, AVERAGE_POPULARITY: 0.0059398, DIVERSITY_MEAN_INTER_LIST: 0.9987050, DIVERSITY_HERFINDAHL: 0.9998482, COVERAGE_ITEM: 0.6360638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5682127, SHANNON_ENTROPY: 13.0686926, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 382, 'shrink': 1169, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.335494450387025, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0242551, PRECISION: 0.0039365, PRECISION_RECALL_MIN_DEN: 0.0131216, RECALL: 0.0131216, MAP: 0.0057390, MRR: 0.0170778, NDCG: 0.0104521, F1: 0.0060561, HIT_RATE: 0.0393648, ARHR: 0.0171474, RMSE: 0.8799338, NOVELTY: 0.0056813, AVERAGE_POPULARITY: 0.0108415, DIVERSITY_MEAN_INTER_LIST: 0.9990298, DIVERSITY_HERFINDAHL: 0.9998806, COVERAGE_ITEM: 0.7465802, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6069474, SHANNON_ENTROPY: 13.3755909, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 64, 'shrink': 1259, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2666135875145779, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0664092, PRECISION: 0.0106017, PRECISION_RECALL_MIN_DEN: 0.0353389, RECALL: 0.0353389, MAP: 0.0161525, MRR: 0.0458914, NDCG: 0.0285738, F1: 0.0163102, HIT_RATE: 0.1060166, ARHR: 0.0471088, RMSE: 0.8957112, NOVELTY: 0.0065745, AVERAGE_POPULARITY: 0.1290814, DIVERSITY_MEAN_INTER_LIST: 0.9854283, DIVERSITY_HERFINDAHL: 0.9985208, COVERAGE_ITEM: 0.2095161, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2956932, SHANNON_ENTROPY: 10.4365632, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 804, 'shrink': 63, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3306838786118172, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0829359, PRECISION: 0.0140237, PRECISION_RECALL_MIN_DEN: 0.0467457, RECALL: 0.0467457, MAP: 0.0200166, MRR: 0.0564348, NDCG: 0.0362547, F1: 0.0215749, HIT_RATE: 0.1402371, ARHR: 0.0581872, RMSE: 0.8505065, NOVELTY: 0.0053610, AVERAGE_POPULARITY: 0.5057173, DIVERSITY_MEAN_INTER_LIST: 0.8920369, DIVERSITY_HERFINDAHL: 0.9891837, COVERAGE_ITEM: 0.3644769, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2006599, SHANNON_ENTROPY: 8.9059427, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 346, 'shrink': 222, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0785803502902955, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0137429, PRECISION: 0.0021919, PRECISION_RECALL_MIN_DEN: 0.0073063, RECALL: 0.0073063, MAP: 0.0033258, MRR: 0.0099773, NDCG: 0.0059736, F1: 0.0033722, HIT_RATE: 0.0219190, ARHR: 0.0099773, RMSE: 0.6423796, NOVELTY: 0.0046444, AVERAGE_POPULARITY: 0.0044158, DIVERSITY_MEAN_INTER_LIST: 0.9982213, DIVERSITY_HERFINDAHL: 0.9997998, COVERAGE_ITEM: 0.5868072, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5291696, SHANNON_ENTROPY: 12.8345546, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 765, 'shrink': 1498, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.19899219207126745, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0392033, PRECISION: 0.0071349, PRECISION_RECALL_MIN_DEN: 0.0237829, RECALL: 0.0237829, MAP: 0.0083931, MRR: 0.0242685, NDCG: 0.0166525, F1: 0.0109767, HIT_RATE: 0.0713487, ARHR: 0.0247239, RMSE: 0.6228015, NOVELTY: 0.0048994, AVERAGE_POPULARITY: 0.8678220, DIVERSITY_MEAN_INTER_LIST: 0.3875774, DIVERSITY_HERFINDAHL: 0.9387491, COVERAGE_ITEM: 0.0068667, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1288554, SHANNON_ENTROPY: 4.3427119, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 310, 'shrink': 906, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8784933670193829, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0769707, PRECISION: 0.0125699, PRECISION_RECALL_MIN_DEN: 0.0418996, RECALL: 0.0418996, MAP: 0.0185906, MRR: 0.0523516, NDCG: 0.0332090, F1: 0.0193383, HIT_RATE: 0.1256989, ARHR: 0.0540021, RMSE: 0.9490069, NOVELTY: 0.0054117, AVERAGE_POPULARITY: 0.1654860, DIVERSITY_MEAN_INTER_LIST: 0.9913608, DIVERSITY_HERFINDAHL: 0.9991139, COVERAGE_ITEM: 0.5714517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3969267, SHANNON_ENTROPY: 11.9770450, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 765, 'shrink': 824, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.858788604505315, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0962026, PRECISION: 0.0148513, PRECISION_RECALL_MIN_DEN: 0.0495042, RECALL: 0.0495042, MAP: 0.0230539, MRR: 0.0648719, NDCG: 0.0404594, F1: 0.0228481, HIT_RATE: 0.1485126, ARHR: 0.0669702, RMSE: 0.6764351, NOVELTY: 0.0063401, AVERAGE_POPULARITY: 0.1971306, DIVERSITY_MEAN_INTER_LIST: 0.9808676, DIVERSITY_HERFINDAHL: 0.9980648, COVERAGE_ITEM: 0.1919978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2584598, SHANNON_ENTROPY: 10.0759419, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 455, 'shrink': 1272, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4034070237354702, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0771506, PRECISION: 0.0133527, PRECISION_RECALL_MIN_DEN: 0.0445091, RECALL: 0.0445091, MAP: 0.0177775, MRR: 0.0506785, NDCG: 0.0332709, F1: 0.0205426, HIT_RATE: 0.1335272, ARHR: 0.0519869, RMSE: 0.7355576, NOVELTY: 0.0063308, AVERAGE_POPULARITY: 0.2754176, DIVERSITY_MEAN_INTER_LIST: 0.9846264, DIVERSITY_HERFINDAHL: 0.9984406, COVERAGE_ITEM: 0.4454717, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3149548, SHANNON_ENTROPY: 11.1952864, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 157, 'shrink': 135, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12031956383915146, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0517952, PRECISION: 0.0091255, PRECISION_RECALL_MIN_DEN: 0.0304183, RECALL: 0.0304183, MAP: 0.0116877, MRR: 0.0335132, NDCG: 0.0222821, F1: 0.0140392, HIT_RATE: 0.0912548, ARHR: 0.0342882, RMSE: 2.6000696, NOVELTY: 0.0054662, AVERAGE_POPULARITY: 0.4809864, DIVERSITY_MEAN_INTER_LIST: 0.9593796, DIVERSITY_HERFINDAHL: 0.9959165, COVERAGE_ITEM: 0.0790484, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2175293, SHANNON_ENTROPY: 8.6752333, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 641, 'shrink': 296, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.05869910250252609, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0409941, PRECISION: 0.0076717, PRECISION_RECALL_MIN_DEN: 0.0255722, RECALL: 0.0255722, MAP: 0.0089426, MRR: 0.0260850, NDCG: 0.0178221, F1: 0.0118026, HIT_RATE: 0.0767166, ARHR: 0.0264565, RMSE: 1.2127412, NOVELTY: 0.0049410, AVERAGE_POPULARITY: 0.8276472, DIVERSITY_MEAN_INTER_LIST: 0.5991333, DIVERSITY_HERFINDAHL: 0.9598999, COVERAGE_ITEM: 0.0115166, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1217025, SHANNON_ENTROPY: 5.0641035, 
