SearchBayesianSkopt: New best config found. Config 0: {'topK': 295, 'shrink': 1005, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0698982, PRECISION: 0.0117871, PRECISION_RECALL_MIN_DEN: 0.0392902, RECALL: 0.0392902, MAP: 0.0168864, MRR: 0.0479258, NDCG: 0.0305970, F1: 0.0181340, HIT_RATE: 0.1178707, ARHR: 0.0492645, RMSE: 0.7706016, NOVELTY: 0.0068264, AVERAGE_POPULARITY: 0.1227862, DIVERSITY_MEAN_INTER_LIST: 0.9962441, DIVERSITY_HERFINDAHL: 0.9996021, COVERAGE_ITEM: 0.6306569, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4535270, SHANNON_ENTROPY: 12.5451547, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 430, 'shrink': 568, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0420565, PRECISION: 0.0073138, PRECISION_RECALL_MIN_DEN: 0.0243793, RECALL: 0.0243793, MAP: 0.0091985, MRR: 0.0270297, NDCG: 0.0177904, F1: 0.0112520, HIT_RATE: 0.0731380, ARHR: 0.0273126, RMSE: 1.1950004, NOVELTY: 0.0049032, AVERAGE_POPULARITY: 0.8640754, DIVERSITY_MEAN_INTER_LIST: 0.4060034, DIVERSITY_HERFINDAHL: 0.9405913, COVERAGE_ITEM: 0.0088132, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1067246, SHANNON_ENTROPY: 4.4276757, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 598, 'shrink': 898, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0637550, PRECISION: 0.0106911, PRECISION_RECALL_MIN_DEN: 0.0356371, RECALL: 0.0356371, MAP: 0.0157325, MRR: 0.0455136, NDCG: 0.0283087, F1: 0.0164479, HIT_RATE: 0.1069112, ARHR: 0.0463556, RMSE: 2.7803449, NOVELTY: 0.0049504, AVERAGE_POPULARITY: 0.8215669, DIVERSITY_MEAN_INTER_LIST: 0.5694654, DIVERSITY_HERFINDAHL: 0.9569338, COVERAGE_ITEM: 0.0131928, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1080111, SHANNON_ENTROPY: 5.0497129, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 635, 'shrink': 1305, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0394735, PRECISION: 0.0072467, PRECISION_RECALL_MIN_DEN: 0.0241557, RECALL: 0.0241557, MAP: 0.0082168, MRR: 0.0243510, NDCG: 0.0166748, F1: 0.0111488, HIT_RATE: 0.0724670, ARHR: 0.0245008, RMSE: 0.6265521, NOVELTY: 0.0049179, AVERAGE_POPULARITY: 0.8505039, DIVERSITY_MEAN_INTER_LIST: 0.4808589, DIVERSITY_HERFINDAHL: 0.9480751, COVERAGE_ITEM: 0.0116248, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0985862, SHANNON_ENTROPY: 4.7288667, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 101, 'shrink': 248, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0755439, PRECISION: 0.0124133, PRECISION_RECALL_MIN_DEN: 0.0413778, RECALL: 0.0413778, MAP: 0.0186285, MRR: 0.0519903, NDCG: 0.0329752, F1: 0.0190974, HIT_RATE: 0.1241333, ARHR: 0.0538708, RMSE: 0.9442387, NOVELTY: 0.0049380, AVERAGE_POPULARITY: 0.1361342, DIVERSITY_MEAN_INTER_LIST: 0.9931576, DIVERSITY_HERFINDAHL: 0.9992935, COVERAGE_ITEM: 0.5505812, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4273337, SHANNON_ENTROPY: 12.1341759, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 303, 'shrink': 212, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0841854, PRECISION: 0.0137777, PRECISION_RECALL_MIN_DEN: 0.0459256, RECALL: 0.0459256, MAP: 0.0203574, MRR: 0.0575696, NDCG: 0.0364161, F1: 0.0211964, HIT_RATE: 0.1377768, ARHR: 0.0592706, RMSE: 2.0559829, NOVELTY: 0.0064845, AVERAGE_POPULARITY: 0.1238870, DIVERSITY_MEAN_INTER_LIST: 0.9942184, DIVERSITY_HERFINDAHL: 0.9993996, COVERAGE_ITEM: 0.5748040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3901448, SHANNON_ENTROPY: 12.0921351, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 999, 'shrink': 833, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0422584, PRECISION: 0.0077164, PRECISION_RECALL_MIN_DEN: 0.0257213, RECALL: 0.0257213, MAP: 0.0095543, MRR: 0.0277441, NDCG: 0.0185213, F1: 0.0118714, HIT_RATE: 0.0771639, ARHR: 0.0282034, RMSE: 0.7386061, NOVELTY: 0.0049053, AVERAGE_POPULARITY: 0.8618077, DIVERSITY_MEAN_INTER_LIST: 0.4287049, DIVERSITY_HERFINDAHL: 0.9428609, COVERAGE_ITEM: 0.0063801, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1475135, SHANNON_ENTROPY: 4.4486726, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 310, 'shrink': 906, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0292627, PRECISION: 0.0047417, PRECISION_RECALL_MIN_DEN: 0.0158056, RECALL: 0.0158056, MAP: 0.0068008, MRR: 0.0201994, NDCG: 0.0124663, F1: 0.0072949, HIT_RATE: 0.0474167, ARHR: 0.0203009, RMSE: 0.8265695, NOVELTY: 0.0062909, AVERAGE_POPULARITY: 0.0137089, DIVERSITY_MEAN_INTER_LIST: 0.9990561, DIVERSITY_HERFINDAHL: 0.9998833, COVERAGE_ITEM: 0.7673966, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6115491, SHANNON_ENTROPY: 13.4195498, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 75, 'shrink': 1146, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0278710, PRECISION: 0.0043838, PRECISION_RECALL_MIN_DEN: 0.0146127, RECALL: 0.0146127, MAP: 0.0062738, MRR: 0.0186038, NDCG: 0.0115280, F1: 0.0067443, HIT_RATE: 0.0438381, ARHR: 0.0187126, RMSE: 0.9257617, NOVELTY: 0.0058772, AVERAGE_POPULARITY: 0.0109560, DIVERSITY_MEAN_INTER_LIST: 0.9989922, DIVERSITY_HERFINDAHL: 0.9998769, COVERAGE_ITEM: 0.7273858, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6037634, SHANNON_ENTROPY: 13.3326995, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 824, 'shrink': 12, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0392235, PRECISION: 0.0070007, PRECISION_RECALL_MIN_DEN: 0.0233356, RECALL: 0.0233356, MAP: 0.0085711, MRR: 0.0249512, NDCG: 0.0167294, F1: 0.0107703, HIT_RATE: 0.0700067, ARHR: 0.0253323, RMSE: 638.9332184, NOVELTY: 0.0048914, AVERAGE_POPULARITY: 0.8758192, DIVERSITY_MEAN_INTER_LIST: 0.3203781, DIVERSITY_HERFINDAHL: 0.9320306, COVERAGE_ITEM: 0.0052447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1499934, SHANNON_ENTROPY: 4.1361617, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 206, 'shrink': 1096, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0469414, PRECISION: 0.0081861, PRECISION_RECALL_MIN_DEN: 0.0272870, RECALL: 0.0272870, MAP: 0.0104323, MRR: 0.0300879, NDCG: 0.0199622, F1: 0.0125940, HIT_RATE: 0.0818609, ARHR: 0.0306924, RMSE: 2.2810309, NOVELTY: 0.0049857, AVERAGE_POPULARITY: 0.7927355, DIVERSITY_MEAN_INTER_LIST: 0.6797776, DIVERSITY_HERFINDAHL: 0.9679626, COVERAGE_ITEM: 0.0254123, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0872245, SHANNON_ENTROPY: 5.6174186, 
