SearchBayesianSkopt: New best config found. Config 0: {'topK': 453, 'shrink': 1395, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5655459092275437, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0628412, PRECISION: 0.0098580, PRECISION_RECALL_MIN_DEN: 0.0328600, RECALL: 0.0328600, MAP: 0.0149478, MRR: 0.0428288, NDCG: 0.0266013, F1: 0.0151662, HIT_RATE: 0.0985801, ARHR: 0.0438360, RMSE: 1.8477637, NOVELTY: 0.0063952, AVERAGE_POPULARITY: 0.1474035, DIVERSITY_MEAN_INTER_LIST: 0.9790137, DIVERSITY_HERFINDAHL: 0.9978854, COVERAGE_ITEM: 0.1639362, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2457403, SHANNON_ENTROPY: 9.8363869, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 821, 'shrink': 737, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3108888598419344, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0219327, PRECISION: 0.0035254, PRECISION_RECALL_MIN_DEN: 0.0117513, RECALL: 0.0117513, MAP: 0.0050413, MRR: 0.0143605, NDCG: 0.0091680, F1: 0.0054237, HIT_RATE: 0.0352538, ARHR: 0.0147422, RMSE: 0.7655193, NOVELTY: 0.0042868, AVERAGE_POPULARITY: 0.0131411, DIVERSITY_MEAN_INTER_LIST: 0.9988759, DIVERSITY_HERFINDAHL: 0.9998713, COVERAGE_ITEM: 0.7606380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5584318, SHANNON_ENTROPY: 13.3080474, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 722, 'shrink': 184, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2895391852727336, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0637978, PRECISION: 0.0108210, PRECISION_RECALL_MIN_DEN: 0.0360699, RECALL: 0.0360699, MAP: 0.0153848, MRR: 0.0435519, NDCG: 0.0279397, F1: 0.0166476, HIT_RATE: 0.1082096, ARHR: 0.0448246, RMSE: 0.8287997, NOVELTY: 0.0040503, AVERAGE_POPULARITY: 0.3640808, DIVERSITY_MEAN_INTER_LIST: 0.9455880, DIVERSITY_HERFINDAHL: 0.9945434, COVERAGE_ITEM: 0.4435793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2568691, SHANNON_ENTROPY: 10.1856634, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 906, 'shrink': 1111, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.299745961425748, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0551181, PRECISION: 0.0089277, PRECISION_RECALL_MIN_DEN: 0.0297590, RECALL: 0.0297590, MAP: 0.0133878, MRR: 0.0387787, NDCG: 0.0239530, F1: 0.0137349, HIT_RATE: 0.0892770, ARHR: 0.0394711, RMSE: 0.6100276, NOVELTY: 0.0050761, AVERAGE_POPULARITY: 0.7206227, DIVERSITY_MEAN_INTER_LIST: 0.7654682, DIVERSITY_HERFINDAHL: 0.9765343, COVERAGE_ITEM: 0.0188700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1340290, SHANNON_ENTROPY: 5.9391332, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 791, 'shrink': 709, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.47407848539966346, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0896419, PRECISION: 0.0144116, PRECISION_RECALL_MIN_DEN: 0.0480387, RECALL: 0.0480387, MAP: 0.0228582, MRR: 0.0636224, NDCG: 0.0395715, F1: 0.0221717, HIT_RATE: 0.1441162, ARHR: 0.0660752, RMSE: 0.8969749, NOVELTY: 0.0057380, AVERAGE_POPULARITY: 0.2810098, DIVERSITY_MEAN_INTER_LIST: 0.9809433, DIVERSITY_HERFINDAHL: 0.9980783, COVERAGE_ITEM: 0.5701000, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2828384, SHANNON_ENTROPY: 11.1109067, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 371, 'shrink': 1386, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4408503511354177, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0425502, PRECISION: 0.0079974, PRECISION_RECALL_MIN_DEN: 0.0266580, RECALL: 0.0266580, MAP: 0.0092291, MRR: 0.0269229, NDCG: 0.0184784, F1: 0.0123037, HIT_RATE: 0.0799739, ARHR: 0.0272914, RMSE: 0.7081247, NOVELTY: 0.0050349, AVERAGE_POPULARITY: 0.7699732, DIVERSITY_MEAN_INTER_LIST: 0.6813387, DIVERSITY_HERFINDAHL: 0.9681227, COVERAGE_ITEM: 0.0387672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0690003, SHANNON_ENTROPY: 5.7547721, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 256, 'shrink': 121, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6443653323134823, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0689333, PRECISION: 0.0113432, PRECISION_RECALL_MIN_DEN: 0.0378108, RECALL: 0.0378108, MAP: 0.0159423, MRR: 0.0459362, NDCG: 0.0292688, F1: 0.0174511, HIT_RATE: 0.1134323, ARHR: 0.0468816, RMSE: 0.7992010, NOVELTY: 0.0058117, AVERAGE_POPULARITY: 0.3458195, DIVERSITY_MEAN_INTER_LIST: 0.9805365, DIVERSITY_HERFINDAHL: 0.9980376, COVERAGE_ITEM: 0.1452825, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2409595, SHANNON_ENTROPY: 9.7151952, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 352, 'shrink': 1279, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5798524827734928, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0625997, PRECISION: 0.0099723, PRECISION_RECALL_MIN_DEN: 0.0332408, RECALL: 0.0332408, MAP: 0.0150401, MRR: 0.0433665, NDCG: 0.0268406, F1: 0.0153419, HIT_RATE: 0.0997225, ARHR: 0.0442433, RMSE: 1.9530348, NOVELTY: 0.0052066, AVERAGE_POPULARITY: 0.6214807, DIVERSITY_MEAN_INTER_LIST: 0.8581314, DIVERSITY_HERFINDAHL: 0.9857991, COVERAGE_ITEM: 0.0399027, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1205338, SHANNON_ENTROPY: 6.8130478, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 910, 'shrink': 272, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8498448380171049, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0615279, PRECISION: 0.0105435, PRECISION_RECALL_MIN_DEN: 0.0351450, RECALL: 0.0351450, MAP: 0.0144476, MRR: 0.0413759, NDCG: 0.0267329, F1: 0.0162208, HIT_RATE: 0.1054350, ARHR: 0.0423389, RMSE: 0.8273810, NOVELTY: 0.0041331, AVERAGE_POPULARITY: 0.3865720, DIVERSITY_MEAN_INTER_LIST: 0.9349792, DIVERSITY_HERFINDAHL: 0.9934827, COVERAGE_ITEM: 0.4336848, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2496903, SHANNON_ENTROPY: 9.9839661, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 189, 'shrink': 701, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4567363034232796, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0669555, PRECISION: 0.0110658, PRECISION_RECALL_MIN_DEN: 0.0368859, RECALL: 0.0368859, MAP: 0.0158455, MRR: 0.0454303, NDCG: 0.0288139, F1: 0.0170243, HIT_RATE: 0.1106577, ARHR: 0.0464834, RMSE: 0.6765417, NOVELTY: 0.0055724, AVERAGE_POPULARITY: 0.4112432, DIVERSITY_MEAN_INTER_LIST: 0.9538104, DIVERSITY_HERFINDAHL: 0.9953655, COVERAGE_ITEM: 0.0968911, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1711949, SHANNON_ENTROPY: 8.5798425, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 296, 'shrink': 729, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5857191426136373, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0518566, PRECISION: 0.0094173, PRECISION_RECALL_MIN_DEN: 0.0313911, RECALL: 0.0313911, MAP: 0.0117260, MRR: 0.0341620, NDCG: 0.0226819, F1: 0.0144882, HIT_RATE: 0.0941733, ARHR: 0.0346583, RMSE: 3.0578480, NOVELTY: 0.0050233, AVERAGE_POPULARITY: 0.7771982, DIVERSITY_MEAN_INTER_LIST: 0.6645425, DIVERSITY_HERFINDAHL: 0.9664434, COVERAGE_ITEM: 0.0329819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0712455, SHANNON_ENTROPY: 5.6251636, 
