SearchBayesianSkopt: New best config found. Config 0: {'topK': 453, 'shrink': 1395, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0928816, PRECISION: 0.0152440, PRECISION_RECALL_MIN_DEN: 0.0508133, RECALL: 0.0508133, MAP: 0.0229857, MRR: 0.0655711, NDCG: 0.0408443, F1: 0.0234523, HIT_RATE: 0.1524400, ARHR: 0.0672355, RMSE: 1.1468606, NOVELTY: 0.0052909, AVERAGE_POPULARITY: 0.6102231, DIVERSITY_MEAN_INTER_LIST: 0.8752067, DIVERSITY_HERFINDAHL: 0.9875064, COVERAGE_ITEM: 0.0896999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1087674, SHANNON_ENTROPY: 7.4754450, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 731, 'shrink': 1230, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0370571, PRECISION: 0.0070018, PRECISION_RECALL_MIN_DEN: 0.0233393, RECALL: 0.0233393, MAP: 0.0079531, MRR: 0.0227899, NDCG: 0.0159963, F1: 0.0107720, HIT_RATE: 0.0700180, ARHR: 0.0233246, RMSE: 0.5970386, NOVELTY: 0.0049946, AVERAGE_POPULARITY: 0.7990121, DIVERSITY_MEAN_INTER_LIST: 0.6132525, DIVERSITY_HERFINDAHL: 0.9613152, COVERAGE_ITEM: 0.0240065, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0747865, SHANNON_ENTROPY: 5.3207868, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 495, 'shrink': 794, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0240556, PRECISION: 0.0039171, PRECISION_RECALL_MIN_DEN: 0.0130570, RECALL: 0.0130570, MAP: 0.0058694, MRR: 0.0166358, NDCG: 0.0104503, F1: 0.0060263, HIT_RATE: 0.0391709, ARHR: 0.0171220, RMSE: 0.8391861, NOVELTY: 0.0049574, AVERAGE_POPULARITY: 0.0122548, DIVERSITY_MEAN_INTER_LIST: 0.9990477, DIVERSITY_HERFINDAHL: 0.9998885, COVERAGE_ITEM: 0.8122736, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5914293, SHANNON_ENTROPY: 13.4723953, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 647, 'shrink': 822, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0673318, PRECISION: 0.0109189, PRECISION_RECALL_MIN_DEN: 0.0363963, RECALL: 0.0363963, MAP: 0.0165617, MRR: 0.0479453, NDCG: 0.0294686, F1: 0.0167983, HIT_RATE: 0.1091888, ARHR: 0.0488152, RMSE: 2.3835924, NOVELTY: 0.0049860, AVERAGE_POPULARITY: 0.8050555, DIVERSITY_MEAN_INTER_LIST: 0.5722975, DIVERSITY_HERFINDAHL: 0.9572204, COVERAGE_ITEM: 0.0172479, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0873462, SHANNON_ENTROPY: 5.1079656, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 580, 'shrink': 975, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0732382, PRECISION: 0.0123715, PRECISION_RECALL_MIN_DEN: 0.0412382, RECALL: 0.0412382, MAP: 0.0179190, MRR: 0.0504111, NDCG: 0.0322333, F1: 0.0190330, HIT_RATE: 0.1237147, ARHR: 0.0520542, RMSE: 0.6727927, NOVELTY: 0.0063360, AVERAGE_POPULARITY: 0.2504096, DIVERSITY_MEAN_INTER_LIST: 0.9874513, DIVERSITY_HERFINDAHL: 0.9987290, COVERAGE_ITEM: 0.5593944, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3211099, SHANNON_ENTROPY: 11.5703442, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 88, 'shrink': 393, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0753236, PRECISION: 0.0126653, PRECISION_RECALL_MIN_DEN: 0.0422175, RECALL: 0.0422175, MAP: 0.0177931, MRR: 0.0509339, NDCG: 0.0325853, F1: 0.0194850, HIT_RATE: 0.1266525, ARHR: 0.0521430, RMSE: 0.7511095, NOVELTY: 0.0054016, AVERAGE_POPULARITY: 0.5407532, DIVERSITY_MEAN_INTER_LIST: 0.9253201, DIVERSITY_HERFINDAHL: 0.9925169, COVERAGE_ITEM: 0.1165180, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1258274, SHANNON_ENTROPY: 8.1797549, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 924, 'shrink': 392, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0368485, PRECISION: 0.0071487, PRECISION_RECALL_MIN_DEN: 0.0238290, RECALL: 0.0238290, MAP: 0.0079116, MRR: 0.0232063, NDCG: 0.0161615, F1: 0.0109980, HIT_RATE: 0.0714869, ARHR: 0.0234705, RMSE: 1.1993287, NOVELTY: 0.0050291, AVERAGE_POPULARITY: 0.7706955, DIVERSITY_MEAN_INTER_LIST: 0.6954717, DIVERSITY_HERFINDAHL: 0.9695358, COVERAGE_ITEM: 0.0302244, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0789968, SHANNON_ENTROPY: 5.7200516, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 256, 'shrink': 121, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0471875, PRECISION: 0.0081116, PRECISION_RECALL_MIN_DEN: 0.0270388, RECALL: 0.0270388, MAP: 0.0106759, MRR: 0.0312744, NDCG: 0.0202164, F1: 0.0124794, HIT_RATE: 0.0811164, ARHR: 0.0316511, RMSE: 3.9393413, NOVELTY: 0.0049708, AVERAGE_POPULARITY: 0.8237270, DIVERSITY_MEAN_INTER_LIST: 0.5064285, DIVERSITY_HERFINDAHL: 0.9506346, COVERAGE_ITEM: 0.0327656, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0463571, SHANNON_ENTROPY: 4.8834180, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 483, 'shrink': 523, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0967425, PRECISION: 0.0158969, PRECISION_RECALL_MIN_DEN: 0.0529895, RECALL: 0.0529895, MAP: 0.0243147, MRR: 0.0688373, NDCG: 0.0428588, F1: 0.0244567, HIT_RATE: 0.1589685, ARHR: 0.0708403, RMSE: 1.2656136, NOVELTY: 0.0054148, AVERAGE_POPULARITY: 0.5638198, DIVERSITY_MEAN_INTER_LIST: 0.8968395, DIVERSITY_HERFINDAHL: 0.9896693, COVERAGE_ITEM: 0.1639362, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1114250, SHANNON_ENTROPY: 8.0238974, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 256, 'shrink': 1088, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0494362, PRECISION: 0.0085523, PRECISION_RECALL_MIN_DEN: 0.0285077, RECALL: 0.0285077, MAP: 0.0111410, MRR: 0.0325895, NDCG: 0.0211788, F1: 0.0131574, HIT_RATE: 0.0855231, ARHR: 0.0330063, RMSE: 0.6934299, NOVELTY: 0.0050087, AVERAGE_POPULARITY: 0.7910661, DIVERSITY_MEAN_INTER_LIST: 0.6279636, DIVERSITY_HERFINDAHL: 0.9627861, COVERAGE_ITEM: 0.0359557, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0594306, SHANNON_ENTROPY: 5.4279111, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 925, 'shrink': 746, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0902103, PRECISION: 0.0148197, PRECISION_RECALL_MIN_DEN: 0.0493988, RECALL: 0.0493988, MAP: 0.0226077, MRR: 0.0632197, NDCG: 0.0397883, F1: 0.0227995, HIT_RATE: 0.1481965, ARHR: 0.0654976, RMSE: 0.8898255, NOVELTY: 0.0057925, AVERAGE_POPULARITY: 0.2862630, DIVERSITY_MEAN_INTER_LIST: 0.9799814, DIVERSITY_HERFINDAHL: 0.9979821, COVERAGE_ITEM: 0.5574480, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2759044, SHANNON_ENTROPY: 11.0413746, 
