SearchBayesianSkopt: New best config found. Config 0: {'topK': 817, 'shrink': 649, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2259788, PRECISION: 0.0011233, PRECISION_RECALL_MIN_DEN: 0.0037442, RECALL: 0.0037442, MAP: 0.0013749, MRR: 0.0039876, NDCG: 0.0026802, F1: 0.0017281, HIT_RATE: 0.0112327, ARHR: 0.0040562, RMSE: nan, NOVELTY: 0.0045110, AVERAGE_POPULARITY: 0.0372504, DIVERSITY_MEAN_INTER_LIST: 0.9990695, DIVERSITY_HERFINDAHL: 0.9998393, COVERAGE_ITEM: 0.8702893, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4397658, SHANNON_ENTROPY: 13.1786914, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 514, 'shrink': 87, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2213066, PRECISION: 0.0003375, PRECISION_RECALL_MIN_DEN: 0.0011249, RECALL: 0.0011249, MAP: 0.0003269, MRR: 0.0009686, NDCG: 0.0007153, F1: 0.0005192, HIT_RATE: 0.0033746, ARHR: 0.0009746, RMSE: nan, NOVELTY: 0.0046064, AVERAGE_POPULARITY: 0.0357490, DIVERSITY_MEAN_INTER_LIST: 0.9989907, DIVERSITY_HERFINDAHL: 0.9998263, COVERAGE_ITEM: 0.9207894, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4631518, SHANNON_ENTROPY: 13.2761156, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 898, 'shrink': 263, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2214402, PRECISION: 0.0003423, PRECISION_RECALL_MIN_DEN: 0.0011409, RECALL: 0.0011409, MAP: 0.0003297, MRR: 0.0009892, NDCG: 0.0007268, F1: 0.0005266, HIT_RATE: 0.0034228, ARHR: 0.0009892, RMSE: nan, NOVELTY: 0.0046325, AVERAGE_POPULARITY: 0.0340753, DIVERSITY_MEAN_INTER_LIST: 0.9991742, DIVERSITY_HERFINDAHL: 0.9998565, COVERAGE_ITEM: 0.9033793, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4893278, SHANNON_ENTROPY: 13.3632637, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 334, 'shrink': 534, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2252172, PRECISION: 0.0010895, PRECISION_RECALL_MIN_DEN: 0.0036317, RECALL: 0.0036317, MAP: 0.0011904, MRR: 0.0034404, NDCG: 0.0024395, F1: 0.0016762, HIT_RATE: 0.0108952, ARHR: 0.0035057, RMSE: nan, NOVELTY: 0.0044625, AVERAGE_POPULARITY: 0.0395385, DIVERSITY_MEAN_INTER_LIST: 0.9989337, DIVERSITY_HERFINDAHL: 0.9998170, COVERAGE_ITEM: 0.8353068, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4188511, SHANNON_ENTROPY: 13.0440069, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 732, 'shrink': 423, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2249497, PRECISION: 0.0009449, PRECISION_RECALL_MIN_DEN: 0.0031497, RECALL: 0.0031497, MAP: 0.0011370, MRR: 0.0033224, NDCG: 0.0022404, F1: 0.0014537, HIT_RATE: 0.0094490, ARHR: 0.0033667, RMSE: nan, NOVELTY: 0.0044646, AVERAGE_POPULARITY: 0.0402932, DIVERSITY_MEAN_INTER_LIST: 0.9986472, DIVERSITY_HERFINDAHL: 0.9997699, COVERAGE_ITEM: 0.8343877, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4049947, SHANNON_ENTROPY: 12.9521083, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 126, 'shrink': 992, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2253310, PRECISION: 0.0011618, PRECISION_RECALL_MIN_DEN: 0.0038728, RECALL: 0.0038728, MAP: 0.0011860, MRR: 0.0033921, NDCG: 0.0025056, F1: 0.0017874, HIT_RATE: 0.0116184, ARHR: 0.0034750, RMSE: nan, NOVELTY: 0.0044949, AVERAGE_POPULARITY: 0.0381760, DIVERSITY_MEAN_INTER_LIST: 0.9989964, DIVERSITY_HERFINDAHL: 0.9998273, COVERAGE_ITEM: 0.8693160, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4346464, SHANNON_ENTROPY: 13.1433189, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2283213, PRECISION: 0.0015572, PRECISION_RECALL_MIN_DEN: 0.0051905, RECALL: 0.0051905, MAP: 0.0018801, MRR: 0.0054008, NDCG: 0.0036830, F1: 0.0023956, HIT_RATE: 0.0155715, ARHR: 0.0055176, RMSE: nan, NOVELTY: 0.0045295, AVERAGE_POPULARITY: 0.0348700, DIVERSITY_MEAN_INTER_LIST: 0.9985704, DIVERSITY_HERFINDAHL: 0.9997573, COVERAGE_ITEM: 0.7803190, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3845091, SHANNON_ENTROPY: 12.7905688, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 34, 'shrink': 32, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2272738, PRECISION: 0.0014704, PRECISION_RECALL_MIN_DEN: 0.0049013, RECALL: 0.0049013, MAP: 0.0016639, MRR: 0.0047916, NDCG: 0.0033498, F1: 0.0022621, HIT_RATE: 0.0147038, ARHR: 0.0048893, RMSE: nan, NOVELTY: 0.0045208, AVERAGE_POPULARITY: 0.0374872, DIVERSITY_MEAN_INTER_LIST: 0.9987633, DIVERSITY_HERFINDAHL: 0.9997890, COVERAGE_ITEM: 0.8251419, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4100669, SHANNON_ENTROPY: 12.9642055, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2214629, PRECISION: 0.0003375, PRECISION_RECALL_MIN_DEN: 0.0011249, RECALL: 0.0011249, MAP: 0.0003989, MRR: 0.0011847, NDCG: 0.0007929, F1: 0.0005192, HIT_RATE: 0.0033746, ARHR: 0.0011908, RMSE: nan, NOVELTY: 0.0045348, AVERAGE_POPULARITY: 0.0395303, DIVERSITY_MEAN_INTER_LIST: 0.9983685, DIVERSITY_HERFINDAHL: 0.9997242, COVERAGE_ITEM: 0.8913760, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4187117, SHANNON_ENTROPY: 12.9964247, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 50, 'shrink': 992, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2231061, PRECISION: 0.0007521, PRECISION_RECALL_MIN_DEN: 0.0025069, RECALL: 0.0025069, MAP: 0.0007058, MRR: 0.0020682, NDCG: 0.0015587, F1: 0.0011570, HIT_RATE: 0.0075206, ARHR: 0.0020904, RMSE: nan, NOVELTY: 0.0045094, AVERAGE_POPULARITY: 0.0386807, DIVERSITY_MEAN_INTER_LIST: 0.9989439, DIVERSITY_HERFINDAHL: 0.9998187, COVERAGE_ITEM: 0.9006218, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4240257, SHANNON_ENTROPY: 13.1412878, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2277241, PRECISION: 0.0015475, PRECISION_RECALL_MIN_DEN: 0.0051584, RECALL: 0.0051584, MAP: 0.0018011, MRR: 0.0052593, NDCG: 0.0035896, F1: 0.0023808, HIT_RATE: 0.0154751, ARHR: 0.0053313, RMSE: nan, NOVELTY: 0.0045305, AVERAGE_POPULARITY: 0.0355948, DIVERSITY_MEAN_INTER_LIST: 0.9985015, DIVERSITY_HERFINDAHL: 0.9997460, COVERAGE_ITEM: 0.7675047, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3821808, SHANNON_ENTROPY: 12.7511327, 
