SearchBayesianSkopt: New best config found. Config 0: {'topK': 28, 'shrink': 283, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2290113, PRECISION: 0.0018127, PRECISION_RECALL_MIN_DEN: 0.0060422, RECALL: 0.0060422, MAP: 0.0019302, MRR: 0.0056843, NDCG: 0.0040243, F1: 0.0027887, HIT_RATE: 0.0181266, ARHR: 0.0057375, RMSE: nan, NOVELTY: 0.0048214, AVERAGE_POPULARITY: 0.2156064, DIVERSITY_MEAN_INTER_LIST: 0.9934562, DIVERSITY_HERFINDAHL: 0.9989176, COVERAGE_ITEM: 0.5247364, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2139175, SHANNON_ENTROPY: 11.1345045, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 960, 'shrink': 297, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2264670, PRECISION: 0.0013981, PRECISION_RECALL_MIN_DEN: 0.0046602, RECALL: 0.0046602, MAP: 0.0013545, MRR: 0.0040419, NDCG: 0.0029635, F1: 0.0021509, HIT_RATE: 0.0139806, ARHR: 0.0040528, RMSE: nan, NOVELTY: 0.0048371, AVERAGE_POPULARITY: 0.1754774, DIVERSITY_MEAN_INTER_LIST: 0.9938861, DIVERSITY_HERFINDAHL: 0.9989881, COVERAGE_ITEM: 0.5226277, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1839091, SHANNON_ENTROPY: 10.8765696, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 918, 'shrink': 946, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2266283, PRECISION: 0.0013932, PRECISION_RECALL_MIN_DEN: 0.0046441, RECALL: 0.0046441, MAP: 0.0013500, MRR: 0.0040242, NDCG: 0.0029571, F1: 0.0021434, HIT_RATE: 0.0139324, ARHR: 0.0040372, RMSE: nan, NOVELTY: 0.0048102, AVERAGE_POPULARITY: 0.1784088, DIVERSITY_MEAN_INTER_LIST: 0.9934990, DIVERSITY_HERFINDAHL: 0.9989246, COVERAGE_ITEM: 0.4532576, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1832550, SHANNON_ENTROPY: 10.7400824, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 702, 'shrink': 270, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2291663, PRECISION: 0.0019525, PRECISION_RECALL_MIN_DEN: 0.0065082, RECALL: 0.0065082, MAP: 0.0019008, MRR: 0.0056226, NDCG: 0.0041403, F1: 0.0030038, HIT_RATE: 0.0195247, ARHR: 0.0056625, RMSE: nan, NOVELTY: 0.0047479, AVERAGE_POPULARITY: 0.2184334, DIVERSITY_MEAN_INTER_LIST: 0.9863064, DIVERSITY_HERFINDAHL: 0.9977435, COVERAGE_ITEM: 0.5297648, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1869155, SHANNON_ENTROPY: 10.5442533, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 121, 'shrink': 474, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2293156, PRECISION: 0.0019717, PRECISION_RECALL_MIN_DEN: 0.0065725, RECALL: 0.0065725, MAP: 0.0018706, MRR: 0.0055683, NDCG: 0.0041380, F1: 0.0030335, HIT_RATE: 0.0197175, ARHR: 0.0055900, RMSE: nan, NOVELTY: 0.0048710, AVERAGE_POPULARITY: 0.2170694, DIVERSITY_MEAN_INTER_LIST: 0.9914964, DIVERSITY_HERFINDAHL: 0.9985957, COVERAGE_ITEM: 0.5907002, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2384449, SHANNON_ENTROPY: 11.2531409, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2245741, PRECISION: 0.0008533, PRECISION_RECALL_MIN_DEN: 0.0028443, RECALL: 0.0028443, MAP: 0.0010298, MRR: 0.0030734, NDCG: 0.0020373, F1: 0.0013128, HIT_RATE: 0.0085330, ARHR: 0.0030814, RMSE: nan, NOVELTY: 0.0053685, AVERAGE_POPULARITY: 0.1070512, DIVERSITY_MEAN_INTER_LIST: 0.9970451, DIVERSITY_HERFINDAHL: 0.9995069, COVERAGE_ITEM: 0.6558529, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3570898, SHANNON_ENTROPY: 12.3507945, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 952, 'shrink': 34, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2297596, PRECISION: 0.0019766, PRECISION_RECALL_MIN_DEN: 0.0065886, RECALL: 0.0065886, MAP: 0.0019651, MRR: 0.0057524, NDCG: 0.0042375, F1: 0.0030409, HIT_RATE: 0.0197657, ARHR: 0.0058238, RMSE: nan, NOVELTY: 0.0047077, AVERAGE_POPULARITY: 0.2386003, DIVERSITY_MEAN_INTER_LIST: 0.9808439, DIVERSITY_HERFINDAHL: 0.9968465, COVERAGE_ITEM: 0.5177616, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1825170, SHANNON_ENTROPY: 10.3073074, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 59, 'shrink': 20, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2281971, PRECISION: 0.0017162, PRECISION_RECALL_MIN_DEN: 0.0057208, RECALL: 0.0057208, MAP: 0.0017740, MRR: 0.0051936, NDCG: 0.0037431, F1: 0.0026404, HIT_RATE: 0.0171624, ARHR: 0.0052578, RMSE: nan, NOVELTY: 0.0049134, AVERAGE_POPULARITY: 0.2087301, DIVERSITY_MEAN_INTER_LIST: 0.9933145, DIVERSITY_HERFINDAHL: 0.9988943, COVERAGE_ITEM: 0.5838335, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2496830, SHANNON_ENTROPY: 11.4012918, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 982, 'shrink': 48, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2271151, PRECISION: 0.0014848, PRECISION_RECALL_MIN_DEN: 0.0049495, RECALL: 0.0049495, MAP: 0.0015582, MRR: 0.0046209, NDCG: 0.0032725, F1: 0.0022844, HIT_RATE: 0.0148484, ARHR: 0.0046478, RMSE: nan, NOVELTY: 0.0047957, AVERAGE_POPULARITY: 0.1860782, DIVERSITY_MEAN_INTER_LIST: 0.9937431, DIVERSITY_HERFINDAHL: 0.9989647, COVERAGE_ITEM: 0.4499054, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1858202, SHANNON_ENTROPY: 10.7576391, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 28, 'shrink': 989, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2281995, PRECISION: 0.0016777, PRECISION_RECALL_MIN_DEN: 0.0055922, RECALL: 0.0055922, MAP: 0.0017481, MRR: 0.0051464, NDCG: 0.0036818, F1: 0.0025810, HIT_RATE: 0.0167767, ARHR: 0.0051954, RMSE: nan, NOVELTY: 0.0049317, AVERAGE_POPULARITY: 0.2091849, DIVERSITY_MEAN_INTER_LIST: 0.9935659, DIVERSITY_HERFINDAHL: 0.9989356, COVERAGE_ITEM: 0.6567721, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2447810, SHANNON_ENTROPY: 11.4746754, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 971, 'shrink': 909, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2273481, PRECISION: 0.0015861, PRECISION_RECALL_MIN_DEN: 0.0052869, RECALL: 0.0052869, MAP: 0.0016094, MRR: 0.0046242, NDCG: 0.0034114, F1: 0.0024401, HIT_RATE: 0.0158608, ARHR: 0.0047263, RMSE: nan, NOVELTY: 0.0047708, AVERAGE_POPULARITY: 0.1910357, DIVERSITY_MEAN_INTER_LIST: 0.9875508, DIVERSITY_HERFINDAHL: 0.9979478, COVERAGE_ITEM: 0.4720195, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1812542, SHANNON_ENTROPY: 10.5168185, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 970, 'shrink': 936, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2274891, PRECISION: 0.0018223, PRECISION_RECALL_MIN_DEN: 0.0060743, RECALL: 0.0060743, MAP: 0.0015001, MRR: 0.0044031, NDCG: 0.0035512, F1: 0.0028035, HIT_RATE: 0.0182230, ARHR: 0.0044518, RMSE: nan, NOVELTY: 0.0047363, AVERAGE_POPULARITY: 0.2175065, DIVERSITY_MEAN_INTER_LIST: 0.9861313, DIVERSITY_HERFINDAHL: 0.9977148, COVERAGE_ITEM: 0.5228981, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1808033, SHANNON_ENTROPY: 10.4708967, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2246913, PRECISION: 0.0008533, PRECISION_RECALL_MIN_DEN: 0.0028443, RECALL: 0.0028443, MAP: 0.0011478, MRR: 0.0033814, NDCG: 0.0021550, F1: 0.0013128, HIT_RATE: 0.0085330, ARHR: 0.0034124, RMSE: nan, NOVELTY: 0.0053203, AVERAGE_POPULARITY: 0.1054199, DIVERSITY_MEAN_INTER_LIST: 0.9962851, DIVERSITY_HERFINDAHL: 0.9993821, COVERAGE_ITEM: 0.8199513, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3083985, SHANNON_ENTROPY: 12.2834680, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2298198, PRECISION: 0.0021116, PRECISION_RECALL_MIN_DEN: 0.0070385, RECALL: 0.0070385, MAP: 0.0019485, MRR: 0.0057631, NDCG: 0.0043644, F1: 0.0032485, HIT_RATE: 0.0211156, ARHR: 0.0058043, RMSE: nan, NOVELTY: 0.0047037, AVERAGE_POPULARITY: 0.2399328, DIVERSITY_MEAN_INTER_LIST: 0.9804852, DIVERSITY_HERFINDAHL: 0.9967876, COVERAGE_ITEM: 0.5178156, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1821275, SHANNON_ENTROPY: 10.2908069, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 12, 'shrink': 36, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2284469, PRECISION: 0.0017018, PRECISION_RECALL_MIN_DEN: 0.0056726, RECALL: 0.0056726, MAP: 0.0017890, MRR: 0.0053028, NDCG: 0.0037592, F1: 0.0026181, HIT_RATE: 0.0170178, ARHR: 0.0053349, RMSE: nan, NOVELTY: 0.0049255, AVERAGE_POPULARITY: 0.1877753, DIVERSITY_MEAN_INTER_LIST: 0.9951255, DIVERSITY_HERFINDAHL: 0.9991917, COVERAGE_ITEM: 0.5553933, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2319670, SHANNON_ENTROPY: 11.4121753, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2273270, PRECISION: 0.0015572, PRECISION_RECALL_MIN_DEN: 0.0051905, RECALL: 0.0051905, MAP: 0.0015623, MRR: 0.0046377, NDCG: 0.0033557, F1: 0.0023956, HIT_RATE: 0.0155715, ARHR: 0.0046623, RMSE: nan, NOVELTY: 0.0047850, AVERAGE_POPULARITY: 0.1941730, DIVERSITY_MEAN_INTER_LIST: 0.9893849, DIVERSITY_HERFINDAHL: 0.9982490, COVERAGE_ITEM: 0.4970533, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1841537, SHANNON_ENTROPY: 10.6391588, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 34, 'shrink': 986, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2286350, PRECISION: 0.0017596, PRECISION_RECALL_MIN_DEN: 0.0058654, RECALL: 0.0058654, MAP: 0.0017525, MRR: 0.0052383, NDCG: 0.0037904, F1: 0.0027071, HIT_RATE: 0.0175963, ARHR: 0.0052480, RMSE: nan, NOVELTY: 0.0048206, AVERAGE_POPULARITY: 0.2197593, DIVERSITY_MEAN_INTER_LIST: 0.9929196, DIVERSITY_HERFINDAHL: 0.9988294, COVERAGE_ITEM: 0.5107867, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2182318, SHANNON_ENTROPY: 11.0856256, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 35, 'shrink': 989, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2272627, PRECISION: 0.0015379, PRECISION_RECALL_MIN_DEN: 0.0051262, RECALL: 0.0051262, MAP: 0.0014997, MRR: 0.0044691, NDCG: 0.0032713, F1: 0.0023660, HIT_RATE: 0.0153787, ARHR: 0.0044841, RMSE: nan, NOVELTY: 0.0049900, AVERAGE_POPULARITY: 0.1935633, DIVERSITY_MEAN_INTER_LIST: 0.9946773, DIVERSITY_HERFINDAHL: 0.9991181, COVERAGE_ITEM: 0.6299000, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2719024, SHANNON_ENTROPY: 11.6964479, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2237917, PRECISION: 0.0007135, PRECISION_RECALL_MIN_DEN: 0.0023783, RECALL: 0.0023783, MAP: 0.0009835, MRR: 0.0029022, NDCG: 0.0018259, F1: 0.0010977, HIT_RATE: 0.0071349, ARHR: 0.0029263, RMSE: nan, NOVELTY: 0.0056813, AVERAGE_POPULARITY: 0.0588793, DIVERSITY_MEAN_INTER_LIST: 0.9975985, DIVERSITY_HERFINDAHL: 0.9995977, COVERAGE_ITEM: 0.7705326, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4099198, SHANNON_ENTROPY: 12.7876186, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 961, 'shrink': 998, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2265761, PRECISION: 0.0014897, PRECISION_RECALL_MIN_DEN: 0.0049655, RECALL: 0.0049655, MAP: 0.0013781, MRR: 0.0040730, NDCG: 0.0030765, F1: 0.0022918, HIT_RATE: 0.0148966, ARHR: 0.0041036, RMSE: nan, NOVELTY: 0.0047984, AVERAGE_POPULARITY: 0.1884511, DIVERSITY_MEAN_INTER_LIST: 0.9875708, DIVERSITY_HERFINDAHL: 0.9979511, COVERAGE_ITEM: 0.5107326, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1840785, SHANNON_ENTROPY: 10.5849400, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 995, 'shrink': 985, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2265383, PRECISION: 0.0013113, PRECISION_RECALL_MIN_DEN: 0.0043710, RECALL: 0.0043710, MAP: 0.0014183, MRR: 0.0041585, NDCG: 0.0029343, F1: 0.0020174, HIT_RATE: 0.0131129, ARHR: 0.0042067, RMSE: nan, NOVELTY: 0.0048337, AVERAGE_POPULARITY: 0.1770577, DIVERSITY_MEAN_INTER_LIST: 0.9939112, DIVERSITY_HERFINDAHL: 0.9989923, COVERAGE_ITEM: 0.5173290, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1847186, SHANNON_ENTROPY: 10.8755409, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2270913, PRECISION: 0.0014656, PRECISION_RECALL_MIN_DEN: 0.0048852, RECALL: 0.0048852, MAP: 0.0014828, MRR: 0.0043520, NDCG: 0.0031675, F1: 0.0022547, HIT_RATE: 0.0146555, ARHR: 0.0044002, RMSE: nan, NOVELTY: 0.0047800, AVERAGE_POPULARITY: 0.1863984, DIVERSITY_MEAN_INTER_LIST: 0.9878912, DIVERSITY_HERFINDAHL: 0.9980037, COVERAGE_ITEM: 0.4687213, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1815252, SHANNON_ENTROPY: 10.5169192, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 961, 'shrink': 10, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2269628, PRECISION: 0.0014704, PRECISION_RECALL_MIN_DEN: 0.0049013, RECALL: 0.0049013, MAP: 0.0014497, MRR: 0.0043223, NDCG: 0.0031454, F1: 0.0022621, HIT_RATE: 0.0147038, ARHR: 0.0043357, RMSE: nan, NOVELTY: 0.0047922, AVERAGE_POPULARITY: 0.1873323, DIVERSITY_MEAN_INTER_LIST: 0.9937027, DIVERSITY_HERFINDAHL: 0.9989580, COVERAGE_ITEM: 0.4506623, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1852214, SHANNON_ENTROPY: 10.7552201, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2234810, PRECISION: 0.0006026, PRECISION_RECALL_MIN_DEN: 0.0020087, RECALL: 0.0020087, MAP: 0.0009527, MRR: 0.0028099, NDCG: 0.0016750, F1: 0.0009271, HIT_RATE: 0.0060261, ARHR: 0.0028340, RMSE: nan, NOVELTY: 0.0057932, AVERAGE_POPULARITY: 0.0474841, DIVERSITY_MEAN_INTER_LIST: 0.9991180, DIVERSITY_HERFINDAHL: 0.9998473, COVERAGE_ITEM: 0.8192484, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4675121, SHANNON_ENTROPY: 13.1796743, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2268228, PRECISION: 0.0012968, PRECISION_RECALL_MIN_DEN: 0.0043227, RECALL: 0.0043227, MAP: 0.0015851, MRR: 0.0046526, NDCG: 0.0030988, F1: 0.0019951, HIT_RATE: 0.0129682, ARHR: 0.0047039, RMSE: nan, NOVELTY: 0.0051053, AVERAGE_POPULARITY: 0.1511953, DIVERSITY_MEAN_INTER_LIST: 0.9950027, DIVERSITY_HERFINDAHL: 0.9991715, COVERAGE_ITEM: 0.5839957, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2555821, SHANNON_ENTROPY: 11.5860370, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 10, 'shrink': 974, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2282487, PRECISION: 0.0015764, PRECISION_RECALL_MIN_DEN: 0.0052548, RECALL: 0.0052548, MAP: 0.0017306, MRR: 0.0051276, NDCG: 0.0035677, F1: 0.0024253, HIT_RATE: 0.0157644, ARHR: 0.0051598, RMSE: nan, NOVELTY: 0.0049568, AVERAGE_POPULARITY: 0.1804049, DIVERSITY_MEAN_INTER_LIST: 0.9954086, DIVERSITY_HERFINDAHL: 0.9992381, COVERAGE_ITEM: 0.5613409, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2363146, SHANNON_ENTROPY: 11.4690364, 
SearchBayesianSkopt: New best config found. Config 26: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2297874, PRECISION: 0.0021260, PRECISION_RECALL_MIN_DEN: 0.0070867, RECALL: 0.0070867, MAP: 0.0020146, MRR: 0.0058885, NDCG: 0.0044358, F1: 0.0032708, HIT_RATE: 0.0212602, ARHR: 0.0059661, RMSE: nan, NOVELTY: 0.0047194, AVERAGE_POPULARITY: 0.2335231, DIVERSITY_MEAN_INTER_LIST: 0.9840737, DIVERSITY_HERFINDAHL: 0.9973769, COVERAGE_ITEM: 0.5140849, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1848558, SHANNON_ENTROPY: 10.4341425, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2250260, PRECISION: 0.0009063, PRECISION_RECALL_MIN_DEN: 0.0030211, RECALL: 0.0030211, MAP: 0.0011489, MRR: 0.0034144, NDCG: 0.0022228, F1: 0.0013944, HIT_RATE: 0.0090633, ARHR: 0.0034305, RMSE: nan, NOVELTY: 0.0054947, AVERAGE_POPULARITY: 0.0950616, DIVERSITY_MEAN_INTER_LIST: 0.9972914, DIVERSITY_HERFINDAHL: 0.9995473, COVERAGE_ITEM: 0.7394431, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3798445, SHANNON_ENTROPY: 12.5931622, 
