SearchBayesianSkopt: New best config found. Config 0: {'topK': 815, 'shrink': 867, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2295326, PRECISION: 0.0020826, PRECISION_RECALL_MIN_DEN: 0.0069421, RECALL: 0.0069421, MAP: 0.0019821, MRR: 0.0058602, NDCG: 0.0043637, F1: 0.0032040, HIT_RATE: 0.0208263, ARHR: 0.0059033, RMSE: nan, NOVELTY: 0.0047180, AVERAGE_POPULARITY: 0.2379353, DIVERSITY_MEAN_INTER_LIST: 0.9826486, DIVERSITY_HERFINDAHL: 0.9971429, COVERAGE_ITEM: 0.5231144, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1857446, SHANNON_ENTROPY: 10.3895354, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 299, 'shrink': 558, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2281392, PRECISION: 0.0016632, PRECISION_RECALL_MIN_DEN: 0.0055440, RECALL: 0.0055440, MAP: 0.0016729, MRR: 0.0049645, NDCG: 0.0035940, F1: 0.0025588, HIT_RATE: 0.0166321, ARHR: 0.0049915, RMSE: nan, NOVELTY: 0.0047790, AVERAGE_POPULARITY: 0.2150408, DIVERSITY_MEAN_INTER_LIST: 0.9917527, DIVERSITY_HERFINDAHL: 0.9986378, COVERAGE_ITEM: 0.5749121, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1851232, SHANNON_ENTROPY: 10.8428169, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 817, 'shrink': 495, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2293716, PRECISION: 0.0020007, PRECISION_RECALL_MIN_DEN: 0.0066689, RECALL: 0.0066689, MAP: 0.0019899, MRR: 0.0058442, NDCG: 0.0042807, F1: 0.0030780, HIT_RATE: 0.0200067, ARHR: 0.0059070, RMSE: nan, NOVELTY: 0.0047124, AVERAGE_POPULARITY: 0.2411465, DIVERSITY_MEAN_INTER_LIST: 0.9828122, DIVERSITY_HERFINDAHL: 0.9971697, COVERAGE_ITEM: 0.5236010, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1851741, SHANNON_ENTROPY: 10.3914932, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 771, 'shrink': 664, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2276049, PRECISION: 0.0015957, PRECISION_RECALL_MIN_DEN: 0.0053191, RECALL: 0.0053191, MAP: 0.0016209, MRR: 0.0048151, NDCG: 0.0034605, F1: 0.0024550, HIT_RATE: 0.0159572, ARHR: 0.0048388, RMSE: nan, NOVELTY: 0.0047759, AVERAGE_POPULARITY: 0.2025685, DIVERSITY_MEAN_INTER_LIST: 0.9885336, DIVERSITY_HERFINDAHL: 0.9981092, COVERAGE_ITEM: 0.5188970, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1841211, SHANNON_ENTROPY: 10.6233463, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 392, 'shrink': 66, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2290281, PRECISION: 0.0019573, PRECISION_RECALL_MIN_DEN: 0.0065243, RECALL: 0.0065243, MAP: 0.0018114, MRR: 0.0053453, NDCG: 0.0040466, F1: 0.0030112, HIT_RATE: 0.0195729, ARHR: 0.0053897, RMSE: nan, NOVELTY: 0.0047663, AVERAGE_POPULARITY: 0.2320564, DIVERSITY_MEAN_INTER_LIST: 0.9875784, DIVERSITY_HERFINDAHL: 0.9979524, COVERAGE_ITEM: 0.5430657, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2023692, SHANNON_ENTROPY: 10.7322555, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 941, 'shrink': 974, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2301683, PRECISION: 0.0020585, PRECISION_RECALL_MIN_DEN: 0.0068618, RECALL: 0.0068618, MAP: 0.0020377, MRR: 0.0059983, NDCG: 0.0044079, F1: 0.0031670, HIT_RATE: 0.0205853, ARHR: 0.0060557, RMSE: nan, NOVELTY: 0.0047089, AVERAGE_POPULARITY: 0.2401464, DIVERSITY_MEAN_INTER_LIST: 0.9812110, DIVERSITY_HERFINDAHL: 0.9969068, COVERAGE_ITEM: 0.5199243, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1829443, SHANNON_ENTROPY: 10.3237765, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2274984, PRECISION: 0.0013836, PRECISION_RECALL_MIN_DEN: 0.0046120, RECALL: 0.0046120, MAP: 0.0016357, MRR: 0.0048174, NDCG: 0.0032567, F1: 0.0021286, HIT_RATE: 0.0138360, ARHR: 0.0048623, RMSE: nan, NOVELTY: 0.0051257, AVERAGE_POPULARITY: 0.1508551, DIVERSITY_MEAN_INTER_LIST: 0.9949066, DIVERSITY_HERFINDAHL: 0.9991557, COVERAGE_ITEM: 0.5552311, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2606037, SHANNON_ENTROPY: 11.5523163, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2247184, PRECISION: 0.0008919, PRECISION_RECALL_MIN_DEN: 0.0029729, RECALL: 0.0029729, MAP: 0.0010023, MRR: 0.0030070, NDCG: 0.0020526, F1: 0.0013721, HIT_RATE: 0.0089187, ARHR: 0.0030070, RMSE: nan, NOVELTY: 0.0052934, AVERAGE_POPULARITY: 0.1141840, DIVERSITY_MEAN_INTER_LIST: 0.9968836, DIVERSITY_HERFINDAHL: 0.9994804, COVERAGE_ITEM: 0.6687213, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3238762, SHANNON_ENTROPY: 12.2365931, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 966, 'shrink': 30, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2261938, PRECISION: 0.0014222, PRECISION_RECALL_MIN_DEN: 0.0047406, RECALL: 0.0047406, MAP: 0.0012903, MRR: 0.0038098, NDCG: 0.0029085, F1: 0.0021879, HIT_RATE: 0.0142217, ARHR: 0.0038403, RMSE: nan, NOVELTY: 0.0047919, AVERAGE_POPULARITY: 0.1899719, DIVERSITY_MEAN_INTER_LIST: 0.9872423, DIVERSITY_HERFINDAHL: 0.9978972, COVERAGE_ITEM: 0.5009462, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1815186, SHANNON_ENTROPY: 10.5390850, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2266983, PRECISION: 0.0014366, PRECISION_RECALL_MIN_DEN: 0.0047888, RECALL: 0.0047888, MAP: 0.0013612, MRR: 0.0040674, NDCG: 0.0030148, F1: 0.0022102, HIT_RATE: 0.0143663, ARHR: 0.0040755, RMSE: nan, NOVELTY: 0.0047993, AVERAGE_POPULARITY: 0.1852175, DIVERSITY_MEAN_INTER_LIST: 0.9938438, DIVERSITY_HERFINDAHL: 0.9989812, COVERAGE_ITEM: 0.4557989, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1851768, SHANNON_ENTROPY: 10.7733095, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2263578, PRECISION: 0.0011859, PRECISION_RECALL_MIN_DEN: 0.0039531, RECALL: 0.0039531, MAP: 0.0014232, MRR: 0.0042052, NDCG: 0.0028125, F1: 0.0018245, HIT_RATE: 0.0118594, ARHR: 0.0042374, RMSE: nan, NOVELTY: 0.0052213, AVERAGE_POPULARITY: 0.1234181, DIVERSITY_MEAN_INTER_LIST: 0.9954231, DIVERSITY_HERFINDAHL: 0.9992405, COVERAGE_ITEM: 0.5567991, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2621141, SHANNON_ENTROPY: 11.6171295, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 978, 'shrink': 988, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2269514, PRECISION: 0.0013691, PRECISION_RECALL_MIN_DEN: 0.0045638, RECALL: 0.0045638, MAP: 0.0014772, MRR: 0.0044060, NDCG: 0.0030729, F1: 0.0021064, HIT_RATE: 0.0136914, ARHR: 0.0044189, RMSE: nan, NOVELTY: 0.0048185, AVERAGE_POPULARITY: 0.1763072, DIVERSITY_MEAN_INTER_LIST: 0.9936922, DIVERSITY_HERFINDAHL: 0.9989563, COVERAGE_ITEM: 0.4547716, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1842903, SHANNON_ENTROPY: 10.7575470, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 19, 'shrink': 9, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2265014, PRECISION: 0.0012968, PRECISION_RECALL_MIN_DEN: 0.0043227, RECALL: 0.0043227, MAP: 0.0013733, MRR: 0.0040889, NDCG: 0.0028810, F1: 0.0019951, HIT_RATE: 0.0129682, ARHR: 0.0041044, RMSE: nan, NOVELTY: 0.0052080, AVERAGE_POPULARITY: 0.1633788, DIVERSITY_MEAN_INTER_LIST: 0.9964210, DIVERSITY_HERFINDAHL: 0.9994044, COVERAGE_ITEM: 0.7031630, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3342003, SHANNON_ENTROPY: 12.1964249, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 14, 'shrink': 992, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2260950, PRECISION: 0.0012390, PRECISION_RECALL_MIN_DEN: 0.0041299, RECALL: 0.0041299, MAP: 0.0012764, MRR: 0.0038293, NDCG: 0.0027167, F1: 0.0019061, HIT_RATE: 0.0123897, ARHR: 0.0038293, RMSE: nan, NOVELTY: 0.0051416, AVERAGE_POPULARITY: 0.1575214, DIVERSITY_MEAN_INTER_LIST: 0.9968782, DIVERSITY_HERFINDAHL: 0.9994795, COVERAGE_ITEM: 0.6523925, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3060649, SHANNON_ENTROPY: 12.0883444, 
