SearchBayesianSkopt: New best config found. Config 0: {'topK': 761, 'shrink': 952, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8599007512677317, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364506, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037108, MRR: 0.0107538, NDCG: 0.0073731, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109431, RMSE: nan, NOVELTY: 0.0042410, AVERAGE_POPULARITY: 0.0494642, DIVERSITY_MEAN_INTER_LIST: 0.9984756, DIVERSITY_HERFINDAHL: 0.9997418, COVERAGE_ITEM: 0.8435793, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3798454, SHANNON_ENTROPY: 12.8362125, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 202, 'shrink': 586, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1619175098606525, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2365430, PRECISION: 0.0031770, PRECISION_RECALL_MIN_DEN: 0.0105899, RECALL: 0.0105899, MAP: 0.0037651, MRR: 0.0109060, NDCG: 0.0074346, F1: 0.0048877, HIT_RATE: 0.0317698, ARHR: 0.0111006, RMSE: nan, NOVELTY: 0.0042402, AVERAGE_POPULARITY: 0.0493776, DIVERSITY_MEAN_INTER_LIST: 0.9984782, DIVERSITY_HERFINDAHL: 0.9997422, COVERAGE_ITEM: 0.8433090, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3790375, SHANNON_ENTROPY: 12.8341572, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 668, 'shrink': 661, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.38539780656206, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2365899, PRECISION: 0.0031770, PRECISION_RECALL_MIN_DEN: 0.0105899, RECALL: 0.0105899, MAP: 0.0037405, MRR: 0.0108429, NDCG: 0.0074118, F1: 0.0048877, HIT_RATE: 0.0317698, ARHR: 0.0110323, RMSE: nan, NOVELTY: 0.0042417, AVERAGE_POPULARITY: 0.0494328, DIVERSITY_MEAN_INTER_LIST: 0.9984830, DIVERSITY_HERFINDAHL: 0.9997430, COVERAGE_ITEM: 0.8434712, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3806445, SHANNON_ENTROPY: 12.8395945, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 387, 'shrink': 925, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.616535528366984, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2364506, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037108, MRR: 0.0107538, NDCG: 0.0073731, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109431, RMSE: nan, NOVELTY: 0.0042410, AVERAGE_POPULARITY: 0.0494541, DIVERSITY_MEAN_INTER_LIST: 0.9984759, DIVERSITY_HERFINDAHL: 0.9997418, COVERAGE_ITEM: 0.8435793, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3798828, SHANNON_ENTROPY: 12.8363956, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 980, 'shrink': 240, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.14308526602594832, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2367084, PRECISION: 0.0032011, PRECISION_RECALL_MIN_DEN: 0.0106703, RECALL: 0.0106703, MAP: 0.0037382, MRR: 0.0108069, NDCG: 0.0074330, F1: 0.0049247, HIT_RATE: 0.0320108, ARHR: 0.0110107, RMSE: nan, NOVELTY: 0.0042373, AVERAGE_POPULARITY: 0.0489230, DIVERSITY_MEAN_INTER_LIST: 0.9985337, DIVERSITY_HERFINDAHL: 0.9997513, COVERAGE_ITEM: 0.8487699, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3822092, SHANNON_ENTROPY: 12.8613899, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 28, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.16606913803661308, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2330277, PRECISION: 0.0023574, PRECISION_RECALL_MIN_DEN: 0.0078581, RECALL: 0.0078581, MAP: 0.0030640, MRR: 0.0088546, NDCG: 0.0058089, F1: 0.0036268, HIT_RATE: 0.0235742, ARHR: 0.0090234, RMSE: nan, NOVELTY: 0.0043939, AVERAGE_POPULARITY: 0.0400046, DIVERSITY_MEAN_INTER_LIST: 0.9844426, DIVERSITY_HERFINDAHL: 0.9974375, COVERAGE_ITEM: 0.7931333, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3073831, SHANNON_ENTROPY: 11.8338924, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 919, 'shrink': 3, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9505647742574375, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 47, 'shrink': 970, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.10047261836378321, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2369343, PRECISION: 0.0032348, PRECISION_RECALL_MIN_DEN: 0.0107828, RECALL: 0.0107828, MAP: 0.0038155, MRR: 0.0109200, NDCG: 0.0075360, F1: 0.0049767, HIT_RATE: 0.0323483, ARHR: 0.0111832, RMSE: nan, NOVELTY: 0.0042594, AVERAGE_POPULARITY: 0.0497591, DIVERSITY_MEAN_INTER_LIST: 0.9981728, DIVERSITY_HERFINDAHL: 0.9996921, COVERAGE_ITEM: 0.8101649, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3665778, SHANNON_ENTROPY: 12.6949264, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2328048, PRECISION: 0.0023044, PRECISION_RECALL_MIN_DEN: 0.0076813, RECALL: 0.0076813, MAP: 0.0030135, MRR: 0.0086907, NDCG: 0.0056970, F1: 0.0035452, HIT_RATE: 0.0230439, ARHR: 0.0088657, RMSE: nan, NOVELTY: 0.0044046, AVERAGE_POPULARITY: 0.0395894, DIVERSITY_MEAN_INTER_LIST: 0.9843608, DIVERSITY_HERFINDAHL: 0.9974240, COVERAGE_ITEM: 0.7500406, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2996494, SHANNON_ENTROPY: 11.7371670, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 941, 'shrink': 36, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.09800242289209907, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2356571, PRECISION: 0.0030661, PRECISION_RECALL_MIN_DEN: 0.0102203, RECALL: 0.0102203, MAP: 0.0034930, MRR: 0.0100608, NDCG: 0.0070177, F1: 0.0047171, HIT_RATE: 0.0306609, ARHR: 0.0102698, RMSE: nan, NOVELTY: 0.0042383, AVERAGE_POPULARITY: 0.0482310, DIVERSITY_MEAN_INTER_LIST: 0.9986289, DIVERSITY_HERFINDAHL: 0.9997669, COVERAGE_ITEM: 0.8489862, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3899259, SHANNON_ENTROPY: 12.9049983, 
