SearchBayesianSkopt: New best config found. Config 0: {'topK': 761, 'shrink': 952, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2365611, PRECISION: 0.0031818, PRECISION_RECALL_MIN_DEN: 0.0106060, RECALL: 0.0106060, MAP: 0.0037437, MRR: 0.0108404, NDCG: 0.0074187, F1: 0.0048951, HIT_RATE: 0.0318180, ARHR: 0.0110358, RMSE: nan, NOVELTY: 0.0042427, AVERAGE_POPULARITY: 0.0498080, DIVERSITY_MEAN_INTER_LIST: 0.9984479, DIVERSITY_HERFINDAHL: 0.9997372, COVERAGE_ITEM: 0.8421195, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3785200, SHANNON_ENTROPY: 12.8245746, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 977, 'shrink': 198, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2365611, PRECISION: 0.0031818, PRECISION_RECALL_MIN_DEN: 0.0106060, RECALL: 0.0106060, MAP: 0.0037437, MRR: 0.0108404, NDCG: 0.0074187, F1: 0.0048951, HIT_RATE: 0.0318180, ARHR: 0.0110358, RMSE: nan, NOVELTY: 0.0042427, AVERAGE_POPULARITY: 0.0498080, DIVERSITY_MEAN_INTER_LIST: 0.9984479, DIVERSITY_HERFINDAHL: 0.9997372, COVERAGE_ITEM: 0.8421195, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3785200, SHANNON_ENTROPY: 12.8245746, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 583, 'shrink': 362, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2365611, PRECISION: 0.0031818, PRECISION_RECALL_MIN_DEN: 0.0106060, RECALL: 0.0106060, MAP: 0.0037437, MRR: 0.0108404, NDCG: 0.0074187, F1: 0.0048951, HIT_RATE: 0.0318180, ARHR: 0.0110358, RMSE: nan, NOVELTY: 0.0042427, AVERAGE_POPULARITY: 0.0498080, DIVERSITY_MEAN_INTER_LIST: 0.9984479, DIVERSITY_HERFINDAHL: 0.9997372, COVERAGE_ITEM: 0.8421195, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3785200, SHANNON_ENTROPY: 12.8245746, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 32, 'shrink': 693, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2371342, PRECISION: 0.0032589, PRECISION_RECALL_MIN_DEN: 0.0108631, RECALL: 0.0108631, MAP: 0.0039857, MRR: 0.0115896, NDCG: 0.0077634, F1: 0.0050137, HIT_RATE: 0.0325893, ARHR: 0.0117734, RMSE: nan, NOVELTY: 0.0042618, AVERAGE_POPULARITY: 0.0499216, DIVERSITY_MEAN_INTER_LIST: 0.9978561, DIVERSITY_HERFINDAHL: 0.9996400, COVERAGE_ITEM: 0.7899432, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3537187, SHANNON_ENTROPY: 12.5798964, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 402, 'shrink': 984, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2364667, PRECISION: 0.0031722, PRECISION_RECALL_MIN_DEN: 0.0105738, RECALL: 0.0105738, MAP: 0.0037087, MRR: 0.0107473, NDCG: 0.0073711, F1: 0.0048802, HIT_RATE: 0.0317215, ARHR: 0.0109366, RMSE: nan, NOVELTY: 0.0042420, AVERAGE_POPULARITY: 0.0494879, DIVERSITY_MEAN_INTER_LIST: 0.9984743, DIVERSITY_HERFINDAHL: 0.9997416, COVERAGE_ITEM: 0.8435253, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3799652, SHANNON_ENTROPY: 12.8361370, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 8, 'shrink': 10, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2329571, PRECISION: 0.0024538, PRECISION_RECALL_MIN_DEN: 0.0081795, RECALL: 0.0081795, MAP: 0.0029955, MRR: 0.0086683, NDCG: 0.0058367, F1: 0.0037751, HIT_RATE: 0.0245384, ARHR: 0.0088274, RMSE: nan, NOVELTY: 0.0043657, AVERAGE_POPULARITY: 0.0415785, DIVERSITY_MEAN_INTER_LIST: 0.9925752, DIVERSITY_HERFINDAHL: 0.9987729, COVERAGE_ITEM: 0.8105434, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3371618, SHANNON_ENTROPY: 12.2638751, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 960, 'shrink': 995, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2365611, PRECISION: 0.0031818, PRECISION_RECALL_MIN_DEN: 0.0106060, RECALL: 0.0106060, MAP: 0.0037437, MRR: 0.0108404, NDCG: 0.0074187, F1: 0.0048951, HIT_RATE: 0.0318180, ARHR: 0.0110358, RMSE: nan, NOVELTY: 0.0042427, AVERAGE_POPULARITY: 0.0498080, DIVERSITY_MEAN_INTER_LIST: 0.9984479, DIVERSITY_HERFINDAHL: 0.9997372, COVERAGE_ITEM: 0.8421195, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3785200, SHANNON_ENTROPY: 12.8245746, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 992, 'shrink': 4, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2357161, PRECISION: 0.0030613, PRECISION_RECALL_MIN_DEN: 0.0102042, RECALL: 0.0102042, MAP: 0.0034966, MRR: 0.0100717, NDCG: 0.0070179, F1: 0.0047097, HIT_RATE: 0.0306127, ARHR: 0.0102808, RMSE: nan, NOVELTY: 0.0042411, AVERAGE_POPULARITY: 0.0481474, DIVERSITY_MEAN_INTER_LIST: 0.9986452, DIVERSITY_HERFINDAHL: 0.9997696, COVERAGE_ITEM: 0.8487699, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3900672, SHANNON_ENTROPY: 12.9097263, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 6, 'shrink': 999, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2322376, PRECISION: 0.0022273, PRECISION_RECALL_MIN_DEN: 0.0074242, RECALL: 0.0074242, MAP: 0.0029342, MRR: 0.0084744, NDCG: 0.0055262, F1: 0.0034265, HIT_RATE: 0.0222726, ARHR: 0.0086385, RMSE: nan, NOVELTY: 0.0043957, AVERAGE_POPULARITY: 0.0398332, DIVERSITY_MEAN_INTER_LIST: 0.9880050, DIVERSITY_HERFINDAHL: 0.9980224, COVERAGE_ITEM: 0.8044336, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3226579, SHANNON_ENTROPY: 12.0280052, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 9, 'shrink': 21, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2366980, PRECISION: 0.0029600, PRECISION_RECALL_MIN_DEN: 0.0098668, RECALL: 0.0098668, MAP: 0.0039021, MRR: 0.0113212, NDCG: 0.0073649, F1: 0.0045539, HIT_RATE: 0.0296003, ARHR: 0.0115138, RMSE: nan, NOVELTY: 0.0043266, AVERAGE_POPULARITY: 0.0495150, DIVERSITY_MEAN_INTER_LIST: 0.9928876, DIVERSITY_HERFINDAHL: 0.9988242, COVERAGE_ITEM: 0.7039740, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2862086, SHANNON_ENTROPY: 11.8255750, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 978, 'shrink': 991, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2304640, PRECISION: 0.0021839, PRECISION_RECALL_MIN_DEN: 0.0072796, RECALL: 0.0072796, MAP: 0.0022115, MRR: 0.0064330, NDCG: 0.0047107, F1: 0.0033598, HIT_RATE: 0.0218387, ARHR: 0.0065337, RMSE: nan, NOVELTY: 0.0042762, AVERAGE_POPULARITY: 0.0420137, DIVERSITY_MEAN_INTER_LIST: 0.9986333, DIVERSITY_HERFINDAHL: 0.9997677, COVERAGE_ITEM: 0.7491214, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3800824, SHANNON_ENTROPY: 12.7404824, 
SearchBayesianSkopt: New best config found. Config 11: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2370170, PRECISION: 0.0027431, PRECISION_RECALL_MIN_DEN: 0.0091436, RECALL: 0.0091436, MAP: 0.0041202, MRR: 0.0120199, NDCG: 0.0073846, F1: 0.0042201, HIT_RATE: 0.0274309, ARHR: 0.0121902, RMSE: nan, NOVELTY: 0.0043977, AVERAGE_POPULARITY: 0.0469662, DIVERSITY_MEAN_INTER_LIST: 0.9831055, DIVERSITY_HERFINDAHL: 0.9972179, COVERAGE_ITEM: 0.6722357, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2616419, SHANNON_ENTROPY: 11.3304352, 
