SearchBayesianSkopt: New best config found. Config 0: {'topK': 387, 'shrink': 6, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.38594989701184035, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0596377, PRECISION: 0.0094675, PRECISION_RECALL_MIN_DEN: 0.0315582, RECALL: 0.0315582, MAP: 0.0142536, MRR: 0.0401883, NDCG: 0.0253053, F1: 0.0145653, HIT_RATE: 0.0946746, ARHR: 0.0414253, RMSE: 1.6052277, NOVELTY: 0.0076090, AVERAGE_POPULARITY: 0.2318288, DIVERSITY_MEAN_INTER_LIST: 0.9669873, DIVERSITY_HERFINDAHL: 0.9966606, COVERAGE_ITEM: 0.3250068, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3564127, SHANNON_ENTROPY: 10.6786908, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 660, 'shrink': 454, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.536110461871193, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0027175, PRECISION: 0.0003945, PRECISION_RECALL_MIN_DEN: 0.0013149, RECALL: 0.0013149, MAP: 0.0006136, MRR: 0.0018409, NDCG: 0.0010955, F1: 0.0006069, HIT_RATE: 0.0039448, ARHR: 0.0018409, RMSE: 13.4277856, NOVELTY: 0.0080161, AVERAGE_POPULARITY: 0.0179292, DIVERSITY_MEAN_INTER_LIST: 0.9409524, DIVERSITY_HERFINDAHL: 0.9940581, COVERAGE_ITEM: 0.1119221, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2138865, SHANNON_ENTROPY: 8.8102240, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 836, 'shrink': 335, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0594244910245347, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0299364, PRECISION: 0.0053254, PRECISION_RECALL_MIN_DEN: 0.0177515, RECALL: 0.0177515, MAP: 0.0074127, MRR: 0.0203173, NDCG: 0.0134616, F1: 0.0081930, HIT_RATE: 0.0532544, ARHR: 0.0212777, RMSE: 1.2414865, NOVELTY: 0.0080266, AVERAGE_POPULARITY: 0.2200761, DIVERSITY_MEAN_INTER_LIST: 0.9657461, DIVERSITY_HERFINDAHL: 0.9965365, COVERAGE_ITEM: 0.2552041, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3363923, SHANNON_ENTROPY: 10.3720949, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 615, 'shrink': 316, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7547114992043473, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0151545, PRECISION: 0.0028402, PRECISION_RECALL_MIN_DEN: 0.0094675, RECALL: 0.0094675, MAP: 0.0036103, MRR: 0.0100221, NDCG: 0.0068306, F1: 0.0043696, HIT_RATE: 0.0284024, ARHR: 0.0104264, RMSE: 1.3039303, NOVELTY: 0.0085468, AVERAGE_POPULARITY: 0.1095401, DIVERSITY_MEAN_INTER_LIST: 0.9839355, DIVERSITY_HERFINDAHL: 0.9983547, COVERAGE_ITEM: 0.2595837, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3810939, SHANNON_ENTROPY: 10.8871777, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 160, 'shrink': 32, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3390241937287182, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0585200, PRECISION: 0.0086391, PRECISION_RECALL_MIN_DEN: 0.0287968, RECALL: 0.0287968, MAP: 0.0150931, MRR: 0.0425902, NDCG: 0.0252913, F1: 0.0132909, HIT_RATE: 0.0863905, ARHR: 0.0438854, RMSE: 1.2420238, NOVELTY: 0.0083980, AVERAGE_POPULARITY: 0.0761041, DIVERSITY_MEAN_INTER_LIST: 0.9949091, DIVERSITY_HERFINDAHL: 0.9994517, COVERAGE_ITEM: 0.3987024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4789156, SHANNON_ENTROPY: 11.9890109, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0002630, PRECISION: 0.0001183, PRECISION_RECALL_MIN_DEN: 0.0003945, RECALL: 0.0003945, MAP: 0.0000498, MRR: 0.0001495, NDCG: 0.0001758, F1: 0.0001821, HIT_RATE: 0.0011834, ARHR: 0.0001495, RMSE: 0.9997460, NOVELTY: 0.0092774, AVERAGE_POPULARITY: 0.0040911, DIVERSITY_MEAN_INTER_LIST: 0.9979328, DIVERSITY_HERFINDAHL: 0.9997539, COVERAGE_ITEM: 0.3512301, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6033684, SHANNON_ENTROPY: 12.2917686, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0283914, PRECISION: 0.0043393, PRECISION_RECALL_MIN_DEN: 0.0144642, RECALL: 0.0144642, MAP: 0.0069807, MRR: 0.0208107, NDCG: 0.0122406, F1: 0.0066758, HIT_RATE: 0.0433925, ARHR: 0.0208765, RMSE: 1.3099175, NOVELTY: 0.0072604, AVERAGE_POPULARITY: 0.0662445, DIVERSITY_MEAN_INTER_LIST: 0.9974356, DIVERSITY_HERFINDAHL: 0.9997042, COVERAGE_ITEM: 0.4028656, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5266885, SHANNON_ENTROPY: 12.2817815, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 12, 'shrink': 7, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.02204611367015841, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0088538, PRECISION: 0.0013018, PRECISION_RECALL_MIN_DEN: 0.0043393, RECALL: 0.0043393, MAP: 0.0021893, MRR: 0.0065679, NDCG: 0.0037861, F1: 0.0020027, HIT_RATE: 0.0130178, ARHR: 0.0065679, RMSE: 1.0115401, NOVELTY: 0.0087461, AVERAGE_POPULARITY: 0.0135496, DIVERSITY_MEAN_INTER_LIST: 0.9989294, DIVERSITY_HERFINDAHL: 0.9998535, COVERAGE_ITEM: 0.5148959, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6755333, SHANNON_ENTROPY: 12.9641103, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 5.551115123125783e-17, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0529977, PRECISION: 0.0090335, PRECISION_RECALL_MIN_DEN: 0.0301118, RECALL: 0.0301118, MAP: 0.0124830, MRR: 0.0359007, NDCG: 0.0230128, F1: 0.0138977, HIT_RATE: 0.0903353, ARHR: 0.0366255, RMSE: 0.7533295, NOVELTY: 0.0066926, AVERAGE_POPULARITY: 0.1445543, DIVERSITY_MEAN_INTER_LIST: 0.9934664, DIVERSITY_HERFINDAHL: 0.9993074, COVERAGE_ITEM: 0.2422817, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4568146, SHANNON_ENTROPY: 11.3185501, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0529977, PRECISION: 0.0090335, PRECISION_RECALL_MIN_DEN: 0.0301118, RECALL: 0.0301118, MAP: 0.0124830, MRR: 0.0359007, NDCG: 0.0230128, F1: 0.0138977, HIT_RATE: 0.0903353, ARHR: 0.0366255, RMSE: 0.7533295, NOVELTY: 0.0066926, AVERAGE_POPULARITY: 0.1445543, DIVERSITY_MEAN_INTER_LIST: 0.9934664, DIVERSITY_HERFINDAHL: 0.9993074, COVERAGE_ITEM: 0.2422817, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4568146, SHANNON_ENTROPY: 11.3185501, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0761920, PRECISION: 0.0137673, PRECISION_RECALL_MIN_DEN: 0.0458909, RECALL: 0.0458909, MAP: 0.0179514, MRR: 0.0501290, NDCG: 0.0336978, F1: 0.0211804, HIT_RATE: 0.1376726, ARHR: 0.0519719, RMSE: 2.2694218, NOVELTY: 0.0052675, AVERAGE_POPULARITY: 0.6189354, DIVERSITY_MEAN_INTER_LIST: 0.8647910, DIVERSITY_HERFINDAHL: 0.9864450, COVERAGE_ITEM: 0.0587186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1512187, SHANNON_ENTROPY: 7.3696404, 
