SearchBayesianSkopt: New best config found. Config 0: {'topK': 387, 'shrink': 6, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0287894, PRECISION: 0.0050493, PRECISION_RECALL_MIN_DEN: 0.0168310, RECALL: 0.0168310, MAP: 0.0077533, MRR: 0.0215200, NDCG: 0.0135251, F1: 0.0077682, HIT_RATE: 0.0504931, ARHR: 0.0223406, RMSE: 1.1083148, NOVELTY: 0.0081768, AVERAGE_POPULARITY: 0.2091498, DIVERSITY_MEAN_INTER_LIST: 0.9186859, DIVERSITY_HERFINDAHL: 0.9918323, COVERAGE_ITEM: 0.0901865, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1539330, SHANNON_ENTROPY: 7.9824493, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 930, 'shrink': 658, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0672967, PRECISION: 0.0110454, PRECISION_RECALL_MIN_DEN: 0.0368179, RECALL: 0.0368179, MAP: 0.0154212, MRR: 0.0442420, NDCG: 0.0283504, F1: 0.0169929, HIT_RATE: 0.1104536, ARHR: 0.0451871, RMSE: 5.0366979, NOVELTY: 0.0063286, AVERAGE_POPULARITY: 0.2075518, DIVERSITY_MEAN_INTER_LIST: 0.9886679, DIVERSITY_HERFINDAHL: 0.9988278, COVERAGE_ITEM: 0.1903758, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3784104, SHANNON_ENTROPY: 10.6647768, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 769, 'shrink': 701, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0783284, PRECISION: 0.0131361, PRECISION_RECALL_MIN_DEN: 0.0437870, RECALL: 0.0437870, MAP: 0.0194231, MRR: 0.0541473, NDCG: 0.0345553, F1: 0.0202094, HIT_RATE: 0.1313609, ARHR: 0.0561426, RMSE: 3.6799091, NOVELTY: 0.0053289, AVERAGE_POPULARITY: 0.6476780, DIVERSITY_MEAN_INTER_LIST: 0.7926795, DIVERSITY_HERFINDAHL: 0.9792367, COVERAGE_ITEM: 0.0856988, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1139901, SHANNON_ENTROPY: 6.9673242, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 881, 'shrink': 530, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0497233, PRECISION: 0.0087574, PRECISION_RECALL_MIN_DEN: 0.0291913, RECALL: 0.0291913, MAP: 0.0121798, MRR: 0.0352226, NDCG: 0.0223911, F1: 0.0134729, HIT_RATE: 0.0875740, ARHR: 0.0358810, RMSE: 12.9432951, NOVELTY: 0.0049316, AVERAGE_POPULARITY: 0.8337910, DIVERSITY_MEAN_INTER_LIST: 0.4325578, DIVERSITY_HERFINDAHL: 0.9432387, COVERAGE_ITEM: 0.0047040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2011431, SHANNON_ENTROPY: 4.4623388, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 777, 'shrink': 217, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0587896, PRECISION: 0.0100986, PRECISION_RECALL_MIN_DEN: 0.0336621, RECALL: 0.0336621, MAP: 0.0146896, MRR: 0.0411795, NDCG: 0.0263179, F1: 0.0155363, HIT_RATE: 0.1009862, ARHR: 0.0425913, RMSE: 1.7270499, NOVELTY: 0.0054637, AVERAGE_POPULARITY: 0.6416965, DIVERSITY_MEAN_INTER_LIST: 0.7759459, DIVERSITY_HERFINDAHL: 0.9775640, COVERAGE_ITEM: 0.0443363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1092880, SHANNON_ENTROPY: 6.4813534, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 7, 'shrink': 916, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0822751, PRECISION: 0.0140039, PRECISION_RECALL_MIN_DEN: 0.0466798, RECALL: 0.0466798, MAP: 0.0204923, MRR: 0.0567169, NDCG: 0.0365570, F1: 0.0215445, HIT_RATE: 0.1400394, ARHR: 0.0590575, RMSE: 26.7696909, NOVELTY: 0.0053310, AVERAGE_POPULARITY: 0.5579596, DIVERSITY_MEAN_INTER_LIST: 0.9240475, DIVERSITY_HERFINDAHL: 0.9923683, COVERAGE_ITEM: 0.0406056, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2180370, SHANNON_ENTROPY: 7.7293124, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0972367, PRECISION: 0.0160552, PRECISION_RECALL_MIN_DEN: 0.0535174, RECALL: 0.0535174, MAP: 0.0236417, MRR: 0.0652572, NDCG: 0.0420829, F1: 0.0247003, HIT_RATE: 0.1605523, ARHR: 0.0680035, RMSE: 0.9236135, NOVELTY: 0.0057290, AVERAGE_POPULARITY: 0.3788267, DIVERSITY_MEAN_INTER_LIST: 0.9678572, DIVERSITY_HERFINDAHL: 0.9967475, COVERAGE_ITEM: 0.0816978, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2740303, SHANNON_ENTROPY: 9.0494000, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0644262, PRECISION: 0.0116371, PRECISION_RECALL_MIN_DEN: 0.0387903, RECALL: 0.0387903, MAP: 0.0150859, MRR: 0.0425383, NDCG: 0.0284356, F1: 0.0179032, HIT_RATE: 0.1163708, ARHR: 0.0438487, RMSE: 0.8059642, NOVELTY: 0.0063268, AVERAGE_POPULARITY: 0.3223797, DIVERSITY_MEAN_INTER_LIST: 0.9673102, DIVERSITY_HERFINDAHL: 0.9966929, COVERAGE_ITEM: 0.2733712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3205833, SHANNON_ENTROPY: 10.3550796, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 932, 'shrink': 996, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0500986, PRECISION: 0.0087179, PRECISION_RECALL_MIN_DEN: 0.0290598, RECALL: 0.0290598, MAP: 0.0122290, MRR: 0.0353732, NDCG: 0.0224129, F1: 0.0134122, HIT_RATE: 0.0871795, ARHR: 0.0360300, RMSE: 6.6593368, NOVELTY: 0.0049306, AVERAGE_POPULARITY: 0.8346840, DIVERSITY_MEAN_INTER_LIST: 0.4270399, DIVERSITY_HERFINDAHL: 0.9426871, COVERAGE_ITEM: 0.0047040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1989412, SHANNON_ENTROPY: 4.4431655, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0532873, PRECISION: 0.0081262, PRECISION_RECALL_MIN_DEN: 0.0270874, RECALL: 0.0270874, MAP: 0.0126183, MRR: 0.0358563, NDCG: 0.0221794, F1: 0.0125019, HIT_RATE: 0.0812623, ARHR: 0.0367899, RMSE: 0.9510743, NOVELTY: 0.0083236, AVERAGE_POPULARITY: 0.0381542, DIVERSITY_MEAN_INTER_LIST: 0.9974335, DIVERSITY_HERFINDAHL: 0.9997040, COVERAGE_ITEM: 0.4369289, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5451601, SHANNON_ENTROPY: 12.4030910, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 24, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0778243, PRECISION: 0.0130178, PRECISION_RECALL_MIN_DEN: 0.0433925, RECALL: 0.0433925, MAP: 0.0190174, MRR: 0.0535254, NDCG: 0.0341149, F1: 0.0200273, HIT_RATE: 0.1301775, ARHR: 0.0552888, RMSE: 42946.0814883, NOVELTY: 0.0051975, AVERAGE_POPULARITY: 0.6398904, DIVERSITY_MEAN_INTER_LIST: 0.8760985, DIVERSITY_HERFINDAHL: 0.9875753, COVERAGE_ITEM: 0.0310895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1856944, SHANNON_ENTROPY: 7.0750848, 
