SearchBayesianSkopt: New best config found. Config 0: {'topK': 387, 'shrink': 6, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0889531, PRECISION: 0.0142012, PRECISION_RECALL_MIN_DEN: 0.0473373, RECALL: 0.0473373, MAP: 0.0219799, MRR: 0.0603604, NDCG: 0.0383250, F1: 0.0218480, HIT_RATE: 0.1420118, ARHR: 0.0630350, RMSE: 0.7688186, NOVELTY: 0.0054406, AVERAGE_POPULARITY: 0.5599392, DIVERSITY_MEAN_INTER_LIST: 0.8841690, DIVERSITY_HERFINDAHL: 0.9883820, COVERAGE_ITEM: 0.0871046, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1398856, SHANNON_ENTROPY: 7.6735440, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 197, 'shrink': 929, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0715018, PRECISION: 0.0118343, PRECISION_RECALL_MIN_DEN: 0.0394477, RECALL: 0.0394477, MAP: 0.0178565, MRR: 0.0508334, NDCG: 0.0316986, F1: 0.0182066, HIT_RATE: 0.1183432, ARHR: 0.0522014, RMSE: 0.8741965, NOVELTY: 0.0050474, AVERAGE_POPULARITY: 0.7414806, DIVERSITY_MEAN_INTER_LIST: 0.7412604, DIVERSITY_HERFINDAHL: 0.9740968, COVERAGE_ITEM: 0.0188159, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1442856, SHANNON_ENTROPY: 5.9747994, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 814, 'shrink': 446, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0681186, PRECISION: 0.0117949, PRECISION_RECALL_MIN_DEN: 0.0393162, RECALL: 0.0393162, MAP: 0.0170034, MRR: 0.0482471, NDCG: 0.0306841, F1: 0.0181460, HIT_RATE: 0.1179487, ARHR: 0.0496287, RMSE: 0.7804612, NOVELTY: 0.0050003, AVERAGE_POPULARITY: 0.7769227, DIVERSITY_MEAN_INTER_LIST: 0.6342035, DIVERSITY_HERFINDAHL: 0.9633953, COVERAGE_ITEM: 0.0121114, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1482726, SHANNON_ENTROPY: 5.4029621, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 836, 'shrink': 335, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0690527, PRECISION: 0.0117554, PRECISION_RECALL_MIN_DEN: 0.0391847, RECALL: 0.0391847, MAP: 0.0176247, MRR: 0.0496123, NDCG: 0.0312359, F1: 0.0180853, HIT_RATE: 0.1175542, ARHR: 0.0512432, RMSE: 0.7672177, NOVELTY: 0.0050183, AVERAGE_POPULARITY: 0.7627275, DIVERSITY_MEAN_INTER_LIST: 0.6601270, DIVERSITY_HERFINDAHL: 0.9659867, COVERAGE_ITEM: 0.0137875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1450909, SHANNON_ENTROPY: 5.5499526, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 532, 'shrink': 416, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0713648, PRECISION: 0.0119132, PRECISION_RECALL_MIN_DEN: 0.0397107, RECALL: 0.0397107, MAP: 0.0176596, MRR: 0.0500981, NDCG: 0.0315406, F1: 0.0183280, HIT_RATE: 0.1191321, ARHR: 0.0515385, RMSE: 0.7876560, NOVELTY: 0.0050270, AVERAGE_POPULARITY: 0.7562001, DIVERSITY_MEAN_INTER_LIST: 0.6900978, DIVERSITY_HERFINDAHL: 0.9689826, COVERAGE_ITEM: 0.0153555, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1438381, SHANNON_ENTROPY: 5.6904571, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0744795, PRECISION: 0.0134517, PRECISION_RECALL_MIN_DEN: 0.0448389, RECALL: 0.0448389, MAP: 0.0177333, MRR: 0.0491545, NDCG: 0.0330307, F1: 0.0206949, HIT_RATE: 0.1345168, ARHR: 0.0511114, RMSE: 0.9433175, NOVELTY: 0.0077633, AVERAGE_POPULARITY: 0.1382625, DIVERSITY_MEAN_INTER_LIST: 0.9910491, DIVERSITY_HERFINDAHL: 0.9990658, COVERAGE_ITEM: 0.3678832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4600996, SHANNON_ENTROPY: 11.6467014, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 13, 'shrink': 999, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0868281, PRECISION: 0.0145562, PRECISION_RECALL_MIN_DEN: 0.0485207, RECALL: 0.0485207, MAP: 0.0218427, MRR: 0.0599396, NDCG: 0.0384980, F1: 0.0223942, HIT_RATE: 0.1455621, ARHR: 0.0627056, RMSE: 0.9641819, NOVELTY: 0.0053824, AVERAGE_POPULARITY: 0.5291241, DIVERSITY_MEAN_INTER_LIST: 0.9343349, DIVERSITY_HERFINDAHL: 0.9933966, COVERAGE_ITEM: 0.0430927, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2360859, SHANNON_ENTROPY: 7.9354580, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 989, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0630314, PRECISION: 0.0104536, PRECISION_RECALL_MIN_DEN: 0.0348455, RECALL: 0.0348455, MAP: 0.0155549, MRR: 0.0447013, NDCG: 0.0278296, F1: 0.0160825, HIT_RATE: 0.1045365, ARHR: 0.0456830, RMSE: 0.8307068, NOVELTY: 0.0049581, AVERAGE_POPULARITY: 0.8118769, DIVERSITY_MEAN_INTER_LIST: 0.5459826, DIVERSITY_HERFINDAHL: 0.9545767, COVERAGE_ITEM: 0.0080562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1632442, SHANNON_ENTROPY: 4.9688360, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0744795, PRECISION: 0.0134517, PRECISION_RECALL_MIN_DEN: 0.0448389, RECALL: 0.0448389, MAP: 0.0177333, MRR: 0.0491545, NDCG: 0.0330307, F1: 0.0206949, HIT_RATE: 0.1345168, ARHR: 0.0511114, RMSE: 0.9433175, NOVELTY: 0.0077633, AVERAGE_POPULARITY: 0.1382625, DIVERSITY_MEAN_INTER_LIST: 0.9910491, DIVERSITY_HERFINDAHL: 0.9990658, COVERAGE_ITEM: 0.3678832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4600996, SHANNON_ENTROPY: 11.6467014, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 988, 'shrink': 998, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0630342, PRECISION: 0.0103748, PRECISION_RECALL_MIN_DEN: 0.0345825, RECALL: 0.0345825, MAP: 0.0154891, MRR: 0.0446025, NDCG: 0.0276943, F1: 0.0159612, HIT_RATE: 0.1037475, ARHR: 0.0455349, RMSE: 0.8316951, NOVELTY: 0.0049581, AVERAGE_POPULARITY: 0.8118904, DIVERSITY_MEAN_INTER_LIST: 0.5461639, DIVERSITY_HERFINDAHL: 0.9545948, COVERAGE_ITEM: 0.0081103, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1624484, SHANNON_ENTROPY: 4.9711249, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 13, 'shrink': 998, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0867842, PRECISION: 0.0145562, PRECISION_RECALL_MIN_DEN: 0.0485207, RECALL: 0.0485207, MAP: 0.0218403, MRR: 0.0599325, NDCG: 0.0384947, F1: 0.0223942, HIT_RATE: 0.1455621, ARHR: 0.0626986, RMSE: 0.9641655, NOVELTY: 0.0053826, AVERAGE_POPULARITY: 0.5290333, DIVERSITY_MEAN_INTER_LIST: 0.9343627, DIVERSITY_HERFINDAHL: 0.9933994, COVERAGE_ITEM: 0.0430387, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2364475, SHANNON_ENTROPY: 7.9359428, 
