SearchBayesianSkopt: New best config found. Config 0: {'topK': 387, 'shrink': 6, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.38594989701184035, 'tversky_beta': 1.8588743501207619} - results: ROC_AUC: 0.0760018, PRECISION: 0.0127416, PRECISION_RECALL_MIN_DEN: 0.0424721, RECALL: 0.0424721, MAP: 0.0189014, MRR: 0.0530675, NDCG: 0.0336509, F1: 0.0196025, HIT_RATE: 0.1274162, ARHR: 0.0548577, RMSE: 0.8345183, NOVELTY: 0.0051516, AVERAGE_POPULARITY: 0.7113874, DIVERSITY_MEAN_INTER_LIST: 0.7736455, DIVERSITY_HERFINDAHL: 0.9773340, COVERAGE_ITEM: 0.0528792, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0954234, SHANNON_ENTROPY: 6.4300049, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 660, 'shrink': 454, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.536110461871193, 'tversky_beta': 1.4010436692899142} - results: ROC_AUC: 0.0706772, PRECISION: 0.0120710, PRECISION_RECALL_MIN_DEN: 0.0402367, RECALL: 0.0402367, MAP: 0.0182817, MRR: 0.0515220, NDCG: 0.0322667, F1: 0.0185708, HIT_RATE: 0.1207101, ARHR: 0.0531835, RMSE: 0.7990357, NOVELTY: 0.0050456, AVERAGE_POPULARITY: 0.7423955, DIVERSITY_MEAN_INTER_LIST: 0.7018212, DIVERSITY_HERFINDAHL: 0.9701544, COVERAGE_ITEM: 0.0167072, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1432436, SHANNON_ENTROPY: 5.7920492, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 836, 'shrink': 335, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0594244910245347, 'tversky_beta': 0.8323032431205912} - results: ROC_AUC: 0.0702252, PRECISION: 0.0117160, PRECISION_RECALL_MIN_DEN: 0.0390533, RECALL: 0.0390533, MAP: 0.0178857, MRR: 0.0503359, NDCG: 0.0314825, F1: 0.0180246, HIT_RATE: 0.1171598, ARHR: 0.0519965, RMSE: 0.7628098, NOVELTY: 0.0050295, AVERAGE_POPULARITY: 0.7538154, DIVERSITY_MEAN_INTER_LIST: 0.6760012, DIVERSITY_HERFINDAHL: 0.9675735, COVERAGE_ITEM: 0.0145445, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1464122, SHANNON_ENTROPY: 5.6374643, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 615, 'shrink': 316, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7547114992043473, 'tversky_beta': 0.9382224190518393} - results: ROC_AUC: 0.0762617, PRECISION: 0.0127416, PRECISION_RECALL_MIN_DEN: 0.0424721, RECALL: 0.0424721, MAP: 0.0190630, MRR: 0.0531566, NDCG: 0.0337644, F1: 0.0196025, HIT_RATE: 0.1274162, ARHR: 0.0551446, RMSE: 0.7667811, NOVELTY: 0.0051256, AVERAGE_POPULARITY: 0.6838061, DIVERSITY_MEAN_INTER_LIST: 0.7809401, DIVERSITY_HERFINDAHL: 0.9780632, COVERAGE_ITEM: 0.0231414, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1503920, SHANNON_ENTROPY: 6.3108227, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 160, 'shrink': 32, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.3390241937287182, 'tversky_beta': 1.8838002920299772} - results: ROC_AUC: 0.0847735, PRECISION: 0.0144379, PRECISION_RECALL_MIN_DEN: 0.0481262, RECALL: 0.0481262, MAP: 0.0207947, MRR: 0.0581255, NDCG: 0.0374215, F1: 0.0222121, HIT_RATE: 0.1443787, ARHR: 0.0601957, RMSE: 0.8696981, NOVELTY: 0.0051992, AVERAGE_POPULARITY: 0.6601056, DIVERSITY_MEAN_INTER_LIST: 0.8456160, DIVERSITY_HERFINDAHL: 0.9845282, COVERAGE_ITEM: 0.0419573, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1439734, SHANNON_ENTROPY: 6.9632604, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 47, 'shrink': 860, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.11486738360287599, 'tversky_beta': 0.007576638082758437} - results: ROC_AUC: 0.0711593, PRECISION: 0.0120316, PRECISION_RECALL_MIN_DEN: 0.0401052, RECALL: 0.0401052, MAP: 0.0178030, MRR: 0.0505318, NDCG: 0.0318146, F1: 0.0185101, HIT_RATE: 0.1203156, ARHR: 0.0519704, RMSE: 0.8945785, NOVELTY: 0.0051293, AVERAGE_POPULARITY: 0.6852518, DIVERSITY_MEAN_INTER_LIST: 0.8342352, DIVERSITY_HERFINDAHL: 0.9833906, COVERAGE_ITEM: 0.0273047, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1622810, SHANNON_ENTROPY: 6.6693745, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0958830, PRECISION: 0.0168047, PRECISION_RECALL_MIN_DEN: 0.0560158, RECALL: 0.0560158, MAP: 0.0232716, MRR: 0.0643948, NDCG: 0.0424715, F1: 0.0258534, HIT_RATE: 0.1680473, ARHR: 0.0670555, RMSE: 0.9826892, NOVELTY: 0.0055462, AVERAGE_POPULARITY: 0.4479318, DIVERSITY_MEAN_INTER_LIST: 0.9546012, DIVERSITY_HERFINDAHL: 0.9954225, COVERAGE_ITEM: 0.0502839, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2844933, SHANNON_ENTROPY: 8.4415304, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 993, 'shrink': 919, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.00037280064234246357, 'tversky_beta': 0.0793847439742479} - results: ROC_AUC: 0.0569444, PRECISION: 0.0093097, PRECISION_RECALL_MIN_DEN: 0.0310322, RECALL: 0.0310322, MAP: 0.0139555, MRR: 0.0405166, NDCG: 0.0249626, F1: 0.0143226, HIT_RATE: 0.0930966, ARHR: 0.0411916, RMSE: 0.8142863, NOVELTY: 0.0049232, AVERAGE_POPULARITY: 0.8428425, DIVERSITY_MEAN_INTER_LIST: 0.4541148, DIVERSITY_HERFINDAHL: 0.9453936, COVERAGE_ITEM: 0.0054069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1842131, SHANNON_ENTROPY: 4.5502519, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0958830, PRECISION: 0.0168047, PRECISION_RECALL_MIN_DEN: 0.0560158, RECALL: 0.0560158, MAP: 0.0232716, MRR: 0.0643948, NDCG: 0.0424715, F1: 0.0258534, HIT_RATE: 0.1680473, ARHR: 0.0670555, RMSE: 0.9826892, NOVELTY: 0.0055462, AVERAGE_POPULARITY: 0.4479318, DIVERSITY_MEAN_INTER_LIST: 0.9546012, DIVERSITY_HERFINDAHL: 0.9954225, COVERAGE_ITEM: 0.0502839, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2844933, SHANNON_ENTROPY: 8.4415304, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 38, 'shrink': 28, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9175141225094496, 'tversky_beta': 0.00172470462339458} - results: ROC_AUC: 0.0631665, PRECISION: 0.0099803, PRECISION_RECALL_MIN_DEN: 0.0332676, RECALL: 0.0332676, MAP: 0.0154883, MRR: 0.0433526, NDCG: 0.0270977, F1: 0.0153543, HIT_RATE: 0.0998028, ARHR: 0.0448313, RMSE: 0.7446323, NOVELTY: 0.0067897, AVERAGE_POPULARITY: 0.1310515, DIVERSITY_MEAN_INTER_LIST: 0.9854701, DIVERSITY_HERFINDAHL: 0.9985081, COVERAGE_ITEM: 0.1864828, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3402539, SHANNON_ENTROPY: 10.4473670, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 748, 'shrink': 980, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.15044737435039715, 'tversky_beta': 1.9942072954624135} - results: ROC_AUC: 0.0592812, PRECISION: 0.0095858, PRECISION_RECALL_MIN_DEN: 0.0319527, RECALL: 0.0319527, MAP: 0.0146247, MRR: 0.0425373, NDCG: 0.0259949, F1: 0.0147474, HIT_RATE: 0.0958580, ARHR: 0.0432058, RMSE: 0.8457962, NOVELTY: 0.0049357, AVERAGE_POPULARITY: 0.8317021, DIVERSITY_MEAN_INTER_LIST: 0.5074675, DIVERSITY_HERFINDAHL: 0.9507267, COVERAGE_ITEM: 0.0072993, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1575751, SHANNON_ENTROPY: 4.7672365, 
