SearchBayesianSkopt: New best config found. Config 0: {'topK': 985, 'shrink': 515, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0929108, PRECISION: 0.0146906, PRECISION_RECALL_MIN_DEN: 0.0489688, RECALL: 0.0489688, MAP: 0.0243974, MRR: 0.0674608, NDCG: 0.0414280, F1: 0.0226010, HIT_RATE: 0.1469064, ARHR: 0.0703265, RMSE: 0.9947845, NOVELTY: 0.0056796, AVERAGE_POPULARITY: 0.4592554, DIVERSITY_MEAN_INTER_LIST: 0.9456952, DIVERSITY_HERFINDAHL: 0.9945407, COVERAGE_ITEM: 0.2063260, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1949504, SHANNON_ENTROPY: 9.1667583, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 811, 'shrink': 106, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0907688, PRECISION: 0.0141420, PRECISION_RECALL_MIN_DEN: 0.0471401, RECALL: 0.0471401, MAP: 0.0249342, MRR: 0.0680536, NDCG: 0.0412160, F1: 0.0217570, HIT_RATE: 0.1414203, ARHR: 0.0713558, RMSE: 0.9908621, NOVELTY: 0.0061113, AVERAGE_POPULARITY: 0.3163517, DIVERSITY_MEAN_INTER_LIST: 0.9804863, DIVERSITY_HERFINDAHL: 0.9980187, COVERAGE_ITEM: 0.2862936, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2894210, SHANNON_ENTROPY: 10.5400165, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 234, 'shrink': 448, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0928512, PRECISION: 0.0141420, PRECISION_RECALL_MIN_DEN: 0.0471401, RECALL: 0.0471401, MAP: 0.0245684, MRR: 0.0677768, NDCG: 0.0410025, F1: 0.0217570, HIT_RATE: 0.1414203, ARHR: 0.0706786, RMSE: 0.9956454, NOVELTY: 0.0059642, AVERAGE_POPULARITY: 0.3802572, DIVERSITY_MEAN_INTER_LIST: 0.9677989, DIVERSITY_HERFINDAHL: 0.9967504, COVERAGE_ITEM: 0.2763450, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2522387, SHANNON_ENTROPY: 10.0446509, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 78, 'shrink': 649, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0902016, PRECISION: 0.0137153, PRECISION_RECALL_MIN_DEN: 0.0457178, RECALL: 0.0457178, MAP: 0.0235024, MRR: 0.0649259, NDCG: 0.0394838, F1: 0.0211005, HIT_RATE: 0.1371533, ARHR: 0.0677165, RMSE: 0.9972720, NOVELTY: 0.0062607, AVERAGE_POPULARITY: 0.3122285, DIVERSITY_MEAN_INTER_LIST: 0.9803681, DIVERSITY_HERFINDAHL: 0.9980069, COVERAGE_ITEM: 0.3411733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3115317, SHANNON_ENTROPY: 10.7777462, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 65, 'shrink': 411, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0915305, PRECISION: 0.0137153, PRECISION_RECALL_MIN_DEN: 0.0457178, RECALL: 0.0457178, MAP: 0.0240663, MRR: 0.0663687, NDCG: 0.0400582, F1: 0.0211005, HIT_RATE: 0.1371533, ARHR: 0.0692669, RMSE: 0.9967825, NOVELTY: 0.0062948, AVERAGE_POPULARITY: 0.2957586, DIVERSITY_MEAN_INTER_LIST: 0.9835646, DIVERSITY_HERFINDAHL: 0.9983265, COVERAGE_ITEM: 0.3412274, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3169281, SHANNON_ENTROPY: 10.8857201, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 982, 'shrink': 998, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0906947, PRECISION: 0.0145383, PRECISION_RECALL_MIN_DEN: 0.0484608, RECALL: 0.0484608, MAP: 0.0234850, MRR: 0.0651598, NDCG: 0.0403360, F1: 0.0223665, HIT_RATE: 0.1453825, ARHR: 0.0678074, RMSE: 0.9965128, NOVELTY: 0.0055874, AVERAGE_POPULARITY: 0.5040890, DIVERSITY_MEAN_INTER_LIST: 0.9254515, DIVERSITY_HERFINDAHL: 0.9925169, COVERAGE_ITEM: 0.1965937, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1743775, SHANNON_ENTROPY: 8.7499212, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 988, 'shrink': 2, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0790455, PRECISION: 0.0118866, PRECISION_RECALL_MIN_DEN: 0.0396221, RECALL: 0.0396221, MAP: 0.0223420, MRR: 0.0608205, NDCG: 0.0360745, F1: 0.0182871, HIT_RATE: 0.1188662, ARHR: 0.0639042, RMSE: 0.9871943, NOVELTY: 0.0071736, AVERAGE_POPULARITY: 0.1784848, DIVERSITY_MEAN_INTER_LIST: 0.9935480, DIVERSITY_HERFINDAHL: 0.9993245, COVERAGE_ITEM: 0.5138686, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4572505, SHANNON_ENTROPY: 12.1314715, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 8, 'shrink': 991, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0801878, PRECISION: 0.0115209, PRECISION_RECALL_MIN_DEN: 0.0384029, RECALL: 0.0384029, MAP: 0.0215983, MRR: 0.0599066, NDCG: 0.0351588, F1: 0.0177244, HIT_RATE: 0.1152088, ARHR: 0.0623317, RMSE: 0.9988671, NOVELTY: 0.0069593, AVERAGE_POPULARITY: 0.1680076, DIVERSITY_MEAN_INTER_LIST: 0.9833288, DIVERSITY_HERFINDAHL: 0.9983029, COVERAGE_ITEM: 0.4118951, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3885528, SHANNON_ENTROPY: 11.4419520, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 11, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0841458, PRECISION: 0.0119171, PRECISION_RECALL_MIN_DEN: 0.0397237, RECALL: 0.0397237, MAP: 0.0238469, MRR: 0.0653019, NDCG: 0.0377879, F1: 0.0183340, HIT_RATE: 0.1191710, ARHR: 0.0683958, RMSE: 0.9964831, NOVELTY: 0.0072191, AVERAGE_POPULARITY: 0.1338402, DIVERSITY_MEAN_INTER_LIST: 0.9007681, DIVERSITY_HERFINDAHL: 0.9900494, COVERAGE_ITEM: 0.3367397, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3064208, SHANNON_ENTROPY: 10.0041463, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 987, 'shrink': 996, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0906757, PRECISION: 0.0145383, PRECISION_RECALL_MIN_DEN: 0.0484608, RECALL: 0.0484608, MAP: 0.0234833, MRR: 0.0651750, NDCG: 0.0403371, F1: 0.0223665, HIT_RATE: 0.1453825, ARHR: 0.0678125, RMSE: 0.9965062, NOVELTY: 0.0055872, AVERAGE_POPULARITY: 0.5041207, DIVERSITY_MEAN_INTER_LIST: 0.9254109, DIVERSITY_HERFINDAHL: 0.9925129, COVERAGE_ITEM: 0.1965937, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1743735, SHANNON_ENTROPY: 8.7497301, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 10, 'shrink': 6, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0836345, PRECISION: 0.0127400, PRECISION_RECALL_MIN_DEN: 0.0424667, RECALL: 0.0424667, MAP: 0.0241626, MRR: 0.0655261, NDCG: 0.0388102, F1: 0.0196000, HIT_RATE: 0.1274002, ARHR: 0.0689493, RMSE: 0.9959340, NOVELTY: 0.0071424, AVERAGE_POPULARITY: 0.1606398, DIVERSITY_MEAN_INTER_LIST: 0.9855137, DIVERSITY_HERFINDAHL: 0.9985213, COVERAGE_ITEM: 0.4369289, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4060005, SHANNON_ENTROPY: 11.6114356, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 991, 'shrink': 7, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0817250, PRECISION: 0.0123743, PRECISION_RECALL_MIN_DEN: 0.0412476, RECALL: 0.0412476, MAP: 0.0232614, MRR: 0.0633982, NDCG: 0.0375607, F1: 0.0190373, HIT_RATE: 0.1237428, ARHR: 0.0665721, RMSE: 0.9874938, NOVELTY: 0.0070265, AVERAGE_POPULARITY: 0.1916829, DIVERSITY_MEAN_INTER_LIST: 0.9926604, DIVERSITY_HERFINDAHL: 0.9992358, COVERAGE_ITEM: 0.4966748, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4406501, SHANNON_ENTROPY: 12.0006611, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0818832, PRECISION: 0.0115514, PRECISION_RECALL_MIN_DEN: 0.0385045, RECALL: 0.0385045, MAP: 0.0225886, MRR: 0.0618353, NDCG: 0.0361004, F1: 0.0177713, HIT_RATE: 0.1155136, ARHR: 0.0647752, RMSE: 0.9963032, NOVELTY: 0.0072697, AVERAGE_POPULARITY: 0.1318023, DIVERSITY_MEAN_INTER_LIST: 0.8673896, DIVERSITY_HERFINDAHL: 0.9867125, COVERAGE_ITEM: 0.2933225, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2753291, SHANNON_ENTROPY: 9.4910878, 
