SearchBayesianSkopt: New best config found. Config 0: {'topK': 898, 'shrink': 307, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9937748335692118, 'tversky_beta': 1.9711868110221986} - results: ROC_AUC: 0.0933066, PRECISION: 0.0147516, PRECISION_RECALL_MIN_DEN: 0.0491720, RECALL: 0.0491720, MAP: 0.0246606, MRR: 0.0678642, NDCG: 0.0417058, F1: 0.0226948, HIT_RATE: 0.1475160, ARHR: 0.0708860, RMSE: 0.9945965, NOVELTY: 0.0057567, AVERAGE_POPULARITY: 0.4329283, DIVERSITY_MEAN_INTER_LIST: 0.9532693, DIVERSITY_HERFINDAHL: 0.9952979, COVERAGE_ITEM: 0.2221682, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2142190, SHANNON_ENTROPY: 9.4536219, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 601, 'shrink': 193, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9819604157749817, 'tversky_beta': 0.5892540120256232} - results: ROC_AUC: 0.0877539, PRECISION: 0.0131667, PRECISION_RECALL_MIN_DEN: 0.0438891, RECALL: 0.0438891, MAP: 0.0241270, MRR: 0.0659357, NDCG: 0.0393871, F1: 0.0202565, HIT_RATE: 0.1316672, ARHR: 0.0691088, RMSE: 0.9931084, NOVELTY: 0.0063291, AVERAGE_POPULARITY: 0.2418583, DIVERSITY_MEAN_INTER_LIST: 0.9897818, DIVERSITY_HERFINDAHL: 0.9989480, COVERAGE_ITEM: 0.3103541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3301023, SHANNON_ENTROPY: 11.0576584, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 917, 'shrink': 716, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0544312655344468, 'tversky_beta': 0.1838378781728505} - results: ROC_AUC: 0.0918186, PRECISION: 0.0144773, PRECISION_RECALL_MIN_DEN: 0.0482576, RECALL: 0.0482576, MAP: 0.0239796, MRR: 0.0666153, NDCG: 0.0408133, F1: 0.0222728, HIT_RATE: 0.1447729, ARHR: 0.0692771, RMSE: 0.9948615, NOVELTY: 0.0056623, AVERAGE_POPULARITY: 0.4671612, DIVERSITY_MEAN_INTER_LIST: 0.9432617, DIVERSITY_HERFINDAHL: 0.9942974, COVERAGE_ITEM: 0.2039470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1892329, SHANNON_ENTROPY: 9.0814976, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 966, 'shrink': 665, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6632846090200668, 'tversky_beta': 0.3239650168520332} - results: ROC_AUC: 0.0938929, PRECISION: 0.0145687, PRECISION_RECALL_MIN_DEN: 0.0485624, RECALL: 0.0485624, MAP: 0.0247360, MRR: 0.0681974, NDCG: 0.0416157, F1: 0.0224134, HIT_RATE: 0.1456873, ARHR: 0.0711620, RMSE: 0.9952876, NOVELTY: 0.0057804, AVERAGE_POPULARITY: 0.4125995, DIVERSITY_MEAN_INTER_LIST: 0.9620139, DIVERSITY_HERFINDAHL: 0.9961721, COVERAGE_ITEM: 0.2170857, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2156750, SHANNON_ENTROPY: 9.5609531, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 102, 'shrink': 172, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.781858784546487, 'tversky_beta': 1.9363807552779426} - results: ROC_AUC: 0.0921618, PRECISION: 0.0142335, PRECISION_RECALL_MIN_DEN: 0.0474449, RECALL: 0.0474449, MAP: 0.0250198, MRR: 0.0682652, NDCG: 0.0414243, F1: 0.0218976, HIT_RATE: 0.1423347, ARHR: 0.0716148, RMSE: 0.9961467, NOVELTY: 0.0060313, AVERAGE_POPULARITY: 0.3491929, DIVERSITY_MEAN_INTER_LIST: 0.9759307, DIVERSITY_HERFINDAHL: 0.9975633, COVERAGE_ITEM: 0.2768856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2692328, SHANNON_ENTROPY: 10.3097676, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 32, 'shrink': 966, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.04551686236488229, 'tversky_beta': 0.11440396454142723} - results: ROC_AUC: 0.0857504, PRECISION: 0.0125571, PRECISION_RECALL_MIN_DEN: 0.0418572, RECALL: 0.0418572, MAP: 0.0224866, MRR: 0.0629165, NDCG: 0.0373007, F1: 0.0193187, HIT_RATE: 0.1255715, ARHR: 0.0651729, RMSE: 0.9975287, NOVELTY: 0.0066117, AVERAGE_POPULARITY: 0.2472075, DIVERSITY_MEAN_INTER_LIST: 0.9875941, DIVERSITY_HERFINDAHL: 0.9987293, COVERAGE_ITEM: 0.4108137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3821278, SHANNON_ENTROPY: 11.4541159, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0819213, PRECISION: 0.0115514, PRECISION_RECALL_MIN_DEN: 0.0385045, RECALL: 0.0385045, MAP: 0.0226157, MRR: 0.0618353, NDCG: 0.0361166, F1: 0.0177713, HIT_RATE: 0.1155136, ARHR: 0.0648158, RMSE: 0.9976493, NOVELTY: 0.0072697, AVERAGE_POPULARITY: 0.1318026, DIVERSITY_MEAN_INTER_LIST: 0.8674008, DIVERSITY_HERFINDAHL: 0.9867136, COVERAGE_ITEM: 0.2933225, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2753291, SHANNON_ENTROPY: 9.4911803, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 867, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.059627745518338285, 'tversky_beta': 1.7703867044760933} - results: ROC_AUC: 0.0861462, PRECISION: 0.0135020, PRECISION_RECALL_MIN_DEN: 0.0450066, RECALL: 0.0450066, MAP: 0.0221191, MRR: 0.0616413, NDCG: 0.0378621, F1: 0.0207723, HIT_RATE: 0.1350198, ARHR: 0.0639993, RMSE: 0.9964128, NOVELTY: 0.0055254, AVERAGE_POPULARITY: 0.5431865, DIVERSITY_MEAN_INTER_LIST: 0.8976893, DIVERSITY_HERFINDAHL: 0.9897416, COVERAGE_ITEM: 0.1948094, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1635517, SHANNON_ENTROPY: 8.4003978, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 30, 'shrink': 2, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.07389665789291368, 'tversky_beta': 0.2013116625076397} - results: ROC_AUC: 0.0919928, PRECISION: 0.0140811, PRECISION_RECALL_MIN_DEN: 0.0469369, RECALL: 0.0469369, MAP: 0.0259135, MRR: 0.0699143, NDCG: 0.0420281, F1: 0.0216632, HIT_RATE: 0.1408107, ARHR: 0.0737597, RMSE: 0.9812312, NOVELTY: 0.0067525, AVERAGE_POPULARITY: 0.2383161, DIVERSITY_MEAN_INTER_LIST: 0.9901449, DIVERSITY_HERFINDAHL: 0.9989843, COVERAGE_ITEM: 0.4357935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3863857, SHANNON_ENTROPY: 11.5718603, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 929, 'shrink': 35, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9315081068454814, 'tversky_beta': 0.024084938879160196} - results: ROC_AUC: 0.0655034, PRECISION: 0.0088388, PRECISION_RECALL_MIN_DEN: 0.0294626, RECALL: 0.0294626, MAP: 0.0185903, MRR: 0.0522323, NDCG: 0.0291986, F1: 0.0135981, HIT_RATE: 0.0883877, ARHR: 0.0540016, RMSE: 0.9844272, NOVELTY: 0.0076846, AVERAGE_POPULARITY: 0.0547286, DIVERSITY_MEAN_INTER_LIST: 0.9974361, DIVERSITY_HERFINDAHL: 0.9997132, COVERAGE_ITEM: 0.4711003, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4940495, SHANNON_ENTROPY: 12.4052793, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 49, 'shrink': 958, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.07007042653725716, 'tversky_beta': 1.993927928642044} - results: ROC_AUC: 0.0894333, PRECISION: 0.0135020, PRECISION_RECALL_MIN_DEN: 0.0450066, RECALL: 0.0450066, MAP: 0.0230993, MRR: 0.0640558, NDCG: 0.0388784, F1: 0.0207723, HIT_RATE: 0.1350198, ARHR: 0.0666768, RMSE: 0.9981722, NOVELTY: 0.0062996, AVERAGE_POPULARITY: 0.3100781, DIVERSITY_MEAN_INTER_LIST: 0.9805125, DIVERSITY_HERFINDAHL: 0.9980214, COVERAGE_ITEM: 0.3535009, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3199855, SHANNON_ENTROPY: 10.8508071, 
