SearchBayesianSkopt: New best config found. Config 0: {'topK': 85, 'shrink': 539, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.979836553603295, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0880631, PRECISION: 0.0140199, PRECISION_RECALL_MIN_DEN: 0.0467330, RECALL: 0.0467330, MAP: 0.0220068, MRR: 0.0624149, NDCG: 0.0384664, F1: 0.0215691, HIT_RATE: 0.1401991, ARHR: 0.0642176, RMSE: 0.9595572, NOVELTY: 0.0053814, AVERAGE_POPULARITY: 0.5283109, DIVERSITY_MEAN_INTER_LIST: 0.9222542, DIVERSITY_HERFINDAHL: 0.9922104, COVERAGE_ITEM: 0.0679643, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1522204, SHANNON_ENTROPY: 7.8607688, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 247, 'shrink': 114, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7762305893306107, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0025366, PRECISION: 0.0005060, PRECISION_RECALL_MIN_DEN: 0.0016865, RECALL: 0.0016865, MAP: 0.0005827, MRR: 0.0016393, NDCG: 0.0011565, F1: 0.0007784, HIT_RATE: 0.0050596, ARHR: 0.0016937, RMSE: 1.2202414, NOVELTY: 0.0087857, AVERAGE_POPULARITY: 0.0081227, DIVERSITY_MEAN_INTER_LIST: 0.9855457, DIVERSITY_HERFINDAHL: 0.9985385, COVERAGE_ITEM: 0.3405245, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3025623, SHANNON_ENTROPY: 11.0179799, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 53, 'shrink': 381, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.692024768839068, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0932572, PRECISION: 0.0148033, PRECISION_RECALL_MIN_DEN: 0.0493444, RECALL: 0.0493444, MAP: 0.0236625, MRR: 0.0665639, NDCG: 0.0409695, F1: 0.0227744, HIT_RATE: 0.1480333, ARHR: 0.0687549, RMSE: 0.8332459, NOVELTY: 0.0071908, AVERAGE_POPULARITY: 0.2116512, DIVERSITY_MEAN_INTER_LIST: 0.9887153, DIVERSITY_HERFINDAHL: 0.9988554, COVERAGE_ITEM: 0.4967288, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3357085, SHANNON_ENTROPY: 11.5031039, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 268, 'shrink': 709, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.22895182103822315, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0891648, PRECISION: 0.0153093, PRECISION_RECALL_MIN_DEN: 0.0510310, RECALL: 0.0510310, MAP: 0.0219779, MRR: 0.0621637, NDCG: 0.0397030, F1: 0.0235527, HIT_RATE: 0.1530929, ARHR: 0.0640035, RMSE: 0.8129936, NOVELTY: 0.0055058, AVERAGE_POPULARITY: 0.5510459, DIVERSITY_MEAN_INTER_LIST: 0.9064718, DIVERSITY_HERFINDAHL: 0.9906324, COVERAGE_ITEM: 0.2155718, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1136790, SHANNON_ENTROPY: 8.2077997, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 268, 'shrink': 180, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2695062023101098, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0931801, PRECISION: 0.0149665, PRECISION_RECALL_MIN_DEN: 0.0498885, RECALL: 0.0498885, MAP: 0.0233356, MRR: 0.0662385, NDCG: 0.0408916, F1: 0.0230254, HIT_RATE: 0.1496654, ARHR: 0.0681055, RMSE: 0.8749929, NOVELTY: 0.0054339, AVERAGE_POPULARITY: 0.4971770, DIVERSITY_MEAN_INTER_LIST: 0.9250644, DIVERSITY_HERFINDAHL: 0.9924913, COVERAGE_ITEM: 0.0653149, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1643607, SHANNON_ENTROPY: 7.9346732, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 344, 'shrink': 482, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9778162926179088, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0456914, PRECISION: 0.0072466, PRECISION_RECALL_MIN_DEN: 0.0241554, RECALL: 0.0241554, MAP: 0.0112281, MRR: 0.0320298, NDCG: 0.0197570, F1: 0.0111486, HIT_RATE: 0.0724661, ARHR: 0.0328571, RMSE: 0.8461610, NOVELTY: 0.0072748, AVERAGE_POPULARITY: 0.0693096, DIVERSITY_MEAN_INTER_LIST: 0.9866867, DIVERSITY_HERFINDAHL: 0.9986526, COVERAGE_ITEM: 0.3676669, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2930742, SHANNON_ENTROPY: 11.0309308, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 484, 'shrink': 686, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9083079729203243, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0649844, PRECISION: 0.0101681, PRECISION_RECALL_MIN_DEN: 0.0338937, RECALL: 0.0338937, MAP: 0.0161958, MRR: 0.0462661, NDCG: 0.0282122, F1: 0.0156432, HIT_RATE: 0.1016811, ARHR: 0.0474268, RMSE: 0.7924063, NOVELTY: 0.0069111, AVERAGE_POPULARITY: 0.1089776, DIVERSITY_MEAN_INTER_LIST: 0.9823969, DIVERSITY_HERFINDAHL: 0.9982237, COVERAGE_ITEM: 0.3027305, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2639146, SHANNON_ENTROPY: 10.6024616, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 240, 'shrink': 325, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.33545433554684495, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0866931, PRECISION: 0.0140852, PRECISION_RECALL_MIN_DEN: 0.0469507, RECALL: 0.0469507, MAP: 0.0213502, MRR: 0.0603300, NDCG: 0.0377814, F1: 0.0216695, HIT_RATE: 0.1408520, ARHR: 0.0621563, RMSE: 0.8393686, NOVELTY: 0.0062098, AVERAGE_POPULARITY: 0.4297397, DIVERSITY_MEAN_INTER_LIST: 0.9371769, DIVERSITY_HERFINDAHL: 0.9937024, COVERAGE_ITEM: 0.4304947, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2136157, SHANNON_ENTROPY: 9.6424689, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 148, 'shrink': 832, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3809267433875445, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0816026, PRECISION: 0.0131875, PRECISION_RECALL_MIN_DEN: 0.0439584, RECALL: 0.0439584, MAP: 0.0203078, MRR: 0.0580198, NDCG: 0.0358082, F1: 0.0202885, HIT_RATE: 0.1318753, ARHR: 0.0594715, RMSE: 0.9656845, NOVELTY: 0.0051682, AVERAGE_POPULARITY: 0.6681610, DIVERSITY_MEAN_INTER_LIST: 0.8280672, DIVERSITY_HERFINDAHL: 0.9827932, COVERAGE_ITEM: 0.0461206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1072512, SHANNON_ENTROPY: 6.7283919, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 879, 'shrink': 663, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.21924859525832413, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0626417, PRECISION: 0.0104782, PRECISION_RECALL_MIN_DEN: 0.0349274, RECALL: 0.0349274, MAP: 0.0152736, MRR: 0.0445435, NDCG: 0.0276503, F1: 0.0161203, HIT_RATE: 0.1047821, ARHR: 0.0451822, RMSE: 0.9410483, NOVELTY: 0.0049769, AVERAGE_POPULARITY: 0.8117021, DIVERSITY_MEAN_INTER_LIST: 0.5337176, DIVERSITY_HERFINDAHL: 0.9533630, COVERAGE_ITEM: 0.0138956, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0950163, SHANNON_ENTROPY: 4.9404595, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 324, 'shrink': 516, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1826418615381953, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0802085, PRECISION: 0.0130570, PRECISION_RECALL_MIN_DEN: 0.0435232, RECALL: 0.0435232, MAP: 0.0201124, MRR: 0.0576780, NDCG: 0.0354798, F1: 0.0200876, HIT_RATE: 0.1305696, ARHR: 0.0589986, RMSE: 0.9367067, NOVELTY: 0.0051281, AVERAGE_POPULARITY: 0.6937267, DIVERSITY_MEAN_INTER_LIST: 0.7896437, DIVERSITY_HERFINDAHL: 0.9789515, COVERAGE_ITEM: 0.0372533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1018427, SHANNON_ENTROPY: 6.3846253, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 648, 'shrink': 50, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6189735996289736, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0002539, PRECISION: 0.0000490, PRECISION_RECALL_MIN_DEN: 0.0001632, RECALL: 0.0001632, MAP: 0.0000441, MRR: 0.0001324, NDCG: 0.0001010, F1: 0.0000753, HIT_RATE: 0.0004896, ARHR: 0.0001324, RMSE: 1.8558909, NOVELTY: 0.0093250, AVERAGE_POPULARITY: 0.0034157, DIVERSITY_MEAN_INTER_LIST: 0.8625122, DIVERSITY_HERFINDAHL: 0.9862371, COVERAGE_ITEM: 0.1425791, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1077943, SHANNON_ENTROPY: 7.6040853, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 81, 'shrink': 480, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6115453927392035, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0989436, PRECISION: 0.0159458, PRECISION_RECALL_MIN_DEN: 0.0531527, RECALL: 0.0531527, MAP: 0.0248008, MRR: 0.0696120, NDCG: 0.0433752, F1: 0.0245320, HIT_RATE: 0.1594581, ARHR: 0.0719937, RMSE: 0.8210556, NOVELTY: 0.0066367, AVERAGE_POPULARITY: 0.2988539, DIVERSITY_MEAN_INTER_LIST: 0.9787769, DIVERSITY_HERFINDAHL: 0.9978617, COVERAGE_ITEM: 0.4532576, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2635173, SHANNON_ENTROPY: 10.7503387, 
