SearchBayesianSkopt: New best config found. Config 0: {'topK': 85, 'shrink': 539, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0979013, PRECISION: 0.0159458, PRECISION_RECALL_MIN_DEN: 0.0531527, RECALL: 0.0531527, MAP: 0.0241870, MRR: 0.0684807, NDCG: 0.0428238, F1: 0.0245320, HIT_RATE: 0.1594581, ARHR: 0.0705126, RMSE: 2.0935145, NOVELTY: 0.0054202, AVERAGE_POPULARITY: 0.5381007, DIVERSITY_MEAN_INTER_LIST: 0.9251375, DIVERSITY_HERFINDAHL: 0.9924987, COVERAGE_ITEM: 0.1012706, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1382906, SHANNON_ENTROPY: 8.1329741, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 104, 'shrink': 243, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0803549, PRECISION: 0.0126163, PRECISION_RECALL_MIN_DEN: 0.0420543, RECALL: 0.0420543, MAP: 0.0203756, MRR: 0.0572116, NDCG: 0.0351341, F1: 0.0194097, HIT_RATE: 0.1261629, ARHR: 0.0591576, RMSE: 0.8612400, NOVELTY: 0.0073557, AVERAGE_POPULARITY: 0.2401738, DIVERSITY_MEAN_INTER_LIST: 0.9819962, DIVERSITY_HERFINDAHL: 0.9981836, COVERAGE_ITEM: 0.4887267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3292059, SHANNON_ENTROPY: 11.2904302, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 889, 'shrink': 913, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0643826, PRECISION: 0.0105435, PRECISION_RECALL_MIN_DEN: 0.0351450, RECALL: 0.0351450, MAP: 0.0155139, MRR: 0.0451904, NDCG: 0.0279916, F1: 0.0162208, HIT_RATE: 0.1054350, ARHR: 0.0458661, RMSE: 0.9535664, NOVELTY: 0.0049827, AVERAGE_POPULARITY: 0.8067049, DIVERSITY_MEAN_INTER_LIST: 0.5473914, DIVERSITY_HERFINDAHL: 0.9547302, COVERAGE_ITEM: 0.0143823, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0960684, SHANNON_ENTROPY: 5.0061972, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 395, 'shrink': 346, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0828332, PRECISION: 0.0134813, PRECISION_RECALL_MIN_DEN: 0.0449377, RECALL: 0.0449377, MAP: 0.0204845, MRR: 0.0581530, NDCG: 0.0362493, F1: 0.0207405, HIT_RATE: 0.1348131, ARHR: 0.0597610, RMSE: 0.8044509, NOVELTY: 0.0061063, AVERAGE_POPULARITY: 0.4585333, DIVERSITY_MEAN_INTER_LIST: 0.9247270, DIVERSITY_HERFINDAHL: 0.9924576, COVERAGE_ITEM: 0.3469586, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1758514, SHANNON_ENTROPY: 9.1617517, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 451, 'shrink': 21, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0655206, PRECISION: 0.0107720, PRECISION_RECALL_MIN_DEN: 0.0359066, RECALL: 0.0359066, MAP: 0.0154687, MRR: 0.0453825, NDCG: 0.0282448, F1: 0.0165723, HIT_RATE: 0.1077199, ARHR: 0.0458942, RMSE: 2.3446660, NOVELTY: 0.0049907, AVERAGE_POPULARITY: 0.8006268, DIVERSITY_MEAN_INTER_LIST: 0.5773796, DIVERSITY_HERFINDAHL: 0.9577285, COVERAGE_ITEM: 0.0183833, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0840881, SHANNON_ENTROPY: 5.1405303, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 184, 'shrink': 40, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0704464, PRECISION: 0.0115717, PRECISION_RECALL_MIN_DEN: 0.0385724, RECALL: 0.0385724, MAP: 0.0167905, MRR: 0.0489517, NDCG: 0.0304835, F1: 0.0178027, HIT_RATE: 0.1157173, ARHR: 0.0496616, RMSE: 1.0984952, NOVELTY: 0.0050418, AVERAGE_POPULARITY: 0.7612880, DIVERSITY_MEAN_INTER_LIST: 0.6881975, DIVERSITY_HERFINDAHL: 0.9688085, COVERAGE_ITEM: 0.0314680, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0787121, SHANNON_ENTROPY: 5.7341433, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 344, 'shrink': 482, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0882708, PRECISION: 0.0144443, PRECISION_RECALL_MIN_DEN: 0.0481475, RECALL: 0.0481475, MAP: 0.0213515, MRR: 0.0606463, NDCG: 0.0382259, F1: 0.0222219, HIT_RATE: 0.1444426, ARHR: 0.0623062, RMSE: 0.7904750, NOVELTY: 0.0058243, AVERAGE_POPULARITY: 0.4947947, DIVERSITY_MEAN_INTER_LIST: 0.9197213, DIVERSITY_HERFINDAHL: 0.9919571, COVERAGE_ITEM: 0.3047851, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1531869, SHANNON_ENTROPY: 8.8459233, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 730, 'shrink': 481, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0619356, PRECISION: 0.0103640, PRECISION_RECALL_MIN_DEN: 0.0345465, RECALL: 0.0345465, MAP: 0.0148962, MRR: 0.0436087, NDCG: 0.0271508, F1: 0.0159446, HIT_RATE: 0.1036396, ARHR: 0.0441486, RMSE: 0.9043220, NOVELTY: 0.0049740, AVERAGE_POPULARITY: 0.8144746, DIVERSITY_MEAN_INTER_LIST: 0.5235763, DIVERSITY_HERFINDAHL: 0.9523491, COVERAGE_ITEM: 0.0140579, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0915862, SHANNON_ENTROPY: 4.9007575, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 954, 'shrink': 700, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0962965, PRECISION: 0.0158805, PRECISION_RECALL_MIN_DEN: 0.0529351, RECALL: 0.0529351, MAP: 0.0243861, MRR: 0.0683003, NDCG: 0.0428118, F1: 0.0244316, HIT_RATE: 0.1588053, ARHR: 0.0707039, RMSE: 0.6226196, NOVELTY: 0.0054877, AVERAGE_POPULARITY: 0.5537583, DIVERSITY_MEAN_INTER_LIST: 0.8984509, DIVERSITY_HERFINDAHL: 0.9898304, COVERAGE_ITEM: 0.1938362, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1241736, SHANNON_ENTROPY: 8.2384627, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 476, 'shrink': 168, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0666545, PRECISION: 0.0107230, PRECISION_RECALL_MIN_DEN: 0.0357434, RECALL: 0.0357434, MAP: 0.0169639, MRR: 0.0480438, NDCG: 0.0295141, F1: 0.0164970, HIT_RATE: 0.1072303, ARHR: 0.0494351, RMSE: 0.8356685, NOVELTY: 0.0070461, AVERAGE_POPULARITY: 0.3276445, DIVERSITY_MEAN_INTER_LIST: 0.9464288, DIVERSITY_HERFINDAHL: 0.9946274, COVERAGE_ITEM: 0.4074615, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2157471, SHANNON_ENTROPY: 9.8177327, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 139, 'shrink': 640, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0986011, PRECISION: 0.0162070, PRECISION_RECALL_MIN_DEN: 0.0540232, RECALL: 0.0540232, MAP: 0.0246378, MRR: 0.0688476, NDCG: 0.0434197, F1: 0.0249338, HIT_RATE: 0.1620695, ARHR: 0.0713397, RMSE: 0.8060462, NOVELTY: 0.0059855, AVERAGE_POPULARITY: 0.4210539, DIVERSITY_MEAN_INTER_LIST: 0.9557680, DIVERSITY_HERFINDAHL: 0.9955612, COVERAGE_ITEM: 0.3531765, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1781240, SHANNON_ENTROPY: 9.5633359, 
