SearchBayesianSkopt: New best config found. Config 0: {'topK': 85, 'shrink': 539, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0852469, PRECISION: 0.0136935, PRECISION_RECALL_MIN_DEN: 0.0456450, RECALL: 0.0456450, MAP: 0.0211441, MRR: 0.0601623, NDCG: 0.0372105, F1: 0.0210669, HIT_RATE: 0.1369349, ARHR: 0.0617701, RMSE: 0.9732546, NOVELTY: 0.0052383, AVERAGE_POPULARITY: 0.6258401, DIVERSITY_MEAN_INTER_LIST: 0.8766708, DIVERSITY_HERFINDAHL: 0.9876528, COVERAGE_ITEM: 0.0576913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1236602, SHANNON_ENTROPY: 7.2476074, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 990, 'shrink': 99, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0834763, PRECISION: 0.0132365, PRECISION_RECALL_MIN_DEN: 0.0441216, RECALL: 0.0441216, MAP: 0.0206238, MRR: 0.0592870, NDCG: 0.0362649, F1: 0.0203638, HIT_RATE: 0.1323649, ARHR: 0.0605588, RMSE: 0.8820894, NOVELTY: 0.0051460, AVERAGE_POPULARITY: 0.6858858, DIVERSITY_MEAN_INTER_LIST: 0.7801862, DIVERSITY_HERFINDAHL: 0.9780059, COVERAGE_ITEM: 0.0422276, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0984234, SHANNON_ENTROPY: 6.4310502, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 236, 'shrink': 672, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0784990, PRECISION: 0.0128774, PRECISION_RECALL_MIN_DEN: 0.0429248, RECALL: 0.0429248, MAP: 0.0191544, MRR: 0.0551119, NDCG: 0.0342896, F1: 0.0198114, HIT_RATE: 0.1287743, ARHR: 0.0562659, RMSE: 0.9648323, NOVELTY: 0.0050990, AVERAGE_POPULARITY: 0.7174434, DIVERSITY_MEAN_INTER_LIST: 0.7673028, DIVERSITY_HERFINDAHL: 0.9767178, COVERAGE_ITEM: 0.0361179, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0963632, SHANNON_ENTROPY: 6.2333355, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 53, 'shrink': 381, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0923780, PRECISION: 0.0147544, PRECISION_RECALL_MIN_DEN: 0.0491812, RECALL: 0.0491812, MAP: 0.0227678, MRR: 0.0648505, NDCG: 0.0401100, F1: 0.0226990, HIT_RATE: 0.1475437, ARHR: 0.0665770, RMSE: 0.9747775, NOVELTY: 0.0053339, AVERAGE_POPULARITY: 0.5694247, DIVERSITY_MEAN_INTER_LIST: 0.9148096, DIVERSITY_HERFINDAHL: 0.9914660, COVERAGE_ITEM: 0.0679102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1480028, SHANNON_ENTROPY: 7.7799500, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 349, 'shrink': 983, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0723120, PRECISION: 0.0118982, PRECISION_RECALL_MIN_DEN: 0.0396605, RECALL: 0.0396605, MAP: 0.0177587, MRR: 0.0514836, NDCG: 0.0318046, F1: 0.0183049, HIT_RATE: 0.1189816, ARHR: 0.0523798, RMSE: 0.9693499, NOVELTY: 0.0050485, AVERAGE_POPULARITY: 0.7542041, DIVERSITY_MEAN_INTER_LIST: 0.6980241, DIVERSITY_HERFINDAHL: 0.9697910, COVERAGE_ITEM: 0.0270884, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0904870, SHANNON_ENTROPY: 5.7701878, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 451, 'shrink': 21, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0938523, PRECISION: 0.0149665, PRECISION_RECALL_MIN_DEN: 0.0498885, RECALL: 0.0498885, MAP: 0.0237929, MRR: 0.0677580, NDCG: 0.0413790, F1: 0.0230254, HIT_RATE: 0.1496654, ARHR: 0.0695374, RMSE: 0.8875392, NOVELTY: 0.0053648, AVERAGE_POPULARITY: 0.5729431, DIVERSITY_MEAN_INTER_LIST: 0.8893003, DIVERSITY_HERFINDAHL: 0.9889155, COVERAGE_ITEM: 0.1112733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1087656, SHANNON_ENTROPY: 7.7159471, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 268, 'shrink': 180, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0862690, PRECISION: 0.0139709, PRECISION_RECALL_MIN_DEN: 0.0465698, RECALL: 0.0465698, MAP: 0.0214801, MRR: 0.0613370, NDCG: 0.0378781, F1: 0.0214938, HIT_RATE: 0.1397095, ARHR: 0.0628523, RMSE: 0.9324491, NOVELTY: 0.0051996, AVERAGE_POPULARITY: 0.6504441, DIVERSITY_MEAN_INTER_LIST: 0.8448466, DIVERSITY_HERFINDAHL: 0.9844709, COVERAGE_ITEM: 0.0518519, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1129501, SHANNON_ENTROPY: 6.9394137, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 637, 'shrink': 69, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0872995, PRECISION: 0.0136772, PRECISION_RECALL_MIN_DEN: 0.0455906, RECALL: 0.0455906, MAP: 0.0218138, MRR: 0.0624520, NDCG: 0.0379813, F1: 0.0210418, HIT_RATE: 0.1367717, ARHR: 0.0639304, RMSE: 0.8868318, NOVELTY: 0.0052168, AVERAGE_POPULARITY: 0.6423264, DIVERSITY_MEAN_INTER_LIST: 0.8345994, DIVERSITY_HERFINDAHL: 0.9834463, COVERAGE_ITEM: 0.0568802, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1076026, SHANNON_ENTROPY: 6.9346902, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 751, 'shrink': 67, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0868189, PRECISION: 0.0134976, PRECISION_RECALL_MIN_DEN: 0.0449921, RECALL: 0.0449921, MAP: 0.0214870, MRR: 0.0616538, NDCG: 0.0374676, F1: 0.0207656, HIT_RATE: 0.1349763, ARHR: 0.0630320, RMSE: 0.8804235, NOVELTY: 0.0052064, AVERAGE_POPULARITY: 0.6487917, DIVERSITY_MEAN_INTER_LIST: 0.8251940, DIVERSITY_HERFINDAHL: 0.9825059, COVERAGE_ITEM: 0.0547716, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1049075, SHANNON_ENTROPY: 6.8462754, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 484, 'shrink': 686, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0718405, PRECISION: 0.0115881, PRECISION_RECALL_MIN_DEN: 0.0386268, RECALL: 0.0386268, MAP: 0.0176111, MRR: 0.0513249, NDCG: 0.0313771, F1: 0.0178278, HIT_RATE: 0.1158805, ARHR: 0.0520791, RMSE: 0.9574146, NOVELTY: 0.0050438, AVERAGE_POPULARITY: 0.7574240, DIVERSITY_MEAN_INTER_LIST: 0.6875035, DIVERSITY_HERFINDAHL: 0.9687391, COVERAGE_ITEM: 0.0248716, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0935293, SHANNON_ENTROPY: 5.7091086, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 954, 'shrink': 700, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0687451, PRECISION: 0.0110658, PRECISION_RECALL_MIN_DEN: 0.0368859, RECALL: 0.0368859, MAP: 0.0167422, MRR: 0.0484544, NDCG: 0.0298364, F1: 0.0170243, HIT_RATE: 0.1106577, ARHR: 0.0493405, RMSE: 0.9516767, NOVELTY: 0.0050103, AVERAGE_POPULARITY: 0.7836856, DIVERSITY_MEAN_INTER_LIST: 0.6115985, DIVERSITY_HERFINDAHL: 0.9611499, COVERAGE_ITEM: 0.0182752, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0950467, SHANNON_ENTROPY: 5.3185490, 
