SearchBayesianSkopt: New best config found. Config 0: {'topK': 85, 'shrink': 539, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0862099, PRECISION: 0.0138241, PRECISION_RECALL_MIN_DEN: 0.0460802, RECALL: 0.0460802, MAP: 0.0215094, MRR: 0.0611526, NDCG: 0.0377274, F1: 0.0212678, HIT_RATE: 0.1382406, ARHR: 0.0628105, RMSE: 0.9727096, NOVELTY: 0.0052366, AVERAGE_POPULARITY: 0.6270497, DIVERSITY_MEAN_INTER_LIST: 0.8750640, DIVERSITY_HERFINDAHL: 0.9874921, COVERAGE_ITEM: 0.0574209, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1227717, SHANNON_ENTROPY: 7.2296144, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 990, 'shrink': 99, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0861782, PRECISION: 0.0135956, PRECISION_RECALL_MIN_DEN: 0.0453185, RECALL: 0.0453185, MAP: 0.0213433, MRR: 0.0611787, NDCG: 0.0373949, F1: 0.0209162, HIT_RATE: 0.1359556, ARHR: 0.0625772, RMSE: 0.8797602, NOVELTY: 0.0051521, AVERAGE_POPULARITY: 0.6824320, DIVERSITY_MEAN_INTER_LIST: 0.7824759, DIVERSITY_HERFINDAHL: 0.9782348, COVERAGE_ITEM: 0.0422817, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1005791, SHANNON_ENTROPY: 6.4600145, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 236, 'shrink': 672, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0790984, PRECISION: 0.0129264, PRECISION_RECALL_MIN_DEN: 0.0430880, RECALL: 0.0430880, MAP: 0.0194599, MRR: 0.0558827, NDCG: 0.0346514, F1: 0.0198868, HIT_RATE: 0.1292639, ARHR: 0.0571067, RMSE: 0.9643360, NOVELTY: 0.0050990, AVERAGE_POPULARITY: 0.7175678, DIVERSITY_MEAN_INTER_LIST: 0.7661415, DIVERSITY_HERFINDAHL: 0.9766016, COVERAGE_ITEM: 0.0358475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0966857, SHANNON_ENTROPY: 6.2274830, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 53, 'shrink': 381, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0932695, PRECISION: 0.0149829, PRECISION_RECALL_MIN_DEN: 0.0499429, RECALL: 0.0499429, MAP: 0.0232350, MRR: 0.0659432, NDCG: 0.0407982, F1: 0.0230506, HIT_RATE: 0.1498286, ARHR: 0.0678159, RMSE: 0.9740839, NOVELTY: 0.0053311, AVERAGE_POPULARITY: 0.5711954, DIVERSITY_MEAN_INTER_LIST: 0.9133378, DIVERSITY_HERFINDAHL: 0.9913189, COVERAGE_ITEM: 0.0673155, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1468436, SHANNON_ENTROPY: 7.7553995, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 349, 'shrink': 983, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0728729, PRECISION: 0.0119471, PRECISION_RECALL_MIN_DEN: 0.0398237, RECALL: 0.0398237, MAP: 0.0179400, MRR: 0.0519468, NDCG: 0.0320394, F1: 0.0183802, HIT_RATE: 0.1194712, ARHR: 0.0528752, RMSE: 0.9690295, NOVELTY: 0.0050485, AVERAGE_POPULARITY: 0.7543953, DIVERSITY_MEAN_INTER_LIST: 0.6964414, DIVERSITY_HERFINDAHL: 0.9696328, COVERAGE_ITEM: 0.0271425, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0901071, SHANNON_ENTROPY: 5.7650722, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 451, 'shrink': 21, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0985692, PRECISION: 0.0157500, PRECISION_RECALL_MIN_DEN: 0.0524999, RECALL: 0.0524999, MAP: 0.0248958, MRR: 0.0707294, NDCG: 0.0433797, F1: 0.0242307, HIT_RATE: 0.1574996, ARHR: 0.0726713, RMSE: 0.8840372, NOVELTY: 0.0053765, AVERAGE_POPULARITY: 0.5681628, DIVERSITY_MEAN_INTER_LIST: 0.8904364, DIVERSITY_HERFINDAHL: 0.9890291, COVERAGE_ITEM: 0.1106245, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1107953, SHANNON_ENTROPY: 7.7415926, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 268, 'shrink': 180, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0879282, PRECISION: 0.0143627, PRECISION_RECALL_MIN_DEN: 0.0478755, RECALL: 0.0478755, MAP: 0.0219535, MRR: 0.0626050, NDCG: 0.0387864, F1: 0.0220964, HIT_RATE: 0.1436266, ARHR: 0.0642056, RMSE: 0.9308612, NOVELTY: 0.0052009, AVERAGE_POPULARITY: 0.6500608, DIVERSITY_MEAN_INTER_LIST: 0.8434467, DIVERSITY_HERFINDAHL: 0.9843309, COVERAGE_ITEM: 0.0513652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1135563, SHANNON_ENTROPY: 6.9324657, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 637, 'shrink': 69, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0902265, PRECISION: 0.0140199, PRECISION_RECALL_MIN_DEN: 0.0467330, RECALL: 0.0467330, MAP: 0.0227069, MRR: 0.0649535, NDCG: 0.0392921, F1: 0.0215691, HIT_RATE: 0.1401991, ARHR: 0.0665065, RMSE: 0.8841730, NOVELTY: 0.0052223, AVERAGE_POPULARITY: 0.6395733, DIVERSITY_MEAN_INTER_LIST: 0.8352409, DIVERSITY_HERFINDAHL: 0.9835105, COVERAGE_ITEM: 0.0567721, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1090742, SHANNON_ENTROPY: 6.9509351, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 751, 'shrink': 67, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0900597, PRECISION: 0.0139220, PRECISION_RECALL_MIN_DEN: 0.0464066, RECALL: 0.0464066, MAP: 0.0225036, MRR: 0.0645492, NDCG: 0.0389999, F1: 0.0214184, HIT_RATE: 0.1392198, ARHR: 0.0659945, RMSE: 0.8777185, NOVELTY: 0.0052129, AVERAGE_POPULARITY: 0.6455123, DIVERSITY_MEAN_INTER_LIST: 0.8261685, DIVERSITY_HERFINDAHL: 0.9826034, COVERAGE_ITEM: 0.0550419, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1062902, SHANNON_ENTROPY: 6.8689099, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 484, 'shrink': 686, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0729240, PRECISION: 0.0116697, PRECISION_RECALL_MIN_DEN: 0.0388989, RECALL: 0.0388989, MAP: 0.0179305, MRR: 0.0522054, NDCG: 0.0318036, F1: 0.0179533, HIT_RATE: 0.1166966, ARHR: 0.0529984, RMSE: 0.9569038, NOVELTY: 0.0050445, AVERAGE_POPULARITY: 0.7570156, DIVERSITY_MEAN_INTER_LIST: 0.6871075, DIVERSITY_HERFINDAHL: 0.9686995, COVERAGE_ITEM: 0.0247634, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0939163, SHANNON_ENTROPY: 5.7089888, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 954, 'shrink': 700, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0694603, PRECISION: 0.0111147, PRECISION_RECALL_MIN_DEN: 0.0370491, RECALL: 0.0370491, MAP: 0.0169881, MRR: 0.0491988, NDCG: 0.0301603, F1: 0.0170996, HIT_RATE: 0.1111474, ARHR: 0.0500816, RMSE: 0.9511666, NOVELTY: 0.0050115, AVERAGE_POPULARITY: 0.7828830, DIVERSITY_MEAN_INTER_LIST: 0.6125035, DIVERSITY_HERFINDAHL: 0.9612404, COVERAGE_ITEM: 0.0183293, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0952919, SHANNON_ENTROPY: 5.3258388, 
