CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.30553268100646164, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0566544, PRECISION: 0.0078325, PRECISION_RECALL_MIN_DEN: 0.0783250, RECALL: 0.0783250, MAP: 0.0409629, MRR: 0.0409629, NDCG: 0.0497805, F1: 0.0142409, HIT_RATE: 0.0783250, ARHR: 0.0409629, RMSE: 0.8012527, NOVELTY: 0.0059740, AVERAGE_POPULARITY: 0.4451588, DIVERSITY_MEAN_INTER_LIST: 0.9416550, DIVERSITY_HERFINDAHL: 0.9941613, COVERAGE_ITEM: 0.6700514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1623749, SHANNON_ENTROPY: 9.8208672, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 684, 'shrink': 30, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.31469318581223, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0423810, PRECISION: 0.0060020, PRECISION_RECALL_MIN_DEN: 0.0600204, RECALL: 0.0600204, MAP: 0.0307657, MRR: 0.0307657, NDCG: 0.0376310, F1: 0.0109128, HIT_RATE: 0.0600204, ARHR: 0.0307657, RMSE: 1.3158915, NOVELTY: 0.0051085, AVERAGE_POPULARITY: 0.7268853, DIVERSITY_MEAN_INTER_LIST: 0.7343210, DIVERSITY_HERFINDAHL: 0.9734288, COVERAGE_ITEM: 0.2380211, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0455843, SHANNON_ENTROPY: 6.5107692, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 973, 'shrink': 93, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.180163428572647, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0511272, PRECISION: 0.0071442, PRECISION_RECALL_MIN_DEN: 0.0714419, RECALL: 0.0714419, MAP: 0.0368466, MRR: 0.0368466, NDCG: 0.0449959, F1: 0.0129894, HIT_RATE: 0.0714419, ARHR: 0.0368466, RMSE: 38.4346324, NOVELTY: 0.0052500, AVERAGE_POPULARITY: 0.6517083, DIVERSITY_MEAN_INTER_LIST: 0.8251597, DIVERSITY_HERFINDAHL: 0.9825123, COVERAGE_ITEM: 0.3063423, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0589898, SHANNON_ENTROPY: 7.3541389, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 55, 'shrink': 625, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.726802250513776, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0491950, PRECISION: 0.0065767, PRECISION_RECALL_MIN_DEN: 0.0657667, RECALL: 0.0657667, MAP: 0.0357216, MRR: 0.0357216, NDCG: 0.0428609, F1: 0.0119576, HIT_RATE: 0.0657667, ARHR: 0.0357216, RMSE: 0.8992493, NOVELTY: 0.0078577, AVERAGE_POPULARITY: 0.0978072, DIVERSITY_MEAN_INTER_LIST: 0.9964997, DIVERSITY_HERFINDAHL: 0.9996455, COVERAGE_ITEM: 0.7017464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4552862, SHANNON_ENTROPY: 12.7301962, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 966, 'shrink': 1490, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8015686749277664, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0573550, PRECISION: 0.0079897, PRECISION_RECALL_MIN_DEN: 0.0798970, RECALL: 0.0798970, MAP: 0.0411382, MRR: 0.0411382, NDCG: 0.0502789, F1: 0.0145267, HIT_RATE: 0.0798970, ARHR: 0.0411382, RMSE: 0.8999557, NOVELTY: 0.0054411, AVERAGE_POPULARITY: 0.5803171, DIVERSITY_MEAN_INTER_LIST: 0.8901760, DIVERSITY_HERFINDAHL: 0.9890136, COVERAGE_ITEM: 0.4347229, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0841075, SHANNON_ENTROPY: 8.2561581, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 713, 'shrink': 1211, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.46747722982988, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0577152, PRECISION: 0.0080270, PRECISION_RECALL_MIN_DEN: 0.0802700, RECALL: 0.0802700, MAP: 0.0413499, MRR: 0.0413499, NDCG: 0.0505338, F1: 0.0145945, HIT_RATE: 0.0802700, ARHR: 0.0413499, RMSE: 0.9907154, NOVELTY: 0.0054719, AVERAGE_POPULARITY: 0.5665794, DIVERSITY_MEAN_INTER_LIST: 0.8986608, DIVERSITY_HERFINDAHL: 0.9898621, COVERAGE_ITEM: 0.4425412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0881450, SHANNON_ENTROPY: 8.3962210, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 234, 'shrink': 1555, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5956435319407156, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0593987, PRECISION: 0.0083059, PRECISION_RECALL_MIN_DEN: 0.0830588, RECALL: 0.0830588, MAP: 0.0426324, MRR: 0.0426324, NDCG: 0.0521601, F1: 0.0151016, HIT_RATE: 0.0830588, ARHR: 0.0426324, RMSE: 0.8942388, NOVELTY: 0.0056237, AVERAGE_POPULARITY: 0.5004050, DIVERSITY_MEAN_INTER_LIST: 0.9337474, DIVERSITY_HERFINDAHL: 0.9933706, COVERAGE_ITEM: 0.4773614, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1075342, SHANNON_ENTROPY: 9.0330484, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 146, 'shrink': 719, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6961073729710067, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0521111, PRECISION: 0.0072659, PRECISION_RECALL_MIN_DEN: 0.0726586, RECALL: 0.0726586, MAP: 0.0376635, MRR: 0.0376635, NDCG: 0.0459074, F1: 0.0132107, HIT_RATE: 0.0726586, ARHR: 0.0376635, RMSE: 0.9740844, NOVELTY: 0.0054518, AVERAGE_POPULARITY: 0.5538365, DIVERSITY_MEAN_INTER_LIST: 0.9116217, DIVERSITY_HERFINDAHL: 0.9911581, COVERAGE_ITEM: 0.4037848, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0807208, SHANNON_ENTROPY: 8.4280373, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 697, 'shrink': 1253, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9474462200302671, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0423494, PRECISION: 0.0059763, PRECISION_RECALL_MIN_DEN: 0.0597629, RECALL: 0.0597629, MAP: 0.0307344, MRR: 0.0307344, NDCG: 0.0375511, F1: 0.0108660, HIT_RATE: 0.0597629, ARHR: 0.0307344, RMSE: 0.9696789, NOVELTY: 0.0051058, AVERAGE_POPULARITY: 0.7280385, DIVERSITY_MEAN_INTER_LIST: 0.7326105, DIVERSITY_HERFINDAHL: 0.9732578, COVERAGE_ITEM: 0.2353501, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0450623, SHANNON_ENTROPY: 6.4940625, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 220, 'shrink': 738, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.694390661003469, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0533258, PRECISION: 0.0073680, PRECISION_RECALL_MIN_DEN: 0.0736800, RECALL: 0.0736800, MAP: 0.0384293, MRR: 0.0384293, NDCG: 0.0467524, F1: 0.0133964, HIT_RATE: 0.0736800, ARHR: 0.0384293, RMSE: 0.9696990, NOVELTY: 0.0056513, AVERAGE_POPULARITY: 0.4363809, DIVERSITY_MEAN_INTER_LIST: 0.9521751, DIVERSITY_HERFINDAHL: 0.9952133, COVERAGE_ITEM: 0.4239849, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0940877, SHANNON_ENTROPY: 9.1343310, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 749, 'shrink': 135, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6578863648125829, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0318418, PRECISION: 0.0044585, PRECISION_RECALL_MIN_DEN: 0.0445846, RECALL: 0.0445846, MAP: 0.0233259, MRR: 0.0233259, NDCG: 0.0283151, F1: 0.0081063, HIT_RATE: 0.0445846, ARHR: 0.0233259, RMSE: 0.8014747, NOVELTY: 0.0089326, AVERAGE_POPULARITY: 0.0696738, DIVERSITY_MEAN_INTER_LIST: 0.9655020, DIVERSITY_HERFINDAHL: 0.9965459, COVERAGE_ITEM: 0.5999676, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2394968, SHANNON_ENTROPY: 10.9261880, 
