CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0464822, PRECISION: 0.0065465, PRECISION_RECALL_MIN_DEN: 0.0654647, RECALL: 0.0654647, MAP: 0.0337144, MRR: 0.0337144, NDCG: 0.0411735, F1: 0.0119027, HIT_RATE: 0.0654647, ARHR: 0.0337144, RMSE: 0.9662823, NOVELTY: 0.0051831, AVERAGE_POPULARITY: 0.6847640, DIVERSITY_MEAN_INTER_LIST: 0.7983775, DIVERSITY_HERFINDAHL: 0.9798342, COVERAGE_ITEM: 0.2822925, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498951, SHANNON_ENTROPY: 6.9912707, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 674, 'shrink': 1364, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0582708, PRECISION: 0.0080030, PRECISION_RECALL_MIN_DEN: 0.0800302, RECALL: 0.0800302, MAP: 0.0422054, MRR: 0.0422054, NDCG: 0.0511431, F1: 0.0145509, HIT_RATE: 0.0800302, ARHR: 0.0422054, RMSE: 0.7759860, NOVELTY: 0.0059452, AVERAGE_POPULARITY: 0.4362805, DIVERSITY_MEAN_INTER_LIST: 0.9458398, DIVERSITY_HERFINDAHL: 0.9945798, COVERAGE_ITEM: 0.6397513, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1515797, SHANNON_ENTROPY: 9.7990158, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 162, 'shrink': 638, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0573195, PRECISION: 0.0079808, PRECISION_RECALL_MIN_DEN: 0.0798082, RECALL: 0.0798082, MAP: 0.0411912, MRR: 0.0411912, NDCG: 0.0502985, F1: 0.0145106, HIT_RATE: 0.0798082, ARHR: 0.0411912, RMSE: 3.2885465, NOVELTY: 0.0055302, AVERAGE_POPULARITY: 0.5209216, DIVERSITY_MEAN_INTER_LIST: 0.9272791, DIVERSITY_HERFINDAHL: 0.9927238, COVERAGE_ITEM: 0.4226115, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0895341, SHANNON_ENTROPY: 8.7619785, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 979, 'shrink': 1180, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0416221, PRECISION: 0.0058999, PRECISION_RECALL_MIN_DEN: 0.0589991, RECALL: 0.0589991, MAP: 0.0300795, MRR: 0.0300795, NDCG: 0.0368682, F1: 0.0107271, HIT_RATE: 0.0589991, ARHR: 0.0300795, RMSE: 0.9664053, NOVELTY: 0.0050752, AVERAGE_POPULARITY: 0.7427717, DIVERSITY_MEAN_INTER_LIST: 0.7086836, DIVERSITY_HERFINDAHL: 0.9708652, COVERAGE_ITEM: 0.2060124, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0410173, SHANNON_ENTROPY: 6.2833131, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 500, 'shrink': 13, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0327763, PRECISION: 0.0046237, PRECISION_RECALL_MIN_DEN: 0.0462365, RECALL: 0.0462365, MAP: 0.0239671, MRR: 0.0239671, NDCG: 0.0291894, F1: 0.0084066, HIT_RATE: 0.0462365, ARHR: 0.0239671, RMSE: 0.8183225, NOVELTY: 0.0087051, AVERAGE_POPULARITY: 0.1015615, DIVERSITY_MEAN_INTER_LIST: 0.9865535, DIVERSITY_HERFINDAHL: 0.9986510, COVERAGE_ITEM: 0.6596918, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2886451, SHANNON_ENTROPY: 11.6812800, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 746, 'shrink': 1216, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0576451, PRECISION: 0.0080163, PRECISION_RECALL_MIN_DEN: 0.0801634, RECALL: 0.0801634, MAP: 0.0413004, MRR: 0.0413004, NDCG: 0.0504705, F1: 0.0145752, HIT_RATE: 0.0801634, ARHR: 0.0413004, RMSE: 0.9900744, NOVELTY: 0.0054671, AVERAGE_POPULARITY: 0.5687403, DIVERSITY_MEAN_INTER_LIST: 0.8973445, DIVERSITY_HERFINDAHL: 0.9897305, COVERAGE_ITEM: 0.4413193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0875438, SHANNON_ENTROPY: 8.3746337, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 713, 'shrink': 1211, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0522107, PRECISION: 0.0072543, PRECISION_RECALL_MIN_DEN: 0.0725432, RECALL: 0.0725432, MAP: 0.0377415, MRR: 0.0377415, NDCG: 0.0459435, F1: 0.0131897, HIT_RATE: 0.0725432, ARHR: 0.0377415, RMSE: 2.4918065, NOVELTY: 0.0052861, AVERAGE_POPULARITY: 0.6337494, DIVERSITY_MEAN_INTER_LIST: 0.8457383, DIVERSITY_HERFINDAHL: 0.9845701, COVERAGE_ITEM: 0.3248121, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0630541, SHANNON_ENTROPY: 7.5686666, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 406, 'shrink': 460, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0587356, PRECISION: 0.0081789, PRECISION_RECALL_MIN_DEN: 0.0817887, RECALL: 0.0817887, MAP: 0.0420395, MRR: 0.0420395, NDCG: 0.0514190, F1: 0.0148707, HIT_RATE: 0.0817887, ARHR: 0.0420395, RMSE: 2.0676136, NOVELTY: 0.0055410, AVERAGE_POPULARITY: 0.5358231, DIVERSITY_MEAN_INTER_LIST: 0.9166563, DIVERSITY_HERFINDAHL: 0.9916616, COVERAGE_ITEM: 0.4587294, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0970309, SHANNON_ENTROPY: 8.6990652, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 799, 'shrink': 1017, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0451273, PRECISION: 0.0063733, PRECISION_RECALL_MIN_DEN: 0.0637328, RECALL: 0.0637328, MAP: 0.0327202, MRR: 0.0327202, NDCG: 0.0400035, F1: 0.0115878, HIT_RATE: 0.0637328, ARHR: 0.0327202, RMSE: 0.9710647, NOVELTY: 0.0051459, AVERAGE_POPULARITY: 0.7053065, DIVERSITY_MEAN_INTER_LIST: 0.7693449, DIVERSITY_HERFINDAHL: 0.9769311, COVERAGE_ITEM: 0.2623952, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0456529, SHANNON_ENTROPY: 6.7404057, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 139, 'shrink': 696, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0549087, PRECISION: 0.0074595, PRECISION_RECALL_MIN_DEN: 0.0745948, RECALL: 0.0745948, MAP: 0.0397747, MRR: 0.0397747, NDCG: 0.0480205, F1: 0.0135627, HIT_RATE: 0.0745948, ARHR: 0.0397747, RMSE: 0.8837656, NOVELTY: 0.0073450, AVERAGE_POPULARITY: 0.1575417, DIVERSITY_MEAN_INTER_LIST: 0.9938851, DIVERSITY_HERFINDAHL: 0.9993841, COVERAGE_ITEM: 0.7047526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4325194, SHANNON_ENTROPY: 12.4503615, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 660, 'shrink': 1939, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0425922, PRECISION: 0.0060198, PRECISION_RECALL_MIN_DEN: 0.0601981, RECALL: 0.0601981, MAP: 0.0308547, MRR: 0.0308547, NDCG: 0.0377463, F1: 0.0109451, HIT_RATE: 0.0601981, ARHR: 0.0308547, RMSE: 0.9805148, NOVELTY: 0.0051116, AVERAGE_POPULARITY: 0.7252599, DIVERSITY_MEAN_INTER_LIST: 0.7368499, DIVERSITY_HERFINDAHL: 0.9736817, COVERAGE_ITEM: 0.2392647, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0459611, SHANNON_ENTROPY: 6.5330124, 
