CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0500555, PRECISION: 0.0069683, PRECISION_RECALL_MIN_DEN: 0.0696834, RECALL: 0.0696834, MAP: 0.0363418, MRR: 0.0363418, NDCG: 0.0441921, F1: 0.0126697, HIT_RATE: 0.0696834, ARHR: 0.0363418, RMSE: 0.9742164, NOVELTY: 0.0052576, AVERAGE_POPULARITY: 0.6373885, DIVERSITY_MEAN_INTER_LIST: 0.8464026, DIVERSITY_HERFINDAHL: 0.9846365, COVERAGE_ITEM: 0.2886510, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0580553, SHANNON_ENTROPY: 7.4663964, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 157, 'shrink': 1345, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0513996, PRECISION: 0.0071682, PRECISION_RECALL_MIN_DEN: 0.0716817, RECALL: 0.0716817, MAP: 0.0372160, MRR: 0.0372160, NDCG: 0.0453330, F1: 0.0130330, HIT_RATE: 0.0716817, ARHR: 0.0372160, RMSE: 0.9867560, NOVELTY: 0.0054151, AVERAGE_POPULARITY: 0.5724736, DIVERSITY_MEAN_INTER_LIST: 0.9002314, DIVERSITY_HERFINDAHL: 0.9900191, COVERAGE_ITEM: 0.3959557, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0770514, SHANNON_ENTROPY: 8.2607372, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 931, 'shrink': 1821, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0457619, PRECISION: 0.0064346, PRECISION_RECALL_MIN_DEN: 0.0643457, RECALL: 0.0643457, MAP: 0.0332196, MRR: 0.0332196, NDCG: 0.0405338, F1: 0.0116992, HIT_RATE: 0.0643457, ARHR: 0.0332196, RMSE: 0.9842441, NOVELTY: 0.0051522, AVERAGE_POPULARITY: 0.6981183, DIVERSITY_MEAN_INTER_LIST: 0.7775904, DIVERSITY_HERFINDAHL: 0.9777556, COVERAGE_ITEM: 0.2526088, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0462107, SHANNON_ENTROPY: 6.7983546, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 973, 'shrink': 93, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0579609, PRECISION: 0.0079169, PRECISION_RECALL_MIN_DEN: 0.0791687, RECALL: 0.0791687, MAP: 0.0419330, MRR: 0.0419330, NDCG: 0.0507407, F1: 0.0143943, HIT_RATE: 0.0791687, ARHR: 0.0419330, RMSE: 0.9401240, NOVELTY: 0.0055708, AVERAGE_POPULARITY: 0.4911759, DIVERSITY_MEAN_INTER_LIST: 0.9264739, DIVERSITY_HERFINDAHL: 0.9926433, COVERAGE_ITEM: 0.3846769, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0981740, SHANNON_ENTROPY: 8.8594823, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 592, 'shrink': 1907, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0467033, PRECISION: 0.0065278, PRECISION_RECALL_MIN_DEN: 0.0652782, RECALL: 0.0652782, MAP: 0.0339256, MRR: 0.0339256, NDCG: 0.0413008, F1: 0.0118688, HIT_RATE: 0.0652782, ARHR: 0.0339256, RMSE: 0.9858041, NOVELTY: 0.0051947, AVERAGE_POPULARITY: 0.6780350, DIVERSITY_MEAN_INTER_LIST: 0.8045316, DIVERSITY_HERFINDAHL: 0.9804496, COVERAGE_ITEM: 0.2871911, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513918, SHANNON_ENTROPY: 7.0646282, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 500, 'shrink': 13, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0598043, PRECISION: 0.0081123, PRECISION_RECALL_MIN_DEN: 0.0811226, RECALL: 0.0811226, MAP: 0.0432761, MRR: 0.0432761, NDCG: 0.0522447, F1: 0.0147496, HIT_RATE: 0.0811226, ARHR: 0.0432761, RMSE: 0.9414360, NOVELTY: 0.0060451, AVERAGE_POPULARITY: 0.3846794, DIVERSITY_MEAN_INTER_LIST: 0.9613148, DIVERSITY_HERFINDAHL: 0.9961272, COVERAGE_ITEM: 0.6612382, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1636979, SHANNON_ENTROPY: 10.1735444, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 966, 'shrink': 1490, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0464161, PRECISION: 0.0065092, PRECISION_RECALL_MIN_DEN: 0.0650917, RECALL: 0.0650917, MAP: 0.0336303, MRR: 0.0336303, NDCG: 0.0410299, F1: 0.0118349, HIT_RATE: 0.0650917, ARHR: 0.0336303, RMSE: 0.9816801, NOVELTY: 0.0051611, AVERAGE_POPULARITY: 0.6916761, DIVERSITY_MEAN_INTER_LIST: 0.7852290, DIVERSITY_HERFINDAHL: 0.9785194, COVERAGE_ITEM: 0.2512679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0471452, SHANNON_ENTROPY: 6.8620995, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 901, 'shrink': 1096, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0477730, PRECISION: 0.0066957, PRECISION_RECALL_MIN_DEN: 0.0669568, RECALL: 0.0669568, MAP: 0.0347507, MRR: 0.0347507, NDCG: 0.0423217, F1: 0.0121740, HIT_RATE: 0.0669568, ARHR: 0.0347507, RMSE: 0.9776426, NOVELTY: 0.0051904, AVERAGE_POPULARITY: 0.6738797, DIVERSITY_MEAN_INTER_LIST: 0.8067437, DIVERSITY_HERFINDAHL: 0.9806708, COVERAGE_ITEM: 0.2597242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0504662, SHANNON_ENTROPY: 7.0569250, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 945, 'shrink': 625, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0503032, PRECISION: 0.0069825, PRECISION_RECALL_MIN_DEN: 0.0698255, RECALL: 0.0698255, MAP: 0.0365612, MRR: 0.0365612, NDCG: 0.0443988, F1: 0.0126955, HIT_RATE: 0.0698255, ARHR: 0.0365612, RMSE: 0.9686353, NOVELTY: 0.0052442, AVERAGE_POPULARITY: 0.6407983, DIVERSITY_MEAN_INTER_LIST: 0.8383574, DIVERSITY_HERFINDAHL: 0.9838320, COVERAGE_ITEM: 0.2658556, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0570033, SHANNON_ENTROPY: 7.3871243, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 234, 'shrink': 1555, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.0497526, PRECISION: 0.0069515, PRECISION_RECALL_MIN_DEN: 0.0695146, RECALL: 0.0695146, MAP: 0.0361099, MRR: 0.0361099, NDCG: 0.0439692, F1: 0.0126390, HIT_RATE: 0.0695146, ARHR: 0.0361099, RMSE: 0.9865679, NOVELTY: 0.0053383, AVERAGE_POPULARITY: 0.6089020, DIVERSITY_MEAN_INTER_LIST: 0.8737905, DIVERSITY_HERFINDAHL: 0.9873752, COVERAGE_ITEM: 0.3663044, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0683248, SHANNON_ENTROPY: 7.8750101, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 799, 'shrink': 1017, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.0483513, PRECISION: 0.0067650, PRECISION_RECALL_MIN_DEN: 0.0676495, RECALL: 0.0676495, MAP: 0.0351170, MRR: 0.0351170, NDCG: 0.0427689, F1: 0.0122999, HIT_RATE: 0.0676495, ARHR: 0.0351170, RMSE: 0.9769588, NOVELTY: 0.0052077, AVERAGE_POPULARITY: 0.6646670, DIVERSITY_MEAN_INTER_LIST: 0.8174308, DIVERSITY_HERFINDAHL: 0.9817394, COVERAGE_ITEM: 0.2690024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0523641, SHANNON_ENTROPY: 7.1652984, 
