CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0504127, PRECISION: 0.0069994, PRECISION_RECALL_MIN_DEN: 0.0699942, RECALL: 0.0699942, MAP: 0.0365685, MRR: 0.0365685, NDCG: 0.0444442, F1: 0.0127262, HIT_RATE: 0.0699942, ARHR: 0.0365685, RMSE: 0.9737187, NOVELTY: 0.0052588, AVERAGE_POPULARITY: 0.6366581, DIVERSITY_MEAN_INTER_LIST: 0.8467429, DIVERSITY_HERFINDAHL: 0.9846705, COVERAGE_ITEM: 0.2884672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0581329, SHANNON_ENTROPY: 7.4715007, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 157, 'shrink': 1345, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0515426, PRECISION: 0.0071850, PRECISION_RECALL_MIN_DEN: 0.0718504, RECALL: 0.0718504, MAP: 0.0373248, MRR: 0.0373248, NDCG: 0.0454562, F1: 0.0130637, HIT_RATE: 0.0718504, ARHR: 0.0373248, RMSE: 0.9865073, NOVELTY: 0.0054148, AVERAGE_POPULARITY: 0.5726998, DIVERSITY_MEAN_INTER_LIST: 0.8998585, DIVERSITY_HERFINDAHL: 0.9899819, COVERAGE_ITEM: 0.3957502, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0770039, SHANNON_ENTROPY: 8.2570574, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 931, 'shrink': 1821, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0459316, PRECISION: 0.0064603, PRECISION_RECALL_MIN_DEN: 0.0646032, RECALL: 0.0646032, MAP: 0.0333448, MRR: 0.0333448, NDCG: 0.0406897, F1: 0.0117460, HIT_RATE: 0.0646032, ARHR: 0.0333448, RMSE: 0.9840655, NOVELTY: 0.0051528, AVERAGE_POPULARITY: 0.6976985, DIVERSITY_MEAN_INTER_LIST: 0.7779728, DIVERSITY_HERFINDAHL: 0.9777938, COVERAGE_ITEM: 0.2526196, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0462478, SHANNON_ENTROPY: 6.8020742, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 973, 'shrink': 93, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0587741, PRECISION: 0.0080234, PRECISION_RECALL_MIN_DEN: 0.0802345, RECALL: 0.0802345, MAP: 0.0425821, MRR: 0.0425821, NDCG: 0.0514893, F1: 0.0145881, HIT_RATE: 0.0802345, ARHR: 0.0425821, RMSE: 0.9380609, NOVELTY: 0.0055768, AVERAGE_POPULARITY: 0.4884464, DIVERSITY_MEAN_INTER_LIST: 0.9274439, DIVERSITY_HERFINDAHL: 0.9927403, COVERAGE_ITEM: 0.3843093, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0985744, SHANNON_ENTROPY: 8.8789626, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 592, 'shrink': 1907, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0468631, PRECISION: 0.0065331, PRECISION_RECALL_MIN_DEN: 0.0653315, RECALL: 0.0653315, MAP: 0.0340138, MRR: 0.0340138, NDCG: 0.0413857, F1: 0.0118785, HIT_RATE: 0.0653315, ARHR: 0.0340138, RMSE: 0.9856381, NOVELTY: 0.0051952, AVERAGE_POPULARITY: 0.6777382, DIVERSITY_MEAN_INTER_LIST: 0.8046732, DIVERSITY_HERFINDAHL: 0.9804637, COVERAGE_ITEM: 0.2871046, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0514217, SHANNON_ENTROPY: 7.0668881, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 500, 'shrink': 13, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0610023, PRECISION: 0.0082810, PRECISION_RECALL_MIN_DEN: 0.0828101, RECALL: 0.0828101, MAP: 0.0441006, MRR: 0.0441006, NDCG: 0.0532745, F1: 0.0150564, HIT_RATE: 0.0828101, ARHR: 0.0441006, RMSE: 0.9384857, NOVELTY: 0.0060630, AVERAGE_POPULARITY: 0.3801436, DIVERSITY_MEAN_INTER_LIST: 0.9621336, DIVERSITY_HERFINDAHL: 0.9962091, COVERAGE_ITEM: 0.6636496, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1651826, SHANNON_ENTROPY: 10.2083378, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 966, 'shrink': 1490, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0466391, PRECISION: 0.0065323, PRECISION_RECALL_MIN_DEN: 0.0653226, RECALL: 0.0653226, MAP: 0.0338062, MRR: 0.0338062, NDCG: 0.0412201, F1: 0.0118768, HIT_RATE: 0.0653226, ARHR: 0.0338062, RMSE: 0.9814452, NOVELTY: 0.0051620, AVERAGE_POPULARITY: 0.6910929, DIVERSITY_MEAN_INTER_LIST: 0.7857673, DIVERSITY_HERFINDAHL: 0.9785732, COVERAGE_ITEM: 0.2512247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0472062, SHANNON_ENTROPY: 6.8674032, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 901, 'shrink': 1096, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0480325, PRECISION: 0.0067179, PRECISION_RECALL_MIN_DEN: 0.0671788, RECALL: 0.0671788, MAP: 0.0349413, MRR: 0.0349413, NDCG: 0.0425223, F1: 0.0122143, HIT_RATE: 0.0671788, ARHR: 0.0349413, RMSE: 0.9772972, NOVELTY: 0.0051915, AVERAGE_POPULARITY: 0.6732022, DIVERSITY_MEAN_INTER_LIST: 0.8072489, DIVERSITY_HERFINDAHL: 0.9807213, COVERAGE_ITEM: 0.2596377, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0505421, SHANNON_ENTROPY: 7.0626994, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 945, 'shrink': 625, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0506831, PRECISION: 0.0070332, PRECISION_RECALL_MIN_DEN: 0.0703317, RECALL: 0.0703317, MAP: 0.0368608, MRR: 0.0368608, NDCG: 0.0447470, F1: 0.0127876, HIT_RATE: 0.0703317, ARHR: 0.0368608, RMSE: 0.9680016, NOVELTY: 0.0052459, AVERAGE_POPULARITY: 0.6398021, DIVERSITY_MEAN_INTER_LIST: 0.8389940, DIVERSITY_HERFINDAHL: 0.9838957, COVERAGE_ITEM: 0.2657151, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0571254, SHANNON_ENTROPY: 7.3951679, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 234, 'shrink': 1555, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0498966, PRECISION: 0.0069719, PRECISION_RECALL_MIN_DEN: 0.0697189, RECALL: 0.0697189, MAP: 0.0362473, MRR: 0.0362473, NDCG: 0.0441222, F1: 0.0126762, HIT_RATE: 0.0697189, ARHR: 0.0362473, RMSE: 0.9863566, NOVELTY: 0.0053384, AVERAGE_POPULARITY: 0.6088821, DIVERSITY_MEAN_INTER_LIST: 0.8735621, DIVERSITY_HERFINDAHL: 0.9873523, COVERAGE_ITEM: 0.3661746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0683048, SHANNON_ENTROPY: 7.8736508, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 799, 'shrink': 1017, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.0486473, PRECISION: 0.0067845, PRECISION_RECALL_MIN_DEN: 0.0678449, RECALL: 0.0678449, MAP: 0.0353430, MRR: 0.0353430, NDCG: 0.0429917, F1: 0.0123354, HIT_RATE: 0.0678449, ARHR: 0.0353430, RMSE: 0.9765823, NOVELTY: 0.0052088, AVERAGE_POPULARITY: 0.6640057, DIVERSITY_MEAN_INTER_LIST: 0.8178636, DIVERSITY_HERFINDAHL: 0.9817827, COVERAGE_ITEM: 0.2689592, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0524262, SHANNON_ENTROPY: 7.1705697, 
