CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 624, 'shrink': 787, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.30553268100646164, 'tversky_beta': 1.3452828157148804} - results: ROC_AUC: 0.0462572, PRECISION: 0.0065083, PRECISION_RECALL_MIN_DEN: 0.0650828, RECALL: 0.0650828, MAP: 0.0335178, MRR: 0.0335178, NDCG: 0.0409357, F1: 0.0118332, HIT_RATE: 0.0650828, ARHR: 0.0335178, RMSE: 0.9720508, NOVELTY: 0.0051729, AVERAGE_POPULARITY: 0.6914346, DIVERSITY_MEAN_INTER_LIST: 0.7902846, DIVERSITY_HERFINDAHL: 0.9790250, COVERAGE_ITEM: 0.2799892, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0492492, SHANNON_ENTROPY: 6.9282281, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 684, 'shrink': 30, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.31469318581223, 'tversky_beta': 0.6376555704359527} - results: ROC_AUC: 0.0562518, PRECISION: 0.0077295, PRECISION_RECALL_MIN_DEN: 0.0772947, RECALL: 0.0772947, MAP: 0.0410122, MRR: 0.0410122, NDCG: 0.0495782, F1: 0.0140536, HIT_RATE: 0.0772947, ARHR: 0.0410122, RMSE: 0.8908723, NOVELTY: 0.0054873, AVERAGE_POPULARITY: 0.5367144, DIVERSITY_MEAN_INTER_LIST: 0.9093179, DIVERSITY_HERFINDAHL: 0.9909277, COVERAGE_ITEM: 0.3794863, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0900961, SHANNON_ENTROPY: 8.5486088, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 973, 'shrink': 93, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.180163428572647, 'tversky_beta': 1.9074271522148694} - results: ROC_AUC: 0.0587474, PRECISION: 0.0080128, PRECISION_RECALL_MIN_DEN: 0.0801279, RECALL: 0.0801279, MAP: 0.0425677, MRR: 0.0425677, NDCG: 0.0514560, F1: 0.0145687, HIT_RATE: 0.0801279, ARHR: 0.0425677, RMSE: 0.9572806, NOVELTY: 0.0055326, AVERAGE_POPULARITY: 0.5178997, DIVERSITY_MEAN_INTER_LIST: 0.9129484, DIVERSITY_HERFINDAHL: 0.9912908, COVERAGE_ITEM: 0.3930360, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0948000, SHANNON_ENTROPY: 8.6832128, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 55, 'shrink': 625, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.726802250513776, 'tversky_beta': 1.111932689790351} - results: ROC_AUC: 0.0558817, PRECISION: 0.0077970, PRECISION_RECALL_MIN_DEN: 0.0779697, RECALL: 0.0779697, MAP: 0.0402042, MRR: 0.0402042, NDCG: 0.0491030, F1: 0.0141763, HIT_RATE: 0.0779697, ARHR: 0.0402042, RMSE: 0.9851579, NOVELTY: 0.0056179, AVERAGE_POPULARITY: 0.4767493, DIVERSITY_MEAN_INTER_LIST: 0.9486247, DIVERSITY_HERFINDAHL: 0.9948583, COVERAGE_ITEM: 0.4457853, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0984830, SHANNON_ENTROPY: 9.1538159, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 966, 'shrink': 1490, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.8015686749277664, 'tversky_beta': 1.0957043538266602} - results: ROC_AUC: 0.0493401, PRECISION: 0.0068547, PRECISION_RECALL_MIN_DEN: 0.0685466, RECALL: 0.0685466, MAP: 0.0358516, MRR: 0.0358516, NDCG: 0.0435531, F1: 0.0124630, HIT_RATE: 0.0685466, ARHR: 0.0358516, RMSE: 0.9833231, NOVELTY: 0.0052195, AVERAGE_POPULARITY: 0.6541817, DIVERSITY_MEAN_INTER_LIST: 0.8260202, DIVERSITY_HERFINDAHL: 0.9825984, COVERAGE_ITEM: 0.2585347, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0536192, SHANNON_ENTROPY: 7.2396185, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 713, 'shrink': 1211, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.46747722982988, 'tversky_beta': 0.806510067174206} - results: ROC_AUC: 0.0498404, PRECISION: 0.0069355, PRECISION_RECALL_MIN_DEN: 0.0693548, RECALL: 0.0693548, MAP: 0.0361935, MRR: 0.0361935, NDCG: 0.0440029, F1: 0.0126100, HIT_RATE: 0.0693548, ARHR: 0.0361935, RMSE: 0.9801577, NOVELTY: 0.0052482, AVERAGE_POPULARITY: 0.6402645, DIVERSITY_MEAN_INTER_LIST: 0.8422041, DIVERSITY_HERFINDAHL: 0.9842167, COVERAGE_ITEM: 0.2789186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0565952, SHANNON_ENTROPY: 7.4092387, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 234, 'shrink': 1555, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.5956435319407156, 'tversky_beta': 1.0171124424651397} - results: ROC_AUC: 0.0515565, PRECISION: 0.0071753, PRECISION_RECALL_MIN_DEN: 0.0717527, RECALL: 0.0717527, MAP: 0.0373606, MRR: 0.0373606, NDCG: 0.0454622, F1: 0.0130460, HIT_RATE: 0.0717527, ARHR: 0.0373606, RMSE: 0.9872792, NOVELTY: 0.0053778, AVERAGE_POPULARITY: 0.5843414, DIVERSITY_MEAN_INTER_LIST: 0.8918014, DIVERSITY_HERFINDAHL: 0.9891762, COVERAGE_ITEM: 0.3673750, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0715780, SHANNON_ENTROPY: 8.0863854, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 146, 'shrink': 719, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.6961073729710067, 'tversky_beta': 0.6356286897066151} - results: ROC_AUC: 0.0525166, PRECISION: 0.0073245, PRECISION_RECALL_MIN_DEN: 0.0732448, RECALL: 0.0732448, MAP: 0.0379529, MRR: 0.0379529, NDCG: 0.0462658, F1: 0.0133172, HIT_RATE: 0.0732448, ARHR: 0.0379529, RMSE: 0.9773612, NOVELTY: 0.0054480, AVERAGE_POPULARITY: 0.5543439, DIVERSITY_MEAN_INTER_LIST: 0.9115507, DIVERSITY_HERFINDAHL: 0.9911510, COVERAGE_ITEM: 0.3997621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0801166, SHANNON_ENTROPY: 8.4226069, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 697, 'shrink': 1253, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.9474462200302671, 'tversky_beta': 0.12861744152676916} - results: ROC_AUC: 0.0510019, PRECISION: 0.0070962, PRECISION_RECALL_MIN_DEN: 0.0709623, RECALL: 0.0709623, MAP: 0.0371567, MRR: 0.0371567, NDCG: 0.0451182, F1: 0.0129022, HIT_RATE: 0.0709623, ARHR: 0.0371567, RMSE: 0.9796315, NOVELTY: 0.0053016, AVERAGE_POPULARITY: 0.6063276, DIVERSITY_MEAN_INTER_LIST: 0.8708057, DIVERSITY_HERFINDAHL: 0.9870767, COVERAGE_ITEM: 0.2848986, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0619225, SHANNON_ENTROPY: 7.7097676, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 220, 'shrink': 738, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.694390661003469, 'tversky_beta': 0.5977040237249601} - results: ROC_AUC: 0.0549719, PRECISION: 0.0076220, PRECISION_RECALL_MIN_DEN: 0.0762201, RECALL: 0.0762201, MAP: 0.0397556, MRR: 0.0397556, NDCG: 0.0483570, F1: 0.0138582, HIT_RATE: 0.0762201, ARHR: 0.0397556, RMSE: 0.9789385, NOVELTY: 0.0055023, AVERAGE_POPULARITY: 0.5141736, DIVERSITY_MEAN_INTER_LIST: 0.9298725, DIVERSITY_HERFINDAHL: 0.9929831, COVERAGE_ITEM: 0.3756258, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0839389, SHANNON_ENTROPY: 8.6681800, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 749, 'shrink': 135, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.6578863648125829, 'tversky_beta': 1.644099402505281} - results: ROC_AUC: 0.0550538, PRECISION: 0.0075421, PRECISION_RECALL_MIN_DEN: 0.0754208, RECALL: 0.0754208, MAP: 0.0402052, MRR: 0.0402052, NDCG: 0.0485192, F1: 0.0137129, HIT_RATE: 0.0754208, ARHR: 0.0402052, RMSE: 0.9530066, NOVELTY: 0.0053642, AVERAGE_POPULARITY: 0.5860449, DIVERSITY_MEAN_INTER_LIST: 0.8813781, DIVERSITY_HERFINDAHL: 0.9881339, COVERAGE_ITEM: 0.3132522, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0743284, SHANNON_ENTROPY: 8.0179810, 
