CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8843630186261162, 'feature_weighting': 'none'} - results: ROC_AUC: 0.038454±0.0019, PRECISION: 0.005960±0.0002, PRECISION_RECALL_MIN_DEN: 0.059599±0.0016, RECALL: 0.059599±0.0016, MAP: 0.025244±0.0011, MRR: 0.025244±0.0011, NDCG: 0.033270±0.0011, F1: 0.010836±0.0003, HIT_RATE: 0.059599±0.0016, ARHR: 0.025244±0.0011, RMSE: 0.967433±0.0001, NOVELTY: 0.005433±0.0000, AVERAGE_POPULARITY: 0.496096±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.943376±0.0002, DIVERSITY_HERFINDAHL: 0.994314±0.0000, COVERAGE_ITEM: 0.055366±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217335±0.0017, SHANNON_ENTROPY: 8.170850±0.0064, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 898, 'shrink': 1927, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3561755540787788, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032074±0.0011, PRECISION: 0.004956±0.0001, PRECISION_RECALL_MIN_DEN: 0.049556±0.0012, RECALL: 0.049556±0.0012, MAP: 0.021662±0.0007, MRR: 0.021662±0.0007, NDCG: 0.028165±0.0006, F1: 0.009010±0.0002, HIT_RATE: 0.049556±0.0012, ARHR: 0.021662±0.0007, RMSE: 0.795891±0.0037, NOVELTY: 0.005047±0.0000, AVERAGE_POPULARITY: 0.741528±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.758483±0.0009, DIVERSITY_HERFINDAHL: 0.975829±0.0001, COVERAGE_ITEM: 0.028451±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116082±0.0012, SHANNON_ENTROPY: 6.167828±0.0055, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 327, 'shrink': 983, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.12166105406868225, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.030496±0.0010, PRECISION: 0.004732±0.0001, PRECISION_RECALL_MIN_DEN: 0.047324±0.0014, RECALL: 0.047324±0.0014, MAP: 0.020908±0.0012, MRR: 0.020908±0.0012, NDCG: 0.027057±0.0009, F1: 0.008604±0.0002, HIT_RATE: 0.047324±0.0014, ARHR: 0.020908±0.0012, RMSE: 5.883943±0.0817, NOVELTY: 0.005069±0.0000, AVERAGE_POPULARITY: 0.722028±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.772443±0.0004, DIVERSITY_HERFINDAHL: 0.977225±0.0000, COVERAGE_ITEM: 0.032290±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113278±0.0008, SHANNON_ENTROPY: 6.292192±0.0044, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 84, 'shrink': 1264, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.8904756214789087, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.045109±0.0017, PRECISION: 0.006731±0.0002, PRECISION_RECALL_MIN_DEN: 0.067309±0.0016, RECALL: 0.067309±0.0016, MAP: 0.029752±0.0018, MRR: 0.029752±0.0018, NDCG: 0.038581±0.0017, F1: 0.012238±0.0003, HIT_RATE: 0.067309±0.0016, ARHR: 0.029752±0.0018, RMSE: 0.822189±0.0018, NOVELTY: 0.006450±0.0000, AVERAGE_POPULARITY: 0.244750±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.981145±0.0002, DIVERSITY_HERFINDAHL: 0.998090±0.0000, COVERAGE_ITEM: 0.316994±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247941±0.0008, SHANNON_ENTROPY: 10.402961±0.0115, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 871, 'shrink': 437, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0335827133648319, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026359±0.0011, PRECISION: 0.004129±0.0001, PRECISION_RECALL_MIN_DEN: 0.041288±0.0014, RECALL: 0.041288±0.0014, MAP: 0.018011±0.0012, MRR: 0.018011±0.0012, NDCG: 0.023417±0.0010, F1: 0.007507±0.0003, HIT_RATE: 0.041288±0.0014, ARHR: 0.018011±0.0012, RMSE: 19.276503±0.2445, NOVELTY: 0.004981±0.0000, AVERAGE_POPULARITY: 0.782522±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.650281±0.0010, DIVERSITY_HERFINDAHL: 0.965012±0.0001, COVERAGE_ITEM: 0.019346±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104581±0.0012, SHANNON_ENTROPY: 5.512577±0.0059, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 617, 'shrink': 1990, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.063194822787926, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.041525±0.0017, PRECISION: 0.006457±0.0001, PRECISION_RECALL_MIN_DEN: 0.064570±0.0011, RECALL: 0.064570±0.0011, MAP: 0.028222±0.0016, MRR: 0.028222±0.0016, NDCG: 0.036674±0.0014, F1: 0.011740±0.0002, HIT_RATE: 0.064570±0.0011, ARHR: 0.028222±0.0016, RMSE: 0.760466±0.0070, NOVELTY: 0.005670±0.0000, AVERAGE_POPULARITY: 0.430073±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.936189±0.0006, DIVERSITY_HERFINDAHL: 0.993595±0.0001, COVERAGE_ITEM: 0.110981±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.179071±0.0008, SHANNON_ENTROPY: 8.612787±0.0039, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 676, 'shrink': 1165, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.81786944244022, 'feature_weighting': 'none'} - results: ROC_AUC: 0.022200±0.0012, PRECISION: 0.003454±0.0003, PRECISION_RECALL_MIN_DEN: 0.034542±0.0026, RECALL: 0.034542±0.0026, MAP: 0.015708±0.0012, MRR: 0.015708±0.0012, NDCG: 0.020068±0.0013, F1: 0.006280±0.0005, HIT_RATE: 0.034542±0.0026, ARHR: 0.015708±0.0012, RMSE: 0.918448±0.0009, NOVELTY: 0.004917±0.0000, AVERAGE_POPULARITY: 0.833218±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.531528±0.0021, DIVERSITY_HERFINDAHL: 0.953139±0.0002, COVERAGE_ITEM: 0.009592±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128151±0.0016, SHANNON_ENTROPY: 4.859599±0.0074, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 480, 'shrink': 1413, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.589149014470805, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.037856±0.0011, PRECISION: 0.005853±0.0001, PRECISION_RECALL_MIN_DEN: 0.058534±0.0013, RECALL: 0.058534±0.0013, MAP: 0.025924±0.0017, MRR: 0.025924±0.0017, NDCG: 0.033512±0.0015, F1: 0.010643±0.0002, HIT_RATE: 0.058534±0.0013, ARHR: 0.025924±0.0017, RMSE: 0.751288±0.0070, NOVELTY: 0.005381±0.0000, AVERAGE_POPULARITY: 0.575301±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.884302±0.0008, DIVERSITY_HERFINDAHL: 0.988408±0.0001, COVERAGE_ITEM: 0.092555±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128900±0.0005, SHANNON_ENTROPY: 7.702170±0.0061, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 881, 'shrink': 949, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7274304671590105, 'feature_weighting': 'none'} - results: ROC_AUC: 0.022064±0.0014, PRECISION: 0.003353±0.0002, PRECISION_RECALL_MIN_DEN: 0.033528±0.0022, RECALL: 0.033528±0.0022, MAP: 0.015565±0.0012, MRR: 0.015565±0.0012, NDCG: 0.019740±0.0010, F1: 0.006096±0.0004, HIT_RATE: 0.033528±0.0022, ARHR: 0.015565±0.0012, RMSE: 0.896571±0.0012, NOVELTY: 0.004912±0.0000, AVERAGE_POPULARITY: 0.837216±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.511666±0.0020, DIVERSITY_HERFINDAHL: 0.951154±0.0002, COVERAGE_ITEM: 0.008619±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134704±0.0031, SHANNON_ENTROPY: 4.778248±0.0079, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 833, 'shrink': 955, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.530191203699747, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.042962±0.0019, PRECISION: 0.006579±0.0002, PRECISION_RECALL_MIN_DEN: 0.065787±0.0024, RECALL: 0.065787±0.0024, MAP: 0.029059±0.0018, MRR: 0.029059±0.0018, NDCG: 0.037627±0.0019, F1: 0.011961±0.0004, HIT_RATE: 0.065787±0.0024, ARHR: 0.029059±0.0018, RMSE: 0.637016±0.0026, NOVELTY: 0.005642±0.0000, AVERAGE_POPULARITY: 0.478243±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.934574±0.0006, DIVERSITY_HERFINDAHL: 0.993434±0.0001, COVERAGE_ITEM: 0.147586±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163779±0.0010, SHANNON_ENTROPY: 8.683600±0.0112, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 741, 'shrink': 1495, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0504375465735076, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026906±0.0014, PRECISION: 0.004205±0.0001, PRECISION_RECALL_MIN_DEN: 0.042049±0.0009, RECALL: 0.042049±0.0009, MAP: 0.018338±0.0013, MRR: 0.018338±0.0013, NDCG: 0.023849±0.0012, F1: 0.007645±0.0002, HIT_RATE: 0.042049±0.0009, ARHR: 0.018338±0.0013, RMSE: 4.863112±0.0647, NOVELTY: 0.004991±0.0000, AVERAGE_POPULARITY: 0.775144±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.670756±0.0010, DIVERSITY_HERFINDAHL: 0.967059±0.0001, COVERAGE_ITEM: 0.020860±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105205±0.0006, SHANNON_ENTROPY: 5.621204±0.0054, 
