CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.038893±0.0021, PRECISION: 0.005818±0.0002, PRECISION_RECALL_MIN_DEN: 0.058179±0.0022, RECALL: 0.058179±0.0022, MAP: 0.025885±0.0014, MRR: 0.025885±0.0014, NDCG: 0.033463±0.0015, F1: 0.010578±0.0004, HIT_RATE: 0.058179±0.0022, ARHR: 0.025885±0.0014, RMSE: 0.907991±0.0022, NOVELTY: 0.007362±0.0000, AVERAGE_POPULARITY: 0.143768±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.990214±0.0001, DIVERSITY_HERFINDAHL: 0.998996±0.0000, COVERAGE_ITEM: 0.420135±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.374245±0.0023, SHANNON_ENTROPY: 11.506651±0.0132, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 162, 'shrink': 1794, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.034920±0.0011, PRECISION: 0.005361±0.0002, PRECISION_RECALL_MIN_DEN: 0.053614±0.0017, RECALL: 0.053614±0.0017, MAP: 0.023666±0.0010, MRR: 0.023666±0.0010, NDCG: 0.030650±0.0011, F1: 0.009748±0.0003, HIT_RATE: 0.053614±0.0017, ARHR: 0.023666±0.0010, RMSE: 2.283120±0.0269, NOVELTY: 0.005176±0.0000, AVERAGE_POPULARITY: 0.655881±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.850249±0.0011, DIVERSITY_HERFINDAHL: 0.985003±0.0001, COVERAGE_ITEM: 0.043990±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135983±0.0002, SHANNON_ENTROPY: 6.984121±0.0110, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 182, 'shrink': 1222, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.041333±0.0020, PRECISION: 0.006411±0.0002, PRECISION_RECALL_MIN_DEN: 0.064114±0.0023, RECALL: 0.064114±0.0023, MAP: 0.027980±0.0018, MRR: 0.027980±0.0018, NDCG: 0.036396±0.0017, F1: 0.011657±0.0004, HIT_RATE: 0.064114±0.0023, ARHR: 0.027980±0.0018, RMSE: 0.737497±0.0054, NOVELTY: 0.005615±0.0000, AVERAGE_POPULARITY: 0.485936±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.937065±0.0004, DIVERSITY_HERFINDAHL: 0.993683±0.0000, COVERAGE_ITEM: 0.137345±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154600±0.0005, SHANNON_ENTROPY: 8.563105±0.0099, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 696, 'shrink': 122, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032739±0.0006, PRECISION: 0.004966±0.0001, PRECISION_RECALL_MIN_DEN: 0.049658±0.0011, RECALL: 0.049658±0.0011, MAP: 0.022291±0.0007, MRR: 0.022291±0.0007, NDCG: 0.028681±0.0004, F1: 0.009029±0.0002, HIT_RATE: 0.049658±0.0011, ARHR: 0.022291±0.0007, RMSE: 14.169318±0.1491, NOVELTY: 0.005068±0.0000, AVERAGE_POPULARITY: 0.728250±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.775567±0.0006, DIVERSITY_HERFINDAHL: 0.977537±0.0001, COVERAGE_ITEM: 0.031317±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117612±0.0008, SHANNON_ENTROPY: 6.307047±0.0047, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 238, 'shrink': 1612, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.039806±0.0018, PRECISION: 0.006208±0.0002, PRECISION_RECALL_MIN_DEN: 0.062085±0.0025, RECALL: 0.062085±0.0025, MAP: 0.027074±0.0017, MRR: 0.027074±0.0017, NDCG: 0.035216±0.0017, F1: 0.011288±0.0005, HIT_RATE: 0.062085±0.0025, ARHR: 0.027074±0.0017, RMSE: 0.720176±0.0055, NOVELTY: 0.005467±0.0000, AVERAGE_POPULARITY: 0.530151±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.919605±0.0005, DIVERSITY_HERFINDAHL: 0.991937±0.0000, COVERAGE_ITEM: 0.100957±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.147657±0.0007, SHANNON_ENTROPY: 8.138302±0.0076, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 222, 'shrink': 1908, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.032699±0.0011, PRECISION: 0.005148±0.0002, PRECISION_RECALL_MIN_DEN: 0.051484±0.0019, RECALL: 0.051484±0.0019, MAP: 0.022480±0.0011, MRR: 0.022480±0.0011, NDCG: 0.029210±0.0011, F1: 0.009361±0.0003, HIT_RATE: 0.051484±0.0019, ARHR: 0.022480±0.0011, RMSE: 2.422012±0.0334, NOVELTY: 0.005123±0.0000, AVERAGE_POPULARITY: 0.687745±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.816272±0.0005, DIVERSITY_HERFINDAHL: 0.981606±0.0000, COVERAGE_ITEM: 0.038843±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123655±0.0004, SHANNON_ENTROPY: 6.663460±0.0039, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 617, 'shrink': 1990, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.042027±0.0014, PRECISION: 0.006493±0.0001, PRECISION_RECALL_MIN_DEN: 0.064925±0.0012, RECALL: 0.064925±0.0012, MAP: 0.028374±0.0015, MRR: 0.028374±0.0015, NDCG: 0.036893±0.0014, F1: 0.011805±0.0002, HIT_RATE: 0.064925±0.0012, ARHR: 0.028374±0.0015, RMSE: 0.721236±0.0021, NOVELTY: 0.005444±0.0000, AVERAGE_POPULARITY: 0.541689±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.912996±0.0012, DIVERSITY_HERFINDAHL: 0.991276±0.0001, COVERAGE_ITEM: 0.092198±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.155647±0.0010, SHANNON_ENTROPY: 8.081348±0.0114, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 725, 'shrink': 1348, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032536±0.0008, PRECISION: 0.004966±0.0001, PRECISION_RECALL_MIN_DEN: 0.049658±0.0005, RECALL: 0.049658±0.0005, MAP: 0.022204±0.0008, MRR: 0.022204±0.0008, NDCG: 0.028607±0.0006, F1: 0.009029±0.0001, HIT_RATE: 0.049658±0.0005, ARHR: 0.022204±0.0008, RMSE: 1.014337±0.0045, NOVELTY: 0.005064±0.0000, AVERAGE_POPULARITY: 0.730687±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.772399±0.0007, DIVERSITY_HERFINDAHL: 0.977220±0.0001, COVERAGE_ITEM: 0.030906±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.116967±0.0011, SHANNON_ENTROPY: 6.282218±0.0056, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 909, 'shrink': 525, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.024747±0.0013, PRECISION: 0.003890±0.0002, PRECISION_RECALL_MIN_DEN: 0.038904±0.0023, RECALL: 0.038904±0.0023, MAP: 0.017323±0.0012, MRR: 0.017323±0.0012, NDCG: 0.022322±0.0012, F1: 0.007074±0.0004, HIT_RATE: 0.038904±0.0023, ARHR: 0.017323±0.0012, RMSE: 0.881560±0.0013, NOVELTY: 0.004950±0.0000, AVERAGE_POPULARITY: 0.804772±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.598756±0.0004, DIVERSITY_HERFINDAHL: 0.959860±0.0000, COVERAGE_ITEM: 0.012836±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122330±0.0018, SHANNON_ENTROPY: 5.204218±0.0051, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 293, 'shrink': 589, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.035624±0.0009, PRECISION: 0.005539±0.0001, PRECISION_RECALL_MIN_DEN: 0.055389±0.0011, RECALL: 0.055389±0.0011, MAP: 0.023799±0.0006, MRR: 0.023799±0.0006, NDCG: 0.031166±0.0006, F1: 0.010071±0.0002, HIT_RATE: 0.055389±0.0011, ARHR: 0.023799±0.0006, RMSE: 1.909646±0.0113, NOVELTY: 0.005168±0.0000, AVERAGE_POPULARITY: 0.665981±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.843748±0.0007, DIVERSITY_HERFINDAHL: 0.984353±0.0001, COVERAGE_ITEM: 0.043558±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131456±0.0006, SHANNON_ENTROPY: 6.918254±0.0009, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 938, 'shrink': 510, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.033618±0.0021, PRECISION: 0.005285±0.0001, PRECISION_RECALL_MIN_DEN: 0.052853±0.0014, RECALL: 0.052853±0.0014, MAP: 0.023332±0.0019, MRR: 0.023332±0.0019, NDCG: 0.030172±0.0017, F1: 0.009610±0.0003, HIT_RATE: 0.052853±0.0014, ARHR: 0.023332±0.0019, RMSE: 0.956930±0.0159, NOVELTY: 0.005500±0.0000, AVERAGE_POPULARITY: 0.598717±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.834911±0.0007, DIVERSITY_HERFINDAHL: 0.983470±0.0001, COVERAGE_ITEM: 0.127083±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118271±0.0004, SHANNON_ENTROPY: 7.499424±0.0063, 
