CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.040747±0.0008, PRECISION: 0.006259±0.0001, PRECISION_RECALL_MIN_DEN: 0.062592±0.0011, RECALL: 0.062592±0.0011, MAP: 0.026628±0.0007, MRR: 0.026628±0.0007, NDCG: 0.035053±0.0006, F1: 0.011380±0.0002, HIT_RATE: 0.062592±0.0011, ARHR: 0.026628±0.0007, RMSE: 0.978949±0.0001, NOVELTY: 0.005437±0.0000, AVERAGE_POPULARITY: 0.498488±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.943526±0.0003, DIVERSITY_HERFINDAHL: 0.994329±0.0000, COVERAGE_ITEM: 0.054447±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.222925±0.0016, SHANNON_ENTROPY: 8.182390±0.0081, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 445, 'shrink': 315, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.032795±0.0007, PRECISION: 0.005072±0.0001, PRECISION_RECALL_MIN_DEN: 0.050723±0.0009, RECALL: 0.050723±0.0009, MAP: 0.022596±0.0008, MRR: 0.022596±0.0008, NDCG: 0.029136±0.0007, F1: 0.009222±0.0002, HIT_RATE: 0.050723±0.0009, ARHR: 0.022596±0.0008, RMSE: 0.910412±0.0010, NOVELTY: 0.005110±0.0000, AVERAGE_POPULARITY: 0.687899±0.0063, DIVERSITY_MEAN_INTER_LIST: 0.795042±0.0016, DIVERSITY_HERFINDAHL: 0.979484±0.0002, COVERAGE_ITEM: 0.030376±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133088±0.0006, SHANNON_ENTROPY: 6.479922±0.0088, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 713, 'shrink': 1776, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.024933±0.0011, PRECISION: 0.003890±0.0002, PRECISION_RECALL_MIN_DEN: 0.038904±0.0023, RECALL: 0.038904±0.0023, MAP: 0.017557±0.0012, MRR: 0.017557±0.0012, NDCG: 0.022501±0.0012, F1: 0.007074±0.0004, HIT_RATE: 0.038904±0.0023, ARHR: 0.017557±0.0012, RMSE: 0.961095±0.0005, NOVELTY: 0.004954±0.0000, AVERAGE_POPULARITY: 0.801352±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.610958±0.0017, DIVERSITY_HERFINDAHL: 0.961080±0.0002, COVERAGE_ITEM: 0.013431±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121295±0.0014, SHANNON_ENTROPY: 5.257670±0.0068, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 327, 'shrink': 983, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.029019±0.0006, PRECISION: 0.004479±0.0002, PRECISION_RECALL_MIN_DEN: 0.044788±0.0017, RECALL: 0.044788±0.0017, MAP: 0.019809±0.0009, MRR: 0.019809±0.0009, NDCG: 0.025625±0.0008, F1: 0.008143±0.0003, HIT_RATE: 0.044788±0.0017, ARHR: 0.019809±0.0009, RMSE: 0.951955±0.0006, NOVELTY: 0.005029±0.0000, AVERAGE_POPULARITY: 0.744094±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.738291±0.0008, DIVERSITY_HERFINDAHL: 0.973810±0.0001, COVERAGE_ITEM: 0.022763±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122395±0.0014, SHANNON_ENTROPY: 5.987499±0.0066, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 66, 'shrink': 1969, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.032665±0.0008, PRECISION: 0.005108±0.0001, PRECISION_RECALL_MIN_DEN: 0.051078±0.0008, RECALL: 0.051078±0.0008, MAP: 0.022221±0.0009, MRR: 0.022221±0.0009, NDCG: 0.028930±0.0008, F1: 0.009287±0.0001, HIT_RATE: 0.051078±0.0008, ARHR: 0.022221±0.0009, RMSE: 0.983068±0.0002, NOVELTY: 0.005160±0.0000, AVERAGE_POPULARITY: 0.657070±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.860588±0.0007, DIVERSITY_HERFINDAHL: 0.986037±0.0001, COVERAGE_ITEM: 0.036799±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.149465±0.0016, SHANNON_ENTROPY: 6.963043±0.0079, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 238, 'shrink': 1612, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028878±0.0010, PRECISION: 0.004403±0.0002, PRECISION_RECALL_MIN_DEN: 0.044027±0.0020, RECALL: 0.044027±0.0020, MAP: 0.019928±0.0009, MRR: 0.019928±0.0009, NDCG: 0.025544±0.0008, F1: 0.008005±0.0004, HIT_RATE: 0.044027±0.0020, ARHR: 0.019928±0.0009, RMSE: 0.968297±0.0004, NOVELTY: 0.005023±0.0000, AVERAGE_POPULARITY: 0.749442±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.738867±0.0007, DIVERSITY_HERFINDAHL: 0.973868±0.0001, COVERAGE_ITEM: 0.023379±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118747±0.0009, SHANNON_ENTROPY: 5.977948±0.0044, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 871, 'shrink': 437, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.029470±0.0002, PRECISION: 0.004535±0.0001, PRECISION_RECALL_MIN_DEN: 0.045346±0.0009, RECALL: 0.045346±0.0009, MAP: 0.020307±0.0010, MRR: 0.020307±0.0010, NDCG: 0.026136±0.0008, F1: 0.008245±0.0002, HIT_RATE: 0.045346±0.0009, ARHR: 0.020307±0.0010, RMSE: 0.906908±0.0010, NOVELTY: 0.005032±0.0000, AVERAGE_POPULARITY: 0.740249±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.705139±0.0014, DIVERSITY_HERFINDAHL: 0.970496±0.0001, COVERAGE_ITEM: 0.020568±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124998±0.0010, SHANNON_ENTROPY: 5.865325±0.0069, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 519, 'shrink': 1600, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.026026±0.0007, PRECISION: 0.004053±0.0002, PRECISION_RECALL_MIN_DEN: 0.040528±0.0016, RECALL: 0.040528±0.0016, MAP: 0.018161±0.0010, MRR: 0.018161±0.0010, NDCG: 0.023351±0.0008, F1: 0.007369±0.0003, HIT_RATE: 0.040528±0.0016, ARHR: 0.018161±0.0010, RMSE: 0.960695±0.0005, NOVELTY: 0.004971±0.0000, AVERAGE_POPULARITY: 0.787380±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.651924±0.0012, DIVERSITY_HERFINDAHL: 0.965176±0.0001, COVERAGE_ITEM: 0.015907±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118893±0.0020, SHANNON_ENTROPY: 5.462542±0.0090, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 61, 'shrink': 1629, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.033804±0.0011, PRECISION: 0.005270±0.0001, PRECISION_RECALL_MIN_DEN: 0.052701±0.0007, RECALL: 0.052701±0.0007, MAP: 0.022819±0.0010, MRR: 0.022819±0.0010, NDCG: 0.029774±0.0009, F1: 0.009582±0.0001, HIT_RATE: 0.052701±0.0007, ARHR: 0.022819±0.0010, RMSE: 0.981357±0.0002, NOVELTY: 0.005186±0.0000, AVERAGE_POPULARITY: 0.640917±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.873375±0.0004, DIVERSITY_HERFINDAHL: 0.987315±0.0000, COVERAGE_ITEM: 0.038724±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.155948±0.0009, SHANNON_ENTROPY: 7.103057±0.0065, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 676, 'shrink': 1165, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.026229±0.0009, PRECISION: 0.004058±0.0002, PRECISION_RECALL_MIN_DEN: 0.040578±0.0021, RECALL: 0.040578±0.0021, MAP: 0.018311±0.0012, MRR: 0.018311±0.0012, NDCG: 0.023481±0.0011, F1: 0.007378±0.0004, HIT_RATE: 0.040578±0.0021, ARHR: 0.018311±0.0012, RMSE: 0.948383±0.0006, NOVELTY: 0.004974±0.0000, AVERAGE_POPULARITY: 0.784930±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.645200±0.0014, DIVERSITY_HERFINDAHL: 0.964504±0.0001, COVERAGE_ITEM: 0.015420±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121547±0.0012, SHANNON_ENTROPY: 5.448816±0.0074, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 909, 'shrink': 525, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.028664±0.0003, PRECISION: 0.004403±0.0001, PRECISION_RECALL_MIN_DEN: 0.044027±0.0010, RECALL: 0.044027±0.0010, MAP: 0.019836±0.0009, MRR: 0.019836±0.0009, NDCG: 0.025467±0.0005, F1: 0.008005±0.0002, HIT_RATE: 0.044027±0.0010, ARHR: 0.019836±0.0009, RMSE: 0.913809±0.0010, NOVELTY: 0.005015±0.0000, AVERAGE_POPULARITY: 0.752994±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.685822±0.0016, DIVERSITY_HERFINDAHL: 0.968565±0.0002, COVERAGE_ITEM: 0.019032±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122641±0.0007, SHANNON_ENTROPY: 5.737051±0.0060, 
