CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 570, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8843630186261162, 'tversky_beta': 0.31487249295509706} - results: ROC_AUC: 0.039028±0.0016, PRECISION: 0.006061±0.0002, PRECISION_RECALL_MIN_DEN: 0.060614±0.0023, RECALL: 0.060614±0.0023, MAP: 0.025664±0.0010, MRR: 0.025664±0.0010, NDCG: 0.033829±0.0010, F1: 0.011021±0.0004, HIT_RATE: 0.060614±0.0023, ARHR: 0.025664±0.0010, RMSE: 0.971204±0.0001, NOVELTY: 0.005421±0.0000, AVERAGE_POPULARITY: 0.503474±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.941704±0.0003, DIVERSITY_HERFINDAHL: 0.994146±0.0000, COVERAGE_ITEM: 0.053712±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.217987±0.0007, SHANNON_ENTROPY: 8.130869±0.0044, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 898, 'shrink': 1927, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.3561755540787788, 'tversky_beta': 1.2218186383996104} - results: ROC_AUC: 0.022808±0.0014, PRECISION: 0.003566±0.0001, PRECISION_RECALL_MIN_DEN: 0.035658±0.0014, RECALL: 0.035658±0.0014, MAP: 0.016148±0.0013, MRR: 0.016148±0.0013, NDCG: 0.020664±0.0012, F1: 0.006483±0.0003, HIT_RATE: 0.035658±0.0014, ARHR: 0.016148±0.0013, RMSE: 0.959966±0.0006, NOVELTY: 0.004923±0.0000, AVERAGE_POPULARITY: 0.827450±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.541216±0.0011, DIVERSITY_HERFINDAHL: 0.954108±0.0001, COVERAGE_ITEM: 0.010014±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127455±0.0019, SHANNON_ENTROPY: 4.914353±0.0043, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 327, 'shrink': 983, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.12166105406868225, 'tversky_beta': 1.9687860290462973} - results: ROC_AUC: 0.025598±0.0015, PRECISION: 0.003967±0.0002, PRECISION_RECALL_MIN_DEN: 0.039665±0.0020, RECALL: 0.039665±0.0020, MAP: 0.017680±0.0012, MRR: 0.017680±0.0012, NDCG: 0.022786±0.0011, F1: 0.007212±0.0004, HIT_RATE: 0.039665±0.0020, ARHR: 0.017680±0.0012, RMSE: 0.954908±0.0007, NOVELTY: 0.004968±0.0000, AVERAGE_POPULARITY: 0.791378±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.670796±0.0017, DIVERSITY_HERFINDAHL: 0.967063±0.0002, COVERAGE_ITEM: 0.017518±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.113972±0.0007, SHANNON_ENTROPY: 5.528352±0.0073, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 84, 'shrink': 1264, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.8904756214789087, 'tversky_beta': 1.1486316853890552} - results: ROC_AUC: 0.033556±0.0010, PRECISION: 0.005204±0.0002, PRECISION_RECALL_MIN_DEN: 0.052042±0.0020, RECALL: 0.052042±0.0020, MAP: 0.022408±0.0013, MRR: 0.022408±0.0013, NDCG: 0.029315±0.0014, F1: 0.009462±0.0004, HIT_RATE: 0.052042±0.0020, ARHR: 0.022408±0.0013, RMSE: 0.975293±0.0003, NOVELTY: 0.005154±0.0000, AVERAGE_POPULARITY: 0.661075±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.855761±0.0009, DIVERSITY_HERFINDAHL: 0.985554±0.0001, COVERAGE_ITEM: 0.036085±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.148810±0.0009, SHANNON_ENTROPY: 6.923544±0.0084, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 871, 'shrink': 437, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.0335827133648319, 'tversky_beta': 1.599821533078744} - results: ROC_AUC: 0.029013±0.0005, PRECISION: 0.004494±0.0001, PRECISION_RECALL_MIN_DEN: 0.044940±0.0005, RECALL: 0.044940±0.0005, MAP: 0.020034±0.0012, MRR: 0.020034±0.0012, NDCG: 0.025824±0.0009, F1: 0.008171±0.0001, HIT_RATE: 0.044940±0.0005, ARHR: 0.020034±0.0012, RMSE: 0.920895±0.0010, NOVELTY: 0.005021±0.0000, AVERAGE_POPULARITY: 0.749854±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.693213±0.0011, DIVERSITY_HERFINDAHL: 0.969304±0.0001, COVERAGE_ITEM: 0.020633±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119425±0.0007, SHANNON_ENTROPY: 5.795629±0.0040, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 617, 'shrink': 1990, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.063194822787926, 'tversky_beta': 1.4476187255415012} - results: ROC_AUC: 0.025344±0.0010, PRECISION: 0.003911±0.0002, PRECISION_RECALL_MIN_DEN: 0.039107±0.0021, RECALL: 0.039107±0.0021, MAP: 0.017704±0.0012, MRR: 0.017704±0.0012, NDCG: 0.022673±0.0012, F1: 0.007110±0.0004, HIT_RATE: 0.039107±0.0021, ARHR: 0.017704±0.0012, RMSE: 0.967320±0.0004, NOVELTY: 0.004957±0.0000, AVERAGE_POPULARITY: 0.799056±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.620994±0.0009, DIVERSITY_HERFINDAHL: 0.962084±0.0001, COVERAGE_ITEM: 0.014036±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120309±0.0018, SHANNON_ENTROPY: 5.306030±0.0042, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 676, 'shrink': 1165, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.81786944244022, 'tversky_beta': 0.5249403827617384} - results: ROC_AUC: 0.028946±0.0003, PRECISION: 0.004413±0.0001, PRECISION_RECALL_MIN_DEN: 0.044129±0.0009, RECALL: 0.044129±0.0009, MAP: 0.019954±0.0008, MRR: 0.019954±0.0008, NDCG: 0.025588±0.0006, F1: 0.008023±0.0002, HIT_RATE: 0.044129±0.0009, ARHR: 0.019954±0.0008, RMSE: 0.949958±0.0005, NOVELTY: 0.005033±0.0000, AVERAGE_POPULARITY: 0.738225±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.717675±0.0008, DIVERSITY_HERFINDAHL: 0.971749±0.0001, COVERAGE_ITEM: 0.019832±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130611±0.0022, SHANNON_ENTROPY: 5.898270±0.0049, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 480, 'shrink': 1413, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.589149014470805, 'tversky_beta': 1.522102192997029} - results: ROC_AUC: 0.025530±0.0011, PRECISION: 0.003972±0.0002, PRECISION_RECALL_MIN_DEN: 0.039716±0.0020, RECALL: 0.039716±0.0020, MAP: 0.017715±0.0013, MRR: 0.017715±0.0013, NDCG: 0.022821±0.0013, F1: 0.007221±0.0004, HIT_RATE: 0.039716±0.0020, ARHR: 0.017715±0.0013, RMSE: 0.959038±0.0005, NOVELTY: 0.004960±0.0000, AVERAGE_POPULARITY: 0.797246±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.637832±0.0016, DIVERSITY_HERFINDAHL: 0.963767±0.0002, COVERAGE_ITEM: 0.015096±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117634±0.0015, SHANNON_ENTROPY: 5.372541±0.0105, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 881, 'shrink': 949, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.7274304671590105, 'tversky_beta': 0.6616369399429515} - results: ROC_AUC: 0.025530±0.0008, PRECISION: 0.003911±0.0002, PRECISION_RECALL_MIN_DEN: 0.039107±0.0017, RECALL: 0.039107±0.0017, MAP: 0.017915±0.0011, MRR: 0.017915±0.0011, NDCG: 0.022841±0.0008, F1: 0.007110±0.0003, HIT_RATE: 0.039107±0.0017, ARHR: 0.017915±0.0011, RMSE: 0.930279±0.0008, NOVELTY: 0.004959±0.0000, AVERAGE_POPULARITY: 0.796822±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.610461±0.0013, DIVERSITY_HERFINDAHL: 0.961031±0.0001, COVERAGE_ITEM: 0.013474±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.122714±0.0012, SHANNON_ENTROPY: 5.277515±0.0084, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 833, 'shrink': 955, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.530191203699747, 'tversky_beta': 1.1273097632758708} - results: ROC_AUC: 0.024285±0.0012, PRECISION: 0.003769±0.0003, PRECISION_RECALL_MIN_DEN: 0.037687±0.0025, RECALL: 0.037687±0.0025, MAP: 0.017000±0.0013, MRR: 0.017000±0.0013, NDCG: 0.021801±0.0014, F1: 0.006852±0.0005, HIT_RATE: 0.037687±0.0025, ARHR: 0.017000±0.0013, RMSE: 0.935276±0.0008, NOVELTY: 0.004945±0.0000, AVERAGE_POPULARITY: 0.808710±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.590497±0.0007, DIVERSITY_HERFINDAHL: 0.959035±0.0001, COVERAGE_ITEM: 0.012706±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119871±0.0015, SHANNON_ENTROPY: 5.160273±0.0061, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 741, 'shrink': 1495, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.0504375465735076, 'tversky_beta': 1.8601587768572543} - results: ROC_AUC: 0.025316±0.0010, PRECISION: 0.003921±0.0002, PRECISION_RECALL_MIN_DEN: 0.039209±0.0015, RECALL: 0.039209±0.0015, MAP: 0.017701±0.0011, MRR: 0.017701±0.0011, NDCG: 0.022694±0.0010, F1: 0.007129±0.0003, HIT_RATE: 0.039209±0.0015, ARHR: 0.017701±0.0011, RMSE: 0.960817±0.0005, NOVELTY: 0.004959±0.0000, AVERAGE_POPULARITY: 0.797727±0.0061, DIVERSITY_MEAN_INTER_LIST: 0.616723±0.0011, DIVERSITY_HERFINDAHL: 0.961657±0.0001, COVERAGE_ITEM: 0.014101±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119419±0.0017, SHANNON_ENTROPY: 5.298564±0.0054, 
