CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 603, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4283654890234154, 'feature_weighting': 'none'} - results: ROC_AUC: 0.053363±0.0012, PRECISION: 0.007358±0.0002, PRECISION_RECALL_MIN_DEN: 0.073585±0.0015, RECALL: 0.073585±0.0015, MAP: 0.039614±0.0010, MRR: 0.039614±0.0010, NDCG: 0.047604±0.0011, F1: 0.013379±0.0003, HIT_RATE: 0.073585±0.0015, ARHR: 0.039614±0.0010, RMSE: 0.957146±0.0003, NOVELTY: 0.005198±0.0000, AVERAGE_POPULARITY: 0.686627±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.800476±0.0005, DIVERSITY_HERFINDAHL: 0.980043±0.0000, COVERAGE_ITEM: 0.269889±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.062608±0.0005, SHANNON_ENTROPY: 7.121471±0.0073, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 872, 'shrink': 921, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4264943339468942, 'feature_weighting': 'none'} - results: ROC_AUC: 0.052281±0.0010, PRECISION: 0.007221±0.0002, PRECISION_RECALL_MIN_DEN: 0.072206±0.0016, RECALL: 0.072206±0.0016, MAP: 0.038538±0.0010, MRR: 0.038538±0.0010, NDCG: 0.046460±0.0011, F1: 0.013128±0.0003, HIT_RATE: 0.072206±0.0016, ARHR: 0.038538±0.0010, RMSE: 0.970325±0.0002, NOVELTY: 0.005139±0.0000, AVERAGE_POPULARITY: 0.713252±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.768238±0.0003, DIVERSITY_HERFINDAHL: 0.976819±0.0000, COVERAGE_ITEM: 0.228094±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.054325±0.0003, SHANNON_ENTROPY: 6.774982±0.0086, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 123, 'shrink': 66, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.06731703507229204, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.071639±0.0009, PRECISION: 0.009695±0.0001, PRECISION_RECALL_MIN_DEN: 0.096947±0.0011, RECALL: 0.096947±0.0011, MAP: 0.052660±0.0010, MRR: 0.052660±0.0010, NDCG: 0.063136±0.0010, F1: 0.017627±0.0002, HIT_RATE: 0.096947±0.0011, ARHR: 0.052660±0.0010, RMSE: 22.736851±0.1413, NOVELTY: 0.005710±0.0000, AVERAGE_POPULARITY: 0.456627±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.953611±0.0003, DIVERSITY_HERFINDAHL: 0.995356±0.0000, COVERAGE_ITEM: 0.451419±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119974±0.0005, SHANNON_ENTROPY: 9.458532±0.0077, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 698, 'shrink': 911, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6800668688066234, 'feature_weighting': 'none'} - results: ROC_AUC: 0.052856±0.0012, PRECISION: 0.007262±0.0002, PRECISION_RECALL_MIN_DEN: 0.072616±0.0019, RECALL: 0.072616±0.0019, MAP: 0.039060±0.0011, MRR: 0.039060±0.0011, NDCG: 0.046962±0.0013, F1: 0.013203±0.0003, HIT_RATE: 0.072616±0.0019, ARHR: 0.039060±0.0011, RMSE: 0.970690±0.0002, NOVELTY: 0.005164±0.0000, AVERAGE_POPULARITY: 0.701579±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.783191±0.0006, DIVERSITY_HERFINDAHL: 0.978315±0.0001, COVERAGE_ITEM: 0.245461±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.057884±0.0004, SHANNON_ENTROPY: 6.928120±0.0066, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 978, 'shrink': 1806, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4890728945179724, 'feature_weighting': 'none'} - results: ROC_AUC: 0.054475±0.0013, PRECISION: 0.007481±0.0002, PRECISION_RECALL_MIN_DEN: 0.074815±0.0019, RECALL: 0.074815±0.0019, MAP: 0.040225±0.0011, MRR: 0.040225±0.0011, NDCG: 0.048372±0.0012, F1: 0.013603±0.0003, HIT_RATE: 0.074815±0.0019, ARHR: 0.040225±0.0011, RMSE: 0.987261±0.0001, NOVELTY: 0.005173±0.0000, AVERAGE_POPULARITY: 0.698263±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.789614±0.0005, DIVERSITY_HERFINDAHL: 0.978957±0.0000, COVERAGE_ITEM: 0.258167±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.054011±0.0003, SHANNON_ENTROPY: 6.933117±0.0109, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 405, 'shrink': 736, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1547811371513763, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.056716±0.0009, PRECISION: 0.007273±0.0001, PRECISION_RECALL_MIN_DEN: 0.072730±0.0015, RECALL: 0.072730±0.0015, MAP: 0.042604±0.0008, MRR: 0.042604±0.0008, NDCG: 0.049802±0.0009, F1: 0.013224±0.0003, HIT_RATE: 0.072730±0.0015, ARHR: 0.042604±0.0008, RMSE: 0.735506±0.0029, NOVELTY: 0.007937±0.0000, AVERAGE_POPULARITY: 0.076377±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996554±0.0000, DIVERSITY_HERFINDAHL: 0.999650±0.0000, COVERAGE_ITEM: 0.719027±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.371202±0.0010, SHANNON_ENTROPY: 12.534548±0.0039, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 651, 'shrink': 1522, 'normalize': True, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0561370209900236, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070313±0.0010, PRECISION: 0.009254±0.0001, PRECISION_RECALL_MIN_DEN: 0.092539±0.0014, RECALL: 0.092539±0.0014, MAP: 0.051854±0.0008, MRR: 0.051854±0.0008, NDCG: 0.061540±0.0009, F1: 0.016825±0.0003, HIT_RATE: 0.092539±0.0014, ARHR: 0.051854±0.0008, RMSE: 0.737577±0.0024, NOVELTY: 0.006906±0.0000, AVERAGE_POPULARITY: 0.187305±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.992084±0.0000, DIVERSITY_HERFINDAHL: 0.999203±0.0000, COVERAGE_ITEM: 0.697583±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.282436±0.0005, SHANNON_ENTROPY: 11.863238±0.0043, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 560, 'shrink': 1307, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3064767578598802, 'feature_weighting': 'none'} - results: ROC_AUC: 0.053408±0.0012, PRECISION: 0.007368±0.0002, PRECISION_RECALL_MIN_DEN: 0.073676±0.0017, RECALL: 0.073676±0.0017, MAP: 0.039617±0.0010, MRR: 0.039617±0.0010, NDCG: 0.047627±0.0011, F1: 0.013396±0.0003, HIT_RATE: 0.073676±0.0017, ARHR: 0.039617±0.0010, RMSE: 0.980108±0.0001, NOVELTY: 0.005195±0.0000, AVERAGE_POPULARITY: 0.688254±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.798573±0.0005, DIVERSITY_HERFINDAHL: 0.979853±0.0000, COVERAGE_ITEM: 0.270278±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.062106±0.0004, SHANNON_ENTROPY: 7.101469±0.0077, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 342, 'shrink': 1700, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.269349565906309, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.073787±0.0013, PRECISION: 0.010022±0.0001, PRECISION_RECALL_MIN_DEN: 0.100216±0.0015, RECALL: 0.100216±0.0015, MAP: 0.053483±0.0009, MRR: 0.053483±0.0009, NDCG: 0.064549±0.0010, F1: 0.018221±0.0003, HIT_RATE: 0.100216±0.0015, ARHR: 0.053483±0.0009, RMSE: 0.946265±0.0044, NOVELTY: 0.005689±0.0000, AVERAGE_POPULARITY: 0.482117±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.942113±0.0003, DIVERSITY_HERFINDAHL: 0.994206±0.0000, COVERAGE_ITEM: 0.467791±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123780±0.0005, SHANNON_ENTROPY: 9.285288±0.0087, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 431, 'shrink': 403, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1208398593525808, 'feature_weighting': 'none'} - results: ROC_AUC: 0.054101±0.0014, PRECISION: 0.007406±0.0002, PRECISION_RECALL_MIN_DEN: 0.074063±0.0018, RECALL: 0.074063±0.0018, MAP: 0.040028±0.0011, MRR: 0.040028±0.0011, NDCG: 0.048048±0.0012, F1: 0.013466±0.0003, HIT_RATE: 0.074063±0.0018, ARHR: 0.040028±0.0011, RMSE: 0.939489±0.0006, NOVELTY: 0.005234±0.0000, AVERAGE_POPULARITY: 0.670585±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.817527±0.0006, DIVERSITY_HERFINDAHL: 0.981748±0.0001, COVERAGE_ITEM: 0.292133±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.067762±0.0006, SHANNON_ENTROPY: 7.321768±0.0048, 
CrossSearchBayesianSkopt: New best config found. Config 10: {'topK': 140, 'shrink': 1915, 'normalize': False, 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0620715744482063, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.074429±0.0011, PRECISION: 0.010163±0.0001, PRECISION_RECALL_MIN_DEN: 0.101629±0.0014, RECALL: 0.101629±0.0014, MAP: 0.054229±0.0009, MRR: 0.054229±0.0009, NDCG: 0.065434±0.0009, F1: 0.018478±0.0003, HIT_RATE: 0.101629±0.0014, ARHR: 0.054229±0.0009, RMSE: 0.944407±0.0041, NOVELTY: 0.005832±0.0000, AVERAGE_POPULARITY: 0.427828±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.959779±0.0004, DIVERSITY_HERFINDAHL: 0.995972±0.0000, COVERAGE_ITEM: 0.498978±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144663±0.0005, SHANNON_ENTROPY: 9.781759±0.0117, 
