CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 603, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066546±0.0013, PRECISION: 0.009028±0.0002, PRECISION_RECALL_MIN_DEN: 0.090284±0.0019, RECALL: 0.090284±0.0019, MAP: 0.049078±0.0012, MRR: 0.049078±0.0012, NDCG: 0.058814±0.0013, F1: 0.016415±0.0003, HIT_RATE: 0.090284±0.0019, ARHR: 0.049078±0.0012, RMSE: 3.221399±0.0179, NOVELTY: 0.005426±0.0000, AVERAGE_POPULARITY: 0.574175±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.898809±0.0003, DIVERSITY_HERFINDAHL: 0.989876±0.0000, COVERAGE_ITEM: 0.354701±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085807±0.0005, SHANNON_ENTROPY: 8.293336±0.0075, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 209, 'shrink': 1743, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.074587±0.0006, PRECISION: 0.009925±0.0001, PRECISION_RECALL_MIN_DEN: 0.099248±0.0009, RECALL: 0.099248±0.0009, MAP: 0.054499±0.0006, MRR: 0.054499±0.0006, NDCG: 0.065137±0.0005, F1: 0.018045±0.0002, HIT_RATE: 0.099248±0.0009, ARHR: 0.054499±0.0006, RMSE: 0.880905±0.0016, NOVELTY: 0.006755±0.0000, AVERAGE_POPULARITY: 0.237369±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.989310±0.0001, DIVERSITY_HERFINDAHL: 0.998925±0.0000, COVERAGE_ITEM: 0.658665±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.335686±0.0007, SHANNON_ENTROPY: 11.800030±0.0080, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 214, 'shrink': 549, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.068973±0.0007, PRECISION: 0.009145±0.0001, PRECISION_RECALL_MIN_DEN: 0.091445±0.0008, RECALL: 0.091445±0.0008, MAP: 0.051154±0.0006, MRR: 0.051154±0.0006, NDCG: 0.060717±0.0005, F1: 0.016626±0.0001, HIT_RATE: 0.091445±0.0008, ARHR: 0.051154±0.0006, RMSE: 0.853124±0.0035, NOVELTY: 0.007318±0.0000, AVERAGE_POPULARITY: 0.216566±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.989686±0.0001, DIVERSITY_HERFINDAHL: 0.998963±0.0000, COVERAGE_ITEM: 0.746256±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.328209±0.0009, SHANNON_ENTROPY: 11.980841±0.0062, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 208, 'shrink': 67, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.074219±0.0012, PRECISION: 0.010114±0.0002, PRECISION_RECALL_MIN_DEN: 0.101139±0.0018, RECALL: 0.101139±0.0018, MAP: 0.053968±0.0010, MRR: 0.053968±0.0010, NDCG: 0.065126±0.0011, F1: 0.018389±0.0003, HIT_RATE: 0.101139±0.0018, ARHR: 0.053968±0.0010, RMSE: 15.170093±0.0687, NOVELTY: 0.005766±0.0000, AVERAGE_POPULARITY: 0.452304±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.952560±0.0003, DIVERSITY_HERFINDAHL: 0.995251±0.0000, COVERAGE_ITEM: 0.484942±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134856±0.0007, SHANNON_ENTROPY: 9.560547±0.0096, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 509, 'shrink': 252, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066907±0.0014, PRECISION: 0.009065±0.0002, PRECISION_RECALL_MIN_DEN: 0.090648±0.0020, RECALL: 0.090648±0.0020, MAP: 0.049324±0.0011, MRR: 0.049324±0.0011, NDCG: 0.059092±0.0013, F1: 0.016481±0.0004, HIT_RATE: 0.090648±0.0020, ARHR: 0.049324±0.0011, RMSE: 7.955431±0.0400, NOVELTY: 0.005438±0.0000, AVERAGE_POPULARITY: 0.568802±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.902325±0.0002, DIVERSITY_HERFINDAHL: 0.990227±0.0000, COVERAGE_ITEM: 0.358951±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.087274±0.0006, SHANNON_ENTROPY: 8.349764±0.0077, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 903, 'shrink': 742, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.052153±0.0010, PRECISION: 0.007202±0.0001, PRECISION_RECALL_MIN_DEN: 0.072024±0.0014, RECALL: 0.072024±0.0014, MAP: 0.038445±0.0010, MRR: 0.038445±0.0010, NDCG: 0.046348±0.0011, F1: 0.013095±0.0003, HIT_RATE: 0.072024±0.0014, ARHR: 0.038445±0.0010, RMSE: 0.963056±0.0003, NOVELTY: 0.005134±0.0000, AVERAGE_POPULARITY: 0.715503±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.765465±0.0003, DIVERSITY_HERFINDAHL: 0.976542±0.0000, COVERAGE_ITEM: 0.223077±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.053553±0.0003, SHANNON_ENTROPY: 6.743879±0.0076, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 405, 'shrink': 736, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.069137±0.0007, PRECISION: 0.009222±0.0001, PRECISION_RECALL_MIN_DEN: 0.092220±0.0008, RECALL: 0.092220±0.0008, MAP: 0.050912±0.0007, MRR: 0.050912±0.0007, NDCG: 0.060711±0.0007, F1: 0.016767±0.0002, HIT_RATE: 0.092220±0.0008, ARHR: 0.050912±0.0007, RMSE: 0.850703±0.0023, NOVELTY: 0.007252±0.0000, AVERAGE_POPULARITY: 0.172769±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.993867±0.0000, DIVERSITY_HERFINDAHL: 0.999381±0.0000, COVERAGE_ITEM: 0.707737±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.436584±0.0008, SHANNON_ENTROPY: 12.455104±0.0053, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 683, 'shrink': 1302, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.072639±0.0016, PRECISION: 0.009882±0.0002, PRECISION_RECALL_MIN_DEN: 0.098815±0.0020, RECALL: 0.098815±0.0020, MAP: 0.052913±0.0012, MRR: 0.052913±0.0012, NDCG: 0.063775±0.0013, F1: 0.017966±0.0004, HIT_RATE: 0.098815±0.0020, ARHR: 0.052913±0.0012, RMSE: 1.051614±0.0052, NOVELTY: 0.005595±0.0000, AVERAGE_POPULARITY: 0.520165±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.926093±0.0003, DIVERSITY_HERFINDAHL: 0.992604±0.0000, COVERAGE_ITEM: 0.445872±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110513±0.0002, SHANNON_ENTROPY: 8.923493±0.0054, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 529, 'shrink': 1582, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066681±0.0013, PRECISION: 0.009064±0.0002, PRECISION_RECALL_MIN_DEN: 0.090637±0.0018, RECALL: 0.090637±0.0018, MAP: 0.049243±0.0012, MRR: 0.049243±0.0012, NDCG: 0.059017±0.0013, F1: 0.016479±0.0003, HIT_RATE: 0.090637±0.0018, ARHR: 0.049243±0.0012, RMSE: 1.291379±0.0083, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.571646±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.900480±0.0003, DIVERSITY_HERFINDAHL: 0.990043±0.0000, COVERAGE_ITEM: 0.356475±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.086532±0.0006, SHANNON_ENTROPY: 8.319921±0.0081, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 615, 'shrink': 306, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062823±0.0010, PRECISION: 0.008338±0.0001, PRECISION_RECALL_MIN_DEN: 0.083381±0.0012, RECALL: 0.083381±0.0012, MAP: 0.047000±0.0011, MRR: 0.047000±0.0011, NDCG: 0.055619±0.0010, F1: 0.015160±0.0002, HIT_RATE: 0.083381±0.0012, ARHR: 0.047000±0.0011, RMSE: 0.789989±0.0029, NOVELTY: 0.007599±0.0000, AVERAGE_POPULARITY: 0.206512±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.986704±0.0001, DIVERSITY_HERFINDAHL: 0.998665±0.0000, COVERAGE_ITEM: 0.733604±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.314278±0.0009, SHANNON_ENTROPY: 11.824892±0.0076, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 755, 'shrink': 981, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.072615±0.0016, PRECISION: 0.009882±0.0002, PRECISION_RECALL_MIN_DEN: 0.098815±0.0020, RECALL: 0.098815±0.0020, MAP: 0.052841±0.0012, MRR: 0.052841±0.0012, NDCG: 0.063722±0.0014, F1: 0.017966±0.0004, HIT_RATE: 0.098815±0.0020, ARHR: 0.052841±0.0012, RMSE: 1.261113±0.0065, NOVELTY: 0.005584±0.0000, AVERAGE_POPULARITY: 0.525022±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.923893±0.0004, DIVERSITY_HERFINDAHL: 0.992384±0.0000, COVERAGE_ITEM: 0.442995±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.108857±0.0003, SHANNON_ENTROPY: 8.876414±0.0067, 
