CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 603, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.064070±0.0014, PRECISION: 0.008681±0.0002, PRECISION_RECALL_MIN_DEN: 0.086809±0.0016, RECALL: 0.086809±0.0016, MAP: 0.047577±0.0012, MRR: 0.047577±0.0012, NDCG: 0.056839±0.0013, F1: 0.015784±0.0003, HIT_RATE: 0.086809±0.0016, ARHR: 0.047577±0.0012, RMSE: 0.980267±0.0001, NOVELTY: 0.005402±0.0000, AVERAGE_POPULARITY: 0.569975±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.903792±0.0002, DIVERSITY_HERFINDAHL: 0.990374±0.0000, COVERAGE_ITEM: 0.315599±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.080838±0.0004, SHANNON_ENTROPY: 8.240522±0.0065, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 714, 'shrink': 417, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.065900±0.0014, PRECISION: 0.008871±0.0002, PRECISION_RECALL_MIN_DEN: 0.088712±0.0017, RECALL: 0.088712±0.0017, MAP: 0.048832±0.0012, MRR: 0.048832±0.0012, NDCG: 0.058265±0.0013, F1: 0.016129±0.0003, HIT_RATE: 0.088712±0.0017, ARHR: 0.048832±0.0012, RMSE: 0.975644±0.0001, NOVELTY: 0.005429±0.0000, AVERAGE_POPULARITY: 0.553454±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.911166±0.0002, DIVERSITY_HERFINDAHL: 0.991111±0.0000, COVERAGE_ITEM: 0.307943±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085230±0.0004, SHANNON_ENTROPY: 8.368485±0.0066, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 986, 'shrink': 762, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.061785±0.0012, PRECISION: 0.008393±0.0002, PRECISION_RECALL_MIN_DEN: 0.083928±0.0015, RECALL: 0.083928±0.0015, MAP: 0.045898±0.0011, MRR: 0.045898±0.0011, NDCG: 0.054868±0.0012, F1: 0.015260±0.0003, HIT_RATE: 0.083928±0.0015, ARHR: 0.045898±0.0011, RMSE: 0.981093±0.0001, NOVELTY: 0.005303±0.0000, AVERAGE_POPULARITY: 0.616750±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.869722±0.0005, DIVERSITY_HERFINDAHL: 0.986967±0.0000, COVERAGE_ITEM: 0.270960±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.069454±0.0003, SHANNON_ENTROPY: 7.744230±0.0068, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 123, 'shrink': 66, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.073811±0.0010, PRECISION: 0.009878±0.0001, PRECISION_RECALL_MIN_DEN: 0.098781±0.0009, RECALL: 0.098781±0.0009, MAP: 0.054190±0.0010, MRR: 0.054190±0.0010, NDCG: 0.064766±0.0009, F1: 0.017960±0.0002, HIT_RATE: 0.098781±0.0009, ARHR: 0.054190±0.0010, RMSE: 0.975040±0.0002, NOVELTY: 0.005950±0.0000, AVERAGE_POPULARITY: 0.357058±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.976629±0.0001, DIVERSITY_HERFINDAHL: 0.997657±0.0000, COVERAGE_ITEM: 0.477653±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154224±0.0006, SHANNON_ENTROPY: 10.260871±0.0056, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 35, 'shrink': 1699, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.065287±0.0013, PRECISION: 0.008804±0.0001, PRECISION_RECALL_MIN_DEN: 0.088040±0.0013, RECALL: 0.088040±0.0013, MAP: 0.048313±0.0012, MRR: 0.048313±0.0012, NDCG: 0.057704±0.0012, F1: 0.016007±0.0002, HIT_RATE: 0.088040±0.0013, ARHR: 0.048313±0.0012, RMSE: 0.994434±0.0001, NOVELTY: 0.005842±0.0000, AVERAGE_POPULARITY: 0.418089±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.964208±0.0002, DIVERSITY_HERFINDAHL: 0.996415±0.0000, COVERAGE_ITEM: 0.520984±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138926±0.0003, SHANNON_ENTROPY: 9.877740±0.0038, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 509, 'shrink': 252, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.068483±0.0013, PRECISION: 0.009191±0.0001, PRECISION_RECALL_MIN_DEN: 0.091913±0.0014, RECALL: 0.091913±0.0014, MAP: 0.050576±0.0012, MRR: 0.050576±0.0012, NDCG: 0.060368±0.0012, F1: 0.016711±0.0003, HIT_RATE: 0.091913±0.0014, ARHR: 0.050576±0.0012, RMSE: 0.972470±0.0001, NOVELTY: 0.005558±0.0000, AVERAGE_POPULARITY: 0.494708±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.938641±0.0002, DIVERSITY_HERFINDAHL: 0.993859±0.0000, COVERAGE_ITEM: 0.345153±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102137±0.0006, SHANNON_ENTROPY: 8.929254±0.0055, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 978, 'shrink': 1806, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.057360±0.0013, PRECISION: 0.007864±0.0002, PRECISION_RECALL_MIN_DEN: 0.078642±0.0019, RECALL: 0.078642±0.0019, MAP: 0.042585±0.0012, MRR: 0.042585±0.0012, NDCG: 0.051073±0.0014, F1: 0.014299±0.0004, HIT_RATE: 0.078642±0.0019, ARHR: 0.042585±0.0012, RMSE: 0.989174±0.0001, NOVELTY: 0.005219±0.0000, AVERAGE_POPULARITY: 0.667281±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.825555±0.0005, DIVERSITY_HERFINDAHL: 0.982551±0.0000, COVERAGE_ITEM: 0.261519±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.059027±0.0003, SHANNON_ENTROPY: 7.250556±0.0076, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 245, 'shrink': 548, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.066333±0.0014, PRECISION: 0.009017±0.0001, PRECISION_RECALL_MIN_DEN: 0.090170±0.0014, RECALL: 0.090170±0.0014, MAP: 0.048919±0.0012, MRR: 0.048919±0.0012, NDCG: 0.058660±0.0012, F1: 0.016394±0.0002, HIT_RATE: 0.090170±0.0014, ARHR: 0.048919±0.0012, RMSE: 0.982423±0.0001, NOVELTY: 0.005536±0.0000, AVERAGE_POPULARITY: 0.512241±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.934870±0.0003, DIVERSITY_HERFINDAHL: 0.993482±0.0000, COVERAGE_ITEM: 0.372966±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096571±0.0005, SHANNON_ENTROPY: 8.835496±0.0059, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 347, 'shrink': 1947, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.059889±0.0014, PRECISION: 0.008224±0.0002, PRECISION_RECALL_MIN_DEN: 0.082242±0.0016, RECALL: 0.082242±0.0016, MAP: 0.044285±0.0013, MRR: 0.044285±0.0013, NDCG: 0.053226±0.0014, F1: 0.014953±0.0003, HIT_RATE: 0.082242±0.0016, ARHR: 0.044285±0.0013, RMSE: 0.991127±0.0001, NOVELTY: 0.005357±0.0000, AVERAGE_POPULARITY: 0.606898±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.879432±0.0003, DIVERSITY_HERFINDAHL: 0.987938±0.0000, COVERAGE_ITEM: 0.346905±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076565±0.0006, SHANNON_ENTROPY: 7.972689±0.0070, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 651, 'shrink': 1522, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.059379±0.0013, PRECISION: 0.008092±0.0002, PRECISION_RECALL_MIN_DEN: 0.080920±0.0016, RECALL: 0.080920±0.0016, MAP: 0.043821±0.0013, MRR: 0.043821±0.0013, NDCG: 0.052574±0.0013, F1: 0.014713±0.0003, HIT_RATE: 0.080920±0.0016, ARHR: 0.043821±0.0013, RMSE: 0.988342±0.0001, NOVELTY: 0.005279±0.0000, AVERAGE_POPULARITY: 0.637907±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.854607±0.0005, DIVERSITY_HERFINDAHL: 0.985456±0.0001, COVERAGE_ITEM: 0.294663±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066333±0.0004, SHANNON_ENTROPY: 7.590237±0.0084, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 529, 'shrink': 1582, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.059542±0.0012, PRECISION: 0.008125±0.0001, PRECISION_RECALL_MIN_DEN: 0.081251±0.0015, RECALL: 0.081251±0.0015, MAP: 0.044202±0.0012, MRR: 0.044202±0.0012, NDCG: 0.052935±0.0012, F1: 0.014773±0.0003, HIT_RATE: 0.081251±0.0015, ARHR: 0.044202±0.0012, RMSE: 0.988981±0.0001, NOVELTY: 0.005304±0.0000, AVERAGE_POPULARITY: 0.627297±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.863974±0.0002, DIVERSITY_HERFINDAHL: 0.986393±0.0000, COVERAGE_ITEM: 0.310743±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.069377±0.0005, SHANNON_ENTROPY: 7.718496±0.0098, 
