CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 603, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.064437±0.0014, PRECISION: 0.008724±0.0002, PRECISION_RECALL_MIN_DEN: 0.087242±0.0016, RECALL: 0.087242±0.0016, MAP: 0.047784±0.0012, MRR: 0.047784±0.0012, NDCG: 0.057103±0.0013, F1: 0.015862±0.0003, HIT_RATE: 0.087242±0.0016, ARHR: 0.047784±0.0012, RMSE: 0.979653±0.0001, NOVELTY: 0.005403±0.0000, AVERAGE_POPULARITY: 0.569487±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.903861±0.0002, DIVERSITY_HERFINDAHL: 0.990381±0.0000, COVERAGE_ITEM: 0.315556±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.080882±0.0004, SHANNON_ENTROPY: 8.243344±0.0067, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 714, 'shrink': 417, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.066357±0.0014, PRECISION: 0.008911±0.0002, PRECISION_RECALL_MIN_DEN: 0.089110±0.0016, RECALL: 0.089110±0.0016, MAP: 0.049134±0.0011, MRR: 0.049134±0.0011, NDCG: 0.058595±0.0013, F1: 0.016202±0.0003, HIT_RATE: 0.089110±0.0016, ARHR: 0.049134±0.0011, RMSE: 0.974795±0.0001, NOVELTY: 0.005430±0.0000, AVERAGE_POPULARITY: 0.552626±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.911381±0.0002, DIVERSITY_HERFINDAHL: 0.991133±0.0000, COVERAGE_ITEM: 0.307802±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085349±0.0004, SHANNON_ENTROPY: 8.374004±0.0066, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 986, 'shrink': 762, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.062119±0.0012, PRECISION: 0.008437±0.0002, PRECISION_RECALL_MIN_DEN: 0.084372±0.0015, RECALL: 0.084372±0.0015, MAP: 0.046138±0.0011, MRR: 0.046138±0.0011, NDCG: 0.055158±0.0012, F1: 0.015340±0.0003, HIT_RATE: 0.084372±0.0015, ARHR: 0.046138±0.0011, RMSE: 0.980599±0.0001, NOVELTY: 0.005305±0.0000, AVERAGE_POPULARITY: 0.615997±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.870089±0.0005, DIVERSITY_HERFINDAHL: 0.987004±0.0001, COVERAGE_ITEM: 0.270906±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.069591±0.0003, SHANNON_ENTROPY: 7.750440±0.0067, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 123, 'shrink': 66, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.074606±0.0011, PRECISION: 0.009965±0.0001, PRECISION_RECALL_MIN_DEN: 0.099647±0.0009, RECALL: 0.099647±0.0009, MAP: 0.054731±0.0010, MRR: 0.054731±0.0010, NDCG: 0.065389±0.0009, F1: 0.018118±0.0002, HIT_RATE: 0.099647±0.0009, ARHR: 0.054731±0.0010, RMSE: 0.973015±0.0002, NOVELTY: 0.005951±0.0000, AVERAGE_POPULARITY: 0.356802±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.976518±0.0001, DIVERSITY_HERFINDAHL: 0.997646±0.0000, COVERAGE_ITEM: 0.475869±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.154167±0.0007, SHANNON_ENTROPY: 10.255760±0.0055, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 35, 'shrink': 1699, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.065334±0.0013, PRECISION: 0.008814±0.0001, PRECISION_RECALL_MIN_DEN: 0.088142±0.0014, RECALL: 0.088142±0.0014, MAP: 0.048392±0.0012, MRR: 0.048392±0.0012, NDCG: 0.057786±0.0012, F1: 0.016026±0.0002, HIT_RATE: 0.088142±0.0014, ARHR: 0.048392±0.0012, RMSE: 0.994268±0.0001, NOVELTY: 0.005841±0.0000, AVERAGE_POPULARITY: 0.418675±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.963999±0.0002, DIVERSITY_HERFINDAHL: 0.996394±0.0000, COVERAGE_ITEM: 0.520887±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138825±0.0003, SHANNON_ENTROPY: 9.872873±0.0040, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 509, 'shrink': 252, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.069023±0.0013, PRECISION: 0.009261±0.0001, PRECISION_RECALL_MIN_DEN: 0.092607±0.0014, RECALL: 0.092607±0.0014, MAP: 0.050950±0.0012, MRR: 0.050950±0.0012, NDCG: 0.060820±0.0013, F1: 0.016838±0.0003, HIT_RATE: 0.092607±0.0014, ARHR: 0.050950±0.0012, RMSE: 0.971272±0.0002, NOVELTY: 0.005560±0.0000, AVERAGE_POPULARITY: 0.493992±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.938711±0.0002, DIVERSITY_HERFINDAHL: 0.993866±0.0000, COVERAGE_ITEM: 0.344969±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102208±0.0006, SHANNON_ENTROPY: 8.932582±0.0057, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 978, 'shrink': 1806, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.057517±0.0013, PRECISION: 0.007880±0.0002, PRECISION_RECALL_MIN_DEN: 0.078802±0.0020, RECALL: 0.078802±0.0020, MAP: 0.042681±0.0013, MRR: 0.042681±0.0013, NDCG: 0.051187±0.0014, F1: 0.014328±0.0004, HIT_RATE: 0.078802±0.0020, ARHR: 0.042681±0.0013, RMSE: 0.988999±0.0001, NOVELTY: 0.005220±0.0000, AVERAGE_POPULARITY: 0.666924±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.825767±0.0005, DIVERSITY_HERFINDAHL: 0.982572±0.0001, COVERAGE_ITEM: 0.261519±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.059077±0.0003, SHANNON_ENTROPY: 7.253662±0.0073, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 245, 'shrink': 548, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.066665±0.0014, PRECISION: 0.009027±0.0001, PRECISION_RECALL_MIN_DEN: 0.090272±0.0013, RECALL: 0.090272±0.0013, MAP: 0.049173±0.0012, MRR: 0.049173±0.0012, NDCG: 0.058885±0.0012, F1: 0.016413±0.0002, HIT_RATE: 0.090272±0.0013, ARHR: 0.049173±0.0012, RMSE: 0.981769±0.0001, NOVELTY: 0.005536±0.0000, AVERAGE_POPULARITY: 0.512405±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.934608±0.0003, DIVERSITY_HERFINDAHL: 0.993455±0.0000, COVERAGE_ITEM: 0.372782±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096478±0.0005, SHANNON_ENTROPY: 8.832159±0.0059, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 347, 'shrink': 1947, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.060019±0.0014, PRECISION: 0.008239±0.0002, PRECISION_RECALL_MIN_DEN: 0.082390±0.0017, RECALL: 0.082390±0.0017, MAP: 0.044403±0.0013, MRR: 0.044403±0.0013, NDCG: 0.053350±0.0014, F1: 0.014980±0.0003, HIT_RATE: 0.082390±0.0017, ARHR: 0.044403±0.0013, RMSE: 0.990972±0.0001, NOVELTY: 0.005357±0.0000, AVERAGE_POPULARITY: 0.606909±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.879256±0.0003, DIVERSITY_HERFINDAHL: 0.987921±0.0000, COVERAGE_ITEM: 0.346710±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076564±0.0006, SHANNON_ENTROPY: 7.971774±0.0072, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 651, 'shrink': 1522, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.059555±0.0013, PRECISION: 0.008090±0.0002, PRECISION_RECALL_MIN_DEN: 0.080898±0.0016, RECALL: 0.080898±0.0016, MAP: 0.043970±0.0013, MRR: 0.043970±0.0013, NDCG: 0.052687±0.0014, F1: 0.014709±0.0003, HIT_RATE: 0.080898±0.0016, ARHR: 0.043970±0.0013, RMSE: 0.988123±0.0001, NOVELTY: 0.005280±0.0000, AVERAGE_POPULARITY: 0.637643±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.854668±0.0005, DIVERSITY_HERFINDAHL: 0.985462±0.0000, COVERAGE_ITEM: 0.294577±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066363±0.0004, SHANNON_ENTROPY: 7.592050±0.0081, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 529, 'shrink': 1582, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.059677±0.0012, PRECISION: 0.008135±0.0001, PRECISION_RECALL_MIN_DEN: 0.081353±0.0013, RECALL: 0.081353±0.0013, MAP: 0.044310±0.0013, MRR: 0.044310±0.0013, NDCG: 0.053043±0.0013, F1: 0.014791±0.0002, HIT_RATE: 0.081353±0.0013, ARHR: 0.044310±0.0013, RMSE: 0.988774±0.0001, NOVELTY: 0.005305±0.0000, AVERAGE_POPULARITY: 0.627093±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.863928±0.0002, DIVERSITY_HERFINDAHL: 0.986388±0.0000, COVERAGE_ITEM: 0.310711±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.069407±0.0005, SHANNON_ENTROPY: 7.719697±0.0100, 
