CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 603, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.4283654890234154, 'tversky_beta': 0.41701133104262167} - results: ROC_AUC: 0.066121±0.0015, PRECISION: 0.008963±0.0002, PRECISION_RECALL_MIN_DEN: 0.089634±0.0017, RECALL: 0.089634±0.0017, MAP: 0.048763±0.0013, MRR: 0.048763±0.0013, NDCG: 0.058424±0.0014, F1: 0.016297±0.0003, HIT_RATE: 0.089634±0.0017, ARHR: 0.048763±0.0013, RMSE: 0.978286±0.0001, NOVELTY: 0.005504±0.0000, AVERAGE_POPULARITY: 0.512449±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.932363±0.0003, DIVERSITY_HERFINDAHL: 0.993231±0.0000, COVERAGE_ITEM: 0.324736±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092321±0.0004, SHANNON_ENTROPY: 8.699944±0.0064, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 872, 'shrink': 921, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.4264943339468942, 'tversky_beta': 0.5494610400356933} - results: ROC_AUC: 0.057000±0.0012, PRECISION: 0.007816±0.0002, PRECISION_RECALL_MIN_DEN: 0.078164±0.0016, RECALL: 0.078164±0.0016, MAP: 0.042256±0.0013, MRR: 0.042256±0.0013, NDCG: 0.050709±0.0013, F1: 0.014212±0.0003, HIT_RATE: 0.078164±0.0016, ARHR: 0.042256±0.0013, RMSE: 0.978817±0.0001, NOVELTY: 0.005219±0.0000, AVERAGE_POPULARITY: 0.669936±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.822928±0.0003, DIVERSITY_HERFINDAHL: 0.982288±0.0000, COVERAGE_ITEM: 0.269846±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.059156±0.0003, SHANNON_ENTROPY: 7.239337±0.0071, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 123, 'shrink': 66, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.06731703507229204, 'tversky_beta': 1.6985375415454969} - results: ROC_AUC: 0.074166±0.0009, PRECISION: 0.010263±0.0001, PRECISION_RECALL_MIN_DEN: 0.102631±0.0013, RECALL: 0.102631±0.0013, MAP: 0.053609±0.0010, MRR: 0.053609±0.0010, NDCG: 0.065169±0.0010, F1: 0.018660±0.0002, HIT_RATE: 0.102631±0.0013, ARHR: 0.053609±0.0010, RMSE: 0.976195±0.0001, NOVELTY: 0.005578±0.0000, AVERAGE_POPULARITY: 0.483243±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.951167±0.0004, DIVERSITY_HERFINDAHL: 0.995111±0.0000, COVERAGE_ITEM: 0.319081±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106086±0.0003, SHANNON_ENTROPY: 9.059455±0.0067, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 698, 'shrink': 911, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.6800668688066234, 'tversky_beta': 0.3657948643553142} - results: ROC_AUC: 0.064367±0.0014, PRECISION: 0.008685±0.0002, PRECISION_RECALL_MIN_DEN: 0.086855±0.0018, RECALL: 0.086855±0.0018, MAP: 0.047562±0.0012, MRR: 0.047562±0.0012, NDCG: 0.056856±0.0013, F1: 0.015792±0.0003, HIT_RATE: 0.086855±0.0018, ARHR: 0.047562±0.0012, RMSE: 0.982972±0.0001, NOVELTY: 0.005427±0.0000, AVERAGE_POPULARITY: 0.548804±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.915187±0.0003, DIVERSITY_HERFINDAHL: 0.991513±0.0000, COVERAGE_ITEM: 0.302482±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.083081±0.0004, SHANNON_ENTROPY: 8.363363±0.0077, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 978, 'shrink': 1806, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 0.4890728945179724, 'tversky_beta': 0.5480432902062965} - results: ROC_AUC: 0.054956±0.0013, PRECISION: 0.007537±0.0002, PRECISION_RECALL_MIN_DEN: 0.075373±0.0020, RECALL: 0.075373±0.0020, MAP: 0.040737±0.0012, MRR: 0.040737±0.0012, NDCG: 0.048894±0.0014, F1: 0.013704±0.0004, HIT_RATE: 0.075373±0.0020, ARHR: 0.040737±0.0012, RMSE: 0.987501±0.0001, NOVELTY: 0.005182±0.0000, AVERAGE_POPULARITY: 0.691578±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.798041±0.0005, DIVERSITY_HERFINDAHL: 0.979800±0.0000, COVERAGE_ITEM: 0.259097±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.055039±0.0003, SHANNON_ENTROPY: 7.002698±0.0099, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 405, 'shrink': 736, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.1547811371513763, 'tversky_beta': 1.3658429803607652} - results: ROC_AUC: 0.064950±0.0015, PRECISION: 0.008786±0.0002, PRECISION_RECALL_MIN_DEN: 0.087857±0.0017, RECALL: 0.087857±0.0017, MAP: 0.048059±0.0013, MRR: 0.048059±0.0013, NDCG: 0.057463±0.0014, F1: 0.015974±0.0003, HIT_RATE: 0.087857±0.0017, ARHR: 0.048059±0.0013, RMSE: 0.984388±0.0001, NOVELTY: 0.005433±0.0000, AVERAGE_POPULARITY: 0.558214±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.911494±0.0002, DIVERSITY_HERFINDAHL: 0.991144±0.0000, COVERAGE_ITEM: 0.335258±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.084349±0.0004, SHANNON_ENTROPY: 8.382483±0.0066, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 651, 'shrink': 1522, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.0561370209900236, 'tversky_beta': 1.5820531372713749} - results: ROC_AUC: 0.060070±0.0013, PRECISION: 0.008179±0.0002, PRECISION_RECALL_MIN_DEN: 0.081786±0.0016, RECALL: 0.081786±0.0016, MAP: 0.044413±0.0013, MRR: 0.044413±0.0013, NDCG: 0.053230±0.0014, F1: 0.014870±0.0003, HIT_RATE: 0.081786±0.0016, ARHR: 0.044413±0.0013, RMSE: 0.989109±0.0001, NOVELTY: 0.005282±0.0000, AVERAGE_POPULARITY: 0.636887±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.855216±0.0005, DIVERSITY_HERFINDAHL: 0.985517±0.0000, COVERAGE_ITEM: 0.294361±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066752±0.0004, SHANNON_ENTROPY: 7.603357±0.0078, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 560, 'shrink': 1307, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.3064767578598802, 'tversky_beta': 0.13390348824977985} - results: ROC_AUC: 0.055786±0.0014, PRECISION: 0.007647±0.0002, PRECISION_RECALL_MIN_DEN: 0.076467±0.0016, RECALL: 0.076467±0.0016, MAP: 0.041438±0.0011, MRR: 0.041438±0.0011, NDCG: 0.049686±0.0012, F1: 0.013903±0.0003, HIT_RATE: 0.076467±0.0016, ARHR: 0.041438±0.0011, RMSE: 0.982810±0.0001, NOVELTY: 0.005244±0.0000, AVERAGE_POPULARITY: 0.664323±0.0056, DIVERSITY_MEAN_INTER_LIST: 0.828528±0.0001, DIVERSITY_HERFINDAHL: 0.982848±0.0000, COVERAGE_ITEM: 0.305055±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063338±0.0005, SHANNON_ENTROPY: 7.353120±0.0088, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 342, 'shrink': 1700, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.269349565906309, 'tversky_beta': 1.3274064410714326} - results: ROC_AUC: 0.061613±0.0015, PRECISION: 0.008383±0.0002, PRECISION_RECALL_MIN_DEN: 0.083825±0.0016, RECALL: 0.083825±0.0016, MAP: 0.045652±0.0013, MRR: 0.045652±0.0013, NDCG: 0.054659±0.0014, F1: 0.015241±0.0003, HIT_RATE: 0.083825±0.0016, ARHR: 0.045652±0.0013, RMSE: 0.990783±0.0001, NOVELTY: 0.005386±0.0000, AVERAGE_POPULARITY: 0.589412±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.892253±0.0004, DIVERSITY_HERFINDAHL: 0.989220±0.0000, COVERAGE_ITEM: 0.348018±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.079396±0.0005, SHANNON_ENTROPY: 8.130579±0.0063, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 431, 'shrink': 403, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.1208398593525808, 'tversky_beta': 0.13814249813606796} - results: ROC_AUC: 0.066993±0.0014, PRECISION: 0.009011±0.0002, PRECISION_RECALL_MIN_DEN: 0.090113±0.0016, RECALL: 0.090113±0.0016, MAP: 0.049199±0.0011, MRR: 0.049199±0.0011, NDCG: 0.058891±0.0013, F1: 0.016384±0.0003, HIT_RATE: 0.090113±0.0016, ARHR: 0.049199±0.0011, RMSE: 0.968805±0.0002, NOVELTY: 0.005594±0.0000, AVERAGE_POPULARITY: 0.468701±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.949230±0.0004, DIVERSITY_HERFINDAHL: 0.994918±0.0000, COVERAGE_ITEM: 0.347142±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102193±0.0004, SHANNON_ENTROPY: 9.060862±0.0073, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 140, 'shrink': 1915, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.0620715744482063, 'tversky_beta': 0.7564503298134775} - results: ROC_AUC: 0.062661±0.0012, PRECISION: 0.008547±0.0001, PRECISION_RECALL_MIN_DEN: 0.085465±0.0013, RECALL: 0.085465±0.0013, MAP: 0.046407±0.0010, MRR: 0.046407±0.0010, NDCG: 0.055617±0.0010, F1: 0.015539±0.0002, HIT_RATE: 0.085465±0.0013, ARHR: 0.046407±0.0010, RMSE: 0.992191±0.0001, NOVELTY: 0.005540±0.0000, AVERAGE_POPULARITY: 0.530600±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.924289±0.0007, DIVERSITY_HERFINDAHL: 0.992424±0.0001, COVERAGE_ITEM: 0.421909±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100413±0.0005, SHANNON_ENTROPY: 8.792596±0.0109, 
