SearchBayesianSkopt: New best config found. Config 0: {'topK': 207, 'shrink': 894, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.27419685337506167, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1015813, PRECISION: 0.0031508, PRECISION_RECALL_MIN_DEN: 0.0315083, RECALL: 0.0315083, MAP: 0.0168502, MRR: 0.0168502, NDCG: 0.0203146, F1: 0.0057288, HIT_RATE: 0.0315083, ARHR: 0.0168502, RMSE: nan, NOVELTY: 0.0093370, AVERAGE_POPULARITY: 0.0247615, DIVERSITY_MEAN_INTER_LIST: 0.9992285, DIVERSITY_HERFINDAHL: 0.9999043, COVERAGE_ITEM: 0.9622963, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.6743155, SHANNON_ENTROPY: 13.5801171, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 386, 'shrink': 8, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3385566353078067, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0989806, PRECISION: 0.0028276, PRECISION_RECALL_MIN_DEN: 0.0282756, RECALL: 0.0282756, MAP: 0.0146893, MRR: 0.0146893, NDCG: 0.0179000, F1: 0.0051410, HIT_RATE: 0.0282756, ARHR: 0.0146893, RMSE: nan, NOVELTY: 0.0098616, AVERAGE_POPULARITY: 0.0255423, DIVERSITY_MEAN_INTER_LIST: 0.9990756, DIVERSITY_HERFINDAHL: 0.9998863, COVERAGE_ITEM: 0.9439681, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.5843282, SHANNON_ENTROPY: 13.4025128, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 735, 'shrink': 97, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4746333738233082, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0804121, PRECISION: 0.0003028, PRECISION_RECALL_MIN_DEN: 0.0030281, RECALL: 0.0030281, MAP: 0.0012438, MRR: 0.0012438, NDCG: 0.0016588, F1: 0.0005506, HIT_RATE: 0.0030281, ARHR: 0.0012438, RMSE: nan, NOVELTY: 0.0095079, AVERAGE_POPULARITY: 0.0095739, DIVERSITY_MEAN_INTER_LIST: 0.9943732, DIVERSITY_HERFINDAHL: 0.9993325, COVERAGE_ITEM: 0.7108071, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3410128, SHANNON_ENTROPY: 12.0043780, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 145, 'shrink': 855, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9129140539441567, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0966255, PRECISION: 0.0024102, PRECISION_RECALL_MIN_DEN: 0.0241018, RECALL: 0.0241018, MAP: 0.0134913, MRR: 0.0134913, NDCG: 0.0160048, F1: 0.0043821, HIT_RATE: 0.0241018, ARHR: 0.0134913, RMSE: nan, NOVELTY: 0.0099557, AVERAGE_POPULARITY: 0.0178317, DIVERSITY_MEAN_INTER_LIST: 0.9989937, DIVERSITY_HERFINDAHL: 0.9998767, COVERAGE_ITEM: 0.8290895, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.5830148, SHANNON_ENTROPY: 13.2073311, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 734, 'shrink': 613, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.23696162439830953, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1310391, PRECISION: 0.0075211, PRECISION_RECALL_MIN_DEN: 0.0752107, RECALL: 0.0752107, MAP: 0.0373278, MRR: 0.0373278, NDCG: 0.0462177, F1: 0.0136747, HIT_RATE: 0.0752107, ARHR: 0.0373278, RMSE: nan, NOVELTY: 0.0061650, AVERAGE_POPULARITY: 0.4771817, DIVERSITY_MEAN_INTER_LIST: 0.9338202, DIVERSITY_HERFINDAHL: 0.9922015, COVERAGE_ITEM: 0.4744387, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0942996, SHANNON_ENTROPY: 8.7278597, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 989, 'shrink': 992, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.428003963791573, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1168717, PRECISION: 0.0055078, PRECISION_RECALL_MIN_DEN: 0.0550782, RECALL: 0.0550782, MAP: 0.0280536, MRR: 0.0280536, NDCG: 0.0343740, F1: 0.0100142, HIT_RATE: 0.0550782, ARHR: 0.0280536, RMSE: nan, NOVELTY: 0.0057154, AVERAGE_POPULARITY: 0.6530172, DIVERSITY_MEAN_INTER_LIST: 0.7861081, DIVERSITY_HERFINDAHL: 0.9748062, COVERAGE_ITEM: 0.3048373, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0428420, SHANNON_ENTROPY: 6.5682946, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1148666, PRECISION: 0.0052255, PRECISION_RECALL_MIN_DEN: 0.0522547, RECALL: 0.0522547, MAP: 0.0266126, MRR: 0.0266126, NDCG: 0.0326030, F1: 0.0095009, HIT_RATE: 0.0522547, ARHR: 0.0266126, RMSE: nan, NOVELTY: 0.0056601, AVERAGE_POPULARITY: 0.6735659, DIVERSITY_MEAN_INTER_LIST: 0.7570561, DIVERSITY_HERFINDAHL: 0.9713849, COVERAGE_ITEM: 0.2254369, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0420835, SHANNON_ENTROPY: 6.2921776, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1019905, PRECISION: 0.0033104, PRECISION_RECALL_MIN_DEN: 0.0331042, RECALL: 0.0331042, MAP: 0.0165877, MRR: 0.0165877, NDCG: 0.0204759, F1: 0.0060189, HIT_RATE: 0.0331042, ARHR: 0.0165877, RMSE: nan, NOVELTY: 0.0076314, AVERAGE_POPULARITY: 0.0825816, DIVERSITY_MEAN_INTER_LIST: 0.9897319, DIVERSITY_HERFINDAHL: 0.9987860, COVERAGE_ITEM: 0.7008575, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1896123, SHANNON_ENTROPY: 11.0307306, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 442, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1154395, PRECISION: 0.0053441, PRECISION_RECALL_MIN_DEN: 0.0534414, RECALL: 0.0534414, MAP: 0.0268887, MRR: 0.0268887, NDCG: 0.0330876, F1: 0.0097166, HIT_RATE: 0.0534414, ARHR: 0.0268887, RMSE: nan, NOVELTY: 0.0056637, AVERAGE_POPULARITY: 0.6711076, DIVERSITY_MEAN_INTER_LIST: 0.7642081, DIVERSITY_HERFINDAHL: 0.9722272, COVERAGE_ITEM: 0.2234732, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0425848, SHANNON_ENTROPY: 6.3285130, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1148666, PRECISION: 0.0052255, PRECISION_RECALL_MIN_DEN: 0.0522547, RECALL: 0.0522547, MAP: 0.0266126, MRR: 0.0266126, NDCG: 0.0326030, F1: 0.0095009, HIT_RATE: 0.0522547, ARHR: 0.0266126, RMSE: nan, NOVELTY: 0.0056601, AVERAGE_POPULARITY: 0.6735659, DIVERSITY_MEAN_INTER_LIST: 0.7570561, DIVERSITY_HERFINDAHL: 0.9713849, COVERAGE_ITEM: 0.2254369, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0420835, SHANNON_ENTROPY: 6.2921776, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1148666, PRECISION: 0.0052255, PRECISION_RECALL_MIN_DEN: 0.0522547, RECALL: 0.0522547, MAP: 0.0266126, MRR: 0.0266126, NDCG: 0.0326030, F1: 0.0095009, HIT_RATE: 0.0522547, ARHR: 0.0266126, RMSE: nan, NOVELTY: 0.0056601, AVERAGE_POPULARITY: 0.6735659, DIVERSITY_MEAN_INTER_LIST: 0.7570561, DIVERSITY_HERFINDAHL: 0.9713849, COVERAGE_ITEM: 0.2254369, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0420835, SHANNON_ENTROPY: 6.2921776, 
