SearchBayesianSkopt: New best config found. Config 0: {'topK': 345, 'shrink': 572, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1000855, PRECISION: 0.0029094, PRECISION_RECALL_MIN_DEN: 0.0290940, RECALL: 0.0290940, MAP: 0.0158155, MRR: 0.0158155, NDCG: 0.0189610, F1: 0.0052898, HIT_RATE: 0.0290940, ARHR: 0.0158155, RMSE: nan, NOVELTY: 0.0096023, AVERAGE_POPULARITY: 0.0233813, DIVERSITY_MEAN_INTER_LIST: 0.9992230, DIVERSITY_HERFINDAHL: 0.9999037, COVERAGE_ITEM: 0.9545068, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.6649583, SHANNON_ENTROPY: 13.5562386, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 408, 'shrink': 218, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1302252, PRECISION: 0.0072060, PRECISION_RECALL_MIN_DEN: 0.0720599, RECALL: 0.0720599, MAP: 0.0372902, MRR: 0.0372902, NDCG: 0.0454830, F1: 0.0131018, HIT_RATE: 0.0720599, ARHR: 0.0372902, RMSE: nan, NOVELTY: 0.0074739, AVERAGE_POPULARITY: 0.2945147, DIVERSITY_MEAN_INTER_LIST: 0.9746284, DIVERSITY_HERFINDAHL: 0.9970073, COVERAGE_ITEM: 0.9340185, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2790681, SHANNON_ENTROPY: 11.1060038, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 388, 'shrink': 400, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1194042, PRECISION: 0.0057820, PRECISION_RECALL_MIN_DEN: 0.0578198, RECALL: 0.0578198, MAP: 0.0294930, MRR: 0.0294930, NDCG: 0.0361400, F1: 0.0105127, HIT_RATE: 0.0578198, ARHR: 0.0294930, RMSE: nan, NOVELTY: 0.0057879, AVERAGE_POPULARITY: 0.6220420, DIVERSITY_MEAN_INTER_LIST: 0.8319923, DIVERSITY_HERFINDAHL: 0.9802098, COVERAGE_ITEM: 0.3297768, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0570656, SHANNON_ENTROPY: 7.0799578, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 53, 'shrink': 347, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0985533, PRECISION: 0.0027212, PRECISION_RECALL_MIN_DEN: 0.0272117, RECALL: 0.0272117, MAP: 0.0146459, MRR: 0.0146459, NDCG: 0.0176149, F1: 0.0049476, HIT_RATE: 0.0272117, ARHR: 0.0146459, RMSE: nan, NOVELTY: 0.0099336, AVERAGE_POPULARITY: 0.0220494, DIVERSITY_MEAN_INTER_LIST: 0.9990590, DIVERSITY_HERFINDAHL: 0.9998844, COVERAGE_ITEM: 0.9179158, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.5740255, SHANNON_ENTROPY: 13.3443051, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 579, 'shrink': 89, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0969619, PRECISION: 0.0026189, PRECISION_RECALL_MIN_DEN: 0.0261887, RECALL: 0.0261887, MAP: 0.0134882, MRR: 0.0134882, NDCG: 0.0164645, F1: 0.0047616, HIT_RATE: 0.0261887, ARHR: 0.0134882, RMSE: nan, NOVELTY: 0.0100618, AVERAGE_POPULARITY: 0.0249027, DIVERSITY_MEAN_INTER_LIST: 0.9988447, DIVERSITY_HERFINDAHL: 0.9998591, COVERAGE_ITEM: 0.9084899, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.5056825, SHANNON_ENTROPY: 13.1728182, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 10, 'shrink': 995, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1261969, PRECISION: 0.0067722, PRECISION_RECALL_MIN_DEN: 0.0677224, RECALL: 0.0677224, MAP: 0.0341405, MRR: 0.0341405, NDCG: 0.0420288, F1: 0.0123132, HIT_RATE: 0.0677224, ARHR: 0.0341405, RMSE: nan, NOVELTY: 0.0066773, AVERAGE_POPULARITY: 0.3385913, DIVERSITY_MEAN_INTER_LIST: 0.9774822, DIVERSITY_HERFINDAHL: 0.9973434, COVERAGE_ITEM: 0.6676049, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1419157, SHANNON_ENTROPY: 10.1231428, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 994, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1235826, PRECISION: 0.0061421, PRECISION_RECALL_MIN_DEN: 0.0614207, RECALL: 0.0614207, MAP: 0.0329791, MRR: 0.0329791, NDCG: 0.0397008, F1: 0.0111674, HIT_RATE: 0.0614207, ARHR: 0.0329791, RMSE: nan, NOVELTY: 0.0081009, AVERAGE_POPULARITY: 0.2667486, DIVERSITY_MEAN_INTER_LIST: 0.9673486, DIVERSITY_HERFINDAHL: 0.9961500, COVERAGE_ITEM: 0.8073575, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2016552, SHANNON_ENTROPY: 10.5072984, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 983, 'shrink': 991, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1143483, PRECISION: 0.0051395, PRECISION_RECALL_MIN_DEN: 0.0513954, RECALL: 0.0513954, MAP: 0.0264321, MRR: 0.0264321, NDCG: 0.0322653, F1: 0.0093446, HIT_RATE: 0.0513954, ARHR: 0.0264321, RMSE: nan, NOVELTY: 0.0056641, AVERAGE_POPULARITY: 0.6743940, DIVERSITY_MEAN_INTER_LIST: 0.7524695, DIVERSITY_HERFINDAHL: 0.9708448, COVERAGE_ITEM: 0.2514237, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0411057, SHANNON_ENTROPY: 6.2844678, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1373817, PRECISION: 0.0082863, PRECISION_RECALL_MIN_DEN: 0.0828628, RECALL: 0.0828628, MAP: 0.0413743, MRR: 0.0413743, NDCG: 0.0511607, F1: 0.0150660, HIT_RATE: 0.0828628, ARHR: 0.0413743, RMSE: nan, NOVELTY: 0.0072559, AVERAGE_POPULARITY: 0.2060168, DIVERSITY_MEAN_INTER_LIST: 0.9908949, DIVERSITY_HERFINDAHL: 0.9989229, COVERAGE_ITEM: 0.7388885, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1926090, SHANNON_ENTROPY: 11.1182014, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1324440, PRECISION: 0.0075293, PRECISION_RECALL_MIN_DEN: 0.0752926, RECALL: 0.0752926, MAP: 0.0385337, MRR: 0.0385337, NDCG: 0.0472011, F1: 0.0136896, HIT_RATE: 0.0752926, ARHR: 0.0385337, RMSE: nan, NOVELTY: 0.0063631, AVERAGE_POPULARITY: 0.4341777, DIVERSITY_MEAN_INTER_LIST: 0.9434010, DIVERSITY_HERFINDAHL: 0.9933298, COVERAGE_ITEM: 0.6541206, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1148427, SHANNON_ENTROPY: 9.2647101, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1373817, PRECISION: 0.0082863, PRECISION_RECALL_MIN_DEN: 0.0828628, RECALL: 0.0828628, MAP: 0.0413743, MRR: 0.0413743, NDCG: 0.0511607, F1: 0.0150660, HIT_RATE: 0.0828628, ARHR: 0.0413743, RMSE: nan, NOVELTY: 0.0072559, AVERAGE_POPULARITY: 0.2060168, DIVERSITY_MEAN_INTER_LIST: 0.9908949, DIVERSITY_HERFINDAHL: 0.9989229, COVERAGE_ITEM: 0.7388885, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1926090, SHANNON_ENTROPY: 11.1182014, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 989, 'shrink': 25, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1235280, PRECISION: 0.0063303, PRECISION_RECALL_MIN_DEN: 0.0633031, RECALL: 0.0633031, MAP: 0.0325444, MRR: 0.0325444, NDCG: 0.0397730, F1: 0.0115096, HIT_RATE: 0.0633031, ARHR: 0.0325444, RMSE: nan, NOVELTY: 0.0083284, AVERAGE_POPULARITY: 0.2325215, DIVERSITY_MEAN_INTER_LIST: 0.9813189, DIVERSITY_HERFINDAHL: 0.9977952, COVERAGE_ITEM: 0.8435557, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2930323, SHANNON_ENTROPY: 11.4973237, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 976, 'shrink': 985, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1324440, PRECISION: 0.0075743, PRECISION_RECALL_MIN_DEN: 0.0757427, RECALL: 0.0757427, MAP: 0.0386502, MRR: 0.0386502, NDCG: 0.0473828, F1: 0.0137714, HIT_RATE: 0.0757427, ARHR: 0.0386502, RMSE: nan, NOVELTY: 0.0063721, AVERAGE_POPULARITY: 0.4322006, DIVERSITY_MEAN_INTER_LIST: 0.9442402, DIVERSITY_HERFINDAHL: 0.9934286, COVERAGE_ITEM: 0.6606664, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1158092, SHANNON_ENTROPY: 9.2899541, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 13, 'shrink': 998, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1259969, PRECISION: 0.0067477, PRECISION_RECALL_MIN_DEN: 0.0674769, RECALL: 0.0674769, MAP: 0.0339578, MRR: 0.0339578, NDCG: 0.0418301, F1: 0.0122685, HIT_RATE: 0.0674769, ARHR: 0.0339578, RMSE: nan, NOVELTY: 0.0066137, AVERAGE_POPULARITY: 0.3535408, DIVERSITY_MEAN_INTER_LIST: 0.9748334, DIVERSITY_HERFINDAHL: 0.9970314, COVERAGE_ITEM: 0.6752635, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1369991, SHANNON_ENTROPY: 10.0181642, 
