SearchBayesianSkopt: New best config found. Config 0: {'topK': 169, 'shrink': 38, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1329805, PRECISION: 0.0076152, PRECISION_RECALL_MIN_DEN: 0.0761519, RECALL: 0.0761519, MAP: 0.0389021, MRR: 0.0389021, NDCG: 0.0476820, F1: 0.0138458, HIT_RATE: 0.0761519, ARHR: 0.0389021, RMSE: nan, NOVELTY: 0.0065646, AVERAGE_POPULARITY: 0.3531389, DIVERSITY_MEAN_INTER_LIST: 0.9727157, DIVERSITY_HERFINDAHL: 0.9967821, COVERAGE_ITEM: 0.6514368, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1343018, SHANNON_ENTROPY: 9.9829570, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 464, 'shrink': 876, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1222186, PRECISION: 0.0061421, PRECISION_RECALL_MIN_DEN: 0.0614207, RECALL: 0.0614207, MAP: 0.0316427, MRR: 0.0316427, NDCG: 0.0386428, F1: 0.0111674, HIT_RATE: 0.0614207, ARHR: 0.0316427, RMSE: nan, NOVELTY: 0.0058956, AVERAGE_POPULARITY: 0.5697007, DIVERSITY_MEAN_INTER_LIST: 0.8793061, DIVERSITY_HERFINDAHL: 0.9857817, COVERAGE_ITEM: 0.3821431, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0607434, SHANNON_ENTROPY: 7.6065042, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 520, 'shrink': 795, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1222004, PRECISION: 0.0062035, PRECISION_RECALL_MIN_DEN: 0.0620345, RECALL: 0.0620345, MAP: 0.0317103, MRR: 0.0317103, NDCG: 0.0388223, F1: 0.0112790, HIT_RATE: 0.0620345, ARHR: 0.0317103, RMSE: nan, NOVELTY: 0.0058901, AVERAGE_POPULARITY: 0.5708332, DIVERSITY_MEAN_INTER_LIST: 0.8774544, DIVERSITY_HERFINDAHL: 0.9855636, COVERAGE_ITEM: 0.3730444, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0602353, SHANNON_ENTROPY: 7.5799339, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 746, 'shrink': 977, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1205318, PRECISION: 0.0059948, PRECISION_RECALL_MIN_DEN: 0.0599476, RECALL: 0.0599476, MAP: 0.0307067, MRR: 0.0307067, NDCG: 0.0375479, F1: 0.0108996, HIT_RATE: 0.0599476, ARHR: 0.0307067, RMSE: nan, NOVELTY: 0.0058241, AVERAGE_POPULARITY: 0.5985362, DIVERSITY_MEAN_INTER_LIST: 0.8512135, DIVERSITY_HERFINDAHL: 0.9824734, COVERAGE_ITEM: 0.3371081, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0536267, SHANNON_ENTROPY: 7.2346721, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 912, 'shrink': 284, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1258241, PRECISION: 0.0066127, PRECISION_RECALL_MIN_DEN: 0.0661265, RECALL: 0.0661265, MAP: 0.0342339, MRR: 0.0342339, NDCG: 0.0417387, F1: 0.0120230, HIT_RATE: 0.0661265, ARHR: 0.0342339, RMSE: nan, NOVELTY: 0.0059868, AVERAGE_POPULARITY: 0.5249976, DIVERSITY_MEAN_INTER_LIST: 0.9028679, DIVERSITY_HERFINDAHL: 0.9885564, COVERAGE_ITEM: 0.3689861, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0724998, SHANNON_ENTROPY: 8.0228252, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 23, 'shrink': 6, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1340626, PRECISION: 0.0077134, PRECISION_RECALL_MIN_DEN: 0.0771340, RECALL: 0.0771340, MAP: 0.0393652, MRR: 0.0393652, NDCG: 0.0482893, F1: 0.0140244, HIT_RATE: 0.0771340, ARHR: 0.0393652, RMSE: nan, NOVELTY: 0.0076212, AVERAGE_POPULARITY: 0.2120960, DIVERSITY_MEAN_INTER_LIST: 0.9910000, DIVERSITY_HERFINDAHL: 0.9989353, COVERAGE_ITEM: 0.8955947, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2782716, SHANNON_ENTROPY: 11.6660166, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1279928, PRECISION: 0.0069114, PRECISION_RECALL_MIN_DEN: 0.0691137, RECALL: 0.0691137, MAP: 0.0354460, MRR: 0.0354460, NDCG: 0.0433806, F1: 0.0125661, HIT_RATE: 0.0691137, ARHR: 0.0354460, RMSE: nan, NOVELTY: 0.0073512, AVERAGE_POPULARITY: 0.2993116, DIVERSITY_MEAN_INTER_LIST: 0.9715662, DIVERSITY_HERFINDAHL: 0.9966467, COVERAGE_ITEM: 0.9012241, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2424658, SHANNON_ENTROPY: 10.8675178, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 17, 'shrink': 6, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1345309, PRECISION: 0.0077789, PRECISION_RECALL_MIN_DEN: 0.0777887, RECALL: 0.0777887, MAP: 0.0394351, MRR: 0.0394351, NDCG: 0.0485028, F1: 0.0141434, HIT_RATE: 0.0777887, ARHR: 0.0394351, RMSE: nan, NOVELTY: 0.0076783, AVERAGE_POPULARITY: 0.2013390, DIVERSITY_MEAN_INTER_LIST: 0.9918049, DIVERSITY_HERFINDAHL: 0.9990301, COVERAGE_ITEM: 0.8971002, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2891579, SHANNON_ENTROPY: 11.7538013, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1306935, PRECISION: 0.0075743, PRECISION_RECALL_MIN_DEN: 0.0757427, RECALL: 0.0757427, MAP: 0.0364246, MRR: 0.0364246, NDCG: 0.0456510, F1: 0.0137714, HIT_RATE: 0.0757427, ARHR: 0.0364246, RMSE: nan, NOVELTY: 0.0080860, AVERAGE_POPULARITY: 0.1546368, DIVERSITY_MEAN_INTER_LIST: 0.9909049, DIVERSITY_HERFINDAHL: 0.9989241, COVERAGE_ITEM: 0.8673169, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3188948, SHANNON_ENTROPY: 11.8770364, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 973, 'shrink': 1, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1291159, PRECISION: 0.0070423, PRECISION_RECALL_MIN_DEN: 0.0704231, RECALL: 0.0704231, MAP: 0.0363627, MRR: 0.0363627, NDCG: 0.0443925, F1: 0.0128042, HIT_RATE: 0.0704231, ARHR: 0.0363627, RMSE: nan, NOVELTY: 0.0072402, AVERAGE_POPULARITY: 0.3096053, DIVERSITY_MEAN_INTER_LIST: 0.9698363, DIVERSITY_HERFINDAHL: 0.9964430, COVERAGE_ITEM: 0.8946128, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2301389, SHANNON_ENTROPY: 10.7404728, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 55, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1264833, PRECISION: 0.0068009, PRECISION_RECALL_MIN_DEN: 0.0680088, RECALL: 0.0680088, MAP: 0.0345514, MRR: 0.0345514, NDCG: 0.0424043, F1: 0.0123652, HIT_RATE: 0.0680088, ARHR: 0.0345514, RMSE: nan, NOVELTY: 0.0062865, AVERAGE_POPULARITY: 0.4336059, DIVERSITY_MEAN_INTER_LIST: 0.9552166, DIVERSITY_HERFINDAHL: 0.9947213, COVERAGE_ITEM: 0.5643778, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1018572, SHANNON_ENTROPY: 9.1844217, 
