SearchBayesianSkopt: New best config found. Config 0: {'topK': 693, 'shrink': 512, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1237735, PRECISION: 0.0063549, PRECISION_RECALL_MIN_DEN: 0.0635486, RECALL: 0.0635486, MAP: 0.0328364, MRR: 0.0328364, NDCG: 0.0400542, F1: 0.0115543, HIT_RATE: 0.0635486, ARHR: 0.0328364, RMSE: nan, NOVELTY: 0.0059140, AVERAGE_POPULARITY: 0.5565351, DIVERSITY_MEAN_INTER_LIST: 0.8855300, DIVERSITY_HERFINDAHL: 0.9865147, COVERAGE_ITEM: 0.3551744, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0633050, SHANNON_ENTROPY: 7.7020945, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 981, 'shrink': 355, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1251148, PRECISION: 0.0065022, PRECISION_RECALL_MIN_DEN: 0.0650217, RECALL: 0.0650217, MAP: 0.0340344, MRR: 0.0340344, NDCG: 0.0413197, F1: 0.0118221, HIT_RATE: 0.0650217, ARHR: 0.0340344, RMSE: nan, NOVELTY: 0.0059413, AVERAGE_POPULARITY: 0.5435969, DIVERSITY_MEAN_INTER_LIST: 0.8903238, DIVERSITY_HERFINDAHL: 0.9870792, COVERAGE_ITEM: 0.3537344, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0670285, SHANNON_ENTROPY: 7.8149742, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 886, 'shrink': 816, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1215184, PRECISION: 0.0060684, PRECISION_RECALL_MIN_DEN: 0.0606842, RECALL: 0.0606842, MAP: 0.0315183, MRR: 0.0315183, NDCG: 0.0383607, F1: 0.0110335, HIT_RATE: 0.0606842, ARHR: 0.0315183, RMSE: nan, NOVELTY: 0.0058270, AVERAGE_POPULARITY: 0.5953848, DIVERSITY_MEAN_INTER_LIST: 0.8522886, DIVERSITY_HERFINDAHL: 0.9826000, COVERAGE_ITEM: 0.3263730, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0540252, SHANNON_ENTROPY: 7.2508564, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 266, 'shrink': 901, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1234689, PRECISION: 0.0062198, PRECISION_RECALL_MIN_DEN: 0.0621982, RECALL: 0.0621982, MAP: 0.0325037, MRR: 0.0325037, NDCG: 0.0395067, F1: 0.0113088, HIT_RATE: 0.0621982, ARHR: 0.0325037, RMSE: nan, NOVELTY: 0.0059806, AVERAGE_POPULARITY: 0.5385221, DIVERSITY_MEAN_INTER_LIST: 0.9034543, DIVERSITY_HERFINDAHL: 0.9886255, COVERAGE_ITEM: 0.4324147, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0697822, SHANNON_ENTROPY: 8.0021442, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 989, 'shrink': 970, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1206682, PRECISION: 0.0059579, PRECISION_RECALL_MIN_DEN: 0.0595793, RECALL: 0.0595793, MAP: 0.0309893, MRR: 0.0309893, NDCG: 0.0376901, F1: 0.0108326, HIT_RATE: 0.0595793, ARHR: 0.0309893, RMSE: nan, NOVELTY: 0.0057973, AVERAGE_POPULARITY: 0.6093050, DIVERSITY_MEAN_INTER_LIST: 0.8377264, DIVERSITY_HERFINDAHL: 0.9808851, COVERAGE_ITEM: 0.3162925, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0509225, SHANNON_ENTROPY: 7.0851785, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 42, 'shrink': 12, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1354266, PRECISION: 0.0079589, PRECISION_RECALL_MIN_DEN: 0.0795892, RECALL: 0.0795892, MAP: 0.0402141, MRR: 0.0402141, NDCG: 0.0495099, F1: 0.0144708, HIT_RATE: 0.0795892, ARHR: 0.0402141, RMSE: nan, NOVELTY: 0.0071839, AVERAGE_POPULARITY: 0.2591289, DIVERSITY_MEAN_INTER_LIST: 0.9868486, DIVERSITY_HERFINDAHL: 0.9984464, COVERAGE_ITEM: 0.8635203, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2140489, SHANNON_ENTROPY: 11.1086565, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 56, 'shrink': 1, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1288522, PRECISION: 0.0070219, PRECISION_RECALL_MIN_DEN: 0.0702185, RECALL: 0.0702185, MAP: 0.0360068, MRR: 0.0360068, NDCG: 0.0440729, F1: 0.0127670, HIT_RATE: 0.0702185, ARHR: 0.0360068, RMSE: nan, NOVELTY: 0.0080026, AVERAGE_POPULARITY: 0.1995566, DIVERSITY_MEAN_INTER_LIST: 0.9913328, DIVERSITY_HERFINDAHL: 0.9989745, COVERAGE_ITEM: 0.9090135, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3155773, SHANNON_ENTROPY: 11.9067328, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 966, 'shrink': 1, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1296160, PRECISION: 0.0071078, PRECISION_RECALL_MIN_DEN: 0.0710778, RECALL: 0.0710778, MAP: 0.0366335, MRR: 0.0366335, NDCG: 0.0447564, F1: 0.0129232, HIT_RATE: 0.0710778, ARHR: 0.0366335, RMSE: nan, NOVELTY: 0.0073329, AVERAGE_POPULARITY: 0.2980016, DIVERSITY_MEAN_INTER_LIST: 0.9720208, DIVERSITY_HERFINDAHL: 0.9967002, COVERAGE_ITEM: 0.8971657, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2397792, SHANNON_ENTROPY: 10.8648691, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1305844, PRECISION: 0.0075825, PRECISION_RECALL_MIN_DEN: 0.0758245, RECALL: 0.0758245, MAP: 0.0363193, MRR: 0.0363193, NDCG: 0.0455857, F1: 0.0137863, HIT_RATE: 0.0758245, ARHR: 0.0363193, RMSE: nan, NOVELTY: 0.0080986, AVERAGE_POPULARITY: 0.1535092, DIVERSITY_MEAN_INTER_LIST: 0.9909439, DIVERSITY_HERFINDAHL: 0.9989287, COVERAGE_ITEM: 0.8681678, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3212738, SHANNON_ENTROPY: 11.8906153, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 995, 'shrink': 7, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1325622, PRECISION: 0.0075579, PRECISION_RECALL_MIN_DEN: 0.0755790, RECALL: 0.0755790, MAP: 0.0387007, MRR: 0.0387007, NDCG: 0.0473931, F1: 0.0137416, HIT_RATE: 0.0755790, ARHR: 0.0387007, RMSE: nan, NOVELTY: 0.0068899, AVERAGE_POPULARITY: 0.3393882, DIVERSITY_MEAN_INTER_LIST: 0.9648734, DIVERSITY_HERFINDAHL: 0.9958585, COVERAGE_ITEM: 0.8461740, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1829472, SHANNON_ENTROPY: 10.3058392, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1305844, PRECISION: 0.0075825, PRECISION_RECALL_MIN_DEN: 0.0758245, RECALL: 0.0758245, MAP: 0.0363193, MRR: 0.0363193, NDCG: 0.0455857, F1: 0.0137863, HIT_RATE: 0.0758245, ARHR: 0.0363193, RMSE: nan, NOVELTY: 0.0080986, AVERAGE_POPULARITY: 0.1535092, DIVERSITY_MEAN_INTER_LIST: 0.9909439, DIVERSITY_HERFINDAHL: 0.9989287, COVERAGE_ITEM: 0.8681678, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3212738, SHANNON_ENTROPY: 11.8906153, 
