SearchBayesianSkopt: New best config found. Config 0: {'topK': 371, 'shrink': 327, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6238001664572302, 'tversky_beta': 1.2078730293600313} - results: ROC_AUC: 0.1250648, PRECISION: 0.0064899, PRECISION_RECALL_MIN_DEN: 0.0648989, RECALL: 0.0648989, MAP: 0.0336264, MRR: 0.0336264, NDCG: 0.0409927, F1: 0.0117998, HIT_RATE: 0.0648989, ARHR: 0.0336264, RMSE: nan, NOVELTY: 0.0059678, AVERAGE_POPULARITY: 0.5381787, DIVERSITY_MEAN_INTER_LIST: 0.9036263, DIVERSITY_HERFINDAHL: 0.9886458, COVERAGE_ITEM: 0.3955620, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0685559, SHANNON_ENTROPY: 7.9729294, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 961, 'shrink': 380, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.25288801681047507, 'tversky_beta': 0.5666908796049143} - results: ROC_AUC: 0.1187177, PRECISION: 0.0057452, PRECISION_RECALL_MIN_DEN: 0.0574515, RECALL: 0.0574515, MAP: 0.0294062, MRR: 0.0294062, NDCG: 0.0359703, F1: 0.0104457, HIT_RATE: 0.0574515, ARHR: 0.0294062, RMSE: nan, NOVELTY: 0.0057536, AVERAGE_POPULARITY: 0.6326591, DIVERSITY_MEAN_INTER_LIST: 0.8125067, DIVERSITY_HERFINDAHL: 0.9779151, COVERAGE_ITEM: 0.3124959, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0467703, SHANNON_ENTROPY: 6.8232389, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 731, 'shrink': 324, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0857705385969756, 'tversky_beta': 0.5018656237407871} - results: ROC_AUC: 0.1167490, PRECISION: 0.0055365, PRECISION_RECALL_MIN_DEN: 0.0553646, RECALL: 0.0553646, MAP: 0.0276936, MRR: 0.0276936, NDCG: 0.0341572, F1: 0.0100663, HIT_RATE: 0.0553646, ARHR: 0.0276936, RMSE: nan, NOVELTY: 0.0057413, AVERAGE_POPULARITY: 0.6428682, DIVERSITY_MEAN_INTER_LIST: 0.8026257, DIVERSITY_HERFINDAHL: 0.9767514, COVERAGE_ITEM: 0.3300386, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0462118, SHANNON_ENTROPY: 6.7324772, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 13, 'shrink': 440, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2015588566372924, 'tversky_beta': 0.11966079447603398} - results: ROC_AUC: 0.1254558, PRECISION: 0.0066413, PRECISION_RECALL_MIN_DEN: 0.0664130, RECALL: 0.0664130, MAP: 0.0336304, MRR: 0.0336304, NDCG: 0.0413349, F1: 0.0120751, HIT_RATE: 0.0664130, ARHR: 0.0336304, RMSE: nan, NOVELTY: 0.0066112, AVERAGE_POPULARITY: 0.3540537, DIVERSITY_MEAN_INTER_LIST: 0.9747082, DIVERSITY_HERFINDAHL: 0.9970167, COVERAGE_ITEM: 0.6769654, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1371450, SHANNON_ENTROPY: 10.0229457, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 78, 'shrink': 936, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0292796914555884, 'tversky_beta': 1.513822121026663} - results: ROC_AUC: 0.1266925, PRECISION: 0.0068582, PRECISION_RECALL_MIN_DEN: 0.0685817, RECALL: 0.0685817, MAP: 0.0349485, MRR: 0.0349485, NDCG: 0.0428323, F1: 0.0124694, HIT_RATE: 0.0685817, ARHR: 0.0349485, RMSE: nan, NOVELTY: 0.0062017, AVERAGE_POPULARITY: 0.4579601, DIVERSITY_MEAN_INTER_LIST: 0.9470181, DIVERSITY_HERFINDAHL: 0.9937558, COVERAGE_ITEM: 0.5209792, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0921356, SHANNON_ENTROPY: 8.9121962, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 11, 'shrink': 216, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.936766474377254, 'tversky_beta': 1.8946154502268768} - results: ROC_AUC: 0.1352720, PRECISION: 0.0079876, PRECISION_RECALL_MIN_DEN: 0.0798756, RECALL: 0.0798756, MAP: 0.0400067, MRR: 0.0400067, NDCG: 0.0494017, F1: 0.0145228, HIT_RATE: 0.0798756, ARHR: 0.0400067, RMSE: nan, NOVELTY: 0.0067303, AVERAGE_POPULARITY: 0.2855443, DIVERSITY_MEAN_INTER_LIST: 0.9854427, DIVERSITY_HERFINDAHL: 0.9982808, COVERAGE_ITEM: 0.5784513, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1455459, SHANNON_ENTROPY: 10.3785504, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.1241145, PRECISION: 0.0064162, PRECISION_RECALL_MIN_DEN: 0.0641624, RECALL: 0.0641624, MAP: 0.0329583, MRR: 0.0329583, NDCG: 0.0402932, F1: 0.0116659, HIT_RATE: 0.0641624, ARHR: 0.0329583, RMSE: nan, NOVELTY: 0.0059496, AVERAGE_POPULARITY: 0.5342673, DIVERSITY_MEAN_INTER_LIST: 0.8983684, DIVERSITY_HERFINDAHL: 0.9880266, COVERAGE_ITEM: 0.3496105, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0648246, SHANNON_ENTROPY: 7.8455220, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 10, 'shrink': 990, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.974718699314937, 'tversky_beta': 0.3574751029514383} - results: ROC_AUC: 0.1275063, PRECISION: 0.0068786, PRECISION_RECALL_MIN_DEN: 0.0687863, RECALL: 0.0687863, MAP: 0.0348514, MRR: 0.0348514, NDCG: 0.0428460, F1: 0.0125066, HIT_RATE: 0.0687863, ARHR: 0.0348514, RMSE: nan, NOVELTY: 0.0067660, AVERAGE_POPULARITY: 0.3023687, DIVERSITY_MEAN_INTER_LIST: 0.9826155, DIVERSITY_HERFINDAHL: 0.9979479, COVERAGE_ITEM: 0.6695032, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1474936, SHANNON_ENTROPY: 10.3415654, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.1305299, PRECISION: 0.0075825, PRECISION_RECALL_MIN_DEN: 0.0758245, RECALL: 0.0758245, MAP: 0.0363337, MRR: 0.0363337, NDCG: 0.0455943, F1: 0.0137863, HIT_RATE: 0.0758245, ARHR: 0.0363337, RMSE: nan, NOVELTY: 0.0081050, AVERAGE_POPULARITY: 0.1529308, DIVERSITY_MEAN_INTER_LIST: 0.9909646, DIVERSITY_HERFINDAHL: 0.9989311, COVERAGE_ITEM: 0.8684951, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3222951, SHANNON_ENTROPY: 11.8968104, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 972, 'shrink': 53, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9880739169768895, 'tversky_beta': 1.6905130108889825} - results: ROC_AUC: 0.1333170, PRECISION: 0.0076561, PRECISION_RECALL_MIN_DEN: 0.0765611, RECALL: 0.0765611, MAP: 0.0392344, MRR: 0.0392344, NDCG: 0.0480362, F1: 0.0139202, HIT_RATE: 0.0765611, ARHR: 0.0392344, RMSE: nan, NOVELTY: 0.0065544, AVERAGE_POPULARITY: 0.3654384, DIVERSITY_MEAN_INTER_LIST: 0.9614795, DIVERSITY_HERFINDAHL: 0.9954588, COVERAGE_ITEM: 0.6570007, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1343951, SHANNON_ENTROPY: 9.7812606, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.1305071, PRECISION: 0.0073738, PRECISION_RECALL_MIN_DEN: 0.0737376, RECALL: 0.0737376, MAP: 0.0369102, MRR: 0.0369102, NDCG: 0.0455702, F1: 0.0134068, HIT_RATE: 0.0737376, ARHR: 0.0369102, RMSE: nan, NOVELTY: 0.0067914, AVERAGE_POPULARITY: 0.2905986, DIVERSITY_MEAN_INTER_LIST: 0.9844072, DIVERSITY_HERFINDAHL: 0.9981589, COVERAGE_ITEM: 0.5992669, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1505656, SHANNON_ENTROPY: 10.3684741, 
