SearchBayesianSkopt: New best config found. Config 0: {'topK': 325, 'shrink': 616, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2947447, PRECISION: 0.0118594, PRECISION_RECALL_MIN_DEN: 0.0395314, RECALL: 0.0395314, MAP: 0.0197202, MRR: 0.0549178, NDCG: 0.0335304, F1: 0.0182453, HIT_RATE: 0.1185942, ARHR: 0.0570170, RMSE: nan, NOVELTY: 0.0050299, AVERAGE_POPULARITY: 0.4544647, DIVERSITY_MEAN_INTER_LIST: 0.9203061, DIVERSITY_HERFINDAHL: 0.9869059, COVERAGE_ITEM: 0.3347516, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0711366, SHANNON_ENTROPY: 7.7350327, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 544, 'shrink': 586, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2931507, PRECISION: 0.0115895, PRECISION_RECALL_MIN_DEN: 0.0386315, RECALL: 0.0386315, MAP: 0.0194273, MRR: 0.0540441, NDCG: 0.0329122, F1: 0.0178299, HIT_RATE: 0.1158945, ARHR: 0.0561387, RMSE: nan, NOVELTY: 0.0049752, AVERAGE_POPULARITY: 0.4752105, DIVERSITY_MEAN_INTER_LIST: 0.9028494, DIVERSITY_HERFINDAHL: 0.9840393, COVERAGE_ITEM: 0.2977679, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0640746, SHANNON_ENTROPY: 7.4032032, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 423, 'shrink': 132, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3036703, PRECISION: 0.0131948, PRECISION_RECALL_MIN_DEN: 0.0439827, RECALL: 0.0439827, MAP: 0.0224863, MRR: 0.0620731, NDCG: 0.0377831, F1: 0.0202997, HIT_RATE: 0.1319481, ARHR: 0.0647302, RMSE: nan, NOVELTY: 0.0052062, AVERAGE_POPULARITY: 0.3832776, DIVERSITY_MEAN_INTER_LIST: 0.9524835, DIVERSITY_HERFINDAHL: 0.9921896, COVERAGE_ITEM: 0.3756628, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0975110, SHANNON_ENTROPY: 8.6232820, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 670, 'shrink': 714, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.2910387, PRECISION: 0.0113243, PRECISION_RECALL_MIN_DEN: 0.0377477, RECALL: 0.0377477, MAP: 0.0186572, MRR: 0.0519147, NDCG: 0.0318218, F1: 0.0174220, HIT_RATE: 0.1132430, ARHR: 0.0539150, RMSE: nan, NOVELTY: 0.0049368, AVERAGE_POPULARITY: 0.4922376, DIVERSITY_MEAN_INTER_LIST: 0.8876965, DIVERSITY_HERFINDAHL: 0.9815512, COVERAGE_ITEM: 0.2817307, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0589923, SHANNON_ENTROPY: 7.1522618, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 44, 'shrink': 791, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.3022139, PRECISION: 0.0132334, PRECISION_RECALL_MIN_DEN: 0.0441113, RECALL: 0.0441113, MAP: 0.0215716, MRR: 0.0596790, NDCG: 0.0368833, F1: 0.0203590, HIT_RATE: 0.1323338, ARHR: 0.0621617, RMSE: nan, NOVELTY: 0.0053356, AVERAGE_POPULARITY: 0.3511015, DIVERSITY_MEAN_INTER_LIST: 0.9690318, DIVERSITY_HERFINDAHL: 0.9949069, COVERAGE_ITEM: 0.4915232, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1114410, SHANNON_ENTROPY: 9.1888368, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2981658, PRECISION: 0.0121728, PRECISION_RECALL_MIN_DEN: 0.0405759, RECALL: 0.0405759, MAP: 0.0208991, MRR: 0.0573636, NDCG: 0.0349782, F1: 0.0187274, HIT_RATE: 0.1217278, ARHR: 0.0599819, RMSE: nan, NOVELTY: 0.0062845, AVERAGE_POPULARITY: 0.2411328, DIVERSITY_MEAN_INTER_LIST: 0.9780755, DIVERSITY_HERFINDAHL: 0.9963920, COVERAGE_ITEM: 0.8362244, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2585405, SHANNON_ENTROPY: 10.8531747, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.3027030, PRECISION: 0.0135178, PRECISION_RECALL_MIN_DEN: 0.0450594, RECALL: 0.0450594, MAP: 0.0211939, MRR: 0.0580313, NDCG: 0.0367125, F1: 0.0207966, HIT_RATE: 0.1351781, ARHR: 0.0607635, RMSE: nan, NOVELTY: 0.0069530, AVERAGE_POPULARITY: 0.1184310, DIVERSITY_MEAN_INTER_LIST: 0.9937365, DIVERSITY_HERFINDAHL: 0.9989636, COVERAGE_ITEM: 0.8044119, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3564761, SHANNON_ENTROPY: 11.9707420, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.2875497, PRECISION: 0.0108760, PRECISION_RECALL_MIN_DEN: 0.0362532, RECALL: 0.0362532, MAP: 0.0177890, MRR: 0.0494130, NDCG: 0.0304033, F1: 0.0167322, HIT_RATE: 0.1087596, ARHR: 0.0513671, RMSE: nan, NOVELTY: 0.0048776, AVERAGE_POPULARITY: 0.5186927, DIVERSITY_MEAN_INTER_LIST: 0.8585289, DIVERSITY_HERFINDAHL: 0.9767617, COVERAGE_ITEM: 0.2487399, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0511589, SHANNON_ENTROPY: 6.7353025, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 7, 'shrink': 15, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3195675, PRECISION: 0.0156438, PRECISION_RECALL_MIN_DEN: 0.0521461, RECALL: 0.0521461, MAP: 0.0264086, MRR: 0.0717857, NDCG: 0.0443947, F1: 0.0240674, HIT_RATE: 0.1564383, ARHR: 0.0754537, RMSE: nan, NOVELTY: 0.0062632, AVERAGE_POPULARITY: 0.1696939, DIVERSITY_MEAN_INTER_LIST: 0.9931684, DIVERSITY_HERFINDAHL: 0.9988703, COVERAGE_ITEM: 0.7614715, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2314170, SHANNON_ENTROPY: 11.2901485, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 996, 'shrink': 2, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3021901, PRECISION: 0.0126742, PRECISION_RECALL_MIN_DEN: 0.0422472, RECALL: 0.0422472, MAP: 0.0221257, MRR: 0.0607398, NDCG: 0.0368092, F1: 0.0194987, HIT_RATE: 0.1267416, ARHR: 0.0635098, RMSE: nan, NOVELTY: 0.0060674, AVERAGE_POPULARITY: 0.2614140, DIVERSITY_MEAN_INTER_LIST: 0.9747400, DIVERSITY_HERFINDAHL: 0.9958442, COVERAGE_ITEM: 0.8187471, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2292620, SHANNON_ENTROPY: 10.5538014, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 8, 'shrink': 998, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3050485, PRECISION: 0.0131803, PRECISION_RECALL_MIN_DEN: 0.0439345, RECALL: 0.0439345, MAP: 0.0222961, MRR: 0.0618409, NDCG: 0.0376503, F1: 0.0202775, HIT_RATE: 0.1318035, ARHR: 0.0643343, RMSE: nan, NOVELTY: 0.0056430, AVERAGE_POPULARITY: 0.2723563, DIVERSITY_MEAN_INTER_LIST: 0.9847355, DIVERSITY_HERFINDAHL: 0.9974856, COVERAGE_ITEM: 0.5650979, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1473954, SHANNON_ENTROPY: 10.0688619, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 13, 'shrink': 3, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.3064785, PRECISION: 0.0135419, PRECISION_RECALL_MIN_DEN: 0.0451397, RECALL: 0.0451397, MAP: 0.0229231, MRR: 0.0627675, NDCG: 0.0385584, F1: 0.0208337, HIT_RATE: 0.1354192, ARHR: 0.0657211, RMSE: nan, NOVELTY: 0.0068740, AVERAGE_POPULARITY: 0.1347982, DIVERSITY_MEAN_INTER_LIST: 0.9956528, DIVERSITY_HERFINDAHL: 0.9992782, COVERAGE_ITEM: 0.8493814, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3699587, SHANNON_ENTROPY: 12.1630131, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3027030, PRECISION: 0.0135178, PRECISION_RECALL_MIN_DEN: 0.0450594, RECALL: 0.0450594, MAP: 0.0211939, MRR: 0.0580313, NDCG: 0.0367125, F1: 0.0207966, HIT_RATE: 0.1351781, ARHR: 0.0607635, RMSE: nan, NOVELTY: 0.0069530, AVERAGE_POPULARITY: 0.1184310, DIVERSITY_MEAN_INTER_LIST: 0.9937365, DIVERSITY_HERFINDAHL: 0.9989636, COVERAGE_ITEM: 0.8044119, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3564761, SHANNON_ENTROPY: 11.9707420, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3027030, PRECISION: 0.0135178, PRECISION_RECALL_MIN_DEN: 0.0450594, RECALL: 0.0450594, MAP: 0.0211939, MRR: 0.0580313, NDCG: 0.0367125, F1: 0.0207966, HIT_RATE: 0.1351781, ARHR: 0.0607635, RMSE: nan, NOVELTY: 0.0069530, AVERAGE_POPULARITY: 0.1184310, DIVERSITY_MEAN_INTER_LIST: 0.9937365, DIVERSITY_HERFINDAHL: 0.9989636, COVERAGE_ITEM: 0.8044119, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3564761, SHANNON_ENTROPY: 11.9707420, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.3027030, PRECISION: 0.0135178, PRECISION_RECALL_MIN_DEN: 0.0450594, RECALL: 0.0450594, MAP: 0.0211939, MRR: 0.0580313, NDCG: 0.0367125, F1: 0.0207966, HIT_RATE: 0.1351781, ARHR: 0.0607635, RMSE: nan, NOVELTY: 0.0069530, AVERAGE_POPULARITY: 0.1184310, DIVERSITY_MEAN_INTER_LIST: 0.9937365, DIVERSITY_HERFINDAHL: 0.9989636, COVERAGE_ITEM: 0.8044119, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3564761, SHANNON_ENTROPY: 11.9707420, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.3027030, PRECISION: 0.0135178, PRECISION_RECALL_MIN_DEN: 0.0450594, RECALL: 0.0450594, MAP: 0.0211939, MRR: 0.0580313, NDCG: 0.0367125, F1: 0.0207966, HIT_RATE: 0.1351781, ARHR: 0.0607635, RMSE: nan, NOVELTY: 0.0069530, AVERAGE_POPULARITY: 0.1184310, DIVERSITY_MEAN_INTER_LIST: 0.9937365, DIVERSITY_HERFINDAHL: 0.9989636, COVERAGE_ITEM: 0.8044119, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3564761, SHANNON_ENTROPY: 11.9707420, 
