SearchBayesianSkopt: New best config found. Config 0: {'topK': 811, 'shrink': 955, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2889316, PRECISION: 0.0110592, PRECISION_RECALL_MIN_DEN: 0.0368638, RECALL: 0.0368638, MAP: 0.0180522, MRR: 0.0501570, NDCG: 0.0308886, F1: 0.0170141, HIT_RATE: 0.1105915, ARHR: 0.0521341, RMSE: nan, NOVELTY: 0.0048979, AVERAGE_POPULARITY: 0.5101608, DIVERSITY_MEAN_INTER_LIST: 0.8687594, DIVERSITY_HERFINDAHL: 0.9784416, COVERAGE_ITEM: 0.2636643, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0537554, SHANNON_ENTROPY: 6.8771839, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 465, 'shrink': 188, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.3027803, PRECISION: 0.0130357, PRECISION_RECALL_MIN_DEN: 0.0434524, RECALL: 0.0434524, MAP: 0.0221962, MRR: 0.0612731, NDCG: 0.0373108, F1: 0.0200550, HIT_RATE: 0.1303572, ARHR: 0.0638928, RMSE: nan, NOVELTY: 0.0051417, AVERAGE_POPULARITY: 0.4059161, DIVERSITY_MEAN_INTER_LIST: 0.9428847, DIVERSITY_HERFINDAHL: 0.9906134, COVERAGE_ITEM: 0.3464031, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0881001, SHANNON_ENTROPY: 8.3173768, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 510, 'shrink': 358, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.2977469, PRECISION: 0.0121680, PRECISION_RECALL_MIN_DEN: 0.0405599, RECALL: 0.0405599, MAP: 0.0205759, MRR: 0.0571724, NDCG: 0.0347446, F1: 0.0187199, HIT_RATE: 0.1216796, ARHR: 0.0594187, RMSE: nan, NOVELTY: 0.0050377, AVERAGE_POPULARITY: 0.4469101, DIVERSITY_MEAN_INTER_LIST: 0.9221015, DIVERSITY_HERFINDAHL: 0.9872007, COVERAGE_ITEM: 0.3097467, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0730647, SHANNON_ENTROPY: 7.7781664, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 700, 'shrink': 450, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2948055, PRECISION: 0.0118112, PRECISION_RECALL_MIN_DEN: 0.0393707, RECALL: 0.0393707, MAP: 0.0196441, MRR: 0.0545132, NDCG: 0.0333708, F1: 0.0181711, HIT_RATE: 0.1181121, ARHR: 0.0566909, RMSE: nan, NOVELTY: 0.0049801, AVERAGE_POPULARITY: 0.4711512, DIVERSITY_MEAN_INTER_LIST: 0.9036132, DIVERSITY_HERFINDAHL: 0.9841648, COVERAGE_ITEM: 0.2874910, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0650976, SHANNON_ENTROPY: 7.4279703, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 431, 'shrink': 586, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.2946228, PRECISION: 0.0118257, PRECISION_RECALL_MIN_DEN: 0.0394189, RECALL: 0.0394189, MAP: 0.0197772, MRR: 0.0549435, NDCG: 0.0335250, F1: 0.0181933, HIT_RATE: 0.1182568, ARHR: 0.0571060, RMSE: nan, NOVELTY: 0.0050005, AVERAGE_POPULARITY: 0.4652752, DIVERSITY_MEAN_INTER_LIST: 0.9113633, DIVERSITY_HERFINDAHL: 0.9854374, COVERAGE_ITEM: 0.3126268, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0672859, SHANNON_ENTROPY: 7.5591943, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 11, 'shrink': 22, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.3201638, PRECISION: 0.0160681, PRECISION_RECALL_MIN_DEN: 0.0535602, RECALL: 0.0535602, MAP: 0.0266863, MRR: 0.0726013, NDCG: 0.0451221, F1: 0.0247201, HIT_RATE: 0.1606807, ARHR: 0.0762759, RMSE: nan, NOVELTY: 0.0060099, AVERAGE_POPULARITY: 0.1985056, DIVERSITY_MEAN_INTER_LIST: 0.9917937, DIVERSITY_HERFINDAHL: 0.9986446, COVERAGE_ITEM: 0.7036722, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1994391, SHANNON_ENTROPY: 10.9694596, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.3049477, PRECISION: 0.0131370, PRECISION_RECALL_MIN_DEN: 0.0437899, RECALL: 0.0437899, MAP: 0.0223344, MRR: 0.0618139, NDCG: 0.0376237, F1: 0.0202107, HIT_RATE: 0.1313696, ARHR: 0.0643798, RMSE: nan, NOVELTY: 0.0057399, AVERAGE_POPULARITY: 0.2527178, DIVERSITY_MEAN_INTER_LIST: 0.9869594, DIVERSITY_HERFINDAHL: 0.9978507, COVERAGE_ITEM: 0.5501735, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1581637, SHANNON_ENTROPY: 10.2207680, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 9, 'shrink': 33, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.3208941, PRECISION: 0.0160825, PRECISION_RECALL_MIN_DEN: 0.0536084, RECALL: 0.0536084, MAP: 0.0267861, MRR: 0.0728756, NDCG: 0.0452460, F1: 0.0247424, HIT_RATE: 0.1608253, ARHR: 0.0765577, RMSE: nan, NOVELTY: 0.0059001, AVERAGE_POPULARITY: 0.2078287, DIVERSITY_MEAN_INTER_LIST: 0.9911978, DIVERSITY_HERFINDAHL: 0.9985467, COVERAGE_ITEM: 0.6007069, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1837665, SHANNON_ENTROPY: 10.7210472, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.3022915, PRECISION: 0.0134503, PRECISION_RECALL_MIN_DEN: 0.0448344, RECALL: 0.0448344, MAP: 0.0210784, MRR: 0.0577090, NDCG: 0.0365193, F1: 0.0206928, HIT_RATE: 0.1345032, ARHR: 0.0604313, RMSE: nan, NOVELTY: 0.0069666, AVERAGE_POPULARITY: 0.1171336, DIVERSITY_MEAN_INTER_LIST: 0.9937803, DIVERSITY_HERFINDAHL: 0.9989708, COVERAGE_ITEM: 0.8050010, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3595932, SHANNON_ENTROPY: 11.9878701, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 996, 'shrink': 12, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.3089354, PRECISION: 0.0138167, PRECISION_RECALL_MIN_DEN: 0.0460557, RECALL: 0.0460557, MAP: 0.0240656, MRR: 0.0658950, NDCG: 0.0400332, F1: 0.0212565, HIT_RATE: 0.1381671, ARHR: 0.0689942, RMSE: nan, NOVELTY: 0.0056573, AVERAGE_POPULARITY: 0.3005752, DIVERSITY_MEAN_INTER_LIST: 0.9679684, DIVERSITY_HERFINDAHL: 0.9947323, COVERAGE_ITEM: 0.6951627, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1634116, SHANNON_ENTROPY: 9.8629100, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 992, 'shrink': 14, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.3090924, PRECISION: 0.0138022, PRECISION_RECALL_MIN_DEN: 0.0460075, RECALL: 0.0460075, MAP: 0.0241114, MRR: 0.0660880, NDCG: 0.0400776, F1: 0.0212342, HIT_RATE: 0.1380225, ARHR: 0.0691590, RMSE: nan, NOVELTY: 0.0056149, AVERAGE_POPULARITY: 0.3055173, DIVERSITY_MEAN_INTER_LIST: 0.9670651, DIVERSITY_HERFINDAHL: 0.9945840, COVERAGE_ITEM: 0.6704850, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1566013, SHANNON_ENTROPY: 9.7734140, 
