SearchBayesianSkopt: New best config found. Config 0: {'topK': 54, 'shrink': 894, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4310527997074456, 'tversky_beta': 1.4992979308205205} - results: ROC_AUC: 0.3033784, PRECISION: 0.0132575, PRECISION_RECALL_MIN_DEN: 0.0441916, RECALL: 0.0441916, MAP: 0.0218734, MRR: 0.0605063, NDCG: 0.0372342, F1: 0.0203961, HIT_RATE: 0.1325748, ARHR: 0.0630246, RMSE: nan, NOVELTY: 0.0053061, AVERAGE_POPULARITY: 0.3576215, DIVERSITY_MEAN_INTER_LIST: 0.9672978, DIVERSITY_HERFINDAHL: 0.9946222, COVERAGE_ITEM: 0.4690057, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1067104, SHANNON_ENTROPY: 9.0828303, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 396, 'shrink': 314, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9082893142038782, 'tversky_beta': 1.8661796214235595} - results: ROC_AUC: 0.3045354, PRECISION: 0.0132961, PRECISION_RECALL_MIN_DEN: 0.0443202, RECALL: 0.0443202, MAP: 0.0226424, MRR: 0.0623986, NDCG: 0.0380469, F1: 0.0204555, HIT_RATE: 0.1329605, ARHR: 0.0651254, RMSE: nan, NOVELTY: 0.0051809, AVERAGE_POPULARITY: 0.3914129, DIVERSITY_MEAN_INTER_LIST: 0.9497105, DIVERSITY_HERFINDAHL: 0.9917342, COVERAGE_ITEM: 0.3618511, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0932471, SHANNON_ENTROPY: 8.5083648, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 789, 'shrink': 108, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8683294516614408, 'tversky_beta': 1.1616927495240073} - results: ROC_AUC: 0.3091126, PRECISION: 0.0136624, PRECISION_RECALL_MIN_DEN: 0.0455415, RECALL: 0.0455415, MAP: 0.0240716, MRR: 0.0661950, NDCG: 0.0399318, F1: 0.0210191, HIT_RATE: 0.1366244, ARHR: 0.0691535, RMSE: nan, NOVELTY: 0.0053929, AVERAGE_POPULARITY: 0.3238483, DIVERSITY_MEAN_INTER_LIST: 0.9660950, DIVERSITY_HERFINDAHL: 0.9944247, COVERAGE_ITEM: 0.4506120, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1224346, SHANNON_ENTROPY: 9.2607509, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 827, 'shrink': 134, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2710658283610328, 'tversky_beta': 0.6109987029236149} - results: ROC_AUC: 0.2908611, PRECISION: 0.0115220, PRECISION_RECALL_MIN_DEN: 0.0384065, RECALL: 0.0384065, MAP: 0.0187844, MRR: 0.0519545, NDCG: 0.0321008, F1: 0.0177261, HIT_RATE: 0.1152196, ARHR: 0.0541276, RMSE: nan, NOVELTY: 0.0049356, AVERAGE_POPULARITY: 0.4923271, DIVERSITY_MEAN_INTER_LIST: 0.8864728, DIVERSITY_HERFINDAHL: 0.9813502, COVERAGE_ITEM: 0.2727630, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0599017, SHANNON_ENTROPY: 7.1519147, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 390, 'shrink': 694, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2977221151368379, 'tversky_beta': 1.5074102823166855} - results: ROC_AUC: 0.2950815, PRECISION: 0.0119221, PRECISION_RECALL_MIN_DEN: 0.0397403, RECALL: 0.0397403, MAP: 0.0200626, MRR: 0.0557278, NDCG: 0.0339228, F1: 0.0183417, HIT_RATE: 0.1192209, ARHR: 0.0579302, RMSE: nan, NOVELTY: 0.0050183, AVERAGE_POPULARITY: 0.4580161, DIVERSITY_MEAN_INTER_LIST: 0.9168925, DIVERSITY_HERFINDAHL: 0.9863453, COVERAGE_ITEM: 0.3200890, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0697776, SHANNON_ENTROPY: 7.6677262, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.2941562, PRECISION: 0.0116762, PRECISION_RECALL_MIN_DEN: 0.0389208, RECALL: 0.0389208, MAP: 0.0195004, MRR: 0.0540791, NDCG: 0.0330698, F1: 0.0179634, HIT_RATE: 0.1167623, ARHR: 0.0562585, RMSE: nan, NOVELTY: 0.0049778, AVERAGE_POPULARITY: 0.4691402, DIVERSITY_MEAN_INTER_LIST: 0.9014492, DIVERSITY_HERFINDAHL: 0.9838094, COVERAGE_ITEM: 0.2771487, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0632615, SHANNON_ENTROPY: 7.3789537, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 80, 'shrink': 24, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.07386966574321631, 'tversky_beta': 0.003807149542786715} - results: ROC_AUC: 0.2947017, PRECISION: 0.0119799, PRECISION_RECALL_MIN_DEN: 0.0399332, RECALL: 0.0399332, MAP: 0.0193126, MRR: 0.0535908, NDCG: 0.0332157, F1: 0.0184307, HIT_RATE: 0.1197995, ARHR: 0.0557442, RMSE: nan, NOVELTY: 0.0054274, AVERAGE_POPULARITY: 0.3063280, DIVERSITY_MEAN_INTER_LIST: 0.9801708, DIVERSITY_HERFINDAHL: 0.9967360, COVERAGE_ITEM: 0.4639654, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1248422, SHANNON_ENTROPY: 9.6197016, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 990, 'shrink': 836, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.03370741797338562, 'tversky_beta': 1.9482653476889862} - results: ROC_AUC: 0.2816843, PRECISION: 0.0100660, PRECISION_RECALL_MIN_DEN: 0.0335535, RECALL: 0.0335535, MAP: 0.0161783, MRR: 0.0450813, NDCG: 0.0278460, F1: 0.0154862, HIT_RATE: 0.1006605, ARHR: 0.0467886, RMSE: nan, NOVELTY: 0.0048178, AVERAGE_POPULARITY: 0.5514132, DIVERSITY_MEAN_INTER_LIST: 0.8183654, DIVERSITY_HERFINDAHL: 0.9701666, COVERAGE_ITEM: 0.2340774, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0441993, SHANNON_ENTROPY: 6.2575638, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 26, 'shrink': 39, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9754037071220958, 'tversky_beta': 1.748501227337286} - results: ROC_AUC: 0.3179767, PRECISION: 0.0154896, PRECISION_RECALL_MIN_DEN: 0.0516319, RECALL: 0.0516319, MAP: 0.0261262, MRR: 0.0711693, NDCG: 0.0439389, F1: 0.0238301, HIT_RATE: 0.1548956, ARHR: 0.0747088, RMSE: nan, NOVELTY: 0.0059207, AVERAGE_POPULARITY: 0.2168001, DIVERSITY_MEAN_INTER_LIST: 0.9902981, DIVERSITY_HERFINDAHL: 0.9983990, COVERAGE_ITEM: 0.7132945, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1929270, SHANNON_ENTROPY: 10.8418902, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 112, 'shrink': 24, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.997147069378798, 'tversky_beta': 0.18211463273224407} - results: ROC_AUC: 0.2984306, PRECISION: 0.0117968, PRECISION_RECALL_MIN_DEN: 0.0393225, RECALL: 0.0393225, MAP: 0.0206325, MRR: 0.0570729, NDCG: 0.0344173, F1: 0.0181488, HIT_RATE: 0.1179675, ARHR: 0.0594720, RMSE: nan, NOVELTY: 0.0064583, AVERAGE_POPULARITY: 0.1120547, DIVERSITY_MEAN_INTER_LIST: 0.9954532, DIVERSITY_HERFINDAHL: 0.9992455, COVERAGE_ITEM: 0.7731885, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2632732, SHANNON_ENTROPY: 11.6994575, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.3020438, PRECISION: 0.0134262, PRECISION_RECALL_MIN_DEN: 0.0447541, RECALL: 0.0447541, MAP: 0.0209211, MRR: 0.0572372, NDCG: 0.0363266, F1: 0.0206557, HIT_RATE: 0.1342622, ARHR: 0.0599595, RMSE: nan, NOVELTY: 0.0069736, AVERAGE_POPULARITY: 0.1164942, DIVERSITY_MEAN_INTER_LIST: 0.9938025, DIVERSITY_HERFINDAHL: 0.9989744, COVERAGE_ITEM: 0.8067683, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3604714, SHANNON_ENTROPY: 11.9963688, 
