SearchBayesianSkopt: New best config found. Config 0: {'topK': 842, 'shrink': 41, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.11719470948582103, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0869612, PRECISION: 0.0144004, PRECISION_RECALL_MIN_DEN: 0.0480015, RECALL: 0.0480015, MAP: 0.0224433, MRR: 0.0625924, NDCG: 0.0390953, F1: 0.0221545, HIT_RATE: 0.1440044, ARHR: 0.0649217, RMSE: 0.9134656, NOVELTY: 0.0051880, AVERAGE_POPULARITY: 0.6764354, DIVERSITY_MEAN_INTER_LIST: 0.8272425, DIVERSITY_HERFINDAHL: 0.9827191, COVERAGE_ITEM: 0.1873479, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0556853, SHANNON_ENTROPY: 7.0518131, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 383, 'shrink': 148, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7470029020553207, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1058107, PRECISION: 0.0164885, PRECISION_RECALL_MIN_DEN: 0.0549618, RECALL: 0.0549618, MAP: 0.0282083, MRR: 0.0775081, NDCG: 0.0472671, F1: 0.0253670, HIT_RATE: 0.1648854, ARHR: 0.0809992, RMSE: 0.9315493, NOVELTY: 0.0054987, AVERAGE_POPULARITY: 0.5151383, DIVERSITY_MEAN_INTER_LIST: 0.9267716, DIVERSITY_HERFINDAHL: 0.9926714, COVERAGE_ITEM: 0.2864558, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0939121, SHANNON_ENTROPY: 8.5816476, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 895, 'shrink': 614, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.995060785653156, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0999626, PRECISION: 0.0153333, PRECISION_RECALL_MIN_DEN: 0.0511110, RECALL: 0.0511110, MAP: 0.0264592, MRR: 0.0726635, NDCG: 0.0442176, F1: 0.0235897, HIT_RATE: 0.1533329, ARHR: 0.0759662, RMSE: 0.9648321, NOVELTY: 0.0056317, AVERAGE_POPULARITY: 0.4233869, DIVERSITY_MEAN_INTER_LIST: 0.9460862, DIVERSITY_HERFINDAHL: 0.9946028, COVERAGE_ITEM: 0.3060287, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0990517, SHANNON_ENTROPY: 8.8769905, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 998, 'shrink': 248, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7840718643543838, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0985383, PRECISION: 0.0155989, PRECISION_RECALL_MIN_DEN: 0.0519965, RECALL: 0.0519965, MAP: 0.0261615, MRR: 0.0724016, NDCG: 0.0442348, F1: 0.0239984, HIT_RATE: 0.1559894, ARHR: 0.0753922, RMSE: 0.9364631, NOVELTY: 0.0052897, AVERAGE_POPULARITY: 0.6197934, DIVERSITY_MEAN_INTER_LIST: 0.8550144, DIVERSITY_HERFINDAHL: 0.9854962, COVERAGE_ITEM: 0.2217356, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0677207, SHANNON_ENTROPY: 7.5373713, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 46, 'shrink': 155, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3339158280988999, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1095396, PRECISION: 0.0175449, PRECISION_RECALL_MIN_DEN: 0.0584831, RECALL: 0.0584831, MAP: 0.0286895, MRR: 0.0787142, NDCG: 0.0488883, F1: 0.0269922, HIT_RATE: 0.1754494, ARHR: 0.0823192, RMSE: 0.9733977, NOVELTY: 0.0056314, AVERAGE_POPULARITY: 0.4661021, DIVERSITY_MEAN_INTER_LIST: 0.9548252, DIVERSITY_HERFINDAHL: 0.9954766, COVERAGE_ITEM: 0.3653420, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1075602, SHANNON_ENTROPY: 9.1883355, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 18, 'shrink': 784, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.946878899570085, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0425070, PRECISION: 0.0062396, PRECISION_RECALL_MIN_DEN: 0.0207986, RECALL: 0.0207986, MAP: 0.0104317, MRR: 0.0299280, NDCG: 0.0178904, F1: 0.0095993, HIT_RATE: 0.0623957, ARHR: 0.0306023, RMSE: 1.0153182, NOVELTY: 0.0069267, AVERAGE_POPULARITY: 0.0857978, DIVERSITY_MEAN_INTER_LIST: 0.9923574, DIVERSITY_HERFINDAHL: 0.9992296, COVERAGE_ITEM: 0.5400378, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2468841, SHANNON_ENTROPY: 11.4742989, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0961553, PRECISION: 0.0146352, PRECISION_RECALL_MIN_DEN: 0.0487840, RECALL: 0.0487840, MAP: 0.0254512, MRR: 0.0703587, NDCG: 0.0424884, F1: 0.0225157, HIT_RATE: 0.1463520, ARHR: 0.0733119, RMSE: 0.9959337, NOVELTY: 0.0060784, AVERAGE_POPULARITY: 0.3137084, DIVERSITY_MEAN_INTER_LIST: 0.9768643, DIVERSITY_HERFINDAHL: 0.9976804, COVERAGE_ITEM: 0.3319816, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1854317, SHANNON_ENTROPY: 10.0911829, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9046219683798639, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0095576, PRECISION: 0.0018966, PRECISION_RECALL_MIN_DEN: 0.0063219, RECALL: 0.0063219, MAP: 0.0020571, MRR: 0.0058475, NDCG: 0.0042148, F1: 0.0029178, HIT_RATE: 0.0189658, ARHR: 0.0060094, RMSE: 0.9689398, NOVELTY: 0.0091173, AVERAGE_POPULARITY: 0.0077592, DIVERSITY_MEAN_INTER_LIST: 0.9943751, DIVERSITY_HERFINDAHL: 0.9994314, COVERAGE_ITEM: 0.5177075, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2989780, SHANNON_ENTROPY: 11.7966411, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 992, 'shrink': 431, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0802032, PRECISION: 0.0129610, PRECISION_RECALL_MIN_DEN: 0.0432034, RECALL: 0.0432034, MAP: 0.0206366, MRR: 0.0579015, NDCG: 0.0357204, F1: 0.0199400, HIT_RATE: 0.1296102, ARHR: 0.0598665, RMSE: 0.9570170, NOVELTY: 0.0050723, AVERAGE_POPULARITY: 0.7502437, DIVERSITY_MEAN_INTER_LIST: 0.6971544, DIVERSITY_HERFINDAHL: 0.9697111, COVERAGE_ITEM: 0.1498243, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0439169, SHANNON_ENTROPY: 6.1591206, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 980, 'shrink': 29, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9996146746561467, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0037723, PRECISION: 0.0005622, PRECISION_RECALL_MIN_DEN: 0.0018739, RECALL: 0.0018739, MAP: 0.0010113, MRR: 0.0027982, NDCG: 0.0016693, F1: 0.0008649, HIT_RATE: 0.0056218, ARHR: 0.0029161, RMSE: 0.8816924, NOVELTY: 0.0096192, AVERAGE_POPULARITY: 0.0052098, DIVERSITY_MEAN_INTER_LIST: 0.9954474, DIVERSITY_HERFINDAHL: 0.9995386, COVERAGE_ITEM: 0.3444715, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3415844, SHANNON_ENTROPY: 11.5179844, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 169, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0326430, PRECISION: 0.0048310, PRECISION_RECALL_MIN_DEN: 0.0161035, RECALL: 0.0161035, MAP: 0.0087522, MRR: 0.0244319, NDCG: 0.0144296, F1: 0.0074324, HIT_RATE: 0.0483104, ARHR: 0.0253209, RMSE: 0.8619607, NOVELTY: 0.0081963, AVERAGE_POPULARITY: 0.0245632, DIVERSITY_MEAN_INTER_LIST: 0.9990782, DIVERSITY_HERFINDAHL: 0.9999016, COVERAGE_ITEM: 0.7532306, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6731986, SHANNON_ENTROPY: 13.5077691, 
