SearchBayesianSkopt: New best config found. Config 0: {'topK': 886, 'shrink': 718, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0926552, PRECISION: 0.0146846, PRECISION_RECALL_MIN_DEN: 0.0489487, RECALL: 0.0489487, MAP: 0.0242887, MRR: 0.0675401, NDCG: 0.0413503, F1: 0.0225917, HIT_RATE: 0.1468462, ARHR: 0.0701696, RMSE: 0.9751007, NOVELTY: 0.0051958, AVERAGE_POPULARITY: 0.6784805, DIVERSITY_MEAN_INTER_LIST: 0.7982727, DIVERSITY_HERFINDAHL: 0.9798223, COVERAGE_ITEM: 0.2104353, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0553685, SHANNON_ENTROPY: 6.9763516, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 646, 'shrink': 294, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1003517, PRECISION: 0.0158646, PRECISION_RECALL_MIN_DEN: 0.0528819, RECALL: 0.0528819, MAP: 0.0268458, MRR: 0.0740341, NDCG: 0.0451881, F1: 0.0244071, HIT_RATE: 0.1586458, ARHR: 0.0772214, RMSE: 0.9628317, NOVELTY: 0.0053348, AVERAGE_POPULARITY: 0.6008574, DIVERSITY_MEAN_INTER_LIST: 0.8725706, DIVERSITY_HERFINDAHL: 0.9872517, COVERAGE_ITEM: 0.2517437, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0738959, SHANNON_ENTROPY: 7.7914706, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 133, 'shrink': 954, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0991576, PRECISION: 0.0156175, PRECISION_RECALL_MIN_DEN: 0.0520582, RECALL: 0.0520582, MAP: 0.0261315, MRR: 0.0722422, NDCG: 0.0442309, F1: 0.0240269, HIT_RATE: 0.1561747, ARHR: 0.0752603, RMSE: 0.9872646, NOVELTY: 0.0054253, AVERAGE_POPULARITY: 0.5708745, DIVERSITY_MEAN_INTER_LIST: 0.9022333, DIVERSITY_HERFINDAHL: 0.9902178, COVERAGE_ITEM: 0.3331711, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0847027, SHANNON_ENTROPY: 8.2510815, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 247, 'shrink': 187, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1078928, PRECISION: 0.0169148, PRECISION_RECALL_MIN_DEN: 0.0563827, RECALL: 0.0563827, MAP: 0.0288783, MRR: 0.0791586, NDCG: 0.0483910, F1: 0.0260228, HIT_RATE: 0.1691481, ARHR: 0.0828261, RMSE: 0.9672863, NOVELTY: 0.0055113, AVERAGE_POPULARITY: 0.5147663, DIVERSITY_MEAN_INTER_LIST: 0.9289841, DIVERSITY_HERFINDAHL: 0.9928927, COVERAGE_ITEM: 0.3018113, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0971562, SHANNON_ENTROPY: 8.6684424, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 285, 'shrink': 630, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0990949, PRECISION: 0.0154877, PRECISION_RECALL_MIN_DEN: 0.0516258, RECALL: 0.0516258, MAP: 0.0262943, MRR: 0.0726891, NDCG: 0.0442655, F1: 0.0238273, HIT_RATE: 0.1548774, ARHR: 0.0757456, RMSE: 0.9791054, NOVELTY: 0.0053370, AVERAGE_POPULARITY: 0.6066862, DIVERSITY_MEAN_INTER_LIST: 0.8757747, DIVERSITY_HERFINDAHL: 0.9875721, COVERAGE_ITEM: 0.2811571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0727177, SHANNON_ENTROPY: 7.8173122, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 990, 'shrink': 7, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1116232, PRECISION: 0.0173596, PRECISION_RECALL_MIN_DEN: 0.0578654, RECALL: 0.0578654, MAP: 0.0301070, MRR: 0.0820952, NDCG: 0.0500978, F1: 0.0267071, HIT_RATE: 0.1735961, ARHR: 0.0861310, RMSE: 0.9265432, NOVELTY: 0.0061398, AVERAGE_POPULARITY: 0.3869794, DIVERSITY_MEAN_INTER_LIST: 0.9536449, DIVERSITY_HERFINDAHL: 0.9953586, COVERAGE_ITEM: 0.6288186, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1863872, SHANNON_ENTROPY: 10.1400818, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 20, 'shrink': 4, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1111414, PRECISION: 0.0173040, PRECISION_RECALL_MIN_DEN: 0.0576800, RECALL: 0.0576800, MAP: 0.0296170, MRR: 0.0808610, NDCG: 0.0495403, F1: 0.0266216, HIT_RATE: 0.1730401, ARHR: 0.0847657, RMSE: 0.9826641, NOVELTY: 0.0071401, AVERAGE_POPULARITY: 0.2033057, DIVERSITY_MEAN_INTER_LIST: 0.9913732, DIVERSITY_HERFINDAHL: 0.9991312, COVERAGE_ITEM: 0.6997026, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3420748, SHANNON_ENTROPY: 11.9835976, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 990, 'shrink': 5, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1103522, PRECISION: 0.0171496, PRECISION_RECALL_MIN_DEN: 0.0571652, RECALL: 0.0571652, MAP: 0.0298037, MRR: 0.0812798, NDCG: 0.0495559, F1: 0.0263839, HIT_RATE: 0.1714956, ARHR: 0.0852717, RMSE: 0.9259075, NOVELTY: 0.0062421, AVERAGE_POPULARITY: 0.3743181, DIVERSITY_MEAN_INTER_LIST: 0.9561958, DIVERSITY_HERFINDAHL: 0.9956137, COVERAGE_ITEM: 0.6517437, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2022785, SHANNON_ENTROPY: 10.3045031, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1015661, PRECISION: 0.0168654, PRECISION_RECALL_MIN_DEN: 0.0562180, RECALL: 0.0562180, MAP: 0.0264712, MRR: 0.0718010, NDCG: 0.0456659, F1: 0.0259467, HIT_RATE: 0.1686539, ARHR: 0.0755202, RMSE: 0.9875543, NOVELTY: 0.0072061, AVERAGE_POPULARITY: 0.1599411, DIVERSITY_MEAN_INTER_LIST: 0.9889501, DIVERSITY_HERFINDAHL: 0.9988889, COVERAGE_ITEM: 0.6686672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3563256, SHANNON_ENTROPY: 11.9575554, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0992219, PRECISION: 0.0157101, PRECISION_RECALL_MIN_DEN: 0.0523671, RECALL: 0.0523671, MAP: 0.0263897, MRR: 0.0721013, NDCG: 0.0444550, F1: 0.0241694, HIT_RATE: 0.1571014, ARHR: 0.0755672, RMSE: 0.9237998, NOVELTY: 0.0067706, AVERAGE_POPULARITY: 0.3102753, DIVERSITY_MEAN_INTER_LIST: 0.9684391, DIVERSITY_HERFINDAHL: 0.9968379, COVERAGE_ITEM: 0.6931062, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2697172, SHANNON_ENTROPY: 11.0123304, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 28, 'shrink': 997, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1029236, PRECISION: 0.0162909, PRECISION_RECALL_MIN_DEN: 0.0543028, RECALL: 0.0543028, MAP: 0.0273706, MRR: 0.0750320, NDCG: 0.0461481, F1: 0.0250628, HIT_RATE: 0.1629085, ARHR: 0.0785001, RMSE: 0.9934947, NOVELTY: 0.0057099, AVERAGE_POPULARITY: 0.4527575, DIVERSITY_MEAN_INTER_LIST: 0.9562692, DIVERSITY_HERFINDAHL: 0.9956210, COVERAGE_ITEM: 0.4405515, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1199658, SHANNON_ENTROPY: 9.4237269, 
