SearchBayesianSkopt: New best config found. Config 0: {'topK': 125, 'shrink': 157, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8437734377504618, 'tversky_beta': 1.2301966091423377} - results: ROC_AUC: 0.1139499, PRECISION: 0.0179774, PRECISION_RECALL_MIN_DEN: 0.0599246, RECALL: 0.0599246, MAP: 0.0306091, MRR: 0.0837150, NDCG: 0.0513028, F1: 0.0276575, HIT_RATE: 0.1797739, ARHR: 0.0876846, RMSE: 0.9797965, NOVELTY: 0.0057686, AVERAGE_POPULARITY: 0.4064421, DIVERSITY_MEAN_INTER_LIST: 0.9651022, DIVERSITY_HERFINDAHL: 0.9965043, COVERAGE_ITEM: 0.3658827, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1315499, SHANNON_ENTROPY: 9.6290486, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 173, 'shrink': 335, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.191791170671688, 'tversky_beta': 0.7618458395873309} - results: ROC_AUC: 0.1057560, PRECISION: 0.0166306, PRECISION_RECALL_MIN_DEN: 0.0554354, RECALL: 0.0554354, MAP: 0.0283334, MRR: 0.0777078, NDCG: 0.0475140, F1: 0.0255856, HIT_RATE: 0.1663063, ARHR: 0.0812773, RMSE: 0.9749387, NOVELTY: 0.0055235, AVERAGE_POPULARITY: 0.5097935, DIVERSITY_MEAN_INTER_LIST: 0.9328389, DIVERSITY_HERFINDAHL: 0.9932781, COVERAGE_ITEM: 0.3182482, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0961278, SHANNON_ENTROPY: 8.7171433, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 525, 'shrink': 924, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0728611849639922, 'tversky_beta': 1.862037515498487} - results: ROC_AUC: 0.0937478, PRECISION: 0.0149441, PRECISION_RECALL_MIN_DEN: 0.0498136, RECALL: 0.0498136, MAP: 0.0246519, MRR: 0.0683606, NDCG: 0.0419690, F1: 0.0229909, HIT_RATE: 0.1494409, ARHR: 0.0711092, RMSE: 0.9833005, NOVELTY: 0.0052286, AVERAGE_POPULARITY: 0.6643249, DIVERSITY_MEAN_INTER_LIST: 0.8200897, DIVERSITY_HERFINDAHL: 0.9820039, COVERAGE_ITEM: 0.2393079, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0592923, SHANNON_ENTROPY: 7.1857359, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 908, 'shrink': 103, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7404486254693029, 'tversky_beta': 1.7640885982346786} - results: ROC_AUC: 0.1023024, PRECISION: 0.0160808, PRECISION_RECALL_MIN_DEN: 0.0536027, RECALL: 0.0536027, MAP: 0.0273464, MRR: 0.0755952, NDCG: 0.0459793, F1: 0.0247397, HIT_RATE: 0.1608081, ARHR: 0.0787531, RMSE: 0.9549615, NOVELTY: 0.0053536, AVERAGE_POPULARITY: 0.6008363, DIVERSITY_MEAN_INTER_LIST: 0.8654224, DIVERSITY_HERFINDAHL: 0.9865369, COVERAGE_ITEM: 0.2699108, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0798873, SHANNON_ENTROPY: 7.8469021, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 907, 'shrink': 443, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8749462197032805, 'tversky_beta': 0.15503467763777715} - results: ROC_AUC: 0.1032747, PRECISION: 0.0162105, PRECISION_RECALL_MIN_DEN: 0.0540351, RECALL: 0.0540351, MAP: 0.0276365, MRR: 0.0757948, NDCG: 0.0463378, F1: 0.0249393, HIT_RATE: 0.1621054, ARHR: 0.0792930, RMSE: 0.9653740, NOVELTY: 0.0054339, AVERAGE_POPULARITY: 0.5388911, DIVERSITY_MEAN_INTER_LIST: 0.9084178, DIVERSITY_HERFINDAHL: 0.9908362, COVERAGE_ITEM: 0.2559070, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0854401, SHANNON_ENTROPY: 8.2442167, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 176, 'shrink': 999, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.004720064955565207, 'tversky_beta': 0.004504335010161898} - results: ROC_AUC: 0.0886541, PRECISION: 0.0144190, PRECISION_RECALL_MIN_DEN: 0.0480633, RECALL: 0.0480633, MAP: 0.0230298, MRR: 0.0639828, NDCG: 0.0397148, F1: 0.0221830, HIT_RATE: 0.1441898, ARHR: 0.0665007, RMSE: 0.9800492, NOVELTY: 0.0052987, AVERAGE_POPULARITY: 0.6468128, DIVERSITY_MEAN_INTER_LIST: 0.8346406, DIVERSITY_HERFINDAHL: 0.9834589, COVERAGE_ITEM: 0.3137064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0724166, SHANNON_ENTROPY: 7.5207480, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0013746, PRECISION: 0.0002904, PRECISION_RECALL_MIN_DEN: 0.0009679, RECALL: 0.0009679, MAP: 0.0002621, MRR: 0.0007739, NDCG: 0.0005929, F1: 0.0004467, HIT_RATE: 0.0029036, ARHR: 0.0007801, RMSE: 0.9790330, NOVELTY: 0.0092462, AVERAGE_POPULARITY: 0.0036804, DIVERSITY_MEAN_INTER_LIST: 0.9906577, DIVERSITY_HERFINDAHL: 0.9990597, COVERAGE_ITEM: 0.4144904, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2461443, SHANNON_ENTROPY: 11.1301763, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5558941043224394, 'tversky_beta': 0.7900779030569338} - results: ROC_AUC: 0.0859670, PRECISION: 0.0139124, PRECISION_RECALL_MIN_DEN: 0.0463747, RECALL: 0.0463747, MAP: 0.0223083, MRR: 0.0621720, NDCG: 0.0384424, F1: 0.0214037, HIT_RATE: 0.1391240, ARHR: 0.0645094, RMSE: 0.9775062, NOVELTY: 0.0051271, AVERAGE_POPULARITY: 0.7226668, DIVERSITY_MEAN_INTER_LIST: 0.7378450, DIVERSITY_HERFINDAHL: 0.9737799, COVERAGE_ITEM: 0.1959989, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0465551, SHANNON_ENTROPY: 6.4844885, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 475, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.1168062, PRECISION: 0.0182307, PRECISION_RECALL_MIN_DEN: 0.0607689, RECALL: 0.0607689, MAP: 0.0308313, MRR: 0.0844143, NDCG: 0.0518595, F1: 0.0280472, HIT_RATE: 0.1823068, ARHR: 0.0883752, RMSE: 0.9963516, NOVELTY: 0.0059991, AVERAGE_POPULARITY: 0.3200047, DIVERSITY_MEAN_INTER_LIST: 0.9822834, DIVERSITY_HERFINDAHL: 0.9982223, COVERAGE_ITEM: 0.4159503, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1610694, SHANNON_ENTROPY: 10.3158684, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 286, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0812804, PRECISION: 0.0133193, PRECISION_RECALL_MIN_DEN: 0.0443978, RECALL: 0.0443978, MAP: 0.0212206, MRR: 0.0593739, NDCG: 0.0366763, F1: 0.0204913, HIT_RATE: 0.1331933, ARHR: 0.0614824, RMSE: 0.9596726, NOVELTY: 0.0050823, AVERAGE_POPULARITY: 0.7411661, DIVERSITY_MEAN_INTER_LIST: 0.7240212, DIVERSITY_HERFINDAHL: 0.9723976, COVERAGE_ITEM: 0.1456610, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0453528, SHANNON_ENTROPY: 6.2813428, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 225, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0944617, PRECISION: 0.0149317, PRECISION_RECALL_MIN_DEN: 0.0497725, RECALL: 0.0497725, MAP: 0.0249678, MRR: 0.0683632, NDCG: 0.0421589, F1: 0.0229719, HIT_RATE: 0.1493174, ARHR: 0.0715694, RMSE: 0.9766690, NOVELTY: 0.0071889, AVERAGE_POPULARITY: 0.2448376, DIVERSITY_MEAN_INTER_LIST: 0.9840202, DIVERSITY_HERFINDAHL: 0.9983959, COVERAGE_ITEM: 0.7067315, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3219239, SHANNON_ENTROPY: 11.6895676, 
