SearchBayesianSkopt: New best config found. Config 0: {'topK': 263, 'shrink': 368, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6483116455812844, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1054301, PRECISION: 0.0160756, PRECISION_RECALL_MIN_DEN: 0.0535854, RECALL: 0.0535854, MAP: 0.0282005, MRR: 0.0774497, NDCG: 0.0468442, F1: 0.0247317, HIT_RATE: 0.1607562, ARHR: 0.0809695, RMSE: 0.8554758, NOVELTY: 0.0070679, AVERAGE_POPULARITY: 0.2256648, DIVERSITY_MEAN_INTER_LIST: 0.9870001, DIVERSITY_HERFINDAHL: 0.9986939, COVERAGE_ITEM: 0.9395838, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3421754, SHANNON_ENTROPY: 11.8472496, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 156, 'shrink': 64, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5858984994870747, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0685192, PRECISION: 0.0101816, PRECISION_RECALL_MIN_DEN: 0.0339388, RECALL: 0.0339388, MAP: 0.0186243, MRR: 0.0519176, NDCG: 0.0305746, F1: 0.0156641, HIT_RATE: 0.1018164, ARHR: 0.0538540, RMSE: 0.9082951, NOVELTY: 0.0086276, AVERAGE_POPULARITY: 0.0947071, DIVERSITY_MEAN_INTER_LIST: 0.9952322, DIVERSITY_HERFINDAHL: 0.9995171, COVERAGE_ITEM: 0.7062713, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3899054, SHANNON_ENTROPY: 12.2214059, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 238, 'shrink': 356, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1798551457665598, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1045781, PRECISION: 0.0164587, PRECISION_RECALL_MIN_DEN: 0.0548622, RECALL: 0.0548622, MAP: 0.0280449, MRR: 0.0768310, NDCG: 0.0470123, F1: 0.0253210, HIT_RATE: 0.1645867, ARHR: 0.0804073, RMSE: 0.9580159, NOVELTY: 0.0055855, AVERAGE_POPULARITY: 0.4786585, DIVERSITY_MEAN_INTER_LIST: 0.9408111, DIVERSITY_HERFINDAHL: 0.9940753, COVERAGE_ITEM: 0.4474838, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0966813, SHANNON_ENTROPY: 8.8554955, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 126, 'shrink': 439, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.431593723479209, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0203933, PRECISION: 0.0029779, PRECISION_RECALL_MIN_DEN: 0.0099263, RECALL: 0.0099263, MAP: 0.0055351, MRR: 0.0153785, NDCG: 0.0090309, F1: 0.0045814, HIT_RATE: 0.0297788, ARHR: 0.0159807, RMSE: 0.9580732, NOVELTY: 0.0091346, AVERAGE_POPULARITY: 0.0108823, DIVERSITY_MEAN_INTER_LIST: 0.9985359, DIVERSITY_HERFINDAHL: 0.9998474, COVERAGE_ITEM: 0.7845062, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.5308449, SHANNON_ENTROPY: 12.9319816, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 217, 'shrink': 842, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9092970042882889, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0234135, PRECISION: 0.0033671, PRECISION_RECALL_MIN_DEN: 0.0112237, RECALL: 0.0112237, MAP: 0.0064237, MRR: 0.0180147, NDCG: 0.0104121, F1: 0.0051802, HIT_RATE: 0.0336711, ARHR: 0.0186313, RMSE: 0.9595915, NOVELTY: 0.0089310, AVERAGE_POPULARITY: 0.0135507, DIVERSITY_MEAN_INTER_LIST: 0.9987819, DIVERSITY_HERFINDAHL: 0.9998720, COVERAGE_ITEM: 0.8450616, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.5832293, SHANNON_ENTROPY: 13.1500283, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0784565, PRECISION: 0.0118621, PRECISION_RECALL_MIN_DEN: 0.0395403, RECALL: 0.0395403, MAP: 0.0210066, MRR: 0.0578552, NDCG: 0.0347792, F1: 0.0182494, HIT_RATE: 0.1186210, ARHR: 0.0603643, RMSE: 0.9239585, NOVELTY: 0.0061929, AVERAGE_POPULARITY: 0.2379292, DIVERSITY_MEAN_INTER_LIST: 0.9921228, DIVERSITY_HERFINDAHL: 0.9992061, COVERAGE_ITEM: 0.4409410, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2589764, SHANNON_ENTROPY: 11.0564824, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0795767, PRECISION: 0.0128383, PRECISION_RECALL_MIN_DEN: 0.0427942, RECALL: 0.0427942, MAP: 0.0205392, MRR: 0.0575775, NDCG: 0.0354735, F1: 0.0197512, HIT_RATE: 0.1283826, ARHR: 0.0595570, RMSE: 0.9760417, NOVELTY: 0.0050709, AVERAGE_POPULARITY: 0.7529280, DIVERSITY_MEAN_INTER_LIST: 0.6895374, DIVERSITY_HERFINDAHL: 0.9689495, COVERAGE_ITEM: 0.1918285, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0433219, SHANNON_ENTROPY: 6.1213675, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0991572, PRECISION: 0.0152107, PRECISION_RECALL_MIN_DEN: 0.0507023, RECALL: 0.0507023, MAP: 0.0263858, MRR: 0.0727237, NDCG: 0.0440398, F1: 0.0234010, HIT_RATE: 0.1521068, ARHR: 0.0758862, RMSE: 0.9756304, NOVELTY: 0.0054874, AVERAGE_POPULARITY: 0.5035288, DIVERSITY_MEAN_INTER_LIST: 0.9206115, DIVERSITY_HERFINDAHL: 0.9920555, COVERAGE_ITEM: 0.3654904, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0850139, SHANNON_ENTROPY: 8.3846367, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 18, 'shrink': 38, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9945338149938285, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0010434, PRECISION: 0.0001853, PRECISION_RECALL_MIN_DEN: 0.0006178, RECALL: 0.0006178, MAP: 0.0001902, MRR: 0.0005705, NDCG: 0.0004081, F1: 0.0002851, HIT_RATE: 0.0018535, ARHR: 0.0005705, RMSE: 2.7183851, NOVELTY: 0.0082861, AVERAGE_POPULARITY: 0.0144558, DIVERSITY_MEAN_INTER_LIST: 0.9956533, DIVERSITY_HERFINDAHL: 0.9995592, COVERAGE_ITEM: 0.7112132, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3754095, SHANNON_ENTROPY: 12.1781806, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 626, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0002540, PRECISION: 0.0000371, PRECISION_RECALL_MIN_DEN: 0.0001236, RECALL: 0.0001236, MAP: 0.0000493, MRR: 0.0001478, NDCG: 0.0000943, F1: 0.0000570, HIT_RATE: 0.0003707, ARHR: 0.0001478, RMSE: 4.9973315, NOVELTY: 0.0097354, AVERAGE_POPULARITY: 0.0017847, DIVERSITY_MEAN_INTER_LIST: 0.8808990, DIVERSITY_HERFINDAHL: 0.9880845, COVERAGE_ITEM: 0.2683232, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1402502, SHANNON_ENTROPY: 8.4336669, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0270784, PRECISION: 0.0040282, PRECISION_RECALL_MIN_DEN: 0.0134272, RECALL: 0.0134272, MAP: 0.0072723, MRR: 0.0203784, NDCG: 0.0120117, F1: 0.0061972, HIT_RATE: 0.0402817, ARHR: 0.0210754, RMSE: 0.9292305, NOVELTY: 0.0087900, AVERAGE_POPULARITY: 0.0191793, DIVERSITY_MEAN_INTER_LIST: 0.9988724, DIVERSITY_HERFINDAHL: 0.9998811, COVERAGE_ITEM: 0.9006752, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.5917817, SHANNON_ENTROPY: 13.2608206, 
