SearchBayesianSkopt: New best config found. Config 0: {'topK': 972, 'shrink': 224, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0926956, PRECISION: 0.0149141, PRECISION_RECALL_MIN_DEN: 0.0497137, RECALL: 0.0497137, MAP: 0.0242553, MRR: 0.0674904, NDCG: 0.0415499, F1: 0.0229448, HIT_RATE: 0.1491412, ARHR: 0.0700921, RMSE: 0.9340617, NOVELTY: 0.0051911, AVERAGE_POPULARITY: 0.6821191, DIVERSITY_MEAN_INTER_LIST: 0.7966424, DIVERSITY_HERFINDAHL: 0.9796593, COVERAGE_ITEM: 0.2596924, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0546344, SHANNON_ENTROPY: 6.9391952, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 231, 'shrink': 499, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1152933, PRECISION: 0.0178364, PRECISION_RECALL_MIN_DEN: 0.0594547, RECALL: 0.0594547, MAP: 0.0311293, MRR: 0.0845880, NDCG: 0.0516328, F1: 0.0274406, HIT_RATE: 0.1783640, ARHR: 0.0889012, RMSE: 0.8821258, NOVELTY: 0.0062617, AVERAGE_POPULARITY: 0.3654655, DIVERSITY_MEAN_INTER_LIST: 0.9668607, DIVERSITY_HERFINDAHL: 0.9966801, COVERAGE_ITEM: 0.9039465, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2188415, SHANNON_ENTROPY: 10.5913207, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 804, 'shrink': 699, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1131196, PRECISION: 0.0177437, PRECISION_RECALL_MIN_DEN: 0.0591458, RECALL: 0.0591458, MAP: 0.0302879, MRR: 0.0826734, NDCG: 0.0507013, F1: 0.0272980, HIT_RATE: 0.1774373, ARHR: 0.0866876, RMSE: 0.8641065, NOVELTY: 0.0058108, AVERAGE_POPULARITY: 0.4630063, DIVERSITY_MEAN_INTER_LIST: 0.9359644, DIVERSITY_HERFINDAHL: 0.9935907, COVERAGE_ITEM: 0.7155286, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1427464, SHANNON_ENTROPY: 9.5030052, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 70, 'shrink': 986, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0309383, PRECISION: 0.0044421, PRECISION_RECALL_MIN_DEN: 0.0148070, RECALL: 0.0148070, MAP: 0.0082759, MRR: 0.0234089, NDCG: 0.0135635, F1: 0.0068340, HIT_RATE: 0.0444211, ARHR: 0.0241068, RMSE: 0.9729781, NOVELTY: 0.0084970, AVERAGE_POPULARITY: 0.0185716, DIVERSITY_MEAN_INTER_LIST: 0.9990126, DIVERSITY_HERFINDAHL: 0.9998951, COVERAGE_ITEM: 0.9485627, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.6414351, SHANNON_ENTROPY: 13.4279592, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 510, 'shrink': 370, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1127646, PRECISION: 0.0175769, PRECISION_RECALL_MIN_DEN: 0.0585897, RECALL: 0.0585897, MAP: 0.0303472, MRR: 0.0826658, NDCG: 0.0505596, F1: 0.0270414, HIT_RATE: 0.1757692, ARHR: 0.0867566, RMSE: 0.8600501, NOVELTY: 0.0062659, AVERAGE_POPULARITY: 0.3825675, DIVERSITY_MEAN_INTER_LIST: 0.9572261, DIVERSITY_HERFINDAHL: 0.9957167, COVERAGE_ITEM: 0.9154312, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2260716, SHANNON_ENTROPY: 10.4927663, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 991, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0851036, PRECISION: 0.0138021, PRECISION_RECALL_MIN_DEN: 0.0460068, RECALL: 0.0460068, MAP: 0.0219032, MRR: 0.0613396, NDCG: 0.0379445, F1: 0.0212339, HIT_RATE: 0.1380205, ARHR: 0.0634825, RMSE: 8973.5800974, NOVELTY: 0.0050820, AVERAGE_POPULARITY: 0.7472564, DIVERSITY_MEAN_INTER_LIST: 0.7129421, DIVERSITY_HERFINDAHL: 0.9712898, COVERAGE_ITEM: 0.1979536, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0452809, SHANNON_ENTROPY: 6.2558222, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0806776, PRECISION: 0.0134993, PRECISION_RECALL_MIN_DEN: 0.0449977, RECALL: 0.0449977, MAP: 0.0208369, MRR: 0.0567220, NDCG: 0.0362110, F1: 0.0207682, HIT_RATE: 0.1349932, ARHR: 0.0595411, RMSE: 1.0069966, NOVELTY: 0.0081833, AVERAGE_POPULARITY: 0.1106945, DIVERSITY_MEAN_INTER_LIST: 0.9605201, DIVERSITY_HERFINDAHL: 0.9960461, COVERAGE_ITEM: 0.6549036, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2726685, SHANNON_ENTROPY: 10.9443877, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0979449, PRECISION: 0.0151798, PRECISION_RECALL_MIN_DEN: 0.0505993, RECALL: 0.0505993, MAP: 0.0256307, MRR: 0.0708477, NDCG: 0.0432610, F1: 0.0233535, HIT_RATE: 0.1517978, ARHR: 0.0738287, RMSE: 0.9950389, NOVELTY: 0.0061032, AVERAGE_POPULARITY: 0.3552049, DIVERSITY_MEAN_INTER_LIST: 0.9757463, DIVERSITY_HERFINDAHL: 0.9975686, COVERAGE_ITEM: 0.6746015, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1615483, SHANNON_ENTROPY: 10.2669035, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1122782, PRECISION: 0.0178426, PRECISION_RECALL_MIN_DEN: 0.0594753, RECALL: 0.0594753, MAP: 0.0299116, MRR: 0.0815844, NDCG: 0.0503946, F1: 0.0274501, HIT_RATE: 0.1784258, ARHR: 0.0855768, RMSE: 0.8712116, NOVELTY: 0.0056405, AVERAGE_POPULARITY: 0.5037820, DIVERSITY_MEAN_INTER_LIST: 0.9218474, DIVERSITY_HERFINDAHL: 0.9921790, COVERAGE_ITEM: 0.5816106, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1170106, SHANNON_ENTROPY: 9.0059919, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 911, 'shrink': 997, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0840107, PRECISION: 0.0136600, PRECISION_RECALL_MIN_DEN: 0.0455332, RECALL: 0.0455332, MAP: 0.0217204, MRR: 0.0607447, NDCG: 0.0375828, F1: 0.0210153, HIT_RATE: 0.1365995, ARHR: 0.0629149, RMSE: 0.9757661, NOVELTY: 0.0051233, AVERAGE_POPULARITY: 0.7287730, DIVERSITY_MEAN_INTER_LIST: 0.7289659, DIVERSITY_HERFINDAHL: 0.9728921, COVERAGE_ITEM: 0.2569778, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0457325, SHANNON_ENTROPY: 6.4253654, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1264454, PRECISION: 0.0201100, PRECISION_RECALL_MIN_DEN: 0.0670332, RECALL: 0.0670332, MAP: 0.0335741, MRR: 0.0910621, NDCG: 0.0565871, F1: 0.0309384, HIT_RATE: 0.2010997, ARHR: 0.0957775, RMSE: 0.9713313, NOVELTY: 0.0064337, AVERAGE_POPULARITY: 0.2384667, DIVERSITY_MEAN_INTER_LIST: 0.9884471, DIVERSITY_HERFINDAHL: 0.9988386, COVERAGE_ITEM: 0.6887311, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2017413, SHANNON_ENTROPY: 11.0010315, 
