SearchBayesianSkopt: New best config found. Config 0: {'topK': 676, 'shrink': 481, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0951954, PRECISION: 0.0151180, PRECISION_RECALL_MIN_DEN: 0.0503933, RECALL: 0.0503933, MAP: 0.0253016, MRR: 0.0702103, NDCG: 0.0428396, F1: 0.0232585, HIT_RATE: 0.1511800, ARHR: 0.0730128, RMSE: 0.9703531, NOVELTY: 0.0052647, AVERAGE_POPULARITY: 0.6408046, DIVERSITY_MEAN_INTER_LIST: 0.8402723, DIVERSITY_HERFINDAHL: 0.9840220, COVERAGE_ITEM: 0.3015939, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0637618, SHANNON_ENTROPY: 7.3908756, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 470, 'shrink': 844, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0932144, PRECISION: 0.0148276, PRECISION_RECALL_MIN_DEN: 0.0494254, RECALL: 0.0494254, MAP: 0.0245958, MRR: 0.0681597, NDCG: 0.0417770, F1: 0.0228117, HIT_RATE: 0.1482763, ARHR: 0.0709259, RMSE: 0.9801763, NOVELTY: 0.0052495, AVERAGE_POPULARITY: 0.6538514, DIVERSITY_MEAN_INTER_LIST: 0.8309469, DIVERSITY_HERFINDAHL: 0.9830896, COVERAGE_ITEM: 0.3173940, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0615285, SHANNON_ENTROPY: 7.2969548, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 889, 'shrink': 387, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0970638, PRECISION: 0.0153528, PRECISION_RECALL_MIN_DEN: 0.0511759, RECALL: 0.0511759, MAP: 0.0256662, MRR: 0.0711427, NDCG: 0.0434710, F1: 0.0236197, HIT_RATE: 0.1535277, ARHR: 0.0740223, RMSE: 0.9652578, NOVELTY: 0.0052666, AVERAGE_POPULARITY: 0.6385174, DIVERSITY_MEAN_INTER_LIST: 0.8385645, DIVERSITY_HERFINDAHL: 0.9838513, COVERAGE_ITEM: 0.2933807, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0648465, SHANNON_ENTROPY: 7.3946317, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 698, 'shrink': 402, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0969342, PRECISION: 0.0152169, PRECISION_RECALL_MIN_DEN: 0.0507228, RECALL: 0.0507228, MAP: 0.0255413, MRR: 0.0707661, NDCG: 0.0432015, F1: 0.0234105, HIT_RATE: 0.1521685, ARHR: 0.0736490, RMSE: 0.9673801, NOVELTY: 0.0052843, AVERAGE_POPULARITY: 0.6294070, DIVERSITY_MEAN_INTER_LIST: 0.8500214, DIVERSITY_HERFINDAHL: 0.9849969, COVERAGE_ITEM: 0.3064662, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0665686, SHANNON_ENTROPY: 7.5029822, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 485, 'shrink': 519, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0961474, PRECISION: 0.0152416, PRECISION_RECALL_MIN_DEN: 0.0508052, RECALL: 0.0508052, MAP: 0.0255500, MRR: 0.0706439, NDCG: 0.0431948, F1: 0.0234486, HIT_RATE: 0.1524157, ARHR: 0.0735958, RMSE: 0.9735158, NOVELTY: 0.0052920, AVERAGE_POPULARITY: 0.6276780, DIVERSITY_MEAN_INTER_LIST: 0.8553463, DIVERSITY_HERFINDAHL: 0.9855293, COVERAGE_ITEM: 0.3239368, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0668625, SHANNON_ENTROPY: 7.5537453, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1020193, PRECISION: 0.0168850, PRECISION_RECALL_MIN_DEN: 0.0562832, RECALL: 0.0562832, MAP: 0.0266617, MRR: 0.0723349, NDCG: 0.0458876, F1: 0.0259769, HIT_RATE: 0.1688496, ARHR: 0.0760712, RMSE: 0.9888343, NOVELTY: 0.0073160, AVERAGE_POPULARITY: 0.1615337, DIVERSITY_MEAN_INTER_LIST: 0.9891852, DIVERSITY_HERFINDAHL: 0.9989124, COVERAGE_ITEM: 0.8597480, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3534047, SHANNON_ENTROPY: 11.9465619, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 998, 'shrink': 999, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0895767, PRECISION: 0.0142778, PRECISION_RECALL_MIN_DEN: 0.0475926, RECALL: 0.0475926, MAP: 0.0233078, MRR: 0.0648727, NDCG: 0.0398871, F1: 0.0219658, HIT_RATE: 0.1427777, ARHR: 0.0673584, RMSE: 0.9795822, NOVELTY: 0.0051623, AVERAGE_POPULARITY: 0.7004053, DIVERSITY_MEAN_INTER_LIST: 0.7701797, DIVERSITY_HERFINDAHL: 0.9770132, COVERAGE_ITEM: 0.2576042, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0507441, SHANNON_ENTROPY: 6.7316918, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1020193, PRECISION: 0.0168850, PRECISION_RECALL_MIN_DEN: 0.0562832, RECALL: 0.0562832, MAP: 0.0266617, MRR: 0.0723349, NDCG: 0.0458876, F1: 0.0259769, HIT_RATE: 0.1688496, ARHR: 0.0760712, RMSE: 0.9888343, NOVELTY: 0.0073160, AVERAGE_POPULARITY: 0.1615337, DIVERSITY_MEAN_INTER_LIST: 0.9891852, DIVERSITY_HERFINDAHL: 0.9989124, COVERAGE_ITEM: 0.8597480, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3534047, SHANNON_ENTROPY: 11.9465619, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 24, 'shrink': 977, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1036181, PRECISION: 0.0164092, PRECISION_RECALL_MIN_DEN: 0.0546975, RECALL: 0.0546975, MAP: 0.0276049, MRR: 0.0755676, NDCG: 0.0464988, F1: 0.0252450, HIT_RATE: 0.1640924, ARHR: 0.0791198, RMSE: 0.9939294, NOVELTY: 0.0057444, AVERAGE_POPULARITY: 0.4406652, DIVERSITY_MEAN_INTER_LIST: 0.9599957, DIVERSITY_HERFINDAHL: 0.9959936, COVERAGE_ITEM: 0.5780608, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1237427, SHANNON_ENTROPY: 9.5332131, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 992, 'shrink': 4, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.1069188, PRECISION: 0.0167243, PRECISION_RECALL_MIN_DEN: 0.0557478, RECALL: 0.0557478, MAP: 0.0287655, MRR: 0.0784670, NDCG: 0.0480178, F1: 0.0257297, HIT_RATE: 0.1672433, ARHR: 0.0823070, RMSE: 0.9270958, NOVELTY: 0.0062600, AVERAGE_POPULARITY: 0.3742684, DIVERSITY_MEAN_INTER_LIST: 0.9560500, DIVERSITY_HERFINDAHL: 0.9955991, COVERAGE_ITEM: 0.8469409, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2053600, SHANNON_ENTROPY: 10.3213026, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.1020193, PRECISION: 0.0168850, PRECISION_RECALL_MIN_DEN: 0.0562832, RECALL: 0.0562832, MAP: 0.0266617, MRR: 0.0723349, NDCG: 0.0458876, F1: 0.0259769, HIT_RATE: 0.1688496, ARHR: 0.0760712, RMSE: 0.9888343, NOVELTY: 0.0073160, AVERAGE_POPULARITY: 0.1615337, DIVERSITY_MEAN_INTER_LIST: 0.9891852, DIVERSITY_HERFINDAHL: 0.9989124, COVERAGE_ITEM: 0.8597480, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3534047, SHANNON_ENTROPY: 11.9465619, 
