SearchBayesianSkopt: New best config found. Config 0: {'topK': 376, 'shrink': 757, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0957395, PRECISION: 0.0152786, PRECISION_RECALL_MIN_DEN: 0.0509288, RECALL: 0.0509288, MAP: 0.0252827, MRR: 0.0698053, NDCG: 0.0429459, F1: 0.0235056, HIT_RATE: 0.1527864, ARHR: 0.0727857, RMSE: 0.9796207, NOVELTY: 0.0052863, AVERAGE_POPULARITY: 0.6344133, DIVERSITY_MEAN_INTER_LIST: 0.8509338, DIVERSITY_HERFINDAHL: 0.9850881, COVERAGE_ITEM: 0.3352822, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0662228, SHANNON_ENTROPY: 7.5160902, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 229, 'shrink': 216, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1072161, PRECISION: 0.0166811, PRECISION_RECALL_MIN_DEN: 0.0556036, RECALL: 0.0556036, MAP: 0.0286582, MRR: 0.0787227, NDCG: 0.0479453, F1: 0.0256632, HIT_RATE: 0.1668108, ARHR: 0.0822792, RMSE: 0.9691315, NOVELTY: 0.0055030, AVERAGE_POPULARITY: 0.5200647, DIVERSITY_MEAN_INTER_LIST: 0.9271094, DIVERSITY_HERFINDAHL: 0.9927052, COVERAGE_ITEM: 0.3866500, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0952757, SHANNON_ENTROPY: 8.6229243, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 461, 'shrink': 913, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0933911, PRECISION: 0.0148709, PRECISION_RECALL_MIN_DEN: 0.0495696, RECALL: 0.0495696, MAP: 0.0246317, MRR: 0.0681931, NDCG: 0.0418478, F1: 0.0228783, HIT_RATE: 0.1487088, ARHR: 0.0709958, RMSE: 0.9810025, NOVELTY: 0.0052463, AVERAGE_POPULARITY: 0.6562876, DIVERSITY_MEAN_INTER_LIST: 0.8280582, DIVERSITY_HERFINDAHL: 0.9828007, COVERAGE_ITEM: 0.3185077, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0611331, SHANNON_ENTROPY: 7.2737453, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 362, 'shrink': 484, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0994418, PRECISION: 0.0157544, PRECISION_RECALL_MIN_DEN: 0.0525145, RECALL: 0.0525145, MAP: 0.0264237, MRR: 0.0730007, NDCG: 0.0446578, F1: 0.0242375, HIT_RATE: 0.1575436, ARHR: 0.0760824, RMSE: 0.9740907, NOVELTY: 0.0053363, AVERAGE_POPULARITY: 0.6049789, DIVERSITY_MEAN_INTER_LIST: 0.8752244, DIVERSITY_HERFINDAHL: 0.9875170, COVERAGE_ITEM: 0.3442612, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0724968, SHANNON_ENTROPY: 7.8022129, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 833, 'shrink': 657, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0933774, PRECISION: 0.0148462, PRECISION_RECALL_MIN_DEN: 0.0494872, RECALL: 0.0494872, MAP: 0.0246145, MRR: 0.0683900, NDCG: 0.0418480, F1: 0.0228403, HIT_RATE: 0.1484616, ARHR: 0.0710802, RMSE: 0.9737629, NOVELTY: 0.0052116, AVERAGE_POPULARITY: 0.6708092, DIVERSITY_MEAN_INTER_LIST: 0.8076887, DIVERSITY_HERFINDAHL: 0.9807639, COVERAGE_ITEM: 0.2770237, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0569853, SHANNON_ENTROPY: 7.0618855, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 1000, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1130771, PRECISION: 0.0175275, PRECISION_RECALL_MIN_DEN: 0.0584250, RECALL: 0.0584250, MAP: 0.0305065, MRR: 0.0832044, NDCG: 0.0506984, F1: 0.0269654, HIT_RATE: 0.1752749, ARHR: 0.0872798, RMSE: 0.9265320, NOVELTY: 0.0060326, AVERAGE_POPULARITY: 0.4015594, DIVERSITY_MEAN_INTER_LIST: 0.9505351, DIVERSITY_HERFINDAHL: 0.9950476, COVERAGE_ITEM: 0.7666179, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1688874, SHANNON_ENTROPY: 9.9460905, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 22, 'shrink': 1, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0977738, PRECISION: 0.0154640, PRECISION_RECALL_MIN_DEN: 0.0515466, RECALL: 0.0515466, MAP: 0.0261228, MRR: 0.0713308, NDCG: 0.0438897, F1: 0.0237907, HIT_RATE: 0.1546398, ARHR: 0.0747608, RMSE: 0.9817118, NOVELTY: 0.0075209, AVERAGE_POPULARITY: 0.1694862, DIVERSITY_MEAN_INTER_LIST: 0.9935782, DIVERSITY_HERFINDAHL: 0.9993517, COVERAGE_ITEM: 0.9013712, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3832274, SHANNON_ENTROPY: 12.2987368, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 968, 'shrink': 998, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0901922, PRECISION: 0.0143643, PRECISION_RECALL_MIN_DEN: 0.0478809, RECALL: 0.0478809, MAP: 0.0234916, MRR: 0.0653805, NDCG: 0.0401740, F1: 0.0220989, HIT_RATE: 0.1436427, ARHR: 0.0678911, RMSE: 0.9794477, NOVELTY: 0.0051655, AVERAGE_POPULARITY: 0.6986264, DIVERSITY_MEAN_INTER_LIST: 0.7725374, DIVERSITY_HERFINDAHL: 0.9772490, COVERAGE_ITEM: 0.2589963, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0511365, SHANNON_ENTROPY: 6.7525539, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0992220, PRECISION: 0.0157111, PRECISION_RECALL_MIN_DEN: 0.0523704, RECALL: 0.0523704, MAP: 0.0263870, MRR: 0.0720856, NDCG: 0.0444518, F1: 0.0241709, HIT_RATE: 0.1571111, ARHR: 0.0755553, RMSE: 0.9230832, NOVELTY: 0.0067734, AVERAGE_POPULARITY: 0.3102940, DIVERSITY_MEAN_INTER_LIST: 0.9684359, DIVERSITY_HERFINDAHL: 0.9968376, COVERAGE_ITEM: 0.8912090, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2699521, SHANNON_ENTROPY: 11.0119782, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 28, 'shrink': 8, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1182527, PRECISION: 0.0184048, PRECISION_RECALL_MIN_DEN: 0.0613493, RECALL: 0.0613493, MAP: 0.0314381, MRR: 0.0859547, NDCG: 0.0526568, F1: 0.0283151, HIT_RATE: 0.1840479, ARHR: 0.0900410, RMSE: 0.9808754, NOVELTY: 0.0067049, AVERAGE_POPULARITY: 0.2556133, DIVERSITY_MEAN_INTER_LIST: 0.9872275, DIVERSITY_HERFINDAHL: 0.9987167, COVERAGE_ITEM: 0.8802812, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2725527, SHANNON_ENTROPY: 11.4556042, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1015960, PRECISION: 0.0168664, PRECISION_RECALL_MIN_DEN: 0.0562214, RECALL: 0.0562214, MAP: 0.0264859, MRR: 0.0718487, NDCG: 0.0456836, F1: 0.0259484, HIT_RATE: 0.1686643, ARHR: 0.0755660, RMSE: 0.9874617, NOVELTY: 0.0073292, AVERAGE_POPULARITY: 0.1599885, DIVERSITY_MEAN_INTER_LIST: 0.9892434, DIVERSITY_HERFINDAHL: 0.9989182, COVERAGE_ITEM: 0.8608617, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3560685, SHANNON_ENTROPY: 11.9621806, 
