CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 2909, 'shrink': 743, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.022202±0.0008, PRECISION: 0.003284±0.0001, PRECISION_RECALL_MIN_DEN: 0.032836±0.0013, RECALL: 0.032836±0.0013, MAP: 0.015537±0.0009, MRR: 0.015537±0.0009, NDCG: 0.019575±0.0008, F1: 0.005970±0.0002, HIT_RATE: 0.032836±0.0013, ARHR: 0.015537±0.0009, RMSE: 0.864983±0.0015, NOVELTY: 0.004902±0.0000, AVERAGE_POPULARITY: 0.840956±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.463748±0.0023, DIVERSITY_HERFINDAHL: 0.946364±0.0002, COVERAGE_ITEM: 0.006564±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157010±0.0050, SHANNON_ENTROPY: 4.603405±0.0048, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 1152, 'shrink': 1476, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.034979±0.0017, PRECISION: 0.005339±0.0003, PRECISION_RECALL_MIN_DEN: 0.053388±0.0025, RECALL: 0.053388±0.0025, MAP: 0.023505±0.0012, MRR: 0.023505±0.0012, NDCG: 0.030487±0.0014, F1: 0.009707±0.0005, HIT_RATE: 0.053388±0.0025, ARHR: 0.023505±0.0012, RMSE: 1.007444±0.0079, NOVELTY: 0.005041±0.0000, AVERAGE_POPULARITY: 0.742257±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.752361±0.0013, DIVERSITY_HERFINDAHL: 0.975219±0.0001, COVERAGE_ITEM: 0.028700±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.111763±0.0009, SHANNON_ENTROPY: 6.125910±0.0056, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 1750, 'shrink': 498, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.025414±0.0019, PRECISION: 0.004088±0.0003, PRECISION_RECALL_MIN_DEN: 0.040876±0.0027, RECALL: 0.040876±0.0027, MAP: 0.016958±0.0009, MRR: 0.016958±0.0009, NDCG: 0.022505±0.0013, F1: 0.007432±0.0005, HIT_RATE: 0.040876±0.0027, ARHR: 0.016958±0.0009, RMSE: 1.235337±0.0153, NOVELTY: 0.005048±0.0000, AVERAGE_POPULARITY: 0.745548±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.707677±0.0011, DIVERSITY_HERFINDAHL: 0.970752±0.0001, COVERAGE_ITEM: 0.055561±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.070384±0.0003, SHANNON_ENTROPY: 6.029727±0.0031, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 2828, 'shrink': 193, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.025419±0.0008, PRECISION: 0.003943±0.0001, PRECISION_RECALL_MIN_DEN: 0.039431±0.0013, RECALL: 0.039431±0.0013, MAP: 0.017620±0.0007, MRR: 0.017620±0.0007, NDCG: 0.022686±0.0007, F1: 0.007169±0.0002, HIT_RATE: 0.039431±0.0013, ARHR: 0.017620±0.0007, RMSE: 51.566983±0.5505, NOVELTY: 0.004943±0.0000, AVERAGE_POPULARITY: 0.806874±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.550810±0.0015, DIVERSITY_HERFINDAHL: 0.955069±0.0001, COVERAGE_ITEM: 0.012879±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.110562±0.0006, SHANNON_ENTROPY: 5.045672±0.0033, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 2258, 'shrink': 1451, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.025645±0.0010, PRECISION: 0.003957±0.0002, PRECISION_RECALL_MIN_DEN: 0.039566±0.0017, RECALL: 0.039566±0.0017, MAP: 0.017725±0.0006, MRR: 0.017725±0.0006, NDCG: 0.022803±0.0007, F1: 0.007194±0.0003, HIT_RATE: 0.039566±0.0017, ARHR: 0.017725±0.0006, RMSE: 6.005103±0.0702, NOVELTY: 0.004945±0.0000, AVERAGE_POPULARITY: 0.805160±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.562740±0.0017, DIVERSITY_HERFINDAHL: 0.956261±0.0002, COVERAGE_ITEM: 0.013647±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107455±0.0011, SHANNON_ENTROPY: 5.083073±0.0027, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 528, 'shrink': 1634, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.027492±0.0021, PRECISION: 0.004404±0.0002, PRECISION_RECALL_MIN_DEN: 0.044038±0.0024, RECALL: 0.044038±0.0024, MAP: 0.018692±0.0019, MRR: 0.018692±0.0019, NDCG: 0.024559±0.0019, F1: 0.008007±0.0004, HIT_RATE: 0.044038±0.0024, ARHR: 0.018692±0.0019, RMSE: 0.769077±0.0030, NOVELTY: 0.005026±0.0000, AVERAGE_POPULARITY: 0.764002±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.705241±0.0008, DIVERSITY_HERFINDAHL: 0.970508±0.0001, COVERAGE_ITEM: 0.050576±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.068686±0.0004, SHANNON_ENTROPY: 5.913067±0.0074, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 2398, 'shrink': 460, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.019286±0.0010, PRECISION: 0.003148±0.0002, PRECISION_RECALL_MIN_DEN: 0.031481±0.0022, RECALL: 0.031481±0.0022, MAP: 0.013067±0.0006, MRR: 0.013067±0.0006, NDCG: 0.017323±0.0009, F1: 0.005724±0.0004, HIT_RATE: 0.031481±0.0022, ARHR: 0.013067±0.0006, RMSE: 0.707502±0.0038, NOVELTY: 0.004911±0.0000, AVERAGE_POPULARITY: 0.833195±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.530966±0.0018, DIVERSITY_HERFINDAHL: 0.953085±0.0002, COVERAGE_ITEM: 0.011765±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104013±0.0026, SHANNON_ENTROPY: 4.827201±0.0042, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 317, 'shrink': 1693, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032862±0.0020, PRECISION: 0.005108±0.0002, PRECISION_RECALL_MIN_DEN: 0.051084±0.0023, RECALL: 0.051084±0.0023, MAP: 0.022579±0.0011, MRR: 0.022579±0.0011, NDCG: 0.029200±0.0013, F1: 0.009288±0.0004, HIT_RATE: 0.051084±0.0023, ARHR: 0.022579±0.0011, RMSE: 0.690624±0.0039, NOVELTY: 0.006545±0.0000, AVERAGE_POPULARITY: 0.287697±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.979267±0.0002, DIVERSITY_HERFINDAHL: 0.997905±0.0000, COVERAGE_ITEM: 0.454599±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349284±0.0011, SHANNON_ENTROPY: 11.191608±0.0064, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1044, 'shrink': 276, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.023030±0.0007, PRECISION: 0.003401±0.0001, PRECISION_RECALL_MIN_DEN: 0.034011±0.0009, RECALL: 0.034011±0.0009, MAP: 0.016123±0.0009, MRR: 0.016123±0.0009, NDCG: 0.020301±0.0007, F1: 0.006184±0.0002, HIT_RATE: 0.034011±0.0009, ARHR: 0.016123±0.0009, RMSE: 0.762380±0.0040, NOVELTY: 0.004910±0.0000, AVERAGE_POPULARITY: 0.834152±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.506010±0.0022, DIVERSITY_HERFINDAHL: 0.950590±0.0002, COVERAGE_ITEM: 0.008651±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132668±0.0037, SHANNON_ENTROPY: 4.760256±0.0065, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1565, 'shrink': 1775, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.026262±0.0018, PRECISION: 0.004255±0.0002, PRECISION_RECALL_MIN_DEN: 0.042547±0.0024, RECALL: 0.042547±0.0024, MAP: 0.017455±0.0008, MRR: 0.017455±0.0008, NDCG: 0.023271±0.0011, F1: 0.007736±0.0004, HIT_RATE: 0.042547±0.0024, ARHR: 0.017455±0.0008, RMSE: 1.193474±0.0147, NOVELTY: 0.005066±0.0000, AVERAGE_POPULARITY: 0.736497±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.722532±0.0013, DIVERSITY_HERFINDAHL: 0.972237±0.0001, COVERAGE_ITEM: 0.061757±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.072186±0.0003, SHANNON_ENTROPY: 6.153493±0.0081, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 637, 'shrink': 504, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.023883±0.0008, PRECISION: 0.003591±0.0001, PRECISION_RECALL_MIN_DEN: 0.035908±0.0009, RECALL: 0.035908±0.0009, MAP: 0.016618±0.0009, MRR: 0.016618±0.0009, NDCG: 0.021118±0.0007, F1: 0.006529±0.0002, HIT_RATE: 0.035908±0.0009, ARHR: 0.016618±0.0009, RMSE: 0.838554±0.0016, NOVELTY: 0.004920±0.0000, AVERAGE_POPULARITY: 0.826406±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.544558±0.0022, DIVERSITY_HERFINDAHL: 0.954443±0.0002, COVERAGE_ITEM: 0.010662±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120180±0.0018, SHANNON_ENTROPY: 4.918044±0.0055, 
