CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 25, 'shrink': 717, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.050136±0.0022, PRECISION: 0.007724±0.0003, PRECISION_RECALL_MIN_DEN: 0.077236±0.0033, RECALL: 0.077236±0.0033, MAP: 0.033547±0.0018, MRR: 0.033547±0.0018, NDCG: 0.043742±0.0020, F1: 0.014043±0.0006, HIT_RATE: 0.077236±0.0033, ARHR: 0.033547±0.0018, RMSE: 0.931450±0.0014, NOVELTY: 0.006375±0.0000, AVERAGE_POPULARITY: 0.300583±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.977395±0.0002, DIVERSITY_HERFINDAHL: 0.997717±0.0000, COVERAGE_ITEM: 0.321427±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239022±0.0006, SHANNON_ENTROPY: 10.293139±0.0091, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 177, 'shrink': 608, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.041393±0.0021, PRECISION: 0.006283±0.0003, PRECISION_RECALL_MIN_DEN: 0.062827±0.0031, RECALL: 0.062827±0.0031, MAP: 0.028057±0.0017, MRR: 0.028057±0.0017, NDCG: 0.036180±0.0020, F1: 0.011423±0.0006, HIT_RATE: 0.062827±0.0031, ARHR: 0.028057±0.0017, RMSE: 0.727345±0.0056, NOVELTY: 0.006217±0.0000, AVERAGE_POPULARITY: 0.369511±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.962422±0.0002, DIVERSITY_HERFINDAHL: 0.996220±0.0000, COVERAGE_ITEM: 0.411268±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.247152±0.0008, SHANNON_ENTROPY: 10.199585±0.0092, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 183, 'shrink': 1346, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036826±0.0023, PRECISION: 0.005614±0.0003, PRECISION_RECALL_MIN_DEN: 0.056143±0.0030, RECALL: 0.056143±0.0030, MAP: 0.025169±0.0018, MRR: 0.025169±0.0018, NDCG: 0.032390±0.0021, F1: 0.010208±0.0005, HIT_RATE: 0.056143±0.0030, ARHR: 0.025169±0.0018, RMSE: 3.134147±0.0425, NOVELTY: 0.005163±0.0000, AVERAGE_POPULARITY: 0.660880±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.842306±0.0011, DIVERSITY_HERFINDAHL: 0.984212±0.0001, COVERAGE_ITEM: 0.045775±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126676±0.0006, SHANNON_ENTROPY: 6.917381±0.0093, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 89, 'shrink': 741, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.044294±0.0020, PRECISION: 0.006834±0.0002, PRECISION_RECALL_MIN_DEN: 0.068338±0.0020, RECALL: 0.068338±0.0020, MAP: 0.029474±0.0016, MRR: 0.029474±0.0016, NDCG: 0.038551±0.0017, F1: 0.012425±0.0004, HIT_RATE: 0.068338±0.0020, ARHR: 0.029474±0.0016, RMSE: 1.184914±0.0130, NOVELTY: 0.005387±0.0000, AVERAGE_POPULARITY: 0.542504±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.921153±0.0007, DIVERSITY_HERFINDAHL: 0.992095±0.0001, COVERAGE_ITEM: 0.070073±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.162242±0.0019, SHANNON_ENTROPY: 7.943638±0.0109, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 146, 'shrink': 977, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.041378±0.0015, PRECISION: 0.006323±0.0002, PRECISION_RECALL_MIN_DEN: 0.063234±0.0020, RECALL: 0.063234±0.0020, MAP: 0.028157±0.0014, MRR: 0.028157±0.0014, NDCG: 0.036343±0.0015, F1: 0.011497±0.0004, HIT_RATE: 0.063234±0.0020, ARHR: 0.028157±0.0014, RMSE: 0.856136±0.0016, NOVELTY: 0.005499±0.0000, AVERAGE_POPULARITY: 0.574892±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.883343±0.0005, DIVERSITY_HERFINDAHL: 0.988314±0.0000, COVERAGE_ITEM: 0.189770±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127113±0.0005, SHANNON_ENTROPY: 8.041735±0.0106, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 15, 'shrink': 1620, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.051882±0.0023, PRECISION: 0.007981±0.0004, PRECISION_RECALL_MIN_DEN: 0.079810±0.0036, RECALL: 0.079810±0.0036, MAP: 0.034611±0.0017, MRR: 0.034611±0.0017, NDCG: 0.045159±0.0021, F1: 0.014511±0.0007, HIT_RATE: 0.079810±0.0036, ARHR: 0.034611±0.0017, RMSE: 0.942999±0.0011, NOVELTY: 0.006420±0.0000, AVERAGE_POPULARITY: 0.272406±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.980882±0.0001, DIVERSITY_HERFINDAHL: 0.998066±0.0000, COVERAGE_ITEM: 0.291300±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246954±0.0008, SHANNON_ENTROPY: 10.358856±0.0054, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 114, 'shrink': 1797, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.029118±0.0006, PRECISION: 0.004481±0.0001, PRECISION_RECALL_MIN_DEN: 0.044806±0.0007, RECALL: 0.044806±0.0007, MAP: 0.020125±0.0009, MRR: 0.020125±0.0009, NDCG: 0.025866±0.0008, F1: 0.008147±0.0001, HIT_RATE: 0.044806±0.0007, ARHR: 0.020125±0.0009, RMSE: 0.784356±0.0024, NOVELTY: 0.007269±0.0000, AVERAGE_POPULARITY: 0.140552±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.994751±0.0000, DIVERSITY_HERFINDAHL: 0.999453±0.0000, COVERAGE_ITEM: 0.564596±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.477516±0.0003, SHANNON_ENTROPY: 12.389873±0.0049, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 196, 'shrink': 413, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036269±0.0024, PRECISION: 0.005501±0.0004, PRECISION_RECALL_MIN_DEN: 0.055014±0.0035, RECALL: 0.055014±0.0035, MAP: 0.024925±0.0018, MRR: 0.024925±0.0018, NDCG: 0.031938±0.0022, F1: 0.010002±0.0006, HIT_RATE: 0.055014±0.0035, ARHR: 0.024925±0.0018, RMSE: 11.684633±0.1428, NOVELTY: 0.005152±0.0000, AVERAGE_POPULARITY: 0.667626±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.835640±0.0012, DIVERSITY_HERFINDAHL: 0.983545±0.0001, COVERAGE_ITEM: 0.044401±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124301±0.0005, SHANNON_ENTROPY: 6.848569±0.0067, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 145, 'shrink': 1784, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.027878±0.0011, PRECISION: 0.004359±0.0002, PRECISION_RECALL_MIN_DEN: 0.043586±0.0016, RECALL: 0.043586±0.0016, MAP: 0.019371±0.0011, MRR: 0.019371±0.0011, NDCG: 0.024986±0.0011, F1: 0.007925±0.0003, HIT_RATE: 0.043586±0.0016, ARHR: 0.019371±0.0011, RMSE: 0.965804±0.0005, NOVELTY: 0.004996±0.0000, AVERAGE_POPULARITY: 0.767897±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.713397±0.0016, DIVERSITY_HERFINDAHL: 0.971324±0.0002, COVERAGE_ITEM: 0.024666±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.101714±0.0012, SHANNON_ENTROPY: 5.810521±0.0064, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 117, 'shrink': 1220, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.039275±0.0016, PRECISION: 0.006025±0.0002, PRECISION_RECALL_MIN_DEN: 0.060253±0.0016, RECALL: 0.060253±0.0016, MAP: 0.026812±0.0012, MRR: 0.026812±0.0012, NDCG: 0.034600±0.0011, F1: 0.010955±0.0003, HIT_RATE: 0.060253±0.0016, ARHR: 0.026812±0.0012, RMSE: 2.889928±0.0394, NOVELTY: 0.005247±0.0000, AVERAGE_POPULARITY: 0.612643±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.882746±0.0007, DIVERSITY_HERFINDAHL: 0.988255±0.0001, COVERAGE_ITEM: 0.053961±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145332±0.0013, SHANNON_ENTROPY: 7.373210±0.0051, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 130, 'shrink': 1296, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.038653±0.0017, PRECISION: 0.005976±0.0002, PRECISION_RECALL_MIN_DEN: 0.059756±0.0016, RECALL: 0.059756±0.0016, MAP: 0.026533±0.0016, MRR: 0.026533±0.0016, NDCG: 0.034258±0.0015, F1: 0.010865±0.0003, HIT_RATE: 0.059756±0.0016, ARHR: 0.026533±0.0016, RMSE: 2.827688±0.0363, NOVELTY: 0.005227±0.0000, AVERAGE_POPULARITY: 0.623850±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.874818±0.0005, DIVERSITY_HERFINDAHL: 0.987462±0.0000, COVERAGE_ITEM: 0.051787±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.141496±0.0011, SHANNON_ENTROPY: 7.271678±0.0039, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 42, 'shrink': 1236, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.043902±0.0016, PRECISION: 0.006752±0.0002, PRECISION_RECALL_MIN_DEN: 0.067525±0.0025, RECALL: 0.067525±0.0025, MAP: 0.029823±0.0019, MRR: 0.029823±0.0019, NDCG: 0.038608±0.0019, F1: 0.012277±0.0004, HIT_RATE: 0.067525±0.0025, ARHR: 0.029823±0.0019, RMSE: 1.881690±0.0280, NOVELTY: 0.005447±0.0000, AVERAGE_POPULARITY: 0.506012±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.938138±0.0004, DIVERSITY_HERFINDAHL: 0.993793±0.0000, COVERAGE_ITEM: 0.070635±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.186349±0.0020, SHANNON_ENTROPY: 8.214718±0.0082, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 199, 'shrink': 1130, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.040992±0.0022, PRECISION: 0.006192±0.0003, PRECISION_RECALL_MIN_DEN: 0.061924±0.0026, RECALL: 0.061924±0.0026, MAP: 0.027865±0.0013, MRR: 0.027865±0.0013, NDCG: 0.035825±0.0016, F1: 0.011259±0.0005, HIT_RATE: 0.061924±0.0026, ARHR: 0.027865±0.0013, RMSE: 0.730658±0.0053, NOVELTY: 0.006122±0.0000, AVERAGE_POPULARITY: 0.393826±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.956068±0.0002, DIVERSITY_HERFINDAHL: 0.995585±0.0000, COVERAGE_ITEM: 0.387899±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.232563±0.0006, SHANNON_ENTROPY: 9.966579±0.0082, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 20, 'shrink': 989, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.048218±0.0016, PRECISION: 0.007462±0.0002, PRECISION_RECALL_MIN_DEN: 0.074616±0.0019, RECALL: 0.074616±0.0019, MAP: 0.031736±0.0018, MRR: 0.031736±0.0018, NDCG: 0.041754±0.0017, F1: 0.013567±0.0004, HIT_RATE: 0.074616±0.0019, ARHR: 0.031736±0.0018, RMSE: 0.970335±0.0084, NOVELTY: 0.005655±0.0000, AVERAGE_POPULARITY: 0.416579±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.959886±0.0003, DIVERSITY_HERFINDAHL: 0.995967±0.0000, COVERAGE_ITEM: 0.093474±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.203562±0.0014, SHANNON_ENTROPY: 8.781315±0.0084, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 12, 'shrink': 1782, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.049062±0.0013, PRECISION: 0.007552±0.0001, PRECISION_RECALL_MIN_DEN: 0.075519±0.0014, RECALL: 0.075519±0.0014, MAP: 0.032273±0.0019, MRR: 0.032273±0.0019, NDCG: 0.042391±0.0017, F1: 0.013731±0.0003, HIT_RATE: 0.075519±0.0014, ARHR: 0.032273±0.0019, RMSE: 0.908522±0.0033, NOVELTY: 0.005735±0.0000, AVERAGE_POPULARITY: 0.383266±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.965444±0.0003, DIVERSITY_HERFINDAHL: 0.996523±0.0000, COVERAGE_ITEM: 0.099151±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.216276±0.0026, SHANNON_ENTROPY: 8.971208±0.0112, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 87, 'shrink': 1393, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.044540±0.0025, PRECISION: 0.006911±0.0003, PRECISION_RECALL_MIN_DEN: 0.069106±0.0035, RECALL: 0.069106±0.0035, MAP: 0.030750±0.0022, MRR: 0.030750±0.0022, NDCG: 0.039659±0.0024, F1: 0.012565±0.0006, HIT_RATE: 0.069106±0.0035, ARHR: 0.030750±0.0022, RMSE: 0.884765±0.0018, NOVELTY: 0.005830±0.0000, AVERAGE_POPULARITY: 0.468992±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.933472±0.0004, DIVERSITY_HERFINDAHL: 0.993326±0.0000, COVERAGE_ITEM: 0.270278±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.170262±0.0004, SHANNON_ENTROPY: 9.044661±0.0090, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 108, 'shrink': 358, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.028691±0.0014, PRECISION: 0.004435±0.0001, PRECISION_RECALL_MIN_DEN: 0.044354±0.0014, RECALL: 0.044354±0.0014, MAP: 0.019749±0.0016, MRR: 0.019749±0.0016, NDCG: 0.025471±0.0015, F1: 0.008064±0.0003, HIT_RATE: 0.044354±0.0014, ARHR: 0.019749±0.0016, RMSE: 0.862700±0.0011, NOVELTY: 0.005025±0.0000, AVERAGE_POPULARITY: 0.747235±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.751204±0.0010, DIVERSITY_HERFINDAHL: 0.975103±0.0001, COVERAGE_ITEM: 0.028689±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105887±0.0010, SHANNON_ENTROPY: 6.067139±0.0043, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 85, 'shrink': 98, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.044314±0.0019, PRECISION: 0.006825±0.0002, PRECISION_RECALL_MIN_DEN: 0.068248±0.0015, RECALL: 0.068248±0.0015, MAP: 0.029666±0.0017, MRR: 0.029666±0.0017, NDCG: 0.038672±0.0016, F1: 0.012409±0.0003, HIT_RATE: 0.068248±0.0015, ARHR: 0.029666±0.0017, RMSE: 9.012654±0.1009, NOVELTY: 0.005395±0.0000, AVERAGE_POPULARITY: 0.538257±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.923042±0.0007, DIVERSITY_HERFINDAHL: 0.992283±0.0001, COVERAGE_ITEM: 0.070992±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163553±0.0021, SHANNON_ENTROPY: 7.976748±0.0110, 
