CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 16, 'shrink': 1320, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.023632±0.0014, PRECISION: 0.003830±0.0002, PRECISION_RECALL_MIN_DEN: 0.038302±0.0024, RECALL: 0.038302±0.0024, MAP: 0.015769±0.0010, MRR: 0.015769±0.0010, NDCG: 0.020990±0.0013, F1: 0.006964±0.0004, HIT_RATE: 0.038302±0.0024, ARHR: 0.015769±0.0010, RMSE: 0.892843±0.0024, NOVELTY: 0.007858±0.0000, AVERAGE_POPULARITY: 0.069375±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.997560±0.0000, DIVERSITY_HERFINDAHL: 0.999733±0.0000, COVERAGE_ITEM: 0.604996±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.542573±0.0013, SHANNON_ENTROPY: 12.820065±0.0035, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 28, 'shrink': 1343, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.049920±0.0023, PRECISION: 0.007715±0.0003, PRECISION_RECALL_MIN_DEN: 0.077145±0.0026, RECALL: 0.077145±0.0026, MAP: 0.033260±0.0018, MRR: 0.033260±0.0018, NDCG: 0.043500±0.0019, F1: 0.014026±0.0005, HIT_RATE: 0.077145±0.0026, ARHR: 0.033260±0.0018, RMSE: 0.928379±0.0015, NOVELTY: 0.006352±0.0000, AVERAGE_POPULARITY: 0.309470±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.975995±0.0002, DIVERSITY_HERFINDAHL: 0.997577±0.0000, COVERAGE_ITEM: 0.325818±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236066±0.0004, SHANNON_ENTROPY: 10.252166±0.0084, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 15, 'shrink': 1052, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.051882±0.0023, PRECISION: 0.007981±0.0004, PRECISION_RECALL_MIN_DEN: 0.079810±0.0036, RECALL: 0.079810±0.0036, MAP: 0.034611±0.0017, MRR: 0.034611±0.0017, NDCG: 0.045159±0.0021, F1: 0.014511±0.0007, HIT_RATE: 0.079810±0.0036, ARHR: 0.034611±0.0017, RMSE: 0.942999±0.0011, NOVELTY: 0.006420±0.0000, AVERAGE_POPULARITY: 0.272406±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.980882±0.0001, DIVERSITY_HERFINDAHL: 0.998066±0.0000, COVERAGE_ITEM: 0.291300±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246952±0.0008, SHANNON_ENTROPY: 10.358852±0.0054, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 24, 'shrink': 1008, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.050351±0.0023, PRECISION: 0.007733±0.0004, PRECISION_RECALL_MIN_DEN: 0.077326±0.0037, RECALL: 0.077326±0.0037, MAP: 0.033613±0.0017, MRR: 0.033613±0.0017, NDCG: 0.043820±0.0020, F1: 0.014059±0.0007, HIT_RATE: 0.077326±0.0037, ARHR: 0.033613±0.0017, RMSE: 0.932488±0.0014, NOVELTY: 0.006383±0.0000, AVERAGE_POPULARITY: 0.297135±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.977866±0.0002, DIVERSITY_HERFINDAHL: 0.997764±0.0000, COVERAGE_ITEM: 0.319200±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.240104±0.0006, SHANNON_ENTROPY: 10.306297±0.0082, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 15, 'shrink': 768, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036385±0.0021, PRECISION: 0.005556±0.0003, PRECISION_RECALL_MIN_DEN: 0.055556±0.0027, RECALL: 0.055556±0.0027, MAP: 0.025035±0.0017, MRR: 0.025035±0.0017, NDCG: 0.032146±0.0019, F1: 0.010101±0.0005, HIT_RATE: 0.055556±0.0027, ARHR: 0.025035±0.0017, RMSE: 0.874558±0.0055, NOVELTY: 0.007685±0.0000, AVERAGE_POPULARITY: 0.108560±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.995353±0.0000, DIVERSITY_HERFINDAHL: 0.999513±0.0000, COVERAGE_ITEM: 0.559622±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.467901±0.0007, SHANNON_ENTROPY: 12.348714±0.0029, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 16, 'shrink': 1738, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.051706±0.0023, PRECISION: 0.007891±0.0004, PRECISION_RECALL_MIN_DEN: 0.078907±0.0035, RECALL: 0.078907±0.0035, MAP: 0.034539±0.0019, MRR: 0.034539±0.0019, NDCG: 0.044907±0.0022, F1: 0.014347±0.0006, HIT_RATE: 0.078907±0.0035, ARHR: 0.034539±0.0019, RMSE: 0.941731±0.0012, NOVELTY: 0.006418±0.0000, AVERAGE_POPULARITY: 0.275012±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.980618±0.0002, DIVERSITY_HERFINDAHL: 0.998040±0.0000, COVERAGE_ITEM: 0.295226±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.246388±0.0012, SHANNON_ENTROPY: 10.358477±0.0098, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 4, 'shrink': 1720, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.050050±0.0013, PRECISION: 0.007678±0.0003, PRECISION_RECALL_MIN_DEN: 0.076784±0.0034, RECALL: 0.076784±0.0034, MAP: 0.032621±0.0012, MRR: 0.032621±0.0012, NDCG: 0.042959±0.0016, F1: 0.013961±0.0006, HIT_RATE: 0.076784±0.0034, ARHR: 0.032621±0.0012, RMSE: 0.949633±0.0015, NOVELTY: 0.005875±0.0000, AVERAGE_POPULARITY: 0.333606±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.972358±0.0003, DIVERSITY_HERFINDAHL: 0.997214±0.0000, COVERAGE_ITEM: 0.113642±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.231745±0.0016, SHANNON_ENTROPY: 9.277911±0.0085, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 17, 'shrink': 840, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036615±0.0020, PRECISION: 0.005592±0.0003, PRECISION_RECALL_MIN_DEN: 0.055917±0.0026, RECALL: 0.055917±0.0026, MAP: 0.025142±0.0015, MRR: 0.025142±0.0015, NDCG: 0.032315±0.0018, F1: 0.010167±0.0005, HIT_RATE: 0.055917±0.0026, ARHR: 0.025142±0.0015, RMSE: 0.867408±0.0048, NOVELTY: 0.007648±0.0000, AVERAGE_POPULARITY: 0.112030±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.995191±0.0000, DIVERSITY_HERFINDAHL: 0.999497±0.0000, COVERAGE_ITEM: 0.562444±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.462429±0.0004, SHANNON_ENTROPY: 12.327619±0.0034, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 11, 'shrink': 477, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.023798±0.0012, PRECISION: 0.003957±0.0002, PRECISION_RECALL_MIN_DEN: 0.039566±0.0019, RECALL: 0.039566±0.0019, MAP: 0.015588±0.0007, MRR: 0.015588±0.0007, NDCG: 0.021133±0.0009, F1: 0.007194±0.0003, HIT_RATE: 0.039566±0.0019, ARHR: 0.015588±0.0007, RMSE: 0.904659±0.0025, NOVELTY: 0.007896±0.0000, AVERAGE_POPULARITY: 0.067440±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997562±0.0000, DIVERSITY_HERFINDAHL: 0.999734±0.0000, COVERAGE_ITEM: 0.598583±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.542066±0.0018, SHANNON_ENTROPY: 12.805964±0.0025, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 29, 'shrink': 1057, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.045167±0.0016, PRECISION: 0.006938±0.0002, PRECISION_RECALL_MIN_DEN: 0.069377±0.0019, RECALL: 0.069377±0.0019, MAP: 0.030614±0.0016, MRR: 0.030614±0.0016, NDCG: 0.039650±0.0016, F1: 0.012614±0.0004, HIT_RATE: 0.069377±0.0019, ARHR: 0.030614±0.0016, RMSE: 1.937342±0.0304, NOVELTY: 0.005516±0.0000, AVERAGE_POPULARITY: 0.471380±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.949172±0.0001, DIVERSITY_HERFINDAHL: 0.994896±0.0000, COVERAGE_ITEM: 0.074453±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.202859±0.0021, SHANNON_ENTROPY: 8.446899±0.0029, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 4, 'shrink': 1122, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050125±0.0015, PRECISION: 0.007719±0.0002, PRECISION_RECALL_MIN_DEN: 0.077191±0.0015, RECALL: 0.077191±0.0015, MAP: 0.032640±0.0014, MRR: 0.032640±0.0014, NDCG: 0.043060±0.0014, F1: 0.014035±0.0003, HIT_RATE: 0.077191±0.0015, ARHR: 0.032640±0.0014, RMSE: 1.373874±0.0201, NOVELTY: 0.005788±0.0000, AVERAGE_POPULARITY: 0.353645±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.970881±0.0002, DIVERSITY_HERFINDAHL: 0.997066±0.0000, COVERAGE_ITEM: 0.088943±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.263384±0.0008, SHANNON_ENTROPY: 9.139551±0.0051, 
