CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 18, 'shrink': 1966, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.075176±0.0005, PRECISION: 0.009954±0.0001, PRECISION_RECALL_MIN_DEN: 0.099544±0.0009, RECALL: 0.099544±0.0009, MAP: 0.055301±0.0005, MRR: 0.055301±0.0005, NDCG: 0.065817±0.0004, F1: 0.018099±0.0002, HIT_RATE: 0.099544±0.0009, ARHR: 0.055301±0.0005, RMSE: 0.966454±0.0002, NOVELTY: 0.006836±0.0000, AVERAGE_POPULARITY: 0.230366±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.989979±0.0001, DIVERSITY_HERFINDAHL: 0.998992±0.0000, COVERAGE_ITEM: 0.732393±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.310941±0.0013, SHANNON_ENTROPY: 11.847693±0.0093, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 9, 'shrink': 1941, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.076324±0.0009, PRECISION: 0.010003±0.0001, PRECISION_RECALL_MIN_DEN: 0.100034±0.0008, RECALL: 0.100034±0.0008, MAP: 0.056133±0.0006, MRR: 0.056133±0.0006, NDCG: 0.066595±0.0006, F1: 0.018188±0.0002, HIT_RATE: 0.100034±0.0008, ARHR: 0.056133±0.0006, RMSE: 0.985823±0.0028, NOVELTY: 0.006923±0.0000, AVERAGE_POPULARITY: 0.207917±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.991505±0.0001, DIVERSITY_HERFINDAHL: 0.999145±0.0000, COVERAGE_ITEM: 0.704796±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.320850±0.0011, SHANNON_ENTROPY: 11.923272±0.0094, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 7, 'shrink': 910, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.041470±0.0006, PRECISION: 0.006248±0.0001, PRECISION_RECALL_MIN_DEN: 0.062479±0.0006, RECALL: 0.062479±0.0006, MAP: 0.029081±0.0005, MRR: 0.029081±0.0005, NDCG: 0.036864±0.0005, F1: 0.011360±0.0001, HIT_RATE: 0.062479±0.0006, ARHR: 0.029081±0.0005, RMSE: 0.961930±0.0009, NOVELTY: 0.008121±0.0000, AVERAGE_POPULARITY: 0.052182±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.982458±0.0003, DIVERSITY_HERFINDAHL: 0.998240±0.0000, COVERAGE_ITEM: 0.812728±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.519363±0.0018, SHANNON_ENTROPY: 12.697596±0.0080, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 7, 'shrink': 314, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.074177±0.0008, PRECISION: 0.009559±0.0001, PRECISION_RECALL_MIN_DEN: 0.095592±0.0013, RECALL: 0.095592±0.0013, MAP: 0.055042±0.0006, MRR: 0.055042±0.0006, NDCG: 0.064735±0.0007, F1: 0.017380±0.0002, HIT_RATE: 0.095592±0.0013, ARHR: 0.055042±0.0006, RMSE: 0.971674±0.0002, NOVELTY: 0.006868±0.0000, AVERAGE_POPULARITY: 0.215206±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.990307±0.0001, DIVERSITY_HERFINDAHL: 0.999025±0.0000, COVERAGE_ITEM: 0.679448±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.296645±0.0010, SHANNON_ENTROPY: 11.733860±0.0089, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 4, 'shrink': 372, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.070399±0.0011, PRECISION: 0.008859±0.0002, PRECISION_RECALL_MIN_DEN: 0.088586±0.0016, RECALL: 0.088586±0.0016, MAP: 0.052962±0.0008, MRR: 0.052962±0.0008, NDCG: 0.061518±0.0010, F1: 0.016107±0.0003, HIT_RATE: 0.088586±0.0016, ARHR: 0.052962±0.0008, RMSE: 0.975218±0.0003, NOVELTY: 0.006948±0.0000, AVERAGE_POPULARITY: 0.196682±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.989640±0.0002, DIVERSITY_HERFINDAHL: 0.998958±0.0000, COVERAGE_ITEM: 0.628354±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.299032±0.0009, SHANNON_ENTROPY: 11.675415±0.0133, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 3, 'shrink': 66, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.068966±0.0010, PRECISION: 0.008510±0.0002, PRECISION_RECALL_MIN_DEN: 0.085101±0.0017, RECALL: 0.085101±0.0017, MAP: 0.052614±0.0008, MRR: 0.052614±0.0008, NDCG: 0.060446±0.0010, F1: 0.015473±0.0003, HIT_RATE: 0.085101±0.0017, ARHR: 0.052614±0.0008, RMSE: 0.999455±0.0027, NOVELTY: 0.007073±0.0000, AVERAGE_POPULARITY: 0.173588±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.989152±0.0001, DIVERSITY_HERFINDAHL: 0.998910±0.0000, COVERAGE_ITEM: 0.602584±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.326662±0.0009, SHANNON_ENTROPY: 11.770798±0.0078, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 12, 'shrink': 1633, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037626±0.0007, PRECISION: 0.005333±0.0001, PRECISION_RECALL_MIN_DEN: 0.053332±0.0012, RECALL: 0.053332±0.0012, MAP: 0.027218±0.0006, MRR: 0.027218±0.0006, NDCG: 0.033351±0.0007, F1: 0.009697±0.0002, HIT_RATE: 0.053332±0.0012, ARHR: 0.027218±0.0006, RMSE: 0.958058±0.0008, NOVELTY: 0.008329±0.0000, AVERAGE_POPULARITY: 0.040751±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.996913±0.0000, DIVERSITY_HERFINDAHL: 0.999686±0.0000, COVERAGE_ITEM: 0.812652±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.622782±0.0012, SHANNON_ENTROPY: 13.367698±0.0015, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 9, 'shrink': 633, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.076324±0.0009, PRECISION: 0.010003±0.0001, PRECISION_RECALL_MIN_DEN: 0.100034±0.0008, RECALL: 0.100034±0.0008, MAP: 0.056133±0.0006, MRR: 0.056133±0.0006, NDCG: 0.066595±0.0006, F1: 0.018188±0.0002, HIT_RATE: 0.100034±0.0008, ARHR: 0.056133±0.0006, RMSE: 0.985823±0.0028, NOVELTY: 0.006923±0.0000, AVERAGE_POPULARITY: 0.207917±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.991505±0.0001, DIVERSITY_HERFINDAHL: 0.999145±0.0000, COVERAGE_ITEM: 0.704796±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.320853±0.0011, SHANNON_ENTROPY: 11.923277±0.0094, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 20, 'shrink': 1042, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.036391±0.0007, PRECISION: 0.004893±0.0001, PRECISION_RECALL_MIN_DEN: 0.048935±0.0010, RECALL: 0.048935±0.0010, MAP: 0.026593±0.0006, MRR: 0.026593±0.0006, NDCG: 0.031892±0.0006, F1: 0.008897±0.0002, HIT_RATE: 0.048935±0.0010, ARHR: 0.026593±0.0006, RMSE: 0.954260±0.0010, NOVELTY: 0.008412±0.0000, AVERAGE_POPULARITY: 0.034309±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.999034±0.0000, DIVERSITY_HERFINDAHL: 0.999898±0.0000, COVERAGE_ITEM: 0.803482±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.652811±0.0006, SHANNON_ENTROPY: 13.557383±0.0012, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 12, 'shrink': 760, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.074930±0.0005, PRECISION: 0.009812±0.0001, PRECISION_RECALL_MIN_DEN: 0.098121±0.0007, RECALL: 0.098121±0.0007, MAP: 0.055252±0.0003, MRR: 0.055252±0.0003, NDCG: 0.065465±0.0004, F1: 0.017840±0.0001, HIT_RATE: 0.098121±0.0007, ARHR: 0.055252±0.0003, RMSE: 0.968888±0.0002, NOVELTY: 0.006845±0.0000, AVERAGE_POPULARITY: 0.223470±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.990409±0.0001, DIVERSITY_HERFINDAHL: 0.999035±0.0000, COVERAGE_ITEM: 0.712798±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.303333±0.0010, SHANNON_ENTROPY: 11.811619±0.0073, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 23, 'shrink': 1389, 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.033014±0.0006, PRECISION: 0.004329±0.0001, PRECISION_RECALL_MIN_DEN: 0.043285±0.0009, RECALL: 0.043285±0.0009, MAP: 0.024691±0.0005, MRR: 0.024691±0.0005, NDCG: 0.029110±0.0006, F1: 0.007870±0.0002, HIT_RATE: 0.043285±0.0009, ARHR: 0.024691±0.0005, RMSE: 0.968821±0.0006, NOVELTY: 0.008483±0.0000, AVERAGE_POPULARITY: 0.028351±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.999053±0.0000, DIVERSITY_HERFINDAHL: 0.999900±0.0000, COVERAGE_ITEM: 0.793404±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.636105±0.0011, SHANNON_ENTROPY: 13.525264±0.0012, 
